Date,Open,High,Low,Close,Volume
2016-01-04,292.35,294.46,272.75,277.85,12855399
2016-01-05,278.4,291.7,275.45,283.2,10028414
2016-01-06,281.0,282.0,259.35,270.4,12806622
2016-01-07,251.0,252.45,237.65,240.65,18618953
2016-01-08,242.85,250.3,227.9,229.2,12989623
2016-01-11,225.95,243.95,221.5,230.45,15667287
2016-01-12,230.0,251.75,222.4,232.5,18326877
2016-01-13,236.0,248.3,227.1,231.45,17136414
2016-01-14,231.0,271.9,228.0,262.95,20908366
2016-01-15,251.8,256.55,230.3,232.75,19305718
2016-01-18,232.7,242.75,227.35,232.65,11668936
2016-01-19,242.35,261.65,237.0,238.8,16844276
2016-01-20,222.0,228.15,218.75,221.05,14595812
2016-01-21,222.65,250.2,217.2,248.0,20120406
2016-01-22,255.55,260.7,224.45,226.7,21078604
2016-01-25,229.6,251.17,216.91,226.6,12582345
2016-01-26,222.3,254.55,215.55,253.35,19653919
2016-01-27,252.0,255.45,238.1,253.75,15464655
2016-01-28,259.5,292.75,255.85,275.9,18763973
2016-01-29,283.8,287.85,262.1,277.45,13944655
2016-02-01,280.05,286.44,263.7,274.05,11954678
2016-02-02,271.45,272.9,244.7,252.15,11341270
2016-02-03,250.95,275.8,245.8,273.7,11497519
2016-02-04,305.0,342.7,288.55,328.3,24966055
2016-02-05,317.0,376.55,310.75,361.63,33895643
2016-02-08,367.35,376.5,343.5,376.1,15688508
2016-02-09,373.25,373.25,331.75,333.8,14338494
2016-02-10,339.65,350.25,315.1,327.0,11775370
2016-02-11,323.6,331.4,306.45,315.95,13568440
2016-02-12,323.75,373.95,323.75,373.95,13379341
2016-02-15,384.5,410.0,380.0,393.05,11467322
2016-02-16,418.65,423.1,360.0,397.95,17088667
2016-02-17,400.0,468.05,395.65,468.05,18773498
2016-02-18,468.0,468.7,428.2,432.0,20133398
2016-02-19,432.25,442.3,424.45,436.65,9613719
2016-02-22,445.6,488.85,445.6,484.15,9943908
2016-02-23,467.8,476.95,448.3,453.1,9657871
2016-02-24,449.6,450.15,399.85,409.75,12664238
2016-02-25,423.65,447.8,416.25,422.15,10218823
2016-02-26,429.0,454.9,425.4,450.6,12095603
2016-02-29,444.55,488.7,436.45,480.25,13268228
2016-03-01,486.9,515.5,476.42,491.3,9782772
2016-03-02,510.0,529.5,497.85,524.1,10547173
2016-03-03,532.4,561.62,523.1,533.0,13870661
2016-03-04,543.1,599.2,543.1,592.0,13707984
2016-03-07,585.2,630.3,561.4,628.1,17368566
2016-03-08,609.3,610.1,528.5,530.9,15967826
2016-03-09,526.6,550.5,503.2,530.3,11756300
2016-03-10,532.7,545.8,489.9,502.8,12225876
2016-03-11,514.5,524.31,494.25,515.6,6573836
2016-03-14,517.8,552.2,513.0,546.5,10973853
2016-03-15,514.0,516.1,478.4,487.45,12187562
2016-03-16,489.8,505.0,479.75,492.7,5905774
2016-03-17,519.6,548.2,519.6,540.9,15725168
2016-03-18,550.0,563.7,537.78,555.4,15498858
2016-03-21,548.9,560.6,531.9,549.5,5094376
2016-03-22,545.7,557.3,535.3,553.3,5715036
2016-03-23,548.7,557.3,507.9,523.5,10285675
2016-03-24,500.6,508.7,480.0,500.8,9749314
2016-03-29,506.8,513.6,469.65,479.1,7834838
2016-03-30,492.05,545.7,492.05,535.7,11487935
2016-03-31,528.0,554.2,509.8,552.1,11407721
2016-04-01,543.2,560.3,518.0,538.4,8267647
2016-04-04,538.1,558.8,531.4,547.5,6905953
2016-04-05,538.0,538.0,510.9,525.7,9644421
2016-04-06,529.7,546.9,502.3,522.5,9233482
2016-04-07,527.3,548.1,504.4,506.1,10187978
2016-04-08,509.5,550.0,503.8,547.2,7854354
2016-04-11,545.0,586.2,543.1,585.1,8568083
2016-04-12,587.3,641.0,582.7,638.7,14395544
2016-04-13,652.3,710.36,652.3,652.3,16484824
2016-04-14,704.0,709.3,669.0,690.2,10624180
2016-04-15,676.6,690.0,662.1,678.3,7552828
2016-04-18,657.2,697.4,642.0,693.6,6391152
2016-04-19,703.2,753.2,697.36,752.5,11977716
2016-04-20,750.0,806.7,729.62,792.0,13802205
2016-04-21,798.2,814.6,730.5,747.3,14176261
2016-04-22,740.4,744.0,711.6,732.8,9809868
2016-04-25,731.0,731.0,678.0,679.1,9507527
2016-04-26,670.0,686.1,658.0,667.2,10713948
2016-04-27,657.1,707.8,655.97,696.9,7942241
2016-04-28,705.0,753.2,700.7,753.2,10629252
2016-04-29,745.2,778.7,744.6,763.4,11193374
2016-05-03,741.0,749.5,662.0,665.7,11105584
2016-05-04,657.2,671.0,627.6,643.2,11833756
2016-05-05,648.9,672.54,636.8,654.6,6552092
2016-05-06,650.5,654.1,610.3,649.4,8327856
2016-05-09,633.0,634.8,556.7,559.5,12282464
2016-05-10,565.4,599.2,555.2,585.8,11989761
2016-05-11,587.7,624.5,587.7,617.3,9441473
2016-05-12,609.6,614.0,563.2,575.0,9547848
2016-05-13,568.4,592.3,561.0,578.2,8566563
2016-05-16,592.6,622.7,592.3,609.5,7037497
2016-05-17,617.7,647.5,613.0,628.7,10358414
2016-05-18,601.2,613.5,587.67,606.1,10715832
2016-05-19,576.5,586.6,557.0,579.3,10653443
2016-05-20,595.3,616.1,592.8,600.3,8503109
2016-05-23,594.0,600.4,574.5,598.4,8416378
2016-05-24,596.4,615.0,589.8,608.5,6250297
2016-05-25,615.4,622.3,595.6,620.2,6319577
2016-05-26,630.0,649.1,625.2,629.2,5889968
2016-05-27,635.0,641.6,608.1,612.0,5515910
2016-05-31,619.7,624.4,600.1,600.1,8859983
2016-06-01,587.0,592.9,572.0,592.1,7541061
2016-06-02,592.5,601.1,581.0,587.5,5924974
2016-06-03,604.4,619.9,589.8,617.9,8245887
2016-06-09,694.4,701.58,662.1,666.0,5801368
2016-06-10,659.5,669.9,638.3,642.5,5766768
2016-06-13,632.5,643.9,625.2,635.4,7089828
2016-06-14,621.8,631.0,597.7,599.5,6853283
2016-06-15,610.0,640.4,609.6,631.0,6072952
2016-06-16,620.8,629.5,597.9,612.4,7216352
2016-06-17,613.6,649.2,613.6,636.5,8914927
2016-06-20,666.0,670.2,646.5,670.0,7603838
2016-06-21,656.0,663.1,637.8,658.3,5070829
2016-06-22,666.1,679.0,657.1,670.5,5937868
2016-06-23,673.1,699.8,666.38,694.7,5757556
2016-06-24,579.0,679.7,579.0,659.0,11058929
2016-06-27,665.5,685.3,623.1,629.9,9902121
2016-06-28,649.4,657.4,640.0,644.9,8725094
2016-06-29,663.6,697.0,657.8,696.9,6768619
2016-06-30,697.0,733.4,679.2,726.9,9874382
2016-07-01,733.7,758.9,713.9,758.0,5284827
2016-07-04,777.9,785.98,753.83,764.0,3565526
2016-07-05,758.9,764.4,720.2,739.8,6235694
2016-07-06,731.0,761.0,711.9,730.2,5885193
2016-07-07,744.8,778.0,743.15,746.5,6237541
2016-07-08,744.3,764.0,737.2,745.0,7084300
2016-07-11,759.2,810.0,759.2,808.9,7609421
2016-07-12,812.3,836.6,799.4,830.5,8899149
2016-07-13,832.0,856.8,636.56,812.2,9203357
2016-07-14,832.1,853.3,820.0,843.4,7968085
2016-07-15,835.7,842.2,821.1,836.1,7450396
2016-07-18,820.0,833.8,808.22,832.0,5446963
2016-07-19,822.7,823.5,794.9,813.6,5234190
2016-07-20,780.0,793.1,725.6,774.4,12354640
2016-07-21,789.4,824.7,769.1,787.7,10603473
2016-07-22,781.5,790.2,763.1,786.65,4146451
2016-07-25,781.2,792.5,768.0,775.8,4478656
2016-07-26,781.3,792.8,764.8,782.1,4200826
2016-07-27,789.0,809.3,787.6,799.2,3574279
2016-07-28,831.7,859.6,817.92,842.6,10416695
2016-07-29,848.3,849.0,813.1,830.5,6010913
2016-08-01,849.0,867.8,831.24,848.8,5069425
2016-08-02,850.0,854.0,821.7,835.0,6587710
2016-08-03,832.1,843.0,819.7,835.4,4622731
2016-08-04,835.4,851.2,821.0,845.0,6370615
2016-08-05,860.0,872.0,846.4,859.9,5204145
2016-08-08,870.3,893.3,865.6,875.3,4361810
2016-08-09,874.2,884.8,859.0,879.0,4262541
2016-08-10,873.1,890.2,870.0,876.9,4339841
2016-08-11,883.7,890.66,860.7,884.9,3909914
2016-08-12,886.7,892.8,841.0,856.9,6868796
2016-08-15,854.2,880.6,854.2,872.7,4080639
2016-08-16,868.5,910.0,866.6,890.0,6153541
2016-08-17,888.3,897.81,858.6,865.7,4885393
2016-08-18,875.0,891.7,873.6,880.0,3437076
2016-08-19,882.6,887.2,860.0,870.0,3153498
2016-08-22,864.2,864.2,825.7,835.0,4968182
2016-08-23,843.5,878.1,843.2,876.1,5169730
2016-08-24,870.4,870.5,840.8,848.6,6077233
2016-08-25,841.6,847.3,822.0,839.6,4557688
2016-08-26,842.8,864.7,835.1,858.5,5602676
2016-08-30,854.8,854.9,814.2,817.5,5331756
2016-08-31,811.9,811.9,773.7,779.8,7479625
2016-09-01,789.0,838.74,765.1,788.7,6427285
2016-09-02,793.2,825.3,777.2,808.0,8332802
2016-09-05,814.7,835.6,799.43,814.0,4152244
2016-09-06,818.9,841.7,818.9,826.8,5259693
2016-09-07,830.0,850.3,814.8,840.2,4564684
2016-09-08,841.0,864.0,841.0,858.9,5549714
2016-09-09,852.1,868.4,834.24,846.6,6520569
2016-09-12,817.1,827.3,795.8,819.5,7829439
2016-09-13,815.4,821.16,782.7,783.8,7403702
2016-09-14,795.2,817.0,786.1,803.6,7173283
2016-09-15,796.5,815.2,793.0,811.5,5370311
2016-09-16,815.0,824.4,801.7,814.4,7190377
2016-09-19,828.8,867.5,828.6,860.9,5082117
2016-09-20,860.2,873.7,854.6,857.6,4560230
2016-09-21,875.0,892.7,864.0,888.7,5541066
2016-09-22,920.0,925.8,910.9,920.5,6250601
2016-09-23,909.6,958.1,898.5,951.0,7660626
2016-09-26,939.5,945.5,917.16,930.8,5160857
2016-09-27,938.4,945.7,908.5,916.8,5381539
2016-09-28,923.6,945.3,919.1,923.7,4836743
2016-09-29,966.5,981.28,957.5,980.1,8458563
2016-09-30,961.6,975.2,945.6,967.6,8220265
2016-10-03,968.1,998.8,960.2,995.4,4787295
2016-10-04,998.8,1029.0,985.3,986.3,9475946
2016-10-05,975.6,1018.5,967.7,1011.0,6070583
2016-10-06,1018.0,1019.5,998.3,998.4,4275995
2016-10-07,1022.5,1048.0,1010.48,1021.0,6392007
2016-10-10,1031.5,1048.5,1023.0,1042.5,4925682
2016-10-11,1046.5,1063.5,1028.5,1031.0,8094157
2016-10-12,1033.5,1047.5,1020.19,1040.5,6154460
2016-10-13,1020.0,1022.0,981.0,990.6,7114669
2016-10-14,1014.0,1025.5,1004.5,1006.0,3843273
2016-10-17,1002.0,1025.0,984.1,1012.5,4550093
2016-10-18,1027.0,1041.45,1022.5,1029.5,4035004
2016-10-19,1037.5,1057.5,1030.0,1054.5,7341305
2016-10-20,1053.5,1065.6,1038.5,1064.0,5118780
2016-10-21,1068.0,1103.0,1057.5,1094.0,7088423
2016-10-24,1110.0,1130.0,1065.5,1065.5,5016131
2016-10-25,1085.5,1125.95,1075.64,1114.0,6179768
2016-10-26,1094.5,1098.65,1074.0,1092.0,4202695
2016-10-27,1080.0,1103.0,1071.0,1102.0,5224564
2016-10-28,1107.5,1107.5,1084.37,1099.5,4187457
2016-10-31,1101.5,1138.18,1099.23,1131.0,5749831
2016-11-01,1144.0,1157.73,1119.49,1123.5,7806955
2016-11-02,1115.0,1143.5,1106.0,1130.5,6012392
