Date,Open,High,Low,Close,Volume
2016-01-04,3327.0,3327.0,3256.0,3276.0,523912
2016-01-05,3280.0,3285.0,3214.0,3250.0,513659
2016-01-06,3251.0,3251.0,3184.0,3193.0,666586
2016-01-07,3133.0,3164.0,3106.0,3112.0,770697
2016-01-08,3121.0,3144.0,3028.0,3033.0,1017667
2016-01-11,3036.0,3063.0,3033.0,3036.0,700473
2016-01-12,3036.0,3070.0,3031.0,3049.0,655087
2016-01-13,3077.0,3077.0,3041.0,3041.0,875186
2016-01-14,2998.0,3059.0,2977.0,3019.0,983548
2016-01-15,3012.0,3037.0,2976.0,2986.0,1123404
2016-01-18,2990.0,3019.0,2976.0,3002.0,536053
2016-01-19,3053.0,3054.0,2997.75,3010.0,617516
2016-01-20,2968.0,2982.0,2909.0,2922.0,635543
2016-01-21,2933.0,2959.0,2919.0,2949.0,831766
2016-01-22,2994.0,3007.0,2972.0,2995.0,605077
2016-01-25,3019.0,3021.0,2984.0,3021.0,538971
2016-01-26,2990.0,3019.0,2980.0,3015.0,513785
2016-01-27,3018.0,3078.0,3008.0,3078.0,590608
2016-01-28,3059.0,3071.0,3030.0,3050.0,467987
2016-01-29,3079.0,3150.0,3072.0,3150.0,846505
2016-02-01,3140.0,3159.0,3096.0,3150.0,729956
2016-02-02,3145.0,3206.0,3136.16,3200.0,899820
2016-02-03,3195.0,3206.0,3146.0,3159.0,726364
2016-02-04,3212.0,3212.0,3116.06,3135.0,812631
2016-02-05,3139.0,3189.0,3092.0,3097.0,603931
2016-02-08,3117.0,3117.0,3035.0,3045.0,660152
2016-02-09,3055.0,3057.0,2999.0,3039.0,806838
2016-02-10,3065.0,3100.0,3035.0,3041.0,548992
2016-02-11,3024.0,3025.0,2957.0,3000.0,593503
2016-02-12,3016.0,3053.0,3000.0,3052.0,605529
2016-02-15,3106.0,3137.0,3098.0,3119.0,349506
2016-02-16,3134.0,3158.0,3111.23,3153.0,466234
2016-02-17,3175.0,3259.0,3163.0,3259.0,730824
2016-02-18,3261.0,3266.0,3215.0,3229.0,736872
2016-02-19,3235.0,3257.0,3221.0,3255.0,820665
2016-02-22,3278.0,3323.0,3278.0,3289.0,539178
2016-02-23,3316.0,3316.0,3278.0,3298.0,756924
2016-02-24,3301.0,3325.0,3293.0,3321.0,688461
2016-02-25,3337.0,3381.0,3328.0,3370.0,440722
2016-02-26,3394.0,3416.0,3343.0,3363.0,571453
2016-02-29,3351.0,3411.0,3330.0,3406.0,676558
2016-03-01,3412.0,3455.0,3384.0,3445.0,463870
2016-03-02,3452.0,3452.0,3343.0,3354.0,621661
2016-03-03,3352.0,3421.47,3272.0,3290.0,703582
2016-03-04,3279.0,3341.0,3276.0,3341.0,679741
2016-03-07,3329.0,3379.0,3320.0,3343.0,395863
2016-03-08,3323.0,3336.0,3291.0,3321.0,324582
2016-03-09,3336.0,3353.0,3320.0,3322.0,309605
2016-03-10,3322.0,3390.0,3299.0,3301.0,603152
2016-03-11,3339.0,3360.0,3315.0,3354.0,367034
2016-03-14,3362.0,3391.0,3329.0,3370.0,337463
2016-03-15,3357.0,3384.0,3347.0,3370.0,220206
2016-03-16,3379.0,3396.0,3321.0,3387.0,593542
2016-03-17,3408.0,3409.0,3361.0,3378.0,446021
2016-03-18,3386.0,3424.0,3378.0,3420.0,624515
2016-03-21,3401.0,3426.0,3397.3,3411.0,319300
2016-03-22,3399.0,3432.0,3366.0,3430.0,373350
2016-03-23,3442.0,3465.0,3437.0,3458.0,292534
2016-03-24,3435.0,3435.0,3264.0,3265.0,856634
2016-03-29,3287.0,3375.15,3287.0,3369.0,514838
2016-03-30,3393.0,3412.0,3369.0,3369.0,440531
2016-03-31,3352.0,3383.0,3345.0,3349.0,509837
2016-04-01,3310.0,3346.0,3284.0,3344.0,342570
2016-04-04,3353.0,3401.0,3348.0,3393.0,339023
2016-04-05,3393.0,3408.0,3362.0,3399.0,488731
2016-04-06,3409.0,3417.0,3382.0,3415.0,357524
2016-04-07,3423.0,3448.0,3384.0,3387.0,478419
2016-04-08,3392.0,3412.0,3364.68,3368.0,494012
2016-04-11,3356.0,3392.0,3351.0,3351.0,423597
2016-04-12,3354.0,3358.0,3317.0,3318.0,683282
2016-04-13,3355.0,3379.0,3332.0,3367.0,519164
2016-04-14,3359.0,3381.7,3351.0,3362.0,413885
2016-04-15,3358.0,3382.0,3334.0,3357.0,566498
2016-04-18,3322.0,3362.0,3318.0,3347.0,501968
2016-04-19,3396.0,3442.0,3381.0,3413.0,775150
2016-04-20,3405.0,3430.0,3330.0,3330.0,659644
2016-04-21,3335.0,3343.0,3216.0,3227.0,850804
2016-04-22,3215.0,3224.0,3131.0,3131.0,882028
2016-04-25,3140.0,3153.0,3098.0,3125.0,823561
2016-04-26,3123.0,3147.0,3111.0,3132.0,707969
2016-04-27,3125.0,3181.0,3113.0,3159.0,714304
2016-04-28,3143.0,3145.12,3047.0,3068.0,955676
2016-04-29,3036.0,3086.0,3029.71,3064.0,675027
2016-05-03,3078.0,3098.0,3048.0,3090.0,841764
2016-05-04,3087.0,3110.0,3070.0,3085.0,563051
2016-05-05,3098.0,3125.0,3088.0,3116.0,640624
2016-05-06,3105.0,3122.0,3086.0,3099.0,613416
2016-05-09,3118.0,3168.0,3116.78,3168.0,504653
2016-05-10,3179.0,3201.0,3099.0,3113.0,650851
2016-05-11,3105.0,3122.0,3089.0,3104.0,538070
2016-05-12,3090.0,3090.0,3009.0,3015.0,1037800
2016-05-13,3001.0,3037.0,2997.0,3037.0,682981
2016-05-16,3019.0,3059.0,3013.0,3051.0,525697
2016-05-17,3045.0,3060.0,2980.0,2980.0,796081
2016-05-18,2985.0,2993.0,2958.0,2959.0,1032846
2016-05-19,2959.0,2959.0,2866.0,2885.0,1869675
2016-05-20,2905.0,2937.0,2905.0,2920.0,869192
2016-05-23,2926.0,2932.27,2895.85,2910.22,437822
2016-05-24,2883.0,2954.0,2883.0,2945.0,641857
2016-05-25,2955.0,2977.0,2926.0,2955.0,705350
2016-05-26,2944.0,2965.0,2934.0,2940.0,406296
2016-05-27,2934.0,2958.0,2930.0,2950.0,445890
2016-05-31,2941.0,2972.0,2937.0,2944.0,790189
2016-06-01,2937.0,2941.0,2903.0,2928.0,644341
2016-06-02,2915.0,2918.5,2889.0,2900.0,575484
2016-06-03,2919.0,2963.0,2906.0,2951.0,701621
2016-06-06,2951.0,2972.0,2945.83,2949.0,628507
2016-06-07,2952.0,2971.0,2938.0,2940.0,433083
2016-06-08,2928.0,2949.0,2922.0,2943.0,449227
2016-06-09,2939.0,2940.0,2925.0,2940.0,494206
2016-06-10,2929.0,2944.0,2854.0,2867.0,568699
2016-06-13,2849.0,2877.0,2835.0,2856.0,707877
2016-06-14,2853.0,2870.0,2821.0,2822.0,774705
2016-06-15,2837.0,2859.0,2832.0,2835.0,709111
2016-06-16,2803.0,2818.0,2767.0,2781.0,754968
2016-06-17,2789.0,2806.0,2773.0,2775.0,911131
2016-06-20,2836.0,2914.0,2824.0,2894.0,582306
2016-06-21,2880.0,2919.0,2876.0,2901.0,610857
2016-06-22,2865.0,2870.0,2802.0,2802.0,1068303
2016-06-23,2820.0,2848.0,2801.0,2829.0,1222502
2016-06-24,2400.0,2784.0,1910.0,2775.0,2964834
2016-06-27,2721.0,2732.0,2339.0,2350.0,2908602
2016-06-28,2500.0,2574.0,2456.0,2555.0,1911140
2016-06-29,2580.0,2665.0,2562.0,2665.0,1221233
2016-06-30,2668.0,2724.0,2644.0,2719.0,1235978
2016-07-01,2732.0,2751.0,2709.0,2732.0,831521
2016-07-04,2750.0,2750.0,2675.0,2675.0,537680
2016-07-05,2667.0,2675.0,2543.0,2606.0,1347971
2016-07-06,2601.0,2618.0,2549.0,2553.0,1717246
2016-07-07,2635.0,2821.0,2628.0,2780.0,1786482
2016-07-08,2769.0,2826.0,2744.0,2826.0,1355626
2016-07-11,2844.0,2850.0,2791.0,2844.0,567210
2016-07-12,2842.0,2863.0,2819.0,2820.0,939829
2016-07-13,2825.0,2830.0,2347.04,2800.0,1028778
2016-07-14,2814.0,2832.0,2765.0,2772.0,605762
2016-07-15,2758.0,2798.0,2744.0,2792.0,803722
2016-07-18,2793.0,2820.0,2779.0,2811.0,525328
2016-07-19,2788.0,2811.0,2776.0,2806.0,566824
2016-07-20,2815.0,2819.0,2794.0,2810.0,547390
2016-07-21,2825.0,2825.0,2770.0,2770.0,654559
2016-07-22,2776.0,2776.0,2719.0,2735.0,813952
2016-07-25,2743.0,2749.0,2695.0,2711.0,619849
2016-07-26,2711.0,2730.0,2694.0,2716.0,367709
2016-07-27,2734.0,2748.0,2713.0,2718.0,352046
2016-07-28,2732.0,2738.0,2682.0,2686.0,501283
2016-07-29,2696.0,2707.0,2667.0,2691.0,985459
2016-08-01,2748.0,2856.0,2688.33,2737.0,794719
2016-08-02,2723.0,2760.0,2703.0,2718.0,544118
2016-08-03,2731.0,2858.0,2720.0,2830.0,1132696
2016-08-04,2844.0,2897.0,2826.0,2897.0,1095565
2016-08-05,2890.0,2932.0,2879.0,2913.0,835054
2016-08-08,2908.0,2925.0,2895.0,2903.0,648379
2016-08-09,2918.0,2953.0,2917.0,2945.0,663869
2016-08-10,2928.0,2951.0,2909.0,2930.0,656183
2016-08-11,2942.0,2950.0,2908.0,2949.0,474577
2016-08-12,2951.0,2995.0,2936.78,2992.0,392528
2016-08-15,3000.0,3010.0,2979.0,2997.0,397238
2016-08-16,2993.0,3007.0,2977.0,2982.0,505813
2016-08-17,3000.0,3009.0,2957.0,2972.0,422840
2016-08-18,2987.0,3012.0,2976.0,2991.0,447962
2016-08-19,2991.0,2997.0,2959.0,2979.0,320911
2016-08-22,2990.0,3003.0,2958.0,2983.0,331854
2016-08-23,3009.0,3017.0,2984.0,3001.0,257730
2016-08-24,2975.0,2988.0,2958.0,2968.0,365174
2016-08-25,2957.0,2971.4,2930.98,2952.0,406139
