Date,Open,High,Low,Close,Volume
2016-01-04,91.77,92.0,90.54,91.97,2966912
2016-01-05,92.01,92.85,91.41,92.34,1821298
2016-01-06,91.1,91.5,90.24,91.02,1673989
2016-01-07,89.4,91.4,88.71,89.11,2717802
2016-01-08,89.68,89.99,87.63,87.85,2263449
2016-01-11,88.07,89.8,87.84,89.38,2362163
2016-01-12,89.89,91.03,88.41,89.82,2370481
2016-01-13,90.59,91.44,87.99,88.3,3368108
2016-01-14,88.92,90.3,87.32,89.8,4052473
2016-01-15,86.84,89.35,86.82,89.17,3921494
2016-01-19,90.29,91.4,88.37,89.18,3673073
2016-01-20,87.69,88.76,84.67,87.94,3666116
2016-01-21,88.64,89.93,87.14,88.0,4298740
2016-01-22,89.55,89.93,88.48,89.63,5390102
2016-01-25,88.39,89.26,86.63,86.77,3935556
2016-01-26,87.26,87.58,85.47,86.89,2745685
2016-01-27,87.27,87.83,84.51,84.85,3041851
2016-01-28,85.54,85.74,82.7,84.52,5315530
2016-01-29,85.55,89.13,85.12,89.13,4652542
2016-02-01,88.16,90.24,87.9,89.61,2873859
2016-02-02,88.71,89.02,87.64,87.95,3060785
2016-02-03,88.91,89.25,86.67,87.99,3185670
2016-02-04,87.82,87.97,85.78,86.36,3407163
2016-02-05,85.5,85.5,77.83,79.2,10604630
2016-02-08,77.4,78.33,71.27,74.94,12905745
2016-02-09,74.76,77.19,73.04,73.85,6650767
2016-02-10,74.99,77.62,73.9,75.53,6461281
2016-02-11,74.04,75.53,73.58,74.94,4965850
2016-02-12,75.99,77.36,75.4,76.67,4354904
2016-02-16,77.13,79.2,77.13,78.88,4692928
2016-02-17,79.4,82.07,78.54,81.85,4444043
2016-02-18,82.3,82.82,80.14,80.53,3515594
2016-02-19,80.32,80.94,79.51,80.87,3926632
2016-02-22,82.09,84.16,82.05,83.8,3608935
2016-02-23,83.41,84.49,82.86,83.07,2947963
2016-02-24,82.22,83.53,80.93,83.42,2664444
2016-02-25,84.76,86.72,84.15,86.68,3274214
2016-02-26,87.11,87.48,84.1,86.6,3722020
2016-02-29,86.01,86.19,85.09,85.15,3156400
2016-03-01,85.92,88.4,84.59,88.37,3603947
2016-03-02,88.12,88.55,87.26,88.39,2863529
2016-03-03,88.5,88.5,85.85,87.21,3082086
2016-03-04,87.93,87.94,85.58,86.18,2999123
2016-03-07,85.58,85.96,84.05,85.11,3121338
2016-03-08,84.25,85.95,83.17,84.35,3227711
2016-03-09,84.88,85.29,83.25,85.27,2490147
2016-03-10,85.06,86.52,83.59,84.85,2968680
2016-03-11,85.2,86.23,84.63,86.0,2918043
2016-03-14,86.11,87.75,85.84,87.01,3752701
2016-03-15,86.4,87.19,86.22,86.83,2909597
2016-03-16,86.7,88.48,86.4,88.17,3365937
2016-03-17,88.66,90.21,87.25,89.96,6357164
2016-03-18,98.0,98.0,93.11,93.42,12516681
2016-03-21,92.69,93.27,91.33,92.5,4652037
2016-03-22,92.06,93.42,92.05,92.56,4470500
2016-03-23,92.62,92.94,91.93,92.16,2754370
2016-03-24,91.5,92.74,91.25,92.52,3260637
2016-03-28,92.68,92.83,91.9,92.4,2281578
2016-03-29,91.79,93.44,91.76,93.22,4248626
2016-03-30,93.63,94.48,92.98,93.78,6792295
2016-03-31,93.76,94.58,93.23,93.8,6556403
2016-04-01,93.33,95.47,92.77,95.16,3980008
2016-04-04,95.42,96.28,94.23,94.5,2394455
2016-04-05,93.32,94.77,93.22,94.17,2447727
2016-04-06,94.07,95.49,93.97,95.4,2702889
2016-04-07,94.72,94.89,93.19,93.78,2335578
2016-04-08,94.48,94.5,93.39,94.07,2063146
2016-04-11,94.43,94.81,92.84,92.95,2161182
2016-04-12,93.18,93.67,92.22,93.42,2077407
2016-04-13,93.82,94.6,93.69,94.53,2054010
2016-04-14,94.34,94.71,94.01,94.44,1764045
2016-04-15,94.66,95.22,94.16,95.16,2183677
2016-04-18,94.75,96.58,94.59,96.55,2172716
2016-04-19,97.0,97.69,95.13,96.52,2507115
2016-04-20,97.0,97.0,95.76,96.33,2711116
2016-04-21,96.21,97.14,95.76,96.37,2066874
2016-04-22,96.17,96.24,93.76,94.79,3788254
2016-04-25,94.38,96.04,94.22,95.8,2045352
2016-04-26,95.96,96.3,95.22,96.15,1416972
2016-04-27,95.72,95.99,94.53,95.64,2081229
2016-04-28,94.8,95.74,93.15,93.64,3497651
2016-04-29,92.89,94.58,92.32,94.22,3161169
2016-05-02,94.29,94.99,93.81,94.9,2329557
2016-05-03,94.07,94.39,93.09,93.66,1794271
2016-05-04,93.18,93.59,92.55,92.94,1706812
2016-05-05,93.1,94.22,92.92,93.5,1890230
2016-05-06,93.13,94.4,92.57,94.3,1462343
2016-05-09,94.0,95.19,93.87,94.61,1404660
2016-05-10,94.82,96.59,94.75,96.52,1808374
2016-05-11,96.26,97.26,96.04,96.1,1562692
2016-05-12,96.31,96.98,94.93,95.96,1198115
2016-05-13,95.62,97.21,95.37,95.97,2212131
2016-05-16,95.91,97.76,95.91,97.23,1917623
2016-05-17,96.81,97.35,95.75,95.93,3228449
2016-05-18,95.78,97.43,95.5,96.7,2006810
2016-05-19,96.41,96.94,95.25,95.88,1981657
2016-05-20,96.1,97.12,95.86,96.88,2217891
2016-05-23,96.71,97.42,96.5,96.62,1088541
2016-05-24,97.18,99.7,96.97,99.63,3011336
2016-05-25,99.91,99.99,98.8,99.61,1954455
2016-05-26,99.81,100.32,99.07,99.37,1942901
2016-05-27,99.52,100.14,98.9,100.14,1603635
2016-05-31,100.14,100.56,99.35,99.47,3480452
2016-06-01,99.24,100.4,98.93,100.04,1663280
2016-06-02,99.98,100.17,99.17,100.17,1761940
2016-06-03,99.52,99.52,97.89,98.7,2417036
2016-06-06,99.16,99.49,98.47,99.12,1395755
2016-06-07,99.51,99.67,98.47,98.52,2143943
2016-06-08,98.45,98.91,97.99,98.68,2078746
2016-06-09,98.36,98.7,97.85,98.07,1609440
2016-06-10,96.89,97.87,96.75,97.09,1863823
2016-06-13,96.87,98.08,96.7,96.96,2291495
2016-06-14,96.53,97.26,96.32,96.98,1889775
2016-06-15,97.01,97.83,96.9,97.02,2270369
2016-06-16,96.5,97.3,95.54,97.19,1952549
2016-06-17,97.25,97.39,95.36,95.58,4541519
2016-06-20,97.1,98.75,96.77,97.99,4310609
2016-06-21,98.64,99.92,98.13,99.72,6505094
2016-06-22,95.53,96.5,93.86,94.01,10280508
2016-06-23,94.73,96.28,94.31,96.21,3803197
2016-06-24,92.39,94.35,92.04,92.2,4329088
2016-06-27,91.36,92.03,90.35,90.85,3930483
2016-06-28,91.37,92.65,91.36,92.46,3319217
2016-06-29,92.91,94.62,92.68,94.39,2965452
2016-06-30,94.48,95.88,94.13,95.79,3544671
2016-07-01,95.04,97.14,95.0,95.32,3001885
2016-07-05,94.55,95.61,94.15,94.73,2314559
2016-07-06,94.53,95.48,94.06,95.18,1490514
2016-07-07,95.01,95.51,94.54,95.14,1576636
2016-07-08,95.93,96.86,95.34,96.79,2023889
2016-07-11,96.98,97.55,96.81,97.14,1732028
2016-07-12,97.25,97.79,96.7,97.54,2054394
2016-07-13,97.97,98.38,97.34,97.34,2125797
2016-07-14,98.0,98.14,97.46,97.7,1402541
2016-07-15,98.39,98.4,97.5,97.83,1530467
2016-07-18,97.74,98.53,97.58,97.79,1544201
2016-07-19,97.11,98.17,97.0,97.79,1796969
2016-07-20,98.16,98.89,97.85,98.4,1553788
2016-07-21,98.12,98.42,96.08,96.34,2579487
2016-07-22,96.71,98.24,96.09,98.06,2101787
2016-07-25,97.75,97.75,96.88,97.32,1815063
2016-07-26,97.81,98.42,97.0,97.91,2196454
2016-07-27,97.59,98.41,97.39,97.93,2312850
2016-07-28,97.92,98.61,97.57,98.44,1665971
2016-07-29,98.4,98.55,97.23,97.86,1786571
2016-08-01,97.75,98.16,97.22,97.72,1474723
2016-08-02,97.38,97.63,95.42,96.05,2352675
2016-08-03,96.06,96.68,95.65,96.67,2071189
2016-08-04,96.5,97.28,96.19,97.09,1282611
2016-08-05,97.36,99.08,97.15,99.04,1932246
2016-08-08,98.86,98.95,98.3,98.49,1107226
2016-08-09,98.71,99.22,98.47,98.87,1001894
2016-08-10,99.13,100.99,99.09,100.62,2670193
2016-08-11,100.85,101.93,100.59,101.67,2259559
2016-08-12,100.98,101.2,100.06,101.04,1713285
2016-08-15,101.38,101.63,100.88,100.93,1697642
2016-08-16,100.52,100.97,99.91,100.6,1649250
2016-08-17,100.65,100.81,99.45,99.7,2123885
2016-08-18,99.6,100.93,99.6,100.67,2027030
2016-08-19,100.31,100.6,99.72,100.32,1587902
2016-08-22,100.32,100.68,99.92,100.24,1000917
2016-08-23,100.46,101.28,100.24,101.14,1008572
2016-08-24,101.0,101.52,100.69,101.14,1425470
2016-08-25,101.15,101.79,100.91,101.69,1174109
2016-08-26,101.68,102.75,101.08,102.06,1834580
2016-08-29,101.85,102.68,101.4,102.3,1161560
2016-08-30,102.09,102.39,101.51,102.0,1325120
2016-08-31,101.66,102.6,101.51,102.31,1773004
2016-09-01,102.23,102.97,101.81,102.9,2006579
2016-09-02,103.49,104.16,102.94,103.57,1715379
2016-09-06,103.33,103.74,103.09,103.5,1585082
2016-09-07,103.47,103.51,102.58,103.0,1386851
2016-09-08,102.77,102.97,101.62,101.88,2110629
2016-09-09,100.97,101.28,99.38,99.38,3379338
