Date,Open,High,Low,Close,Volume
2016-01-04,54.24,54.47,53.63,54.44,2641089
2016-01-05,54.73,54.84,53.86,54.04,2689457
2016-01-06,53.07,53.54,51.43,51.74,3779652
2016-01-07,50.45,51.46,50.03,50.42,5162974
2016-01-08,50.74,51.55,49.98,49.98,3805221
2016-01-11,51.04,51.76,50.42,51.17,3437901
2016-01-12,51.55,52.22,50.97,51.65,2445896
2016-01-13,51.72,52.35,50.03,50.1,2381826
2016-01-14,50.54,51.06,49.91,50.5,3285786
2016-01-15,48.16,49.95,47.24,49.82,8216296
2016-01-19,50.33,50.98,48.49,49.39,3702517
2016-01-20,49.35,51.13,49.0,50.58,5059991
2016-01-21,51.51,51.68,50.11,50.53,3971992
2016-01-22,51.5,51.76,50.81,51.38,1767572
2016-01-25,51.27,51.52,50.77,51.05,2631065
2016-01-26,51.34,51.96,50.9,51.29,2356961
2016-01-27,51.03,52.21,50.82,51.28,2729094
2016-01-28,51.67,51.97,51.14,51.76,2693168
2016-01-29,52.07,53.94,51.33,53.86,3358324
2016-02-01,53.38,53.7,52.96,53.17,2283278
2016-02-02,52.04,52.66,51.27,51.34,3126037
2016-02-03,51.94,51.97,50.46,51.38,2425582
2016-02-04,51.21,52.15,50.89,51.67,1761894
2016-02-05,51.4,51.81,49.56,49.82,2458737
2016-02-08,49.25,49.68,48.29,49.16,2975487
2016-02-09,48.84,50.13,48.62,49.31,3062618
2016-02-10,49.71,50.06,48.92,48.96,1892574
2016-02-11,48.37,49.34,48.17,48.84,2402329
2016-02-12,49.6,49.8,48.68,49.64,3726385
2016-02-16,49.79,52.35,49.79,52.07,4456440
2016-02-17,51.12,53.98,51.12,52.73,3883131
2016-02-18,53.01,53.63,51.93,52.04,2164548
2016-02-19,51.88,52.41,51.67,52.1,2273936
2016-02-22,52.67,53.12,52.1,52.61,1756931
2016-02-23,52.46,52.73,51.39,51.46,1770539
2016-02-24,50.6,51.85,50.1,51.81,2689523
2016-02-25,53.06,53.12,51.43,52.99,2423296
2016-02-26,53.3,53.62,52.88,53.44,1758188
2016-02-29,53.46,53.95,52.99,52.99,1954884
2016-03-01,53.95,54.72,53.01,54.7,2182362
2016-03-02,54.72,55.71,54.6,55.41,2411309
2016-03-03,55.61,55.78,54.66,55.47,2070054
2016-03-04,55.67,56.21,55.11,55.78,2305947
2016-03-07,55.16,56.49,55.16,56.49,2180116
2016-03-08,55.98,56.21,55.06,55.34,2696282
2016-03-09,55.71,55.91,54.84,54.93,2209119
2016-03-10,55.46,55.81,54.42,55.12,1749675
2016-03-11,55.83,56.02,55.0,55.94,1759105
2016-03-14,55.57,56.22,55.26,55.67,1403020
2016-03-15,55.34,56.14,55.16,56.11,1986827
2016-03-16,55.72,56.89,55.67,56.86,1710227
2016-03-17,56.5,57.95,56.5,57.87,2493144
2016-03-18,57.87,59.06,57.73,59.01,4813014
2016-03-21,58.76,58.98,58.15,58.85,2571904
2016-03-22,58.68,58.82,57.98,58.52,1825578
2016-03-23,58.58,58.58,58.15,58.33,1696985
2016-03-24,58.05,58.65,57.67,58.64,1943189
2016-03-28,58.63,58.63,58.14,58.32,1454382
2016-03-29,58.05,59.0,57.89,58.8,1338476
2016-03-30,59.0,59.43,58.45,59.11,1298019
2016-03-31,58.91,59.45,58.69,59.19,1768566
2016-04-01,58.69,59.06,58.55,58.98,1391316
2016-04-04,58.97,59.05,58.6,58.76,936409
2016-04-05,58.43,58.86,58.29,58.48,1689380
2016-04-06,58.31,59.25,57.83,59.16,1396100
2016-04-07,58.79,59.07,57.99,58.36,1448273
2016-04-08,58.7,59.01,58.28,58.8,1822362
2016-04-11,59.09,59.64,58.57,58.6,1501447
2016-04-12,58.73,58.98,58.07,58.8,1456189
2016-04-13,59.18,59.85,58.81,59.8,1301533
2016-04-14,59.23,59.62,58.68,59.44,1558033
2016-04-15,59.39,59.39,58.64,58.66,2071704
2016-04-18,58.68,58.87,58.37,58.7,1665376
2016-04-19,58.61,58.78,57.76,58.23,1674798
2016-04-20,58.52,59.37,58.44,59.18,1812349
2016-04-21,59.05,59.14,58.48,58.81,1463342
2016-04-22,58.91,59.37,58.2,58.48,1938808
2016-04-25,58.45,58.89,57.75,58.43,1282404
2016-04-26,58.77,59.87,58.52,59.33,1770915
2016-04-27,58.5,59.76,58.21,59.64,1774829
2016-04-28,59.2,59.56,57.56,57.86,2470405
2016-04-29,57.6,57.63,55.88,56.32,2600091
2016-05-02,56.31,57.04,55.96,57.01,1700715
2016-05-03,56.33,56.72,56.08,56.23,1646574
2016-05-04,55.79,56.13,55.49,55.83,2338727
2016-05-05,55.98,56.21,55.42,55.69,1519426
2016-05-06,55.47,55.68,54.84,55.47,2664953
2016-05-09,55.69,56.09,55.18,55.23,2122425
2016-05-10,55.55,56.17,55.17,56.1,2618629
2016-05-11,56.05,56.52,55.68,55.75,1583555
2016-05-12,55.96,56.22,54.48,54.9,2272715
2016-05-13,54.76,55.32,54.33,54.72,1874591
2016-05-16,54.87,55.81,54.54,55.43,1891413
2016-05-17,55.31,56.02,55.25,55.37,2897295
2016-05-18,53.06,56.14,53.0,55.82,3217622
2016-05-19,55.67,56.03,55.03,55.7,1776826
2016-05-20,56.01,57.1,55.98,56.54,1928902
2016-05-23,56.77,57.44,56.61,56.76,1508972
2016-05-24,57.1,58.35,56.96,58.22,1631269
2016-05-25,57.95,58.39,57.81,58.27,1445388
2016-05-26,58.21,58.49,57.99,58.29,1033024
2016-05-27,58.35,58.72,58.13,58.44,1000763
2016-05-31,58.43,58.61,58.04,58.5,1348254
2016-06-01,58.11,58.77,58.1,58.65,1077070
2016-06-02,57.2,58.34,57.2,58.28,1708151
2016-06-03,58.56,58.56,57.78,58.11,1462897
2016-06-06,58.05,58.4,57.04,57.09,4243465
2016-06-07,57.48,57.95,56.88,57.79,3267937
2016-06-08,57.88,58.12,57.5,57.78,1241199
2016-06-09,57.57,57.61,57.2,57.56,1052725
2016-06-10,56.89,57.28,56.61,56.96,1364149
2016-06-13,56.86,57.55,56.7,56.87,1103170
2016-06-14,56.82,57.25,56.57,57.07,2202462
2016-06-15,57.26,57.29,56.73,56.87,2391117
2016-06-16,56.51,57.0,55.9,56.9,1088077
2016-06-17,56.85,56.85,55.61,55.99,2659052
2016-06-20,56.78,57.37,56.73,56.79,1850664
2016-06-21,56.99,57.16,56.65,57.06,1243623
2016-06-22,57.14,57.56,56.78,56.85,1718377
2016-06-23,57.52,58.12,57.32,58.11,1608860
2016-06-24,54.91,56.37,54.75,55.04,8489950
2016-06-27,53.86,54.18,52.17,52.55,3610791
2016-06-28,53.53,54.32,53.11,54.31,3244174
2016-06-29,54.69,55.65,54.61,55.62,2484805
2016-06-30,55.75,56.69,55.4,56.64,2573300
2016-07-01,56.15,56.92,55.84,56.63,1910891
2016-07-05,55.99,56.4,55.04,55.36,1711623
2016-07-06,55.15,55.6,54.55,55.46,1434020
2016-07-07,55.49,56.36,55.29,55.95,1382024
2016-07-08,56.51,57.79,56.43,57.74,2287085
2016-07-11,57.99,58.55,57.84,58.25,1788541
2016-07-12,58.68,59.03,58.26,58.99,1311340
2016-07-13,59.27,59.62,58.99,59.52,2478024
2016-07-14,60.0,60.18,59.67,60.02,1721921
2016-07-15,60.25,60.25,59.97,60.15,1985333
2016-07-18,60.5,60.83,60.26,60.43,1836765
2016-07-19,60.09,60.48,59.89,60.27,1366072
2016-07-20,60.43,60.92,60.15,60.69,1397803
2016-07-21,60.65,60.65,59.72,59.95,1379456
2016-07-22,60.05,60.44,59.66,60.4,823680
2016-07-25,60.49,60.59,60.2,60.53,1195634
2016-07-26,61.15,64.22,61.08,62.87,5045954
2016-07-27,66.78,66.91,62.95,63.33,14962962
2016-07-28,63.46,64.39,62.75,64.22,4724066
2016-07-29,64.2,64.44,63.5,63.83,3241859
2016-08-01,64.19,64.32,63.54,63.98,2669902
2016-08-02,63.78,63.84,62.49,62.84,2740483
2016-08-03,62.65,63.58,62.24,62.87,1899912
2016-08-04,63.07,63.39,62.7,63.34,1783760
2016-08-05,63.5,63.73,63.07,63.69,1843420
2016-08-08,63.83,63.94,63.29,63.44,1839219
2016-08-09,63.88,64.15,63.62,63.82,1933754
2016-08-10,64.0,64.0,63.16,63.79,2054856
2016-08-11,63.99,64.14,62.87,64.14,1325096
2016-08-12,64.06,64.36,63.77,64.24,1357770
2016-08-15,64.24,65.49,64.24,65.27,2534051
2016-08-16,65.15,65.15,64.59,64.88,2476438
2016-08-17,64.26,64.84,63.16,64.2,3247680
2016-08-18,64.3,64.85,63.75,64.13,2130647
2016-08-19,63.92,64.58,63.83,64.14,1965377
2016-08-22,64.4,64.41,63.75,63.84,1942015
2016-08-23,64.38,64.74,63.79,63.8,1935956
2016-08-24,63.59,63.84,62.7,62.7,2613121
2016-08-25,62.82,63.04,62.56,62.72,2336706
2016-08-26,63.0,63.53,62.57,62.96,2144860
2016-08-29,63.09,63.45,62.81,62.89,1512936
2016-08-30,63.06,63.35,62.65,62.9,1432509
2016-08-31,62.9,62.96,62.36,62.56,1860575
2016-09-01,62.1,63.07,61.6,63.06,1813998
2016-09-02,63.29,63.53,62.91,63.15,1989268
2016-09-06,63.24,63.43,62.51,62.73,1779421
2016-09-07,62.54,62.86,61.44,61.65,2215593
2016-09-08,61.66,61.8,61.12,61.41,2025771
2016-09-09,60.83,61.12,59.37,59.62,3609639
2016-09-12,59.13,60.67,59.01,60.62,2520706
2016-09-13,60.39,60.87,59.94,60.45,3161657
2016-09-14,60.51,61.18,60.12,60.92,1908652
2016-09-15,60.88,62.72,60.87,62.65,3235543
2016-09-16,62.77,62.85,61.46,62.05,2947780
2016-09-19,62.42,63.05,62.21,62.46,2167214
2016-09-20,62.69,62.91,62.25,62.34,2304243
2016-09-21,62.6,63.4,62.52,63.3,2042296
2016-09-22,63.89,64.02,63.37,63.68,2323994
2016-09-23,63.7,63.82,63.23,63.23,3185537
2016-09-26,62.79,62.98,62.22,62.28,3196399
2016-09-27,62.28,63.93,61.81,63.81,2551061
2016-09-28,64.02,64.13,63.27,63.93,2313234
2016-09-29,63.99,64.27,62.93,63.74,1820057
2016-09-30,64.14,64.98,63.41,64.45,3104694
2016-10-03,64.29,64.74,64.06,64.25,1921072
2016-10-04,64.21,64.93,63.98,64.24,1572049
2016-10-05,64.48,65.18,63.8,64.68,2089080
2016-10-06,64.6,64.83,64.04,64.74,1355332
2016-10-07,64.62,64.62,63.74,64.42,1852115
2016-10-10,64.78,64.88,63.34,63.35,2117272
2016-10-11,63.31,63.65,61.64,62.1,3533134
2016-10-12,62.15,62.16,60.7,61.19,3305068
2016-10-13,60.8,60.86,59.54,60.71,3570863
2016-10-14,61.11,62.71,60.97,62.06,3834677
2016-10-17,61.65,62.29,61.33,61.7,2475889
2016-10-18,62.33,62.84,62.02,62.14,2759160
2016-10-19,61.84,62.07,61.27,61.91,1380441
2016-10-20,62.28,63.68,61.67,63.47,4556524
2016-10-21,63.13,63.33,62.22,62.91,1827129
2016-10-24,63.53,64.05,63.44,64.02,1316285
2016-10-25,64.02,64.26,63.74,64.06,3077982
2016-10-26,63.57,63.75,63.1,63.44,2576590
2016-10-27,63.87,64.16,63.06,63.27,2067995
2016-10-28,63.45,64.29,63.35,63.53,2412153
2016-10-31,64.04,64.44,63.74,64.1,2175818
2016-11-01,64.4,64.4,62.84,63.6,3643421
2016-11-02,63.79,64.18,63.4,63.66,2359632
2016-11-03,63.75,64.03,63.34,63.85,2329504
2016-11-04,62.89,64.02,62.89,63.43,2136527
2016-11-07,64.53,64.55,63.96,64.36,2982679
2016-11-08,64.08,65.4,63.71,64.85,2224478
2016-11-09,63.08,65.29,62.5,64.97,2448840
2016-11-10,65.21,65.97,63.45,64.25,2189018
2016-11-11,64.29,65.44,64.1,65.32,2172195
2016-11-14,65.42,66.82,65.33,66.46,4326318
2016-11-15,66.73,68.49,66.47,68.21,3345093
2016-11-16,68.14,68.5,67.68,67.88,3532334
2016-11-17,67.89,68.32,67.38,68.21,1610762
2016-11-18,67.92,68.58,67.62,68.47,1580079
2016-11-21,68.75,69.91,68.71,69.82,3583465
2016-11-22,73.05,74.87,72.52,72.89,7844320
2016-11-23,73.67,74.11,72.61,73.59,5923012
2016-11-25,73.45,74.32,72.91,74.2,1998287
2016-11-28,74.01,74.46,73.53,74.16,3126685
2016-11-29,74.17,74.86,73.45,74.53,2917965
2016-11-30,74.36,74.75,73.62,74.24,3803292
2016-12-01,73.56,74.18,68.66,69.01,5518525
2016-12-02,68.66,70.26,68.42,70.11,3248119
2016-12-05,70.84,71.23,70.15,70.6,2445010
2016-12-06,71.02,71.5,70.26,71.0,2196847
2016-12-07,70.98,72.96,70.52,72.94,2648413
2016-12-08,72.99,74.25,72.75,73.88,2153639
2016-12-09,74.54,74.82,72.49,73.14,2106681
2016-12-12,72.85,73.26,72.2,72.9,2194622
2016-12-13,73.11,73.73,72.79,73.1,2171902
2016-12-14,73.23,73.43,72.29,72.54,2482166
2016-12-15,72.81,73.94,72.54,73.61,2165838
2016-12-16,73.77,74.0,71.97,72.09,5131290
2016-12-19,72.41,73.0,72.15,72.81,1947706
2016-12-20,72.92,73.59,72.81,73.4,1729600
2016-12-21,73.69,74.29,73.27,73.6,1868309
2016-12-22,73.89,73.95,73.01,73.45,1680836
2016-12-23,73.37,73.87,73.34,73.84,1229062
2016-12-27,73.81,74.62,73.81,74.31,897044
2016-12-28,74.54,74.6,73.53,73.56,1851038
2016-12-29,73.38,73.88,73.23,73.58,1330996
2016-12-30,73.8,74.02,72.39,72.62,1759059
2017-01-03,72.6,74.13,72.09,72.5,2687647
2017-01-04,72.77,73.03,72.25,72.36,1970972
2017-01-05,72.41,72.61,71.28,71.32,2067347
2017-01-06,71.58,71.95,71.0,71.6,2069899
2017-01-09,71.64,72.51,71.52,71.94,2399482
2017-01-10,71.87,72.51,71.85,72.35,2403211
2017-01-11,72.27,72.66,72.07,72.62,1581704
2017-01-12,72.42,72.42,71.0,72.22,2099204
2017-01-13,72.36,72.88,72.12,72.67,1509448
2017-01-17,72.23,73.41,71.85,72.28,2374615
2017-01-18,72.64,73.63,72.22,73.01,2107097
2017-01-19,72.88,73.39,72.29,72.44,1988799
2017-01-20,72.09,73.65,72.09,72.88,1811606
2017-01-23,72.74,73.24,72.41,72.78,2205565
2017-01-24,73.01,73.68,72.56,73.51,3312910
2017-01-25,74.68,75.59,74.51,74.54,3944255
2017-01-26,74.37,74.54,73.77,74.2,4172570
2017-01-27,74.55,76.94,74.25,76.93,3820728
2017-01-30,76.76,76.76,75.23,76.28,2477104
2017-01-31,76.14,76.19,74.6,74.94,2610137
2017-02-01,75.76,76.73,75.42,76.17,2589106
2017-02-02,75.66,76.03,75.14,75.23,2490038
2017-02-03,75.52,75.73,75.26,75.52,2143141
2017-02-06,75.65,75.65,74.94,75.53,1789190
2017-02-07,75.69,76.58,75.39,76.31,2136116
2017-02-08,77.0,77.75,76.78,77.48,3397804
2017-02-09,77.77,77.77,76.48,76.51,2192298
2017-02-10,76.78,76.78,75.54,76.53,1668587
2017-02-13,77.01,78.03,76.81,77.92,2637630
2017-02-14,77.84,77.97,77.07,77.84,2589583
2017-02-15,80.8,81.63,77.96,81.6,7032662
2017-02-16,81.0,82.57,80.75,81.97,3465020
2017-02-17,81.8,82.5,81.48,82.48,2933246
2017-02-21,82.5,82.87,81.99,82.82,2375575
2017-02-22,82.31,82.39,81.52,82.06,3680283
2017-02-23,82.15,82.16,81.03,81.61,2277865
2017-02-24,80.97,81.7,80.82,81.68,2841133
