Date,Open,High,Low,Close,Volume
2016-01-04,285.4,287.48,279.0,282.0,3658918
2016-01-05,274.9,277.5,264.5,275.2,8203876
2016-01-06,274.1,275.37,266.2,270.0,4897991
2016-01-07,255.0,256.5,244.8,249.0,7980424
2016-01-08,250.0,257.0,248.94,252.38,7141680
2016-01-11,248.9,254.5,248.2,249.9,5633910
2016-01-12,251.5,251.5,244.2,244.3,5603485
2016-01-13,245.6,251.72,241.3,243.0,5371504
2016-01-14,240.0,240.4,231.4,232.5,7344714
2016-01-15,231.8,233.1,222.5,226.4,6371688
2016-01-18,226.3,231.4,223.0,223.6,3873597
2016-01-19,227.1,233.9,226.6,228.3,4080829
2016-01-20,224.4,225.7,214.7,216.5,4139157
2016-01-21,218.5,227.3,217.0,225.7,6034062
2016-01-22,231.6,236.5,228.2,232.1,4955934
2016-01-25,234.4,234.55,224.1,225.7,3714866
2016-01-26,221.9,234.0,218.2,232.8,4809768
2016-01-27,237.9,245.21,230.0,240.0,7734839
2016-01-28,238.0,244.1,232.0,237.0,7019508
2016-01-29,240.9,247.3,239.7,246.5,6815845
2016-02-01,248.2,248.2,241.0,245.0,6371377
2016-02-02,243.4,246.24,233.9,235.0,8128023
2016-02-03,234.5,235.0,220.3,227.61,8732788
2016-02-04,228.0,243.0,227.7,240.5,8531379
2016-02-05,241.7,248.1,237.6,242.5,5280495
2016-02-08,244.3,244.9,229.0,230.1,4568524
2016-02-09,229.4,234.3,221.6,225.5,5721206
2016-02-10,231.3,237.6,224.7,226.0,6616598
2016-02-11,223.0,224.2,208.5,209.3,12005860
2016-02-12,212.2,220.4,211.2,220.4,5153482
2016-02-15,225.0,231.2,224.82,228.8,3480295
2016-02-16,230.5,231.5,220.54,226.5,3093976
2016-02-17,227.3,245.3,226.42,245.3,6126518
2016-02-18,246.1,247.2,240.5,242.8,4380159
2016-02-19,243.6,246.69,236.6,238.6,4713614
2016-02-22,240.3,248.1,240.1,247.2,2584971
2016-02-23,243.5,247.7,234.4,235.2,6001392
2016-02-24,234.7,235.1,225.0,227.0,4932389
2016-02-25,230.1,235.2,228.4,233.5,3621872
2016-02-26,236.2,244.1,234.36,241.9,4691269
2016-02-29,239.6,243.4,237.8,241.4,4520826
2016-03-01,240.7,247.8,239.8,247.2,4996930
2016-03-02,252.2,261.8,249.96,261.7,7481159
2016-03-03,262.1,275.4,262.1,270.2,6658709
2016-03-04,271.3,288.4,269.5,286.0,6648416
2016-03-07,286.0,286.9,273.3,281.2,7244495
2016-03-08,275.5,281.5,274.1,275.7,6118609
2016-03-09,277.6,279.3,266.0,270.5,5424149
2016-03-10,270.7,279.6,264.8,264.8,6064863
2016-03-11,269.0,272.0,265.3,270.3,4566096
2016-03-14,271.0,290.19,269.1,289.2,7673335
2016-03-15,287.2,287.6,280.3,280.8,4644209
2016-03-16,282.0,282.1,272.67,276.7,5099629
2016-03-17,283.0,290.0,280.9,289.0,7386210
2016-03-18,289.7,297.3,288.2,292.3,26714499
2016-03-21,288.6,290.52,283.7,285.0,3485132
2016-03-22,284.8,285.8,273.4,281.0,6970098
2016-03-23,280.6,282.7,267.4,270.4,4493576
2016-03-24,266.7,269.7,250.3,254.4,5172914
2016-03-29,255.2,262.6,254.4,256.6,3869746
2016-03-30,261.2,282.2,260.33,279.2,6989738
2016-03-31,276.4,282.1,272.9,277.4,4400571
2016-04-01,269.8,278.0,265.1,269.9,3942448
2016-04-04,268.0,276.1,268.0,275.5,3873714
2016-04-05,274.0,274.0,260.0,261.9,4091396
2016-04-06,264.6,269.7,257.8,261.8,4419930
2016-04-07,261.1,266.0,255.0,256.0,3202677
2016-04-08,257.1,266.5,257.1,263.6,2699632
2016-04-11,263.4,269.6,262.2,268.9,3100909
2016-04-12,268.4,276.2,267.05,275.8,5054942
2016-04-13,277.6,297.6,273.33,295.0,7840114
2016-04-14,295.9,305.3,295.0,305.3,6465352
2016-04-15,306.2,308.9,300.6,306.8,3751466
2016-04-18,302.0,311.5,298.54,311.3,3502188
2016-04-19,311.7,323.9,311.7,315.7,6457736
2016-04-20,312.7,314.9,309.4,310.0,4374673
2016-04-21,310.5,312.6,305.2,308.1,3813662
2016-04-22,307.2,308.84,303.26,307.4,2232139
2016-04-25,306.3,310.1,303.32,309.3,2788263
2016-04-26,304.3,305.1,295.0,295.0,4166627
2016-04-27,295.0,299.52,295.0,297.7,3156125
2016-04-28,299.1,304.3,293.08,304.3,3026727
2016-04-29,302.9,306.58,297.7,298.7,3028689
2016-05-03,295.6,296.0,267.47,276.7,10941701
2016-05-04,276.0,278.0,263.6,265.5,5985455
2016-05-05,266.5,271.2,264.7,266.4,3408589
2016-05-06,265.0,270.9,262.8,266.5,4452256
