Date,Open,High,Low,Close,Volume
2016-01-04,60.01,60.54,59.24,60.31,2067178
2016-01-05,60.39,60.8,60.01,60.39,1323627
2016-01-06,59.46,59.8,58.95,59.54,3306268
2016-01-07,58.36,58.69,55.97,55.98,3927892
2016-01-08,56.17,56.46,54.6,55.06,2376784
2016-01-11,55.3,55.55,54.07,55.23,2020662
2016-01-12,55.51,56.5,54.55,54.79,2439184
2016-01-13,55.07,55.07,49.85,50.87,9246134
2016-01-14,51.04,52.86,50.15,52.65,4152566
2016-01-15,50.99,51.36,48.95,49.4,5784798
2016-01-19,49.4,49.89,47.08,47.59,3469042
2016-01-20,46.81,48.45,45.12,47.9,3554803
2016-01-21,47.98,48.55,46.94,47.87,2410513
2016-01-22,48.64,49.34,48.36,49.03,1820110
2016-01-25,48.81,49.19,47.86,47.97,1681145
2016-01-26,48.29,48.67,47.39,48.42,2046396
2016-01-27,48.34,48.9,46.24,46.49,3287152
2016-01-28,46.95,47.4,45.04,45.27,3138841
2016-01-29,45.72,46.83,45.34,46.82,2265278
2016-02-01,46.65,47.98,46.04,47.65,2157510
2016-02-02,47.0,47.47,45.63,45.89,1810163
2016-02-03,49.9,50.9,47.73,49.56,6833698
2016-02-04,49.46,50.74,48.62,49.51,2378625
2016-02-05,48.98,49.24,45.82,46.17,3473847
2016-02-08,45.58,45.76,42.24,43.45,3005390
2016-02-09,42.45,44.55,41.6,42.64,3185137
2016-02-10,43.27,44.44,42.89,43.72,2508794
2016-02-11,42.8,43.69,41.85,43.26,2499358
2016-02-12,43.73,45.04,43.01,44.92,1877501
2016-02-16,44.98,45.92,44.22,44.89,2585708
2016-02-17,45.34,47.07,45.34,46.67,1903938
2016-02-18,46.79,48.2,46.77,47.75,2833725
2016-02-19,47.58,50.34,47.4,49.91,3658403
2016-02-22,49.9,50.77,49.47,50.35,2234216
2016-02-23,49.92,50.63,49.28,49.69,1961933
2016-02-24,49.25,49.65,48.22,49.18,6582872
2016-02-25,49.49,50.28,48.75,49.42,8654180
2016-02-26,50.93,51.88,49.25,51.19,10965137
2016-02-29,50.98,52.58,50.95,51.74,3011206
2016-03-01,52.4,54.36,52.12,54.31,2822908
2016-03-02,54.02,54.43,53.65,54.41,1423739
2016-03-03,54.09,54.82,53.5,54.79,1445668
2016-03-04,55.25,57.12,55.02,56.25,2790908
2016-03-07,55.87,58.34,55.42,58.17,2631774
2016-03-08,57.67,57.94,56.03,56.86,2408685
2016-03-09,57.13,57.42,55.85,56.69,2179569
2016-03-10,57.0,57.0,54.57,55.95,2404867
2016-03-11,56.9,57.2,56.3,56.61,3418409
2016-03-14,56.21,56.95,55.98,56.7,2004498
2016-03-15,56.45,56.46,55.54,56.32,1511331
2016-03-16,56.22,57.5,55.94,56.97,2273739
2016-03-17,56.92,57.34,56.39,57.06,1590220
2016-03-18,57.69,58.61,57.3,57.81,2485824
2016-03-21,57.69,58.22,57.07,58.17,1382842
2016-03-22,57.8,58.6,57.03,57.98,1295139
2016-03-23,57.9,58.37,57.16,57.29,1496600
2016-03-24,56.96,57.53,56.18,57.37,1149825
2016-03-28,57.31,57.6,56.35,57.11,1121271
2016-03-29,56.74,58.41,56.26,58.23,986467
2016-03-30,58.52,59.34,57.79,57.9,1349282
2016-03-31,57.83,58.62,57.47,58.31,1340660
2016-04-01,56.57,57.84,55.34,57.77,3740998
2016-04-04,57.8,58.57,57.01,58.19,1312229
2016-04-05,57.62,57.96,56.99,57.11,1138059
2016-04-06,57.06,57.8,56.47,57.78,1626918
2016-04-07,57.36,57.51,56.32,56.39,1435730
2016-04-08,56.85,57.33,56.46,56.76,1161361
2016-04-11,57.07,57.88,56.77,56.87,1298442
2016-04-12,56.98,57.13,55.07,55.92,2392579
2016-04-13,56.26,57.84,55.97,57.71,1562267
2016-04-14,57.76,58.4,57.41,58.08,990518
2016-04-15,58.0,58.52,57.44,58.42,1791322
2016-04-18,58.22,59.19,58.12,59.14,1278366
2016-04-19,59.18,59.44,58.68,59.13,1159681
2016-04-20,59.17,59.84,58.86,59.39,1269988
2016-04-21,59.44,60.49,59.42,60.07,1754940
2016-04-22,60.13,60.29,59.18,59.54,1007919
2016-04-25,59.36,60.0,59.31,59.99,1337668
2016-04-26,60.0,61.02,59.92,61.01,1644409
2016-04-27,61.0,62.42,60.84,61.4,2429804
2016-04-28,60.81,62.34,60.72,61.39,2487665
2016-04-29,60.93,61.24,59.14,59.82,1741530
2016-05-02,60.0,61.42,59.47,61.37,1318509
2016-05-03,60.87,61.2,59.7,60.34,1797135
2016-05-04,59.93,60.02,58.36,58.73,2035427
2016-05-05,59.07,59.39,58.34,58.46,1473754
2016-05-06,58.44,59.82,58.03,58.66,2084412
2016-05-09,58.67,59.34,58.49,58.79,1605679
2016-05-10,58.91,59.66,58.89,59.57,2507050
2016-05-11,59.42,59.73,59.02,59.03,1875619
2016-05-12,59.26,59.58,57.23,58.06,1640458
2016-05-13,57.86,58.78,57.62,57.87,1561251
2016-05-16,57.94,59.36,57.78,59.08,2768190
2016-05-17,58.93,59.28,57.87,57.98,1877180
2016-05-18,57.84,58.35,57.31,57.76,2453707
2016-05-19,57.69,58.24,56.83,57.52,2233421
2016-05-20,57.3,57.98,55.35,56.19,4816156
2016-05-23,56.18,57.25,55.89,56.96,3311033
2016-05-24,57.25,58.55,57.17,58.46,1980765
2016-05-25,58.75,59.94,58.75,58.91,2025519
2016-05-26,58.87,59.12,57.9,58.11,1460681
2016-05-27,58.2,59.37,58.2,59.34,1909719
2016-05-31,59.6,59.67,57.74,58.27,3000833
2016-06-01,57.97,58.74,57.95,58.3,1506323
2016-06-02,58.23,58.77,57.75,58.76,1032141
2016-06-03,58.56,58.61,57.36,58.29,1172759
2016-06-06,58.42,58.83,58.14,58.67,1606677
2016-06-07,58.63,59.0,58.25,58.68,1354395
2016-06-08,58.64,58.82,58.21,58.53,796424
2016-06-09,58.23,58.45,57.66,57.79,893517
2016-06-10,57.12,57.44,56.1,56.18,1470975
2016-06-13,55.92,56.86,55.8,55.89,1333688
2016-06-14,55.76,55.94,55.29,55.71,1443429
2016-06-15,55.98,56.94,55.71,56.61,1452147
2016-06-16,56.16,56.87,55.71,56.77,1437504
2016-06-17,56.74,56.99,56.07,56.68,2216994
2016-06-20,57.47,58.2,57.28,57.56,1080177
2016-06-21,57.76,58.2,57.39,58.07,1078406
2016-06-22,57.72,58.29,57.33,57.38,1071480
2016-06-23,58.01,59.07,57.75,59.06,1410187
2016-06-24,56.01,56.67,53.85,54.04,4567322
2016-06-27,53.34,53.54,49.82,50.54,4721108
2016-06-28,51.12,51.96,50.42,51.48,2461324
2016-06-29,51.82,53.68,51.55,53.22,2449719
2016-06-30,53.3,54.14,52.99,54.14,1875376
2016-07-01,54.12,55.22,53.6,54.34,1497048
2016-07-05,53.92,53.98,52.32,52.8,1223895
2016-07-06,52.52,53.09,51.89,52.96,1115396
2016-07-07,53.13,53.6,52.94,53.53,1143763
2016-07-08,53.9,55.28,53.73,55.14,1285500
2016-07-11,55.62,55.96,55.44,55.49,919343
2016-07-12,55.91,57.53,55.77,57.38,1758977
2016-07-13,57.57,58.0,56.84,56.87,1621805
2016-07-14,57.57,58.28,56.9,58.16,1840717
2016-07-15,58.4,58.44,57.44,57.98,1325089
2016-07-18,57.91,58.42,57.4,58.01,1204315
2016-07-19,57.87,58.15,57.34,57.52,861702
2016-07-20,57.85,58.63,57.38,58.27,1987442
2016-07-21,58.12,58.88,57.54,57.58,1176398
2016-07-22,57.83,58.91,57.46,58.78,710677
2016-07-25,58.75,58.99,58.11,58.22,870299
2016-07-26,58.18,58.93,58.06,58.75,936539
2016-07-27,58.75,59.78,58.5,59.62,1543615
2016-07-28,59.49,60.25,59.12,59.45,942911
2016-07-29,59.5,59.67,58.64,59.45,1194477
2016-08-01,59.33,59.93,59.01,59.74,1304641
2016-08-02,59.53,59.58,57.34,57.87,1389452
2016-08-03,57.78,58.4,56.8,57.95,2727538
2016-08-04,58.09,58.87,57.96,58.25,1631293
2016-08-05,58.44,59.48,58.25,59.33,1729356
2016-08-08,59.46,59.88,59.26,59.37,1297562
2016-08-09,59.52,60.5,59.4,60.34,1518387
2016-08-10,60.31,60.39,59.81,60.3,893671
2016-08-11,60.49,61.75,58.78,61.71,1629216
2016-08-12,61.36,61.96,60.95,61.83,1337432
2016-08-15,61.9,63.21,61.4,62.98,1576635
2016-08-16,62.91,63.26,62.61,62.65,1609969
2016-08-17,62.59,62.85,61.99,62.79,1124239
2016-08-18,62.89,63.76,62.72,63.5,1951122
2016-08-19,63.34,63.84,62.6,63.74,1380800
2016-08-22,63.33,63.59,62.68,63.29,1192688
2016-08-23,63.62,64.0,63.32,63.46,1554989
2016-08-24,63.31,63.79,62.96,63.17,1498740
2016-08-25,63.21,63.92,63.0,63.7,3075495
2016-08-26,66.0,69.21,65.06,68.87,6591406
2016-08-29,68.5,68.89,67.86,68.32,3127566
2016-08-30,67.8,68.75,67.52,68.03,2403324
2016-08-31,67.85,68.05,67.01,67.4,2264582
2016-09-01,67.42,67.67,66.78,67.37,1299821
2016-09-02,67.93,68.48,67.6,68.01,1113286
2016-09-06,68.2,68.2,67.05,67.69,1775543
2016-09-07,67.58,68.76,67.57,68.6,1956620
2016-09-08,68.41,69.15,68.16,68.81,1640543
2016-09-09,68.17,68.65,66.84,66.84,2205537
2016-09-12,65.92,67.47,65.39,67.35,2676075
2016-09-13,66.31,66.9,65.36,65.78,2290076
2016-09-14,65.76,66.24,65.06,65.51,1843715
2016-09-15,65.7,67.4,65.5,67.39,2290616
2016-09-16,66.9,67.99,66.36,67.6,7049208
2016-09-19,67.95,69.2,67.65,68.13,2029703
