Date,Open,High,Low,Close,Volume
2016-01-04,460.0,460.0,443.1,445.7,2213360
2016-01-05,452.5,458.3,438.1,446.9,2773695
2016-01-06,442.3,442.3,423.1,433.7,1879763
2016-01-07,417.1,417.9,402.4,410.6,3709913
2016-01-08,408.1,418.9,396.9,398.3,2536402
2016-01-11,394.0,405.5,386.8,387.7,3769853
2016-01-12,383.0,397.9,372.5,374.1,4264579
2016-01-13,380.0,386.0,366.8,368.8,3695464
2016-01-14,367.3,379.69,354.4,372.9,7294753
2016-01-15,367.5,368.6,348.6,350.6,4246894
2016-01-18,350.6,356.6,343.1,350.0,3952258
2016-01-19,358.9,370.0,352.2,355.5,4071319
2016-01-20,344.5,354.2,340.6,346.1,3879714
2016-01-21,345.8,366.0,343.4,365.4,3004821
2016-01-22,399.0,399.2,369.2,372.2,5762125
2016-01-25,374.3,374.4,359.6,363.2,4076195
2016-01-26,353.5,381.4,350.4,378.0,5178969
2016-01-27,369.1,376.7,358.0,375.4,5002505
2016-01-28,376.8,393.1,374.0,384.0,6038578
2016-01-29,391.0,391.9,364.3,380.2,4264166
2016-02-01,380.0,383.0,364.7,374.0,3586978
2016-02-02,372.2,373.6,359.3,365.5,4328111
2016-02-03,365.7,379.0,361.1,375.6,4107959
2016-02-04,391.0,445.1,389.5,430.3,6760905
2016-02-05,427.9,449.9,417.2,446.3,6231743
2016-02-08,449.4,456.7,426.0,453.4,6212523
2016-02-09,431.1,439.1,406.2,410.9,6128196
2016-02-10,411.0,420.2,394.1,398.4,4507681
2016-02-11,392.0,399.6,373.0,389.5,4856366
2016-02-12,390.6,433.8,390.6,433.3,4484286
2016-02-15,444.0,449.5,430.79,442.8,3103677
2016-02-16,448.8,456.4,426.3,440.6,2779407
2016-02-17,440.9,478.7,434.6,478.4,4387009
2016-02-18,480.7,486.5,463.4,477.3,3878916
2016-02-19,473.0,481.0,468.3,480.5,2543888
2016-02-22,488.0,520.0,488.0,516.5,2044277
2016-02-23,510.5,511.0,492.7,496.6,3111352
2016-02-24,495.1,495.1,467.8,476.5,3739262
2016-02-25,479.8,490.9,472.3,477.6,2611606
2016-02-26,473.7,489.0,473.7,484.4,3092259
2016-02-29,476.8,501.0,475.2,494.0,3662407
2016-03-01,490.6,511.5,483.5,490.4,2977220
2016-03-02,519.5,519.5,500.0,508.0,4778079
2016-03-03,512.5,531.99,503.0,511.0,3018186
2016-03-04,520.5,552.0,520.5,550.5,3916118
2016-03-07,548.0,594.5,533.5,592.5,4519674
2016-03-08,581.0,581.0,527.5,536.5,4908984
2016-03-09,535.5,542.0,518.5,534.5,3154947
2016-03-10,533.5,541.5,506.0,509.5,4457803
2016-03-11,514.5,525.0,506.0,524.0,2972033
2016-03-14,529.5,550.0,520.5,537.5,3305105
2016-03-15,480.5,518.5,476.7,513.5,5856214
2016-03-16,510.0,515.0,478.5,496.4,4567475
2016-03-17,506.5,550.5,506.5,537.5,4986511
2016-03-18,539.5,544.0,509.0,514.5,6156570
2016-03-21,506.5,507.5,493.1,495.7,4054192
2016-03-22,492.8,502.16,487.4,497.7,2801328
2016-03-23,491.2,497.1,476.7,482.2,3319578
2016-03-24,472.0,474.1,456.3,469.4,2585435
2016-03-29,472.5,476.4,451.5,454.0,2467925
2016-03-30,459.4,476.6,459.1,469.7,3774202
2016-03-31,469.0,485.3,458.7,469.4,4918641
2016-04-01,465.0,472.3,446.3,453.9,4828398
2016-04-04,452.7,457.6,441.0,444.2,4027296
2016-04-05,435.6,453.68,427.0,432.7,3988476
2016-04-06,435.8,443.8,434.2,438.5,5797448
2016-04-07,438.0,443.3,426.3,426.9,5305345
2016-04-08,430.9,438.8,424.7,433.7,2937660
2016-04-11,431.2,442.2,427.6,439.3,2845283
2016-04-12,441.7,448.4,439.6,446.5,3077107
2016-04-13,455.3,470.5,447.9,469.5,5656481
2016-04-14,465.5,473.21,454.6,465.0,4648056
2016-04-15,462.3,472.2,454.0,471.0,3999711
2016-04-18,463.2,465.4,451.7,458.2,3273993
2016-04-19,462.3,497.5,458.37,492.8,4552954
2016-04-20,488.4,513.5,465.23,500.0,3646238
2016-04-21,510.0,516.0,478.1,486.1,3984005
