Date,Open,High,Low,Close,Volume
2016-01-04,1015.0,1019.14,996.0,1004.0,2996517
2016-01-05,1010.0,1015.4,992.0,1004.0,2770134
2016-01-06,982.0,984.0,962.5,974.0,4333538
2016-01-07,955.0,972.5,939.0,968.0,3665328
2016-01-08,963.5,967.0,943.5,943.5,4304893
2016-01-11,943.0,962.5,941.0,953.0,3381272
2016-01-12,961.5,986.5,956.0,980.0,4353593
2016-01-13,992.5,996.0,977.5,983.0,3337152
2016-01-14,970.5,971.0,949.5,961.0,3427693
2016-01-15,960.0,971.5,926.5,933.0,4558502
2016-01-18,930.0,955.5,930.0,949.0,2296976
2016-01-19,970.0,974.5,949.2,964.0,3482974
2016-01-20,949.0,955.5,932.39,948.0,3872683
2016-01-21,955.0,969.5,947.0,967.5,3080999
2016-01-22,986.5,1003.0,980.0,995.5,2435719
2016-01-25,1007.0,1026.0,1003.0,1010.0,4230901
2016-01-26,999.0,1020.0,992.5,1015.0,2453731
2016-01-27,1005.0,1007.0,986.5,995.5,4445628
2016-01-28,989.0,990.5,952.0,953.5,3836320
2016-01-29,952.0,993.0,948.83,993.0,5156659
2016-02-01,1007.0,1013.0,997.0,1011.0,2647165
2016-02-02,1003.0,1005.0,978.0,981.0,2764494
2016-02-03,995.5,1023.0,978.5,986.5,5099294
2016-02-04,994.0,1012.0,981.0,1001.0,3636474
2016-02-05,1005.0,1009.15,980.5,983.0,3504371
2016-02-08,981.5,982.0,919.0,920.0,6067744
2016-02-09,925.0,952.0,924.5,940.0,5587645
2016-02-10,935.0,949.0,879.5,899.0,8931601
2016-02-11,858.5,873.0,831.64,860.5,8609231
2016-02-12,870.5,888.02,866.5,885.5,5439986
2016-02-15,900.0,908.0,891.5,893.0,2137012
2016-02-16,900.0,908.5,890.5,898.0,3088525
2016-02-17,903.5,932.5,901.5,930.0,4160315
2016-02-18,930.5,947.0,921.85,932.0,3229960
2016-02-19,934.5,943.5,929.5,937.0,3760359
2016-02-22,930.0,952.0,929.47,943.0,1857159
2016-02-23,949.5,960.0,942.0,950.5,3264373
2016-02-24,953.5,957.1,935.5,940.0,4627852
2016-02-25,947.5,957.0,940.0,950.0,2926154
2016-02-26,960.0,979.5,958.5,977.5,2671583
2016-02-29,970.0,996.0,968.5,996.0,2993854
2016-03-01,990.5,1015.0,990.0,1015.0,4133053
2016-03-02,1018.0,1030.3,1013.0,1020.0,2380622
2016-03-03,1015.0,1029.17,1012.0,1019.0,2077348
2016-03-04,1023.0,1025.0,1007.0,1017.0,2629095
2016-03-07,1009.0,1012.26,996.5,1006.0,2871738
2016-03-08,985.0,991.5,979.5,986.0,3476667
2016-03-09,984.0,988.0,978.5,982.0,2955305
2016-03-10,985.0,998.5,968.0,968.0,4365505
2016-03-11,981.0,996.5,978.5,983.0,2847293
2016-03-14,986.0,1003.0,981.5,989.0,2000867
2016-03-15,985.0,992.5,982.0,986.5,2178803
2016-03-16,992.0,1009.0,990.0,1009.0,2625241
2016-03-17,1013.0,1021.0,1001.0,1008.0,3363442
2016-03-18,1009.0,1023.0,1006.0,1010.0,4535110
2016-03-21,1004.0,1020.0,1001.0,1009.0,1655263
2016-03-22,1005.0,1021.0,998.5,1016.0,2437456
2016-03-23,1019.0,1025.08,1012.0,1016.0,1944980
2016-03-24,1006.0,1011.0,997.5,1002.0,1683652
2016-03-29,1003.0,1009.5,996.0,1009.0,1904116
2016-03-30,1020.0,1025.0,1013.0,1024.0,2015005
2016-03-31,1024.0,1024.0,1008.0,1014.0,2277000
2016-04-01,1005.0,1027.32,1005.0,1026.0,2435337
2016-04-04,1030.0,1040.0,1023.0,1028.0,2085655
2016-04-05,1018.0,1029.46,1015.0,1023.0,1965255
2016-04-06,1027.0,1032.0,1020.0,1029.0,1907957
2016-04-07,1034.0,1050.0,1034.0,1042.0,2360886
2016-04-08,1046.0,1050.36,1041.92,1046.0,1970108
2016-04-11,1039.0,1044.0,1030.28,1033.0,1468619
2016-04-12,1029.0,1031.0,1017.0,1026.0,1736913
2016-04-13,1034.0,1040.0,1018.47,1035.0,2358502
2016-04-14,1036.0,1037.0,1006.0,1008.0,3207847
2016-04-15,1005.0,1005.0,976.5,990.0,5149596
2016-04-18,970.0,974.0,952.0,952.0,5530732
2016-04-19,948.5,966.0,945.97,964.0,3799165
2016-04-20,977.0,1013.0,954.0,954.0,6390712
2016-04-21,953.0,956.58,932.0,936.0,3839073
2016-04-22,931.0,936.5,924.92,935.0,2707650
2016-04-25,935.0,935.5,924.0,930.0,3628836
2016-04-26,925.0,933.68,912.06,927.5,3704769
2016-04-27,925.5,953.0,915.5,947.0,6224736
2016-04-28,951.5,965.0,940.0,965.0,5878972
2016-04-29,953.0,957.0,937.5,937.5,5130805
2016-05-03,933.5,946.0,930.0,933.5,5142853
2016-05-04,933.0,941.0,931.0,936.5,3349693
2016-05-05,933.5,942.5,927.0,942.5,3498931
2016-05-06,935.5,940.5,931.0,931.0,3725227
2016-05-09,936.5,958.0,936.5,950.0,2840229
2016-05-10,954.5,958.87,943.5,950.0,3118787
2016-05-11,946.0,953.0,940.5,946.0,2875377
2016-05-12,942.0,947.0,905.0,908.0,4156730
2016-05-13,906.5,924.0,902.0,921.5,3629376
2016-05-16,915.5,939.0,913.0,935.5,2760328
2016-05-17,936.5,939.5,924.5,928.0,3759501
2016-05-18,923.0,947.5,920.0,946.0,4021549
2016-05-19,936.5,939.34,923.5,925.0,3826718
2016-05-20,934.5,946.0,930.5,944.5,4065310
2016-05-23,956.0,973.5,950.13,963.0,4822170
2016-05-24,964.5,971.44,952.22,967.0,3560003
2016-05-25,976.5,979.0,969.5,974.5,2463114
2016-05-26,971.5,982.0,970.5,978.0,2163307
2016-05-27,978.0,984.0,973.0,982.0,3127601
2016-05-31,984.0,990.16,973.0,987.0,3732162
2016-06-01,985.5,989.5,966.5,978.0,3404433
2016-06-02,978.0,985.0,971.5,984.0,3157859
2016-06-03,986.5,1002.0,983.5,991.5,3528114
2016-06-06,992.0,1012.0,991.0,1004.0,2755400
2016-06-07,1010.0,1018.0,1005.0,1011.0,3108740
2016-06-08,1005.0,1013.0,992.5,1000.0,2768050
2016-06-09,995.0,1001.0,987.0,994.5,2609017
2016-06-10,988.0,988.0,940.5,966.0,4940348
2016-06-13,951.0,962.0,942.12,960.0,4630250
2016-06-14,955.0,967.0,950.5,959.0,3824093
2016-06-15,972.0,982.5,969.15,974.5,3251005
2016-06-16,963.0,978.0,960.61,974.0,2728072
2016-06-17,978.0,983.0,964.5,970.5,4506131
2016-06-20,989.5,1011.0,985.5,1009.0,4284742
