Date,Open,High,Low,Close,Volume
2016-01-04,507.0,507.0,493.0,497.6,7306940
2016-01-05,502.0,503.0,490.45,500.0,5453501
2016-01-06,498.5,506.0,490.3,495.3,5141643
2016-01-07,485.0,488.0,477.02,481.9,6821952
2016-01-08,482.0,490.3,476.9,476.9,4715644
2016-01-11,476.2,480.2,472.9,473.7,4767850
2016-01-12,475.0,485.5,472.2,480.7,5387556
2016-01-13,484.9,485.89,478.5,481.8,7545563
2016-01-14,475.2,478.09,468.1,474.6,7161666
2016-01-15,473.1,476.4,458.7,464.5,8895294
2016-01-18,464.1,470.7,461.4,463.1,5848265
2016-01-19,470.0,479.2,469.0,474.8,6566426
2016-01-20,464.5,466.64,446.3,450.3,11192363
2016-01-21,453.5,464.7,448.8,460.0,8002823
2016-01-22,468.3,476.1,467.2,472.0,9201726
2016-01-25,477.7,477.7,461.4,462.06,7034240
2016-01-26,457.6,468.2,452.0,465.3,6154264
2016-01-27,465.1,473.2,463.5,473.2,7536972
2016-01-28,471.9,476.5,461.6,464.0,6306202
2016-01-29,471.8,480.8,467.8,480.8,8619824
2016-02-01,482.8,484.9,467.3,475.5,7872326
2016-02-02,471.7,472.82,452.4,455.3,7170113
2016-02-03,453.0,457.6,438.5,442.5,8220862
2016-02-04,448.9,452.9,439.2,444.0,9553333
2016-02-05,445.9,446.7,431.1,431.6,10925678
2016-02-08,434.0,436.6,411.58,413.8,12059786
2016-02-09,413.0,424.1,401.95,407.2,10638981
2016-02-10,410.8,425.2,404.0,420.0,9765314
2016-02-11,416.2,417.98,400.1,400.5,10424042
2016-02-12,403.7,419.7,403.6,419.2,11845188
2016-02-15,429.7,434.4,425.7,428.1,6870273
2016-02-16,433.2,433.2,424.3,429.3,7091770
2016-02-17,430.9,449.9,426.4,447.8,10832414
2016-02-18,449.2,449.5,438.0,441.3,8129854
2016-02-19,438.8,442.9,432.5,436.9,5871701
2016-02-22,440.6,442.2,434.4,434.8,5943198
2016-02-23,430.5,433.0,421.2,421.3,10403563
2016-02-24,420.0,420.8,410.5,412.5,8253818
2016-02-25,417.6,427.3,417.41,423.9,7538680
2016-02-26,427.5,436.5,424.1,435.9,10734085
2016-02-29,432.0,438.2,430.35,438.2,10140498
2016-03-01,439.2,452.7,437.4,452.7,9103831
2016-03-02,460.6,467.83,457.1,460.5,9699892
2016-03-03,460.0,463.9,457.9,462.2,6121567
2016-03-04,462.5,467.81,459.1,466.1,4759630
2016-03-07,464.5,469.4,459.7,461.9,4806678
2016-03-08,458.5,465.1,455.5,459.6,7314448
2016-03-09,461.6,465.3,457.6,459.6,8580073
2016-03-10,473.0,489.9,465.8,465.8,22739907
2016-03-11,475.9,496.8,473.5,495.4,13280168
2016-03-14,496.4,499.8,479.4,482.7,11235317
2016-03-15,479.8,481.1,474.1,476.2,8796867
2016-03-16,479.3,485.13,478.0,482.9,6034607
2016-03-17,487.6,488.9,474.43,484.4,7163051
2016-03-18,484.0,492.1,481.9,486.4,9650590
2016-03-21,481.0,484.1,472.05,475.2,9034070
2016-03-22,472.0,475.7,465.7,475.7,5613287
2016-03-23,476.2,476.3,470.9,472.4,4558244
2016-03-24,465.7,467.2,454.9,455.6,6834389
2016-03-29,458.8,465.5,452.9,456.7,7276586
2016-03-30,459.5,463.0,457.5,460.0,5944842
2016-03-31,458.0,458.0,449.4,456.1,9080380
2016-04-01,450.3,455.09,446.1,451.0,8630218
2016-04-04,446.7,453.5,444.2,444.2,9175293
2016-04-05,441.0,444.0,434.4,441.4,8482102
2016-04-06,441.4,444.4,436.7,442.0,6882172
2016-04-07,431.9,435.1,420.07,422.0,7473721
2016-04-08,422.1,430.5,421.38,428.7,7542968
2016-04-11,428.1,436.74,423.7,432.2,5714965
2016-04-12,433.2,441.2,429.1,438.2,7175862
2016-04-13,442.8,461.1,440.0,448.3,6801303
2016-04-14,450.0,451.2,442.4,447.0,7046743
2016-04-15,447.3,448.43,439.8,440.8,8061969
2016-04-18,436.1,437.65,432.7,435.4,7774924
2016-04-19,437.5,441.1,434.6,440.6,9271057
2016-04-20,439.0,443.1,434.1,442.8,7921783
2016-04-21,444.7,445.8,440.3,443.8,7537372
2016-04-22,442.0,446.0,438.14,440.7,6983285
2016-04-25,441.0,444.1,432.2,435.1,5852874
2016-04-26,436.4,439.8,433.1,437.7,7401865
2016-04-27,436.8,439.4,429.7,437.3,9116752
2016-04-28,434.9,437.4,430.0,437.1,7642856
2016-04-29,432.9,436.1,431.7,432.4,7746174
2016-05-03,447.9,448.5,431.9,432.2,10133112
2016-05-04,432.0,440.8,431.34,433.8,8852209
2016-05-05,434.4,435.9,427.3,428.0,5756897
2016-05-06,427.5,429.5,420.5,426.1,8612710
2016-05-09,429.4,431.3,425.21,426.4,4608625
2016-05-10,428.8,430.8,423.8,427.5,5274818
2016-05-11,426.1,428.5,421.3,423.5,5392014
2016-05-12,421.4,424.8,415.0,415.4,6064119
2016-05-13,413.6,417.7,407.7,417.7,7415473
2016-05-16,415.1,419.44,411.9,419.2,3433152
2016-05-17,421.0,424.8,419.0,421.1,6243620
2016-05-18,418.8,433.4,417.6,433.4,10216413
2016-05-19,430.0,432.3,424.99,425.6,7702737
2016-05-20,432.3,436.9,432.2,436.6,7575654
2016-05-23,435.5,438.6,430.3,432.9,5348124
2016-05-24,432.1,450.7,430.0,449.8,6413005
2016-05-25,453.6,459.9,453.13,455.6,5967144
2016-05-26,454.9,454.9,447.4,451.8,6148793
2016-05-27,452.0,455.71,451.1,453.24,3980814
2016-05-31,459.8,464.5,448.2,449.8,9982361
2016-06-01,448.4,449.3,441.5,443.7,6354281
2016-06-02,443.1,447.3,439.8,443.6,5800471
2016-06-03,445.1,447.1,435.4,439.3,4529962
2016-06-06,439.0,445.8,437.9,443.8,4309266
2016-06-07,445.6,449.3,442.5,443.1,5532043
2016-06-08,440.8,442.32,438.8,440.7,4784101
2016-06-09,438.6,439.9,434.7,434.8,4482879
2016-06-10,434.3,434.65,420.71,421.5,5713517
2016-06-13,418.0,420.52,411.6,411.6,7146999
2016-06-14,410.0,411.3,403.8,404.42,9776957
2016-06-15,407.1,410.6,402.2,402.2,8976829
2016-06-16,397.7,399.4,389.3,396.0,10401980
2016-06-17,399.0,411.5,399.0,406.9,11335915
2016-06-20,420.0,433.5,420.0,429.4,9678486
2016-06-21,430.0,435.8,424.5,433.7,8295005
2016-06-22,435.7,449.1,433.2,442.5,8289960
2016-06-23,445.6,451.0,439.1,444.5,9375186
2016-06-24,290.0,384.4,290.0,374.8,37806826
2016-06-27,382.2,395.65,344.8,346.2,20620841
2016-06-28,365.0,374.43,359.6,366.0,15243170
2016-06-29,371.4,391.6,368.5,391.6,17444188
2016-06-30,389.7,393.9,381.7,393.9,14843089
2016-07-01,399.3,404.1,393.0,403.7,11239236
2016-07-04,406.6,406.6,387.6,391.0,8440002
2016-07-05,388.2,390.2,375.6,375.6,17639585
2016-07-06,373.0,376.4,346.4,352.5,24671319
2016-07-07,357.7,367.16,357.7,359.0,12940420
2016-07-08,356.0,366.21,352.1,363.0,11446620
2016-07-11,367.0,368.88,356.3,366.3,9665189
2016-07-12,367.9,385.1,367.9,381.8,12914281
2016-07-13,383.1,394.6,383.0,388.5,12371002
2016-07-14,387.0,388.54,378.9,387.57,11168700
2016-07-15,385.4,391.2,379.4,382.0,8245990
2016-07-18,383.0,387.59,378.9,385.4,7467081
2016-07-19,385.0,386.0,378.9,380.9,7021288
2016-07-20,382.8,384.5,379.8,384.0,8631112
2016-07-21,384.8,386.7,377.5,378.6,8809141
2016-07-22,378.5,381.06,375.13,378.0,7259697
2016-07-25,379.3,383.5,376.0,382.0,8613180
2016-07-26,381.6,386.1,378.2,379.5,6172304
2016-07-27,382.0,394.11,379.6,392.0,9581693
2016-07-28,391.0,391.0,382.5,384.9,9862573
2016-07-29,386.4,392.9,382.47,391.1,8972351
2016-08-01,397.6,400.7,387.88,390.7,6094891
2016-08-02,389.7,390.87,382.6,387.6,8767735
2016-08-03,387.2,391.3,381.5,385.0,7013496
2016-08-04,408.6,415.29,397.5,410.8,17006205
2016-08-05,410.7,419.4,405.6,418.7,10706165
2016-08-08,420.0,426.5,410.61,423.0,4906950
2016-08-09,417.8,423.7,416.9,418.5,9663429
2016-08-10,414.7,423.5,414.0,419.2,6864486
2016-08-11,421.1,421.3,414.95,420.5,6385695
2016-08-12,421.3,422.9,417.35,421.01,6918635
2016-08-15,421.2,421.4,417.9,420.0,3249643
2016-08-16,418.6,420.2,414.1,417.0,6157940
2016-08-17,416.2,417.4,412.55,413.9,8103717
2016-08-18,416.9,417.9,413.8,416.8,4195554
2016-08-19,417.3,417.3,411.08,414.4,5974327
2016-08-22,414.2,418.0,411.5,415.7,5815234
2016-08-23,419.0,426.5,417.3,424.7,7791611
2016-08-24,422.4,423.4,418.4,420.1,5013773
2016-08-25,418.7,419.9,416.18,417.7,4935518
2016-08-26,418.4,421.4,417.2,418.7,6750777
2016-08-30,418.0,425.0,417.9,424.5,6235234
2016-08-31,424.0,433.4,422.9,428.4,9472210
2016-09-01,430.4,436.6,426.4,429.5,7049452
2016-09-02,432.5,438.3,425.9,435.9,10631596
2016-09-05,438.1,438.3,430.9,437.7,5383879
2016-09-06,437.2,439.3,434.55,434.7,6794634
2016-09-07,440.0,442.6,434.4,441.9,10001906
2016-09-08,440.2,449.1,439.0,447.4,9347396
2016-09-09,445.8,451.4,442.81,446.0,7131914
2016-09-12,438.9,447.54,432.9,438.8,8396490
2016-09-13,438.8,442.6,431.2,431.5,8025306
2016-09-14,435.0,435.9,430.28,430.7,5107142
2016-09-15,429.5,437.9,429.3,436.8,5973432
2016-09-16,437.7,438.2,433.3,433.9,12049783
2016-09-19,438.1,440.5,435.9,440.1,5473095
2016-09-20,438.9,442.6,437.24,437.4,7128713
2016-09-21,443.1,450.1,440.8,447.7,7793673
2016-09-22,450.6,455.4,450.2,452.4,6934654
2016-09-23,452.4,455.0,448.68,452.0,5326375
2016-09-26,449.0,449.3,437.86,438.1,9236896
2016-09-27,442.3,443.6,430.2,435.0,6960559
2016-09-28,435.6,444.5,435.6,441.7,5769623
2016-09-29,443.8,447.1,442.8,443.7,5262641
2016-09-30,436.0,441.5,426.9,440.5,11336280
2016-10-03,440.2,445.8,439.62,444.5,3772708
2016-10-04,446.4,451.7,444.9,447.6,14971210
2016-10-05,448.6,454.54,444.2,453.4,8264799
2016-10-06,447.0,450.0,442.64,443.3,6171607
2016-10-07,444.4,455.0,442.0,449.9,10514521
2016-10-10,451.4,452.0,444.6,447.9,5277369
2016-10-11,446.6,449.3,444.9,447.2,8197211
2016-10-12,448.0,456.4,445.7,455.7,9042725
2016-10-13,453.0,453.68,441.8,443.5,8706486
2016-10-14,444.4,450.6,444.4,445.8,6050728
2016-10-17,444.0,450.1,438.1,438.4,9177379
2016-10-18,443.9,445.0,437.3,440.1,8254483
2016-10-19,441.7,442.5,433.6,436.9,8427390
2016-10-20,439.6,441.5,436.5,440.0,5187979
2016-10-21,439.4,441.2,437.6,440.5,7574150
2016-10-24,442.7,447.0,440.8,445.3,5665938
2016-10-25,447.7,451.3,445.1,448.5,6105258
2016-10-26,446.8,449.4,443.5,448.6,5942424
2016-10-27,447.2,448.9,441.2,448.9,7116947
2016-10-28,447.7,449.4,445.6,446.8,5109051
2016-10-31,443.6,445.7,442.0,442.8,5769496
2016-11-01,445.6,445.8,438.0,438.9,4771796
2016-11-02,437.3,437.5,429.9,430.2,5098430
2016-11-03,429.4,437.4,428.0,431.6,7861755
2016-11-04,429.3,432.97,418.3,418.9,7246996
2016-11-07,426.9,428.44,422.4,428.4,6174608
2016-11-08,426.5,431.0,425.9,430.0,6049944
2016-11-09,414.8,444.1,411.3,444.1,13373155
2016-11-10,448.5,468.1,448.5,458.5,17272889
2016-11-11,460.0,464.19,448.9,451.7,8794380
2016-11-14,457.0,465.4,455.22,461.0,9689792
2016-11-15,462.4,462.5,455.6,460.9,7036132
2016-11-16,462.4,463.6,452.9,454.6,6737580
2016-11-17,455.0,461.3,454.0,456.8,7772853
2016-11-18,459.7,463.0,451.3,454.1,6255163
2016-11-21,455.7,456.3,447.0,449.4,5256726
2016-11-22,453.0,457.6,449.5,456.2,5856101
2016-11-23,456.1,460.4,452.48,456.8,5098014
2016-11-24,459.9,460.72,456.4,459.7,3788928
2016-11-25,459.4,460.5,456.9,457.5,4152041
2016-11-28,455.2,458.4,450.3,452.9,4320542
2016-11-29,453.2,454.9,449.1,451.7,4133663
2016-11-30,450.8,453.6,446.6,447.0,9119435
2016-12-01,442.6,447.3,440.2,445.9,9146188
2016-12-02,442.3,445.5,439.0,443.4,4414244
2016-12-05,440.7,451.1,439.0,450.3,7844934
2016-12-06,451.2,464.5,449.4,464.4,11680149
2016-12-07,470.0,482.87,455.02,482.2,14469638
2016-12-08,483.6,488.4,477.0,487.5,9206582
2016-12-09,487.4,488.4,479.8,482.7,6018882
