Date,Open,High,Low,Close,Volume
2016-01-04,1007.0,1011.0,986.0,990.0,751536
2016-01-05,991.0,1002.0,979.5,988.5,804934
2016-01-06,983.0,985.0,960.5,971.0,723898
2016-01-07,952.5,979.5,946.22,967.0,1210042
2016-01-08,966.5,970.5,953.0,953.0,645925
2016-01-11,949.5,957.0,941.5,942.0,723329
2016-01-12,946.5,967.0,941.5,954.5,696397
2016-01-13,973.0,1001.0,966.93,991.0,1237826
2016-01-14,984.0,987.25,962.0,974.5,988364
2016-01-15,974.5,981.5,941.0,944.5,1471643
2016-01-18,945.0,953.5,930.63,932.5,868906
2016-01-19,946.5,952.5,938.5,949.5,955560
2016-01-20,930.5,932.5,904.5,909.0,927654
2016-01-21,911.0,922.0,907.0,916.0,1163525
2016-01-22,931.0,936.5,922.0,933.5,738816
2016-01-25,936.5,937.5,916.0,920.0,795233
2016-01-26,911.5,922.0,908.5,920.5,993226
2016-01-27,922.5,925.5,913.5,924.5,872854
2016-01-28,921.5,922.0,907.5,911.0,1043269
2016-01-29,919.0,922.5,910.0,915.0,1568201
2016-02-01,920.0,920.0,901.5,908.5,931803
2016-02-02,911.5,913.5,887.5,893.5,1239341
2016-02-03,890.0,892.5,865.5,876.5,1354825
2016-02-04,889.5,893.0,874.5,888.5,1383835
2016-02-05,892.5,913.0,891.5,902.5,1376560
2016-02-08,906.0,909.5,860.0,862.0,1050076
2016-02-09,860.0,870.0,842.5,862.5,1000097
2016-02-10,863.0,878.0,857.5,869.5,1228706
2016-02-11,864.0,864.0,840.0,854.0,1385382
2016-02-12,859.5,870.5,857.5,868.5,1073940
2016-02-15,879.0,900.0,876.0,897.0,1058689
2016-02-16,902.5,906.5,889.5,893.0,668427
2016-02-17,892.5,922.0,892.5,922.0,830017
2016-02-18,929.0,931.0,915.5,923.5,1072268
2016-02-19,923.5,929.5,915.0,922.5,683371
2016-02-22,926.5,935.5,922.5,923.5,439060
2016-02-23,915.0,924.0,908.5,910.0,639680
2016-02-24,908.5,908.5,892.0,898.0,719665
2016-02-25,904.0,911.5,888.5,910.5,1090895
2016-02-26,921.5,930.0,915.5,923.0,816296
2016-02-29,918.5,923.0,912.5,915.0,935591
2016-03-01,917.0,932.0,914.5,929.5,522183
2016-03-02,938.5,943.5,928.0,935.0,863416
2016-03-03,933.0,951.0,933.0,945.5,559154
2016-03-04,949.5,959.5,937.0,959.0,882703
2016-03-07,954.0,965.0,945.0,950.0,615024
2016-03-08,944.0,958.0,943.5,948.0,705107
2016-03-09,951.5,951.5,939.0,942.0,694376
2016-03-10,943.0,949.0,922.44,922.5,1018398
2016-03-11,935.0,951.0,930.87,949.5,867696
2016-03-14,949.0,959.5,946.5,955.0,494490
2016-03-15,952.0,958.5,948.5,956.75,448431
2016-03-16,959.0,961.5,945.0,952.0,870999
