Date,Open,High,Low,Close,Volume
2016-01-04,216.35,217.0,212.65,214.25,23617417
2016-01-05,214.85,217.6,212.05,215.25,17632075
2016-01-06,214.9,214.9,209.85,211.75,21488432
2016-01-07,206.6,208.85,201.6,205.55,35374547
2016-01-08,206.0,208.65,200.15,200.15,37336970
2016-01-11,200.0,203.35,199.4,199.7,32206351
2016-01-12,201.0,204.95,199.77,200.9,26888291
2016-01-13,204.35,205.8,200.34,201.7,27455450
2016-01-14,198.25,200.15,192.52,194.9,47583441
2016-01-15,196.45,198.85,190.97,191.8,46007735
2016-01-18,191.3,198.0,185.85,187.65,31541705
2016-01-19,190.0,193.6,187.92,189.9,30277229
2016-01-20,185.9,186.0,179.9,182.05,45316824
2016-01-21,182.0,186.6,179.99,186.15,56039983
2016-01-22,190.95,192.95,188.2,190.75,40134368
2016-01-25,191.95,192.25,181.35,181.85,40461218
2016-01-26,178.5,183.8,175.15,183.0,52801288
2016-01-27,182.5,182.5,178.25,181.8,37661266
2016-01-28,181.0,183.75,176.5,178.4,31436910
2016-01-29,181.35,186.0,180.55,186.0,51738388
2016-02-01,188.9,188.9,180.9,182.8,33451501
2016-02-02,182.35,183.04,172.7,173.75,33718983
2016-02-03,172.3,172.9,163.5,165.6,59324427
2016-02-04,167.7,175.8,167.05,173.65,60820819
2016-02-05,174.45,175.05,169.65,173.15,44735410
2016-02-08,177.85,177.85,163.6,163.9,47454111
2016-02-09,163.15,165.7,154.3,156.25,57201676
2016-02-10,156.8,161.95,156.5,159.0,64384195
2016-02-11,157.3,157.7,147.75,147.85,71533962
2016-02-12,150.75,157.2,150.3,157.2,56090836
2016-02-15,162.0,163.3,159.4,160.75,32524787
2016-02-16,161.75,162.65,155.6,161.45,30086186
2016-02-17,161.7,168.76,161.0,168.15,36890307
2016-02-18,169.35,169.5,160.74,161.75,40046228
2016-02-19,160.5,164.75,160.35,161.7,42531047
2016-02-22,162.8,165.75,160.44,165.1,15837013
2016-02-23,163.3,167.7,160.9,161.55,31763963
2016-02-24,161.15,162.0,155.25,156.75,34241498
2016-02-25,159.2,165.35,158.79,164.85,37542678
2016-02-26,166.35,169.99,162.9,169.1,36145670
2016-02-29,167.85,172.91,166.12,172.05,45168373
