Date,Open,High,Low,Close,Volume
2016-01-04,622.0,628.0,612.5,615.0,2033447
2016-01-05,618.5,620.5,614.5,618.0,1705260
2016-01-06,616.5,619.0,598.0,605.0,2492805
2016-01-07,595.5,600.5,586.5,591.5,2951988
2016-01-08,591.5,602.5,591.08,597.0,2566956
2016-01-11,595.5,603.5,587.18,594.5,2870163
2016-01-12,604.5,616.0,602.34,609.5,3220480
2016-01-13,613.0,620.5,609.5,613.0,1840166
2016-01-14,607.0,612.5,586.5,590.0,2545544
2016-01-15,590.0,596.0,575.64,578.5,3049181
2016-01-18,578.0,585.14,564.0,566.5,1681732
2016-01-19,574.5,582.0,571.02,579.0,2217910
2016-01-20,570.0,576.5,556.0,559.0,2948619
2016-01-21,560.5,566.5,550.19,566.0,2544485
2016-01-22,574.0,575.78,565.5,572.5,2260174
2016-01-25,577.0,579.37,571.0,578.5,1942813
2016-01-26,573.0,581.5,569.5,580.0,1871070
2016-01-27,580.0,593.0,579.5,593.0,2663297
2016-01-28,593.0,595.5,578.5,582.5,2109255
2016-01-29,590.0,599.5,582.5,599.5,2435624
2016-02-01,604.5,611.0,600.0,611.0,2690708
2016-02-02,609.0,612.0,600.5,610.0,2880906
2016-02-03,614.0,621.5,600.5,605.0,3550130
2016-02-04,613.5,614.5,601.5,605.5,2120564
2016-02-05,604.0,612.5,588.5,588.5,2282018
2016-02-08,592.5,593.02,547.5,550.0,3605895
2016-02-09,550.0,559.5,538.0,547.5,3664774
2016-02-10,555.0,570.5,547.5,564.5,2661887
2016-02-11,561.5,563.5,538.0,542.5,4411595
2016-02-12,546.0,551.0,536.0,545.0,5081367
2016-02-15,556.0,560.0,551.0,552.5,3348065
2016-02-16,555.5,561.5,553.5,554.5,4205256
2016-02-17,556.0,573.5,556.0,572.0,2692897
2016-02-18,574.5,587.0,569.0,583.5,3033379
2016-02-19,579.5,589.5,579.5,584.5,2475086
2016-02-22,591.5,595.0,558.0,558.5,2234818
2016-02-23,558.0,576.0,558.0,562.0,3769571
2016-02-24,558.5,576.0,557.0,571.5,2770097
2016-02-25,575.0,581.0,564.5,579.0,2746344
2016-02-26,586.5,591.5,584.0,587.5,2346473
2016-02-29,582.0,597.5,578.5,590.0,3386028
2016-03-01,587.0,594.5,582.0,594.5,3600479
2016-03-02,598.0,600.5,574.58,578.0,3083715
2016-03-03,576.5,578.0,563.0,564.0,3108218
2016-03-04,563.0,565.51,550.29,554.5,3572391
2016-03-07,553.5,565.0,550.5,551.0,3531014
2016-03-08,548.0,549.0,540.5,543.0,2206651
2016-03-09,546.5,552.0,540.48,546.0,1912614
2016-03-10,549.0,552.5,534.0,535.0,2830112
2016-03-11,541.0,546.5,538.5,544.0,1763286
2016-03-14,545.0,561.5,543.0,556.5,2270338
2016-03-15,555.0,561.0,549.5,555.0,1907949
2016-03-16,558.0,574.52,555.5,572.5,2762547
2016-03-17,582.0,590.0,576.5,581.5,3856373
2016-03-18,581.0,587.5,569.0,571.0,3817067
2016-03-21,568.0,574.5,567.0,568.5,1215881
2016-03-22,567.5,572.5,558.0,572.0,1988022
2016-03-23,570.5,578.76,570.45,578.0,1791862
2016-03-24,572.5,576.0,561.5,561.5,2195372
2016-03-29,563.0,572.0,563.0,568.5,1524447
2016-03-30,573.5,578.0,566.15,570.5,2201626
2016-03-31,571.5,571.5,558.5,560.5,2688283
2016-04-01,555.0,567.0,554.0,566.0,1995865
2016-04-04,564.0,570.0,561.5,567.0,2369938
2016-04-05,565.0,572.0,560.5,568.5,2432520
2016-04-06,570.0,571.64,565.5,571.0,2067818
2016-04-07,571.5,571.5,548.34,549.5,2864737
2016-04-08,552.0,553.5,543.5,547.0,2652087
2016-04-11,544.5,545.0,532.5,534.0,3142984
2016-04-12,531.0,532.0,524.5,530.0,2527779
2016-04-13,534.5,545.5,534.5,542.5,2265214
2016-04-14,544.0,544.0,517.5,522.0,3682400
2016-04-15,522.0,522.0,505.0,509.5,5365549
2016-04-18,504.0,517.14,504.0,507.0,2255888
2016-04-19,510.0,510.0,497.5,499.6,3557972
2016-04-20,497.4,509.0,493.9,509.0,4427876
2016-04-21,506.5,510.0,498.2,510.0,3105063
2016-04-22,511.5,521.5,510.5,514.0,4196443
2016-04-25,515.5,524.5,514.25,524.5,3468251
2016-04-26,526.0,538.0,524.5,534.5,4385168
2016-04-27,532.0,545.5,529.5,545.5,3106176
2016-04-28,537.0,543.0,535.5,539.5,3120202
2016-04-29,533.5,535.5,527.5,532.5,2674619
2016-05-03,527.5,535.0,527.5,528.0,2813112
2016-05-04,528.0,533.5,526.5,527.0,1813201
2016-05-05,528.5,531.0,521.0,522.0,1866682
2016-05-06,522.0,529.77,519.5,525.0,2240962
2016-05-09,527.5,534.27,525.5,532.5,2007503
2016-05-10,530.5,539.0,525.0,530.0,2653876
2016-05-11,528.0,536.5,523.5,524.0,2925079
2016-05-12,519.0,529.5,514.31,525.0,2306617
2016-05-13,523.0,532.5,518.0,532.5,2165534
2016-05-16,527.0,538.0,525.5,538.0,3811987
2016-05-17,540.5,556.0,538.72,551.0,3625276
2016-05-18,550.0,560.5,546.0,556.0,3329235
2016-05-19,552.5,562.0,550.36,558.5,3163349
2016-05-20,560.5,581.5,558.0,580.5,3798432
2016-05-23,579.0,588.0,575.5,584.5,3333178
2016-05-24,582.5,600.0,577.5,599.5,4155687
2016-05-25,600.0,601.0,587.0,597.5,3578061
2016-05-26,597.0,598.87,592.5,597.5,2486255
2016-05-27,596.5,600.5,595.0,598.5,2384510
2016-05-31,597.5,603.0,590.0,592.0,4532636
2016-06-01,588.5,588.5,572.0,573.5,3537295
2016-06-02,572.5,587.0,571.5,585.0,2975443
2016-06-03,584.5,587.0,572.0,578.0,2900269
2016-06-06,577.0,579.0,567.0,569.0,2904141
2016-06-07,570.5,577.5,565.32,568.5,3545124
2016-06-08,565.0,571.0,563.0,567.0,2072269
2016-06-09,562.0,568.0,546.1,567.5,3703657
2016-06-10,566.5,566.5,547.0,547.0,2546805
2016-06-13,544.5,545.5,536.17,536.5,3094521
2016-06-14,533.5,538.5,516.0,516.5,2528114
2016-06-15,517.5,522.5,511.0,517.0,3450757
2016-06-16,511.5,519.32,509.5,511.0,3425820
2016-06-17,512.5,531.5,512.5,531.5,4834988
2016-06-20,550.0,569.5,547.4,567.5,4390920
2016-06-21,568.0,569.5,557.5,562.0,3097794
2016-06-22,565.5,571.5,562.58,568.0,2881597
2016-06-23,573.5,579.5,566.5,577.5,3453530
2016-06-24,392.4,490.0,392.4,439.8,13644967
2016-06-27,430.3,432.68,343.5,354.4,16155335
2016-06-28,375.0,383.3,354.2,381.0,10149366
2016-06-29,387.3,408.7,378.0,408.7,8021978
2016-06-30,408.3,408.3,392.0,405.4,6714170
2016-07-01,408.9,415.0,398.5,415.0,5993936
2016-07-04,418.9,420.87,388.3,388.3,7259766
2016-07-05,385.4,386.65,350.3,350.3,9955059
2016-07-06,348.0,349.36,326.0,332.6,9958332
2016-07-07,333.3,355.3,327.4,349.1,7694734
2016-07-08,347.9,374.6,346.4,373.2,6938824
2016-07-11,378.3,405.32,377.14,402.0,7031059
2016-07-12,404.7,427.8,403.88,413.3,5943143
2016-07-13,411.7,416.4,385.02,404.8,9199827
2016-07-14,407.9,421.0,396.7,407.8,4784629
2016-07-15,406.0,423.2,401.8,409.4,4993202
2016-07-18,409.9,420.5,404.0,417.6,3487868
2016-07-19,417.8,419.4,405.7,415.7,3140113
2016-07-20,422.1,426.0,410.1,421.6,4083163
2016-07-21,420.4,425.0,415.9,421.5,3520836
2016-07-22,421.5,422.2,410.5,411.0,2781159
2016-07-25,412.9,421.1,408.1,419.0,3083458
2016-07-26,421.3,421.3,404.2,405.3,3510455
2016-07-27,408.8,438.48,408.8,432.9,5456117
2016-07-28,434.8,440.7,425.74,429.4,3739586
2016-07-29,430.2,440.2,429.2,437.5,3386002
2016-08-01,444.0,444.6,418.3,424.1,3758456
2016-08-02,422.2,431.6,410.23,428.5,3594910
2016-08-03,429.0,430.8,417.6,422.0,3101890
2016-08-04,421.0,433.4,416.6,425.4,3053599
2016-08-05,425.6,439.2,422.4,436.7,3186967
2016-08-08,438.0,450.47,433.5,435.9,2876991
2016-08-09,438.4,440.6,426.0,434.4,3195354
2016-08-10,431.3,438.3,428.4,435.9,3191993
2016-08-11,436.9,437.68,422.6,436.1,3575323
2016-08-12,434.5,441.9,431.67,440.3,2979982
2016-08-15,442.5,444.6,431.1,436.8,2125492
2016-08-16,435.3,445.7,432.7,441.7,3065345
2016-08-17,442.8,448.9,439.3,448.2,3400826
2016-08-18,449.5,463.0,446.9,455.0,3325508
2016-08-19,455.5,455.5,446.6,450.7,1793435
2016-08-22,450.8,464.6,449.5,463.5,2663749
2016-08-23,466.2,487.9,466.2,486.2,4591004
2016-08-24,484.9,503.0,482.5,500.5,3559734
2016-08-25,497.3,498.5,490.83,495.3,3839762
2016-08-26,495.6,501.5,493.5,499.1,2665451
2016-08-30,497.6,504.81,486.4,491.9,3127818
2016-08-31,489.6,499.0,485.64,494.0,3573853
2016-09-01,495.4,511.53,495.4,500.0,4382514
2016-09-02,497.0,504.0,482.0,503.0,7651846
2016-09-05,505.0,506.5,494.75,498.4,2944009
2016-09-06,495.9,512.6,495.9,507.0,3522077
2016-09-07,506.5,523.23,491.3,492.2,5398435
2016-09-08,493.0,504.0,489.6,496.0,5365697
2016-09-09,493.2,500.5,484.3,488.9,5081838
2016-09-12,481.8,489.85,478.2,485.5,4135994
2016-09-13,486.8,492.08,479.4,483.3,3077505
2016-09-14,486.7,486.7,472.6,474.6,3506780
2016-09-15,473.2,480.1,466.59,477.4,3072166
2016-09-16,478.3,481.7,471.8,473.4,4741738
2016-09-19,478.7,482.1,475.1,479.0,3097832
2016-09-20,474.6,481.3,469.2,478.7,3601564
2016-09-21,483.0,490.6,481.49,484.9,3555094
2016-09-22,487.7,491.7,482.1,487.0,3924053
2016-09-23,488.7,503.0,486.56,497.2,4152584
2016-09-26,494.1,495.8,476.8,476.9,4168420
2016-09-27,481.3,484.2,475.0,484.2,3946959
2016-09-28,484.1,496.7,484.1,493.6,2957785
2016-09-29,498.0,498.45,471.9,472.9,5821919
2016-09-30,467.3,494.7,462.9,494.3,6677331
2016-10-03,490.3,506.0,487.31,501.0,5250877
2016-10-04,505.0,518.0,502.5,513.0,5488693
2016-10-05,507.5,516.38,506.36,511.5,3451277
2016-10-06,513.0,515.0,502.0,505.0,3208944
2016-10-07,506.5,506.5,474.6,479.7,6046918
2016-10-10,482.7,491.91,467.54,470.8,4228573
2016-10-11,470.9,483.5,466.8,479.7,3151289
2016-10-12,481.5,491.6,472.0,474.0,3454670
2016-10-13,472.5,488.0,465.8,483.2,4173115
2016-10-14,485.1,487.0,479.7,482.7,2713554
2016-10-17,483.1,484.09,468.1,468.7,4315060
2016-10-18,475.6,485.1,470.4,483.8,3530774
2016-10-19,487.0,494.8,485.0,493.5,5333955
2016-10-20,492.9,493.7,480.0,484.2,3511109
2016-10-21,482.6,485.1,477.97,478.9,2670697
2016-10-24,480.9,486.2,475.6,475.6,2617305
2016-10-25,478.6,480.0,466.75,469.0,3875370
2016-10-26,468.1,477.0,462.5,475.9,4204558
2016-10-27,451.7,453.2,430.4,438.9,5897503
2016-10-28,437.1,458.5,433.0,456.7,5518835
2016-10-31,455.6,456.21,447.2,453.7,3537834
2016-11-01,457.0,470.2,453.9,469.1,3903798
2016-11-02,465.3,495.3,462.9,464.7,3212823
2016-11-03,464.1,481.7,453.3,469.0,4995341
2016-11-04,468.5,468.5,448.53,457.3,4053706
2016-11-07,463.6,466.4,456.5,462.0,2737705
2016-11-08,459.7,466.0,451.5,454.5,3040769
2016-11-09,438.0,471.0,437.16,471.0,5839354
2016-11-10,475.7,484.4,461.7,465.7,4528690
2016-11-11,468.3,479.9,464.4,472.1,3946964
2016-11-14,477.7,484.7,473.4,481.2,3866248
2016-11-15,483.6,489.3,478.6,482.9,2573968
2016-11-16,481.8,485.8,463.1,469.5,4421482
2016-11-17,471.3,486.0,464.7,486.0,3591302
2016-11-18,486.5,492.1,484.2,488.9,3180541
2016-11-21,489.7,490.5,477.5,479.6,3027917
2016-11-22,485.0,492.7,483.1,486.5,3948741
2016-11-23,487.5,497.2,474.77,477.0,4690013
2016-11-24,480.5,482.6,471.0,473.4,2253209
2016-11-25,475.0,475.0,466.1,468.1,2025684
2016-11-28,468.7,470.78,461.3,465.5,1930670
2016-11-29,465.0,479.4,463.6,476.1,4026192
2016-11-30,477.1,478.0,464.8,468.92,6423552
2016-12-01,467.8,470.1,460.6,467.5,3458003
2016-12-02,464.7,477.2,464.7,475.3,3324061
2016-12-05,473.6,480.6,471.6,473.7,1992677
2016-12-06,465.5,474.1,460.4,471.9,3055786
2016-12-07,475.7,477.8,470.0,475.3,2795978
2016-12-08,476.5,477.8,465.6,470.6,4341751
2016-12-09,472.2,475.75,463.4,467.6,4047340
2016-12-12,467.1,468.8,450.8,452.4,3388506
2016-12-13,453.2,461.3,451.7,460.8,2921288
2016-12-14,460.0,460.9,451.1,454.5,2059168
2016-12-15,453.4,464.7,450.6,463.9,4751271
2016-12-16,464.7,465.83,454.6,457.0,4163203
2016-12-19,458.8,462.3,455.87,461.2,2198386
2016-12-20,463.5,470.8,461.2,467.0,2740631
2016-12-21,468.0,470.54,465.7,470.4,2046050
2016-12-22,469.1,476.3,465.4,476.0,1900702
2016-12-23,477.0,480.6,469.3,469.3,1101289
2016-12-28,467.0,467.8,462.2,465.0,1818837
2016-12-29,462.3,467.7,460.0,463.9,1389999
2016-12-30,464.4,468.0,458.4,462.4,1987739
