Date,Open,High,Low,Close,Volume
2016-01-04,181.29,185.54,180.6,184.03,4320005
2016-01-05,186.71,189.84,185.34,187.37,3367943
2016-01-06,185.03,187.29,183.56,185.61,2280603
2016-01-07,176.3,180.98,171.46,174.37,7009107
2016-01-08,177.59,178.95,170.72,171.34,4682790
2016-01-11,172.0,172.84,167.71,170.37,3202314
2016-01-12,172.4,173.49,169.82,172.91,3039552
2016-01-13,174.25,175.36,164.0,166.04,3929467
2016-01-14,166.3,174.88,163.01,172.23,4056291
2016-01-15,163.76,165.31,158.12,163.92,6342814
2016-01-19,167.52,171.84,163.98,166.03,3410670
2016-01-20,161.04,169.33,159.78,164.99,4982292
2016-01-21,165.99,172.5,163.13,169.56,3478766
2016-01-22,173.55,174.77,168.77,171.17,2615193
2016-01-25,171.12,173.74,167.31,167.54,2495008
2016-01-26,166.67,168.36,162.89,167.08,2396562
2016-01-27,167.09,167.91,157.42,158.27,4046052
2016-01-28,161.87,162.78,154.53,156.94,4582928
2016-01-29,159.24,163.64,158.5,163.27,4526113
2016-02-01,160.27,161.9,156.13,161.1,3629000
2016-02-02,162.1,163.0,154.14,154.82,2749016
2016-02-03,155.84,157.55,150.84,153.08,3433032
2016-02-04,154.12,155.17,150.63,152.59,3096387
2016-02-05,151.85,152.03,144.48,145.34,4112666
2016-02-08,142.49,147.2,142.25,145.05,4149748
2016-02-09,142.54,145.31,139.61,140.68,5245710
2016-02-10,142.78,149.81,142.38,143.78,4123699
2016-02-11,140.61,143.42,139.94,141.21,3063711
2016-02-12,148.0,154.15,147.49,152.73,5583664
2016-02-16,158.5,163.84,155.42,157.52,5272529
2016-02-17,159.96,164.7,156.43,163.53,3831430
2016-02-18,165.24,166.0,160.27,160.7,3311105
2016-02-19,160.0,166.0,159.15,164.47,3050096
2016-02-22,166.54,169.45,164.3,168.67,3080706
2016-02-23,167.2,167.42,159.64,161.02,4021637
2016-02-24,159.0,164.11,154.79,162.75,4531545
2016-02-25,160.05,161.58,156.0,158.22,5608814
2016-02-26,175.24,176.81,172.2,173.8,8871036
2016-02-29,172.2,175.46,171.36,173.42,3942954
2016-03-01,175.69,180.73,175.38,180.2,4183290
2016-03-02,181.84,182.0,175.26,176.94,3074717
2016-03-03,177.05,178.94,175.34,177.3,2499675
2016-03-04,178.97,180.59,175.25,178.55,2934432
2016-03-07,178.0,180.0,175.89,177.2,1929319
2016-03-08,175.05,176.24,172.64,172.81,2362397
2016-03-09,173.56,176.53,169.28,176.5,2806884
2016-03-10,177.0,179.64,173.76,176.08,2313362
2016-03-11,176.43,183.86,176.43,182.98,2843195
2016-03-14,182.5,187.55,181.75,182.02,2734832
2016-03-15,180.72,182.57,179.51,180.22,1626978
2016-03-16,179.08,183.05,178.26,183.05,1897580
2016-03-17,183.74,184.98,182.09,183.44,1777108
2016-03-18,184.82,189.7,184.77,187.92,3243732
2016-03-21,187.8,189.8,185.56,187.12,1598281
2016-03-22,185.27,188.74,185.0,188.4,1570021
2016-03-23,187.6,188.43,181.82,183.84,2224249
2016-03-24,181.46,184.99,181.03,184.86,1645650
2016-03-28,185.33,186.0,182.27,185.17,1150377
2016-03-29,185.47,191.48,185.06,189.84,2517510
2016-03-30,191.05,193.0,188.3,189.89,2733532
2016-03-31,189.48,193.73,189.38,190.88,2378950
2016-04-01,188.79,190.56,185.89,190.33,2441123
2016-04-04,190.39,192.35,187.51,188.97,1740159
2016-04-05,187.63,187.89,182.15,183.8,2946791
2016-04-06,183.57,187.27,183.02,186.82,1903009
2016-04-07,185.74,187.6,181.44,182.53,1821075
2016-04-08,184.6,186.3,182.7,183.98,1712770
2016-04-11,185.76,187.15,184.76,185.07,1893624
2016-04-12,186.03,188.7,185.58,187.4,1713577
2016-04-13,191.0,195.6,190.42,193.98,3258214
2016-04-14,194.98,197.5,192.81,195.72,2031822
2016-04-15,195.32,195.41,191.76,193.22,1637857
2016-04-18,191.92,193.99,191.26,192.94,1497112
2016-04-19,193.44,195.25,190.67,194.52,2120724
2016-04-20,193.5,194.76,192.6,193.67,1493598
2016-04-21,194.06,195.96,191.75,192.74,1716244
2016-04-22,190.03,192.7,188.03,190.76,2007923
2016-04-25,190.91,192.41,186.54,188.04,1754916
2016-04-26,188.68,190.88,186.37,188.25,1859040
2016-04-27,187.52,189.07,184.44,187.95,2246291
2016-04-28,187.35,190.33,185.54,186.02,3382069
2016-04-29,189.5,201.0,189.0,194.3,6950720
2016-05-02,185.33,185.33,176.5,178.91,10163391
2016-05-03,175.8,176.38,172.0,174.36,5471374
2016-05-04,172.04,178.15,171.5,177.28,4005462
2016-05-05,177.64,179.7,174.13,175.22,3554485
2016-05-06,173.91,176.8,172.11,173.94,3059442
2016-05-09,165.84,172.36,165.1,169.49,6545692
2016-05-10,170.75,171.0,165.42,166.21,5434677
2016-05-11,165.88,166.27,161.12,163.05,6146505
2016-05-12,164.04,164.5,158.38,161.28,4101087
2016-05-13,160.66,162.71,159.12,159.75,3127002
2016-05-16,161.92,168.95,161.31,167.96,5488129
2016-05-17,168.59,172.95,167.65,171.04,5061349
2016-05-18,169.75,171.53,167.67,169.45,3220715
2016-05-19,168.75,169.83,164.93,168.51,2409796
2016-05-20,169.41,171.1,168.33,170.05,2241042
2016-05-23,170.69,171.5,169.43,169.77,1623560
2016-05-24,171.55,178.11,169.92,175.91,4626709
2016-05-25,176.99,178.81,175.21,176.71,3567484
2016-05-26,176.19,177.78,175.0,177.67,3538585
2016-05-27,178.29,185.28,178.28,185.01,5596294
2016-05-31,185.15,185.51,176.61,178.54,24063046
2016-06-01,176.53,177.77,174.26,176.53,4783342
2016-06-02,177.2,179.0,174.75,175.64,3210421
2016-06-03,176.64,177.5,172.33,173.74,2961723
2016-06-06,174.73,176.06,173.8,174.62,1873716
2016-06-07,175.87,175.87,170.81,170.86,2401216
2016-06-08,172.04,172.2,168.46,168.71,2484804
2016-06-09,168.0,169.3,166.15,168.99,2262192
2016-06-10,166.58,167.45,164.0,164.28,2446845
2016-06-13,161.01,164.86,160.0,163.55,3829940
2016-06-14,159.26,170.19,159.13,160.84,10154418
2016-06-15,161.61,162.18,160.06,161.03,3771047
2016-06-16,160.58,166.17,159.5,165.52,4452812
2016-06-17,165.42,165.84,161.85,162.68,3220723
2016-06-20,165.57,172.29,165.57,166.53,3463900
2016-06-21,167.44,168.39,162.72,162.8,3036262
2016-06-22,162.49,165.52,161.0,162.22,2778642
2016-06-23,163.51,164.96,162.55,163.92,2028534
2016-06-24,158.87,163.63,158.01,159.12,3182307
2016-06-27,158.24,158.55,155.28,156.92,3210622
2016-06-28,160.1,162.98,159.56,160.41,2171923
2016-06-29,163.1,166.5,162.14,164.41,2468274
2016-06-30,165.07,165.26,162.1,165.15,1809348
2016-07-01,165.24,166.62,162.9,165.19,1775624
2016-07-05,164.42,165.5,161.0,161.87,2364987
2016-07-06,160.98,161.87,157.88,161.56,2157219
2016-07-07,162.5,165.86,161.56,163.42,2013860
2016-07-08,159.21,161.05,155.28,159.8,6899544
2016-07-11,160.7,167.9,160.7,167.03,4073113
2016-07-12,169.89,172.76,163.91,164.98,3557614
2016-07-13,165.38,166.0,162.57,164.16,2320792
2016-07-14,166.65,166.8,163.61,164.85,2079581
2016-07-15,164.86,165.26,161.85,162.74,2378125
2016-07-18,162.74,165.01,160.75,164.79,2327005
2016-07-19,162.9,165.28,159.11,161.19,4350770
2016-07-20,161.21,161.79,159.5,160.65,3332684
2016-07-21,161.47,162.87,160.6,161.4,2357963
2016-07-22,162.06,162.64,160.45,160.88,1595283
2016-07-25,159.3,160.37,157.54,160.25,2921069
2016-07-26,159.89,164.79,159.46,164.03,2697497
2016-07-27,164.0,165.67,162.82,165.5,2036274
2016-07-28,166.9,167.86,165.15,165.63,3594349
2016-07-29,161.01,161.55,156.23,159.6,7858345
2016-08-01,159.8,164.11,158.62,163.23,4264042
2016-08-02,162.16,164.5,160.33,160.75,1850839
2016-08-03,161.12,163.2,160.13,162.24,1740717
2016-08-04,162.72,164.16,161.34,162.56,1748307
2016-08-05,163.5,168.24,163.2,167.38,2991534
2016-08-08,167.15,169.49,165.73,166.45,1769609
2016-08-09,165.9,166.56,164.68,165.54,1298642
2016-08-10,166.46,167.45,165.0,165.63,1449334
2016-08-11,168.13,168.75,166.51,167.72,1551320
2016-08-12,167.57,168.54,166.32,167.98,1840959
2016-08-15,169.22,174.96,169.0,172.95,3448610
2016-08-16,173.0,174.42,170.9,173.3,2642183
2016-08-17,173.98,174.0,172.01,172.73,2426920
2016-08-18,173.03,175.8,172.68,175.4,2535554
2016-08-19,175.26,178.88,174.86,177.53,2906705
2016-08-22,177.88,178.0,173.18,173.85,2766613
2016-08-23,174.26,175.41,173.16,173.49,1803766
2016-08-24,174.04,175.0,170.9,171.49,1673469
2016-08-25,171.6,174.1,171.47,172.85,1340785
2016-08-26,172.85,175.6,172.07,173.47,1439878
2016-08-29,173.89,173.9,171.48,173.65,1655241
2016-08-30,174.22,177.74,173.88,175.45,1947510
2016-08-31,172.24,172.98,169.85,171.07,3050301
2016-09-01,171.85,176.83,171.77,176.55,3608509
2016-09-02,178.0,179.68,177.19,177.78,2139586
2016-09-06,181.7,189.34,181.23,189.06,8176474
2016-09-07,189.33,192.88,188.61,189.15,4265202
2016-09-08,189.09,190.87,187.09,187.5,2383911
2016-09-09,186.48,186.84,181.67,182.1,3597368
2016-09-12,178.08,184.92,177.33,184.13,2779138
2016-09-13,182.79,183.78,180.64,181.9,2413099
