Date,Open,High,Low,Close,Volume
2016-01-04,778.0,786.0,765.5,770.5,2800169
2016-01-05,779.5,786.92,775.0,784.5,2513303
2016-01-06,782.0,789.5,770.15,771.5,3246528
2016-01-07,753.0,761.09,748.0,755.5,3493262
2016-01-08,756.0,758.5,741.5,741.5,2728170
2016-01-11,744.5,755.5,739.0,741.0,3211301
2016-01-12,742.5,754.0,738.0,745.0,2480538
2016-01-13,749.5,751.07,739.82,742.5,2266628
2016-01-14,737.5,750.11,729.5,732.0,4196865
2016-01-15,730.0,735.5,715.0,715.0,4625872
2016-01-18,715.5,723.5,712.0,712.0,2511965
2016-01-19,730.0,730.0,712.0,715.0,3807261
2016-01-20,707.0,715.0,694.5,696.5,3970947
2016-01-21,700.0,716.5,694.0,715.0,4921832
2016-01-22,723.0,732.0,715.0,730.5,4852098
2016-01-25,738.0,738.0,727.54,735.0,3713323
2016-01-26,726.0,737.99,724.0,733.0,3154556
2016-01-27,733.5,747.43,723.49,730.0,3696567
2016-01-28,726.0,733.5,650.0,721.5,2000626
2016-01-29,729.0,740.0,726.4,740.0,3722148
2016-02-01,747.5,749.0,734.5,748.5,3885287
2016-02-02,748.0,749.5,734.5,735.0,2499417
2016-02-03,738.5,739.0,716.0,735.0,3942935
2016-02-04,731.0,734.5,712.0,714.5,3770209
2016-02-05,714.5,726.9,713.5,715.5,3840486
2016-02-08,718.5,720.0,676.5,679.0,5478747
2016-02-09,681.5,685.0,663.5,669.0,5095288
2016-02-10,678.5,692.5,673.0,682.5,3323364
2016-02-11,678.0,678.0,651.0,651.0,4514591
2016-02-12,656.0,665.5,646.5,652.5,6057469
2016-02-15,667.5,679.5,665.0,678.5,3756627
2016-02-16,684.0,684.0,671.23,676.0,2956088
2016-02-17,677.0,692.0,676.5,688.5,2683707
2016-02-18,692.5,694.0,678.5,688.0,2647143
2016-02-19,685.0,692.5,683.5,692.5,2308800
2016-02-22,694.0,694.0,670.0,671.0,3439975
2016-02-23,669.5,672.5,659.5,661.0,4598655
2016-02-24,663.0,664.0,642.27,644.5,4170305
2016-02-25,651.0,661.86,651.0,657.5,4442047
2016-02-26,664.0,666.0,658.0,659.0,3081022
2016-02-29,655.0,660.32,649.5,659.0,4544381
2016-03-01,661.0,679.5,655.72,679.5,4415779
2016-03-02,685.0,685.0,678.5,683.0,3297854
2016-03-03,684.5,689.98,682.5,685.0,3007419
2016-03-04,688.5,690.0,677.0,686.0,2666183
2016-03-07,684.0,685.73,673.5,674.0,3266087
2016-03-08,670.0,677.0,666.27,677.0,3454056
2016-03-09,680.0,680.0,670.99,672.0,2670139
2016-03-10,674.5,686.5,668.48,670.0,2817686
2016-03-11,679.0,693.0,670.0,690.0,2977062
2016-03-14,692.5,705.5,691.54,699.0,2936228
2016-03-15,696.5,698.5,693.0,696.5,2077036
2016-03-16,700.5,705.0,683.5,692.0,3159410
2016-03-17,700.5,701.5,686.0,700.5,3507953
