Date,Open,High,Low,Close,Volume
2016-01-04,750.0,750.5,726.6,736.0,9873279
2016-01-05,754.1,764.0,733.6,746.0,8892224
2016-01-06,730.0,730.0,693.7,709.4,13443656
2016-01-07,675.0,679.8,662.0,673.7,17434161
2016-01-08,677.8,691.6,652.1,652.1,11264179
2016-01-11,645.4,659.9,634.1,636.1,11766820
2016-01-12,619.0,648.8,609.1,617.9,18556609
2016-01-13,624.3,640.3,614.2,619.6,16385885
2016-01-14,626.0,664.3,618.4,657.0,19563857
2016-01-15,640.0,645.7,607.4,615.0,18105643
2016-01-18,615.9,625.3,601.7,608.8,11714716
2016-01-19,626.0,648.7,619.2,627.1,13571701
2016-01-20,599.9,600.0,571.6,580.9,17624554
2016-01-21,592.0,652.9,585.0,642.8,22574114
2016-01-22,666.6,677.2,641.2,648.9,17122821
2016-01-25,658.0,658.0,627.2,639.8,11121848
2016-01-26,625.0,669.0,616.0,665.5,15136568
2016-01-27,660.0,669.9,635.4,669.9,15183580
2016-01-28,664.8,703.6,658.7,679.6,18034747
2016-01-29,690.0,695.0,651.3,676.4,13561734
2016-02-01,682.1,686.2,659.5,678.1,10721127
2016-02-02,664.0,664.0,620.8,632.4,13548778
2016-02-03,626.6,646.7,619.6,643.2,15553533
2016-02-04,670.2,727.5,668.7,712.6,17947158
2016-02-05,701.2,725.5,688.3,709.2,15208199
2016-02-08,714.7,730.0,687.8,707.5,11976871
2016-02-09,704.0,707.5,655.8,666.1,12759426
2016-02-10,675.0,678.6,643.9,653.8,13587653
2016-02-11,640.0,646.7,607.5,634.1,9933468
2016-02-12,640.4,697.5,640.4,696.6,14626217
2016-02-15,715.7,718.0,686.8,693.6,8665437
2016-02-16,723.3,735.0,679.9,693.0,14881827
2016-02-17,698.1,743.7,691.1,743.0,14839650
2016-02-18,749.0,756.8,720.3,738.5,14156371
2016-02-19,732.6,740.3,723.5,732.4,12546302
2016-02-22,755.0,801.1,755.0,794.5,10032697
2016-02-23,775.0,775.0,736.4,746.9,17575994
2016-02-24,728.0,728.0,679.0,684.3,18858804
2016-02-25,701.0,708.8,683.3,689.9,12037015
2016-02-26,700.0,724.9,696.1,716.1,13559680
2016-02-29,703.0,732.14,695.4,728.0,11621141
2016-03-01,727.9,758.1,725.0,740.4,11313259
2016-03-02,775.0,784.0,751.1,778.4,16625885
2016-03-03,800.0,815.1,783.9,795.3,17623666
2016-03-04,811.0,868.7,810.6,867.8,19712713
2016-03-07,865.4,906.7,839.5,897.8,20683608
2016-03-08,853.0,861.8,814.4,821.4,19046932
2016-03-09,813.4,834.8,798.1,831.2,12244503
2016-03-10,816.4,832.3,789.1,789.9,12624467
2016-03-11,806.0,818.2,783.9,815.8,10741776
2016-03-14,820.0,847.3,806.0,816.2,9923641
2016-03-15,780.5,780.5,757.0,762.8,11364764
2016-03-16,768.0,779.0,756.7,763.4,9326568
2016-03-17,808.0,827.5,805.5,822.0,14564109
2016-03-18,833.9,854.5,821.2,830.7,14922145
2016-03-21,823.2,839.7,812.6,819.5,6643591
2016-03-22,813.4,824.8,804.1,816.7,7386156
2016-03-23,815.5,823.4,787.6,795.5,8018168
2016-03-24,785.0,785.7,760.2,778.4,7348770
2016-03-29,778.6,783.5,742.2,750.0,10153208
2016-03-30,763.1,805.0,763.1,793.6,10393492
2016-03-31,779.0,799.5,761.1,782.8,11731867
2016-04-01,774.7,793.9,757.8,772.4,9422100
2016-04-04,783.8,784.0,767.0,769.7,8066397
2016-04-05,749.0,770.97,724.0,734.5,10346553
2016-04-06,745.0,753.6,714.7,732.7,11938805
