Date,Open,High,Low,Close,Volume
2016-01-04,102.8,104.99,102.1,104.92,1607918
2016-01-05,105.02,105.61,101.24,103.45,899755
2016-01-06,101.87,103.67,99.53,100.44,1290108
2016-01-07,99.44,100.85,97.09,97.09,1411137
2016-01-08,97.71,99.34,94.3,95.75,1333818
2016-01-11,95.87,95.95,89.4,93.29,1825075
2016-01-12,93.43,96.77,89.35,93.11,1576830
2016-01-13,92.6,93.84,83.67,84.12,1807874
2016-01-14,86.27,86.86,77.59,84.43,6299801
2016-01-15,81.12,85.25,81.01,83.14,3442391
2016-01-19,83.81,84.04,77.57,79.51,2057746
2016-01-20,78.03,82.67,74.69,81.38,2412127
2016-01-21,81.64,83.38,79.48,80.82,1717243
2016-01-22,82.43,85.84,81.07,84.66,1737978
2016-01-25,83.86,87.52,83.86,85.01,1492238
2016-01-26,84.62,87.25,82.05,86.04,1244904
2016-01-27,86.18,87.93,79.15,80.14,1704908
2016-01-28,80.72,81.02,72.52,73.38,2859624
2016-01-29,73.84,75.5,70.25,74.02,3262419
2016-02-01,73.81,76.7,73.27,75.65,2329508
2016-02-02,74.44,76.0,71.78,72.04,1552919
2016-02-03,72.37,74.69,67.53,71.91,2201104
2016-02-04,71.5,73.78,69.57,71.15,2227941
2016-02-05,70.75,71.58,66.2,68.41,2222653
2016-02-08,68.17,68.17,63.71,64.74,1794017
2016-02-09,63.59,67.4,62.12,65.11,2450706
2016-02-10,65.96,70.76,65.57,67.02,1853439
2016-02-11,65.43,68.89,65.03,67.26,1641740
2016-02-12,68.0,71.25,67.07,70.08,2152495
2016-02-16,72.11,74.4,71.49,74.26,2437768
2016-02-17,75.16,79.63,73.61,77.81,2542113
2016-02-18,78.36,78.8,74.45,74.87,1830333
2016-02-19,74.55,77.91,73.28,77.7,1983134
2016-02-22,79.05,81.9,76.75,78.49,1620479
2016-02-23,78.11,80.25,75.48,75.61,1764345
2016-02-24,74.31,76.52,72.96,76.34,1465095
2016-02-25,76.92,78.91,74.64,76.41,1840547
2016-02-26,76.64,82.11,74.8,80.14,2298968
2016-02-29,80.75,84.9,80.62,81.87,2410236
2016-03-01,82.5,88.04,81.03,87.57,2372919
2016-03-02,87.44,90.34,84.0,87.44,2080450
2016-03-03,88.91,90.99,88.28,89.57,2802774
2016-03-04,89.73,89.82,86.47,86.67,1744530
2016-03-07,87.7,89.84,86.18,88.22,1761572
2016-03-08,89.36,90.46,85.29,85.54,1330765
2016-03-09,85.86,86.21,82.51,85.22,1489505
2016-03-10,86.54,86.54,81.32,83.6,1288346
2016-03-11,84.6,88.54,83.59,88.27,1301454
2016-03-14,87.52,88.76,85.47,85.98,1452059
2016-03-15,85.44,85.55,82.4,83.43,1147238
2016-03-16,82.81,84.0,78.61,80.34,1462832
2016-03-17,80.4,80.4,74.67,77.32,2961089
2016-03-18,77.81,81.47,77.08,80.94,2456904
2016-03-21,76.13,79.81,75.9,78.19,2746426
2016-03-22,77.46,83.66,77.46,83.43,2615068
2016-03-23,83.18,85.32,80.34,80.61,2186751
2016-03-24,80.82,83.01,78.42,80.87,1545363
2016-03-28,81.35,81.45,78.87,79.0,713321
2016-03-29,79.01,79.93,76.42,78.76,1455045
2016-03-30,79.37,81.5,77.1,78.1,933981
2016-03-31,79.09,84.12,78.35,82.48,2162392
2016-04-01,81.46,86.72,81.03,84.66,1592730
