Date,Open,High,Low,Close,Volume
2016-01-04,351.25,353.45,343.8,347.55,27796985
2016-01-05,349.0,352.5,343.5,348.15,22210077
2016-01-06,350.4,352.02,339.1,343.45,26775687
2016-01-07,337.0,339.4,324.6,337.7,54399418
2016-01-08,339.7,339.71,328.7,328.7,37281949
2016-01-11,329.05,336.0,327.35,328.05,34189186
2016-01-12,328.0,336.9,322.4,323.1,43739636
2016-01-13,327.1,342.1,325.0,335.85,51660073
2016-01-14,332.2,353.1,330.35,347.7,55247593
2016-01-15,349.3,349.65,335.55,338.15,52047580
2016-01-18,336.65,347.35,333.1,340.5,35471852
2016-01-19,346.3,351.45,339.65,342.45,38784432
2016-01-20,333.7,336.2,325.1,328.15,58538334
2016-01-21,328.6,344.15,326.05,342.25,43456261
2016-01-22,350.85,357.8,347.45,352.7,42686987
2016-01-25,352.8,353.43,343.05,350.15,45037100
2016-01-26,342.2,357.8,338.0,356.5,39526943
2016-01-27,356.0,362.9,349.95,362.9,40218775
2016-01-28,362.5,378.8,360.85,368.45,56977254
2016-01-29,376.05,377.8,366.9,376.1,51400805
2016-02-01,379.45,381.8,359.7,366.95,47852182
2016-02-02,348.1,349.8,330.1,335.1,67238082
2016-02-03,332.35,337.1,324.55,332.35,46922293
2016-02-04,341.0,354.4,338.2,350.85,55197405
2016-02-05,350.0,356.55,345.4,350.65,31656213
2016-02-08,352.9,353.4,337.85,343.9,34851104
2016-02-09,344.5,347.7,334.45,334.45,39797669
2016-02-10,335.2,337.7,326.35,330.1,37071488
2016-02-11,319.7,321.09,309.1,310.25,44515040
2016-02-12,317.0,332.83,316.11,332.5,53437303
2016-02-15,339.6,339.85,331.75,332.8,26581426
2016-02-16,341.25,348.25,334.28,337.4,46799234
2016-02-17,336.05,350.95,335.15,349.85,48674651
2016-02-18,351.0,352.3,310.0,345.4,37157001
2016-02-19,345.25,351.0,341.0,343.25,21442029
2016-02-22,347.6,358.9,347.6,356.85,16935500
2016-02-23,354.0,354.6,344.15,345.35,36018858
2016-02-24,343.15,344.05,332.56,335.0,49183386
2016-02-25,339.55,346.49,336.25,338.45,33668671
2016-02-26,343.3,351.5,341.6,349.55,37033247
2016-02-29,347.0,351.55,344.65,351.45,34032015
2016-03-01,351.0,355.35,347.95,350.65,26360065
2016-03-02,353.0,353.9,346.1,352.9,33138363
2016-03-03,355.0,364.7,352.38,362.0,43012243
2016-03-04,365.0,371.15,360.9,367.9,32570687
2016-03-07,365.05,368.35,355.75,365.55,35729315
2016-03-08,363.9,364.45,351.15,358.12,34254190
2016-03-09,350.8,357.45,350.45,356.0,29820703
2016-03-10,354.95,356.65,343.15,343.2,40393967
2016-03-11,349.0,355.8,344.8,348.37,31977980
2016-03-14,349.45,353.1,335.62,345.45,31720244
