Date,Open,High,Low,Close,Volume
2016-01-04,1189.0,1189.0,1136.0,1140.0,2158553
2016-01-05,1149.0,1151.0,1113.0,1121.0,2394167
2016-01-06,1115.0,1115.0,1077.0,1098.0,2446232
2016-01-07,1063.0,1078.0,1047.0,1078.0,3171143
2016-01-08,1084.0,1109.0,1077.0,1095.0,2759086
2016-01-11,1095.0,1108.0,1083.0,1084.0,2119685
2016-01-12,1092.0,1123.1,1090.0,1103.0,2351324
2016-01-13,1115.0,1127.0,1102.0,1112.0,1932709
2016-01-14,1165.0,1173.0,1100.0,1121.0,5070633
2016-01-15,1117.0,1141.25,1098.0,1120.0,2460027
2016-01-18,1115.0,1127.6,1112.0,1121.0,1736945
2016-01-19,1150.0,1160.0,1133.0,1139.0,2339483
2016-01-20,1119.0,1156.05,1087.0,1120.0,2356059
2016-01-21,1119.0,1154.68,1112.0,1153.0,2584024
2016-01-22,1176.0,1213.0,1169.0,1181.0,3218137
2016-01-25,1186.0,1186.0,1163.0,1178.0,2346499
2016-01-26,1163.0,1220.0,1155.0,1211.0,4041110
2016-01-27,1214.0,1220.0,1183.0,1190.0,2360301
2016-01-28,1181.0,1190.0,1160.0,1160.0,2743791
2016-01-29,1179.0,1195.0,1168.0,1195.0,2487644
2016-02-01,1195.0,1202.0,1173.0,1189.0,1771683
2016-02-02,1188.0,1190.0,1150.0,1168.0,1583644
2016-02-03,1177.0,1197.0,1158.0,1165.0,2476722
2016-02-04,1186.0,1191.0,1165.0,1185.0,2583935
2016-02-05,1189.0,1225.0,1182.0,1218.0,4292823
2016-02-08,1225.0,1241.0,1194.0,1200.0,2462684
2016-02-09,1198.0,1217.0,1172.0,1172.0,3229943
2016-02-10,1189.0,1199.0,1158.0,1163.0,2902297
2016-02-11,1156.0,1156.0,1109.0,1109.0,3356443
2016-02-12,1122.0,1186.0,1117.8,1174.0,3214527
2016-02-15,1201.0,1220.0,1194.0,1209.0,1289496
2016-02-16,1215.0,1223.0,1199.0,1212.0,1372473
2016-02-17,1212.0,1293.84,1212.0,1289.0,2312558
2016-02-18,1295.0,1295.0,1267.0,1277.0,1548083
2016-02-19,1277.0,1281.0,1259.0,1270.0,1128538
2016-02-22,1285.0,1295.0,1285.0,1287.0,886306
2016-02-23,1286.0,1286.0,1229.0,1234.0,2387842
2016-02-24,1233.0,1235.0,1161.0,1180.0,3506124
2016-02-25,1198.0,1204.0,1178.0,1180.0,1968445
2016-02-26,1199.0,1276.0,1196.0,1269.0,3237690
2016-02-29,1262.0,1324.14,1256.0,1320.0,3631956
2016-03-01,1318.0,1392.0,1317.0,1352.0,3012464
2016-03-02,1364.0,1400.0,1353.0,1360.0,3092909
2016-03-03,1362.0,1370.0,1349.0,1364.0,1311665
2016-03-04,1366.0,1383.22,1365.0,1380.0,1576311
2016-03-07,1373.0,1385.0,1355.0,1371.0,2123735
2016-03-08,1425.0,1468.0,1421.0,1462.0,4775466
2016-03-09,1450.0,1458.0,1351.0,1364.0,3554756
2016-03-10,1364.0,1394.0,1345.0,1349.0,1921501
