Date,Open,High,Low,Close,Volume
2016-01-04,467.25,468.0,457.43,459.9,9610213
2016-01-05,463.15,466.9,459.65,464.45,7842458
2016-01-06,463.8,467.35,459.57,467.35,11165230
2016-01-07,460.0,465.25,454.8,462.25,14679770
2016-01-08,464.25,471.95,461.6,465.65,10985062
2016-01-11,465.65,467.63,463.0,463.0,10833787
2016-01-12,463.15,479.0,460.0,473.4,12127831
2016-01-13,477.8,479.45,473.95,476.15,8528307
2016-01-14,470.0,470.0,459.95,467.0,12354636
2016-01-15,469.05,475.71,458.8,463.3,16978345
2016-01-18,461.35,466.15,458.4,459.4,9117144
2016-01-19,466.75,469.06,462.0,467.75,12608344
2016-01-20,460.15,461.0,449.35,452.0,14007273
2016-01-21,453.95,465.95,449.92,465.65,19084815
2016-01-22,474.65,487.9,471.4,487.25,18508653
2016-01-25,488.2,488.2,467.0,471.0,18891408
2016-01-26,460.0,470.75,456.07,468.3,17937416
2016-01-27,469.5,478.3,458.29,478.3,12788349
2016-01-28,475.7,478.65,463.2,466.2,11332853
2016-01-29,470.7,484.85,470.7,484.85,21008614
2016-02-01,497.0,501.1,488.71,494.2,21825912
2016-02-02,495.0,502.3,489.05,496.0,20542633
2016-02-03,493.75,495.5,480.75,486.0,17219039
2016-02-04,491.75,494.8,483.1,485.5,15726645
2016-02-05,487.25,490.4,475.6,475.9,15102819
2016-02-08,475.0,476.55,453.4,454.8,18758242
2016-02-09,456.7,467.05,452.55,459.95,19291485
2016-02-10,463.6,467.8,455.5,464.45,12675120
2016-02-11,461.3,462.35,448.6,450.45,12861042
2016-02-12,448.55,451.65,442.3,448.25,23286524
2016-02-15,456.7,460.15,452.35,455.45,11876050
2016-02-16,456.8,461.05,452.9,456.0,11742814
2016-02-17,455.7,462.55,453.75,461.5,14491585
2016-02-18,462.05,469.95,460.3,464.35,13321073
2016-02-19,463.85,467.65,455.7,457.85,10901704
2016-02-22,463.3,471.15,463.1,467.45,11587011
2016-02-23,465.15,465.9,458.92,459.85,11757063
2016-02-24,459.85,463.75,452.45,458.45,15700668
2016-02-25,470.0,483.35,468.3,479.8,25024440
2016-02-26,484.7,491.3,481.01,485.05,14980135
2016-02-29,481.25,487.75,481.25,486.5,15614507
2016-03-01,487.5,496.85,484.15,496.0,13555123
2016-03-02,492.7,494.97,480.7,481.8,15053110
2016-03-03,482.05,484.1,471.9,475.25,10085966
2016-03-04,477.15,480.0,468.3,470.0,16093745
2016-03-07,468.9,468.9,459.92,465.7,12778084
2016-03-08,462.7,466.1,459.45,463.45,12385269
2016-03-09,465.5,467.5,459.4,459.8,17176267
2016-03-10,461.6,462.08,451.6,451.6,14679834
2016-03-11,457.2,459.15,451.09,459.05,10469664
2016-03-14,461.3,464.95,459.0,462.0,11655859
2016-03-15,459.8,462.8,453.5,454.15,17853779
2016-03-16,454.4,455.4,446.25,452.1,17649997
2016-03-17,455.0,455.7,443.5,446.5,16441575
2016-03-18,448.75,453.95,446.5,447.0,24151593
2016-03-21,446.3,451.65,443.05,449.25,10430720
2016-03-22,446.5,446.78,439.9,444.6,14251642
2016-03-23,444.55,447.8,440.8,442.4,10560098
2016-03-24,440.1,441.55,432.95,432.95,14022966
2016-03-29,435.2,439.9,434.22,439.45,12775639
2016-03-30,445.0,447.5,442.35,446.1,13330070
2016-03-31,446.0,446.0,438.75,440.5,15365111
2016-04-01,435.75,439.13,434.8,438.6,13878207
2016-04-04,436.0,443.6,432.0,438.65,11090141
2016-04-05,436.15,437.4,433.6,435.35,10127843
2016-04-06,436.45,442.15,433.85,442.15,11517873
2016-04-07,443.6,447.1,437.85,440.05,10596354
2016-04-08,441.15,441.95,436.45,437.45,10049424
2016-04-11,437.05,443.15,435.52,441.15,10161511
2016-04-12,440.15,444.35,437.95,444.35,11421882
2016-04-13,449.0,449.0,441.2,444.6,11867527
2016-04-14,446.0,447.55,442.9,446.45,10370116
2016-04-15,447.0,447.72,442.15,444.0,10964546
2016-04-18,440.75,456.25,439.28,454.9,15053030
2016-04-19,454.4,457.25,451.07,451.1,13654140
2016-04-20,446.8,448.0,436.57,438.25,18587156
2016-04-21,439.2,439.2,432.6,434.75,13208638
2016-04-22,433.5,439.0,433.5,435.0,13699687
2016-04-25,435.0,437.75,427.11,429.45,13460458
2016-04-26,430.65,432.4,426.65,429.1,12477936
2016-04-27,430.75,438.75,429.2,437.8,15826568
2016-04-28,436.15,436.15,429.21,434.25,10787773
2016-04-29,435.0,446.85,433.4,443.2,21448306
2016-05-03,447.0,450.6,444.0,448.2,18952777
2016-05-04,448.6,448.6,439.0,439.5,13176421
2016-05-05,451.0,456.2,449.58,451.05,18972816
2016-05-06,450.0,450.0,433.25,443.5,13374409
2016-05-09,446.65,449.05,439.15,440.85,12914419
