Date,Open,High,Low,Close,Volume
2016-01-04,28.09,28.19,27.77,28.16,2658593
2016-01-05,28.16,28.27,27.68,27.88,3101346
2016-01-06,27.36,27.59,27.14,27.27,2911258
2016-01-07,26.76,27.0,26.37,26.38,3658014
2016-01-08,26.5,26.78,26.32,26.35,3200229
2016-01-11,26.48,26.66,25.88,26.2,3438019
2016-01-12,26.78,27.07,26.42,26.77,3618358
2016-01-13,26.94,27.1,26.2,26.35,3788118
2016-01-14,26.55,27.22,26.27,27.06,2854980
2016-01-15,26.21,26.62,25.91,26.53,3798193
2016-01-19,26.77,26.89,25.78,26.1,4199714
2016-01-20,25.64,26.0,25.18,25.83,3259411
2016-01-21,25.96,26.43,25.6,26.17,3174890
2016-01-22,26.82,26.84,26.44,26.73,2655173
2016-01-25,26.55,26.67,26.15,26.25,4106143
2016-01-26,26.2,27.05,26.2,26.85,4187049
2016-01-27,27.48,28.15,27.16,27.73,6726529
2016-01-28,27.85,28.21,27.54,28.2,3816151
2016-01-29,28.34,28.94,28.22,28.73,5501336
2016-02-01,28.45,28.62,28.22,28.46,3258870
2016-02-02,28.19,28.19,27.4,27.63,3789019
2016-02-03,27.87,27.99,27.21,27.87,3478411
2016-02-04,27.78,28.4,27.74,28.15,3223150
2016-02-05,28.01,28.32,27.5,28.32,7980161
2016-02-08,28.0,28.45,26.9,27.45,4676157
2016-02-09,27.1,27.88,27.0,27.57,3882609
2016-02-10,27.8,28.31,27.67,27.71,2868936
2016-02-11,27.17,27.46,26.86,27.15,3860646
2016-02-12,27.34,27.71,27.16,27.7,3260670
2016-02-16,27.73,28.36,27.5,28.36,4284685
2016-02-17,28.59,28.94,28.44,28.81,2815228
2016-02-18,28.76,29.22,28.73,29.17,3618636
2016-02-19,29.3,30.15,28.92,30.01,7479786
2016-02-22,30.23,30.25,29.41,29.53,4163855
2016-02-23,29.4,29.52,29.08,29.23,3554591
2016-02-24,28.91,29.56,28.82,29.51,2230800
2016-02-25,29.59,29.79,29.26,29.78,1509258
2016-02-26,29.94,29.96,29.3,29.38,2494878
2016-02-29,29.35,29.68,29.23,29.29,2189254
2016-03-01,29.5,30.08,29.48,30.07,2049052
2016-03-02,29.9,30.06,29.45,29.61,3077162
2016-03-03,29.5,29.85,29.32,29.81,1934790
2016-03-04,29.88,29.94,29.45,29.56,1979980
2016-03-07,29.42,29.94,29.19,29.77,1800337
2016-03-08,29.5,29.84,29.26,29.6,2290638
2016-03-09,29.67,30.27,29.47,30.07,3473617
2016-03-10,30.04,30.3,29.52,29.99,2635940
2016-03-11,30.28,30.56,30.13,30.54,2729931
2016-03-14,30.38,30.51,30.2,30.32,2368103
2016-03-15,30.34,30.49,29.95,30.28,2024371
2016-03-16,30.27,30.72,30.04,30.7,3945527
2016-03-17,30.61,31.05,30.5,30.92,2472331
2016-03-18,30.21,30.92,30.21,30.74,4177176
2016-03-21,30.77,31.23,30.48,31.08,2075572
2016-03-22,30.98,31.27,30.82,31.11,1395525
2016-03-23,31.09,31.11,30.49,30.6,2063006
2016-03-24,30.48,30.86,30.38,30.73,1537754
2016-03-28,30.89,30.89,30.41,30.73,1682290
2016-03-29,30.69,30.87,30.37,30.71,3708109
2016-03-30,30.86,31.24,30.77,30.89,2231778
2016-03-31,30.92,31.16,30.74,30.79,2699305
2016-04-01,30.6,31.0,30.42,30.99,3513218
2016-04-04,31.05,31.1,30.69,30.72,1825795
2016-04-05,30.55,30.72,30.31,30.35,3685008
2016-04-06,30.43,30.57,30.16,30.49,2261134
2016-04-07,30.25,30.53,30.02,30.07,2487330
2016-04-08,30.27,30.46,30.01,30.04,2171186
2016-04-11,30.1,30.46,30.07,30.08,3037919
2016-04-12,30.21,30.32,29.82,29.99,3125947
2016-04-13,30.17,30.37,30.07,30.28,2607576
2016-04-14,30.24,30.38,29.99,30.05,2249314
2016-04-15,30.05,30.28,29.95,30.14,2463952
2016-04-18,30.08,30.57,30.01,30.4,2085296
2016-04-19,30.52,30.64,30.16,30.3,2004884
2016-04-20,30.4,30.54,30.15,30.21,2573286
2016-04-21,30.5,30.81,30.46,30.51,3440462
2016-04-22,30.4,30.63,30.15,30.18,2382702
2016-04-25,30.1,30.41,30.1,30.22,2584288
2016-04-26,30.38,30.84,30.32,30.6,2297014
2016-04-27,30.56,30.87,30.48,30.79,2106739
2016-04-28,30.66,30.77,29.96,30.11,2973183
2016-04-29,29.83,29.87,29.49,29.66,4614571
2016-05-02,29.67,29.77,29.35,29.61,3895989
2016-05-03,29.28,29.87,29.28,29.67,4073593
2016-05-04,29.52,29.68,29.37,29.41,2308605
2016-05-05,29.47,29.62,29.34,29.36,2596698
2016-05-06,29.28,29.71,29.12,29.71,1872134
2016-05-09,29.68,29.91,29.59,29.81,2692853
2016-05-10,29.91,30.18,29.83,30.15,2389250
2016-05-11,29.98,30.23,29.81,29.96,2914973
2016-05-12,31.25,31.8,31.11,31.48,6883505
2016-05-13,31.41,31.82,31.35,31.53,3543266
2016-05-16,31.49,31.79,31.32,31.49,3289625
2016-05-17,31.34,31.58,31.03,31.19,3028445
2016-05-18,31.18,31.52,31.07,31.36,2692072
2016-05-19,31.17,31.4,30.92,31.19,2144374
2016-05-20,31.24,31.56,31.21,31.31,2780280
2016-05-23,31.3,31.33,30.97,31.05,3134958
2016-05-24,31.01,31.49,31.01,31.46,3040905
2016-05-25,31.52,31.92,31.44,31.78,4434197
2016-05-26,31.77,32.09,31.56,32.02,3027236
2016-05-27,32.08,32.19,31.94,32.07,3218115
2016-05-31,32.07,32.38,32.0,32.32,4237945
2016-06-01,32.23,32.5,32.09,32.48,2671072
2016-06-02,32.28,32.81,32.19,32.8,2779603
2016-06-03,32.61,32.65,32.26,32.58,2401941
2016-06-06,32.53,32.8,32.53,32.71,1499095
2016-06-07,32.76,32.89,32.69,32.74,1642739
2016-06-08,32.69,33.09,32.57,33.09,2886102
