Date,Open,High,Low,Close,Volume
2016-01-04,1440.0,1440.0,1411.0,1427.0,436601
2016-01-05,1433.0,1438.0,1412.0,1427.0,276256
2016-01-06,1418.0,1429.0,1413.0,1429.0,341109
2016-01-07,1398.0,1431.0,1392.0,1410.0,570581
2016-01-08,1409.0,1420.0,1400.0,1401.0,469987
2016-01-11,1409.0,1413.0,1389.0,1407.0,667488
2016-01-12,1412.0,1420.0,1399.0,1415.0,323526
2016-01-13,1423.0,1431.0,1410.0,1414.0,270181
2016-01-14,1397.0,1399.0,1378.0,1384.0,368167
2016-01-15,1381.0,1393.0,1358.0,1366.0,457014
2016-01-18,1366.0,1384.0,1353.0,1371.0,396449
2016-01-19,1397.0,1408.0,1387.0,1390.0,303065
2016-01-20,1365.0,1368.0,1337.63,1347.0,405435
2016-01-21,1354.0,1377.0,1348.0,1366.0,422385
2016-01-22,1382.0,1383.0,1357.0,1371.0,349590
2016-01-25,1375.0,1399.0,1370.0,1379.0,364395
2016-01-26,1369.0,1391.0,1362.0,1387.0,238377
2016-01-27,1382.0,1409.0,1382.0,1409.0,357172
2016-01-28,1399.0,1420.0,1387.0,1397.0,349449
2016-01-29,1416.0,1429.0,1406.0,1429.0,437169
2016-02-01,1431.0,1459.0,1426.0,1441.0,378846
2016-02-02,1442.0,1448.0,1426.0,1440.0,311832
2016-02-03,1435.0,1445.0,1398.0,1400.0,494701
2016-02-04,1390.0,1390.0,1304.0,1322.0,715477
2016-02-05,1328.0,1345.0,1311.0,1313.0,382864
2016-02-08,1320.0,1320.0,1265.0,1265.0,394477
2016-02-09,1274.0,1285.0,1250.0,1277.0,467817
2016-02-10,1276.0,1305.0,1274.0,1305.0,515919
2016-02-11,1300.0,1300.0,1273.0,1281.0,361481
2016-02-12,1284.0,1303.0,1271.0,1303.0,367122
2016-02-15,1323.0,1337.0,1316.0,1336.0,302142
2016-02-16,1340.0,1348.0,1328.0,1344.0,232435
2016-02-17,1341.0,1386.0,1341.0,1386.0,301837
2016-02-18,1382.0,1401.0,1373.0,1374.0,437220
2016-02-19,1460.0,1460.0,1400.0,1413.0,947475
2016-02-22,1461.0,1480.0,1457.0,1467.0,345638
2016-02-23,1467.0,1480.0,1455.0,1458.0,403469
2016-02-24,1458.0,1461.0,1381.0,1385.0,611582
2016-02-25,1397.0,1429.0,1397.0,1409.0,487735
2016-02-26,1429.0,1429.0,1364.0,1367.0,597882
2016-02-29,1360.0,1375.0,1324.0,1375.0,1132507
2016-03-01,1366.0,1394.0,1355.0,1390.0,459679
2016-03-02,1388.0,1396.0,1352.0,1366.0,374406
2016-03-03,1359.0,1378.0,1348.0,1373.0,278221
2016-03-04,1384.0,1395.0,1372.0,1386.0,385421
2016-03-07,1385.0,1408.0,1378.0,1401.0,320747
2016-03-08,1389.0,1400.0,1376.0,1390.0,216247
2016-03-09,1402.0,1407.0,1389.0,1396.0,266134
2016-03-10,1400.0,1407.0,1376.0,1376.0,322034
2016-03-11,1392.0,1407.0,1387.0,1396.0,283529
2016-03-14,1395.0,1413.0,1395.0,1408.0,231037
2016-03-15,1409.0,1437.0,1395.0,1433.0,275143
2016-03-16,1436.0,1441.0,1411.0,1434.0,407435
2016-03-17,1438.0,1446.0,1414.0,1430.0,262057
2016-03-18,1433.0,1456.0,1424.0,1454.0,581867
2016-03-21,1444.0,1449.0,1429.0,1442.0,195368
2016-03-22,1434.0,1446.0,1418.0,1444.0,292710
2016-03-23,1446.0,1463.0,1446.0,1459.0,251466
2016-03-24,1451.0,1454.0,1432.0,1432.0,314864
2016-03-29,1441.0,1446.0,1432.0,1439.0,304574
2016-03-30,1450.0,1507.0,1450.0,1505.0,438678
2016-03-31,1496.0,1510.0,1478.0,1480.0,573651
2016-04-01,1468.0,1470.0,1438.0,1452.0,477316
2016-04-04,1453.0,1474.0,1453.0,1459.0,305606
2016-04-05,1453.0,1454.0,1438.0,1440.0,398609
2016-04-06,1447.0,1454.0,1439.0,1447.0,454495
2016-04-07,1451.0,1459.0,1437.0,1440.0,225368
2016-04-08,1444.0,1447.0,1436.0,1441.0,267967
2016-04-11,1438.0,1443.0,1429.0,1438.0,224390
2016-04-12,1440.0,1440.0,1415.0,1423.0,369524
2016-04-13,1433.0,1457.0,1430.0,1453.0,255970
2016-04-14,1456.0,1468.0,1448.0,1460.0,236404
2016-04-15,1461.0,1468.0,1454.0,1459.0,367622
2016-04-18,1441.0,1461.0,1441.0,1453.0,281293
2016-04-19,1452.0,1469.0,1450.0,1450.0,462669
2016-04-20,1453.0,1458.0,1434.0,1448.0,405532
2016-04-21,1447.0,1450.0,1405.0,1423.0,262393
2016-04-22,1417.0,1420.56,1389.0,1397.0,292601
2016-04-25,1395.0,1403.0,1384.0,1398.0,219218
2016-04-26,1401.0,1414.0,1388.0,1403.0,285536
2016-04-27,1398.0,1410.0,1395.0,1410.0,303161
2016-04-28,1399.0,1409.0,1374.0,1409.0,301542
2016-04-29,1397.0,1409.0,1395.0,1400.0,370387
2016-05-03,1419.0,1426.0,1380.0,1388.0,336052
2016-05-04,1378.0,1393.0,1370.0,1373.0,216990
2016-05-05,1378.0,1383.44,1370.0,1375.0,208529
2016-05-06,1372.0,1384.0,1364.0,1377.0,286359
2016-05-09,1384.0,1401.0,1384.0,1395.0,222261
2016-05-10,1407.0,1421.0,1395.0,1405.0,288272
2016-05-11,1400.0,1405.0,1396.0,1402.0,215718
2016-05-12,1392.0,1414.0,1390.0,1397.0,242985
2016-05-13,1387.0,1387.0,1304.0,1348.0,707533
2016-05-16,1340.0,1356.0,1329.0,1355.0,360351
2016-05-17,1355.0,1366.0,1345.0,1350.0,348524
2016-05-18,1345.0,1354.0,1322.0,1322.0,488765
2016-05-19,1325.0,1328.0,1286.0,1286.0,501715
