Date,Open,High,Low,Close,Volume
2016-01-04,3906.0,3906.0,3763.0,3806.0,666135
2016-01-05,3836.0,3860.0,3802.0,3820.0,593737
2016-01-06,3799.0,3824.0,3748.0,3820.0,704938
2016-01-07,3751.0,3801.0,3707.0,3790.0,607874
2016-01-08,3789.0,3845.0,3773.0,3773.0,574776
2016-01-11,3783.0,3849.0,3748.0,3837.0,573902
2016-01-12,3863.0,3951.0,3836.0,3907.0,787823
2016-01-13,3947.0,3955.26,3882.0,3899.0,662929
2016-01-14,3818.0,3818.0,3621.0,3649.0,1076752
2016-01-15,3651.0,3720.0,3558.79,3607.0,1304046
2016-01-18,3605.0,3660.0,3590.0,3656.0,430258
2016-01-19,3715.0,3754.0,3680.0,3733.0,681982
2016-01-20,3648.0,3649.9,3444.0,3505.0,1439969
2016-01-21,3535.0,3638.0,3490.0,3619.0,967266
2016-01-22,3692.0,3692.0,3609.0,3625.0,699416
2016-01-25,3629.0,3629.0,3578.0,3600.0,609995
2016-01-26,3553.0,3594.0,3533.0,3568.0,532002
2016-01-27,3584.0,3682.0,3581.0,3616.0,872893
2016-01-28,3563.0,3572.0,3329.0,3384.0,1389989
2016-01-29,3430.0,3480.0,3322.0,3480.0,1114715
2016-02-01,3499.0,3526.0,3467.0,3515.0,708837
2016-02-02,3514.0,3530.0,3245.0,3336.0,1556354
2016-02-03,3308.0,3308.0,3213.0,3243.0,1038463
2016-02-04,3282.0,3296.0,3211.0,3225.0,793443
2016-02-05,3238.0,3266.0,3114.0,3128.0,1167031
2016-02-08,3143.0,3149.0,2950.0,2957.0,1238504
2016-02-09,3000.0,3082.0,2917.0,3034.0,1376684
2016-02-10,3085.0,3161.0,3044.0,3118.0,827243
2016-02-11,3086.0,3098.0,2998.0,3044.0,1044246
2016-02-12,3091.0,3109.0,3034.0,3106.0,648353
2016-02-15,3171.0,3176.63,3125.0,3149.0,444736
2016-02-16,3164.0,3224.0,3124.0,3194.0,710399
2016-02-17,3214.0,3326.0,3208.0,3301.0,823538
2016-02-18,3305.0,3305.0,3236.0,3275.0,502790
2016-02-19,3250.0,3313.0,3247.0,3313.0,570822
2016-02-22,3356.0,3468.0,3355.0,3413.0,689684
2016-02-23,3404.0,3528.0,3397.0,3458.0,1025456
2016-02-24,3478.0,3505.0,3413.0,3425.0,876532
2016-02-25,3477.0,3550.0,3459.0,3539.0,632630
2016-02-26,3579.0,3582.0,3523.27,3546.0,483218
2016-02-29,3512.0,3584.0,3502.0,3578.0,656437
2016-03-01,3562.0,3621.0,3534.0,3599.0,842108
2016-03-02,3639.0,3639.0,3526.0,3532.0,704720
2016-03-03,3536.0,3560.0,3397.0,3417.0,1108941
2016-03-04,3450.0,3523.37,3439.0,3460.0,544110
2016-03-07,3460.0,3461.0,3415.0,3420.0,472051
2016-03-08,3387.0,3401.0,3356.0,3379.0,594336
2016-03-09,3391.0,3398.0,3347.0,3354.0,605367
2016-03-10,3363.0,3415.0,3327.0,3327.0,595027
2016-03-11,3363.0,3410.13,3359.0,3410.0,485559
2016-03-14,3410.0,3491.0,3406.91,3477.0,484142
2016-03-15,3463.0,3506.0,3449.09,3489.0,332815
2016-03-16,3511.0,3549.0,3484.0,3532.0,309394
2016-03-17,3538.0,3538.0,3448.0,3464.0,579168
2016-03-18,3472.0,3515.0,3451.0,3497.0,999609
2016-03-21,3495.0,3534.0,3482.0,3512.0,343912
2016-03-22,3470.0,3493.0,3392.0,3456.0,635708
2016-03-23,3448.0,3550.0,3448.0,3522.0,615339
2016-03-24,3506.0,3547.0,3494.0,3517.0,564541
2016-03-29,3523.0,3555.0,3486.0,3550.0,509794
2016-03-30,3559.0,3728.0,3534.0,3692.0,1150811
2016-03-31,3703.0,3765.0,3697.0,3752.0,907308
2016-04-01,3735.0,3796.0,3700.0,3791.0,565016
2016-04-04,3781.0,3802.0,3737.01,3782.0,418773
2016-04-05,3751.0,3788.59,3711.0,3730.0,547598
2016-04-06,3743.0,3800.0,3721.0,3779.0,642748
2016-04-07,3786.0,3814.0,3752.0,3759.0,407721
2016-04-08,3764.0,3785.0,3750.0,3764.0,527721
2016-04-11,3748.0,3770.0,3707.0,3711.0,361541
2016-04-12,3707.0,3733.0,3680.0,3726.0,499421
2016-04-13,3753.0,3767.37,3724.0,3749.0,476126
2016-04-14,3760.0,3790.0,3739.0,3754.0,386354
2016-04-15,3748.0,3784.0,3724.0,3738.0,393959
2016-04-18,3715.0,3808.0,3674.0,3680.0,918142
2016-04-19,3675.0,3704.0,3628.0,3669.0,542871
2016-04-20,3647.0,3671.0,3601.0,3625.0,365161
2016-04-21,3621.0,3634.41,3543.0,3560.0,749601
2016-04-22,3549.0,3550.0,3457.0,3462.0,520935
2016-04-25,3469.0,3514.0,3459.0,3501.0,498088
2016-04-26,3512.0,3518.0,3467.0,3480.0,439563
2016-04-27,3481.0,3510.0,3466.0,3482.0,500856
2016-04-28,3460.0,3483.0,3420.0,3455.0,807937
2016-04-29,3418.0,3520.22,3387.0,3397.0,907354
2016-05-03,3419.0,3493.0,3400.0,3483.0,811693
2016-05-04,3487.0,3496.0,3452.0,3475.0,365310
2016-05-05,3489.0,3490.0,3431.0,3435.0,351683
2016-05-06,3430.0,3457.0,3411.0,3452.0,355409
2016-05-09,3484.0,3536.0,3482.0,3531.0,476367
2016-05-10,3547.0,3575.0,3467.0,3543.0,616622
2016-05-11,3554.0,3637.0,3554.0,3610.0,422693
2016-05-12,3595.0,3643.0,3580.0,3634.0,535088
2016-05-13,3624.0,3656.0,3595.0,3630.0,474818
2016-05-16,3597.0,3600.0,3565.0,3582.0,260571
2016-05-17,3586.0,3607.0,3572.0,3578.0,341955
2016-05-18,3559.0,3588.0,3531.0,3549.0,395590
2016-05-19,3530.0,3549.0,3484.0,3485.0,541176
2016-05-20,3504.0,3557.0,3488.0,3534.0,402108
2016-05-23,3527.0,3580.0,3527.0,3551.0,375509
2016-05-24,3540.0,3595.0,3533.0,3584.0,495390
2016-05-25,3613.0,3613.0,3489.0,3489.0,649714
2016-05-26,3459.0,3465.85,3364.0,3379.0,890429
2016-05-27,3384.0,3458.5,3349.0,3446.0,661520
2016-05-31,3439.0,3442.0,3405.0,3409.0,818791
2016-06-01,3414.0,3419.0,3362.0,3382.0,547269
2016-06-02,3389.0,3415.0,3386.0,3394.0,552985
2016-06-03,3403.0,3421.0,3335.0,3357.0,489524
2016-06-09,3355.0,3417.0,3346.0,3410.0,708652
2016-06-10,3393.0,3393.0,3327.0,3359.0,599365
2016-06-13,3339.0,3374.0,3320.0,3340.0,693333
