Date,Open,High,Low,Close,Volume
2016-01-04,78.91,79.96,78.48,79.48,3022835
2016-01-05,80.06,80.53,78.51,79.08,1931454
2016-01-06,77.74,78.78,76.93,77.78,1920283
2016-01-07,76.38,78.21,76.05,77.51,1676850
2016-01-08,77.72,78.4,76.59,76.71,1442457
2016-01-11,77.21,77.82,76.25,76.99,1146369
2016-01-12,77.52,79.48,76.74,78.75,2678774
2016-01-13,79.29,80.49,76.89,76.95,2399129
2016-01-14,76.94,77.99,75.4,77.63,1506154
2016-01-15,75.13,76.3,74.1,75.95,2034291
2016-01-19,77.04,77.55,75.29,75.92,2036202
2016-01-20,74.44,75.11,71.64,74.55,3990662
2016-01-21,74.56,74.85,72.44,72.76,2743276
2016-01-22,74.77,75.95,73.28,75.43,1876445
2016-01-25,75.41,76.29,75.22,75.45,2446490
2016-01-26,76.46,76.63,74.0,76.05,1530093
2016-01-27,76.1,76.3,74.75,75.2,2070921
2016-01-28,78.94,79.95,75.74,76.84,3182287
2016-01-29,77.19,78.84,77.12,78.81,2372989
2016-02-01,79.55,80.95,78.34,80.63,2020517
2016-02-02,79.8,80.34,78.31,78.58,1383094
2016-02-03,80.03,80.24,78.39,79.77,1852599
2016-02-04,79.72,79.72,78.49,79.69,1349500
2016-02-05,79.0,79.0,77.07,78.02,1691107
2016-02-08,76.72,77.49,75.2,76.91,1992626
2016-02-09,75.41,77.93,75.2,76.69,1518865
2016-02-10,77.32,78.89,76.91,77.33,1268436
2016-02-11,75.93,78.48,75.5,77.91,1265037
2016-02-12,78.09,78.78,77.04,78.67,1430914
2016-02-16,79.86,80.9,79.27,80.4,1416541
2016-02-17,80.79,81.5,80.19,81.39,1205400
2016-02-18,81.74,81.8,80.39,81.46,1523110
2016-02-19,81.18,81.75,80.84,81.61,1888419
2016-02-22,82.26,83.14,81.83,82.31,1917187
2016-02-23,82.39,82.59,81.65,82.0,1110130
2016-02-24,81.32,82.98,81.19,82.8,853474
2016-02-25,83.24,83.65,82.01,83.62,1068259
2016-02-26,84.51,84.63,82.06,82.68,1377273
2016-02-29,82.94,84.56,82.31,83.07,1674373
2016-03-01,83.92,85.0,83.49,84.69,1564410
2016-03-02,84.5,84.99,83.5,83.98,1110582
2016-03-03,85.23,85.25,82.92,85.19,1156538
2016-03-04,85.51,85.52,84.19,84.35,2402381
2016-03-07,84.3,84.48,82.94,83.4,1355975
2016-03-08,82.77,83.81,82.52,83.1,1064671
2016-03-09,83.72,84.26,83.21,83.78,826712
2016-03-10,84.58,84.58,81.9,82.9,1040145
2016-03-11,82.74,83.28,81.8,83.0,1878260
2016-03-14,82.93,83.04,81.98,82.26,1238164
2016-03-15,82.04,82.61,81.78,82.42,1100863
2016-03-16,81.78,83.39,81.77,82.9,1102810
2016-03-17,82.55,83.35,82.0,82.54,1260164
2016-03-18,82.83,83.39,81.83,82.98,1856153
2016-03-21,83.35,83.54,82.78,83.25,1259827
2016-03-22,82.9,83.61,82.88,83.35,1356540
2016-03-23,83.49,83.74,82.96,83.19,1068185
