Date,Open,High,Low,Close,Volume
2016-01-04,27.58,27.82,27.42,27.82,26302934
2016-01-05,27.92,28.02,27.74,27.82,28308722
2016-01-06,27.46,27.82,27.38,27.61,21650796
2016-01-07,27.04,27.68,26.88,27.3,32423498
2016-01-08,27.43,28.02,27.28,27.33,28184690
2016-01-11,27.44,27.54,26.96,27.36,22735358
2016-01-12,27.31,27.72,27.18,27.44,19905558
2016-01-13,27.72,27.74,26.72,26.78,31525774
2016-01-14,26.78,27.82,26.68,27.52,25855586
2016-01-15,26.66,27.12,26.65,26.94,30514460
2016-01-19,27.41,27.42,26.84,27.12,24223494
2016-01-20,26.99,27.0,26.17,26.8,45082214
2016-01-21,26.8,27.42,26.59,27.16,30690034
2016-01-22,27.76,27.76,27.34,27.66,19201936
2016-01-25,27.54,27.66,27.06,27.1,21280626
2016-01-26,27.03,27.5,26.98,27.42,31475274
2016-01-27,27.46,27.72,26.98,27.06,23629208
2016-01-28,27.24,27.29,26.81,27.06,25516158
2016-01-29,27.37,27.92,27.26,27.86,37803046
2016-02-01,27.54,28.06,27.49,27.9,19319532
2016-02-02,27.45,27.8,27.19,27.3,32006544
2016-02-03,28.35,28.98,27.6,28.92,55983390
2016-02-04,29.09,29.72,28.8,29.1,56050928
2016-02-05,29.1,29.74,28.98,29.7,49680094
2016-02-08,29.58,29.85,28.96,29.7,54884568
2016-02-09,29.2,29.5,28.58,29.1,35863400
2016-02-10,29.06,29.06,27.88,27.9,42314430
2016-02-11,27.43,28.16,27.35,28.02,34568818
2016-02-12,28.42,28.52,27.8,28.39,23540752
2016-02-16,28.9,28.93,28.5,28.74,24969288
2016-02-17,28.86,29.16,28.66,28.85,26029554
2016-02-18,28.72,28.87,28.3,28.66,23179388
2016-02-19,28.5,28.9,28.48,28.88,17554058
2016-02-22,29.12,29.44,28.95,29.08,18558920
2016-02-23,28.89,29.09,28.7,28.77,14499570
2016-02-24,28.53,29.32,28.3,29.2,18166370
2016-02-25,29.08,29.26,28.86,29.26,12823168
2016-02-26,29.39,29.49,28.83,28.96,18528794
2016-02-29,29.07,29.36,28.84,28.86,22572820
2016-03-01,29.12,29.78,29.02,29.61,22514292
2016-03-02,29.48,29.71,29.42,29.68,17922484
2016-03-03,29.72,30.14,29.72,29.96,19431144
2016-03-04,30.0,30.02,29.66,29.87,15418348
2016-03-07,29.61,29.88,29.31,29.48,21590140
2016-03-08,29.44,29.5,29.02,29.14,20621094
2016-03-09,29.35,29.55,29.15,29.39,15719800
2016-03-10,29.3,29.57,29.03,29.18,18001870
2016-03-11,29.54,29.61,29.26,29.58,14031906
2016-03-14,29.52,29.72,29.44,29.62,12885766
2016-03-15,29.35,29.71,29.35,29.7,15979290
2016-03-16,29.32,30.14,29.32,29.96,18214212
2016-03-17,29.96,30.57,29.86,30.38,21077924
2016-03-18,30.42,30.45,29.76,29.88,37354122
2016-03-21,29.86,30.03,29.81,29.92,12213150
2016-03-22,29.65,30.15,29.65,29.94,15467412
2016-03-23,29.56,29.85,29.5,29.62,16764944
2016-03-24,29.38,30.09,29.34,30.0,19702056
2016-03-28,29.78,30.18,29.72,30.04,14524928
2016-03-29,29.9,30.44,29.84,30.38,15752050
2016-03-30,30.46,30.62,30.26,30.4,15971182
2016-03-31,30.36,30.68,30.32,30.54,17589842
2016-04-01,30.3,31.0,30.2,30.94,21308126
2016-04-04,30.76,30.9,30.56,30.72,14668572
2016-04-05,30.42,30.72,30.4,30.56,14369050
2016-04-06,30.52,31.13,30.5,31.1,21644864
2016-04-07,31.02,31.16,30.51,30.7,19195282
2016-04-08,30.82,30.98,30.64,30.8,11421340
2016-04-11,30.96,31.05,30.72,30.72,14277326
2016-04-12,30.7,31.03,30.63,30.86,14858220
2016-04-13,31.09,31.2,30.86,30.98,15658004
2016-04-14,31.08,31.15,30.84,30.92,13642916
2016-04-15,31.06,31.22,30.7,30.98,16393876
2016-04-18,30.84,31.33,30.77,31.24,17212606
2016-04-19,31.22,31.46,31.02,31.14,18762522
2016-04-20,31.3,31.3,30.66,30.73,26835736
2016-04-21,30.62,30.68,30.19,30.47,28458426
2016-04-22,30.44,30.75,30.3,30.55,21871660
2016-04-25,30.51,30.55,30.24,30.5,24381938
2016-04-26,30.51,30.78,30.44,30.52,17541482
2016-04-27,31.1,31.4,30.24,30.65,34118324
2016-04-28,30.36,31.0,30.25,30.58,28094996
2016-04-29,30.26,30.52,30.01,30.38,29307854
2016-05-02,30.54,30.76,30.28,30.62,21290854
2016-05-03,30.46,30.9,30.32,30.48,22420280
2016-05-04,30.3,30.8,30.25,30.44,21236834
2016-05-05,30.52,30.73,30.27,30.52,16668458
2016-05-06,30.44,30.72,30.3,30.71,15559434
2016-05-09,30.78,30.94,30.59,30.71,12855354
2016-05-10,30.72,31.36,30.7,31.32,21562248
2016-05-11,31.24,31.38,30.94,31.04,16188988
2016-05-12,31.18,31.33,30.91,31.13,16656192
2016-05-13,31.01,31.26,30.82,30.92,16437368
2016-05-16,30.74,31.26,30.68,31.0,17505946
2016-05-17,30.86,30.88,30.17,30.22,31370310
2016-05-18,30.26,30.42,29.93,30.19,26537370
2016-05-19,30.0,30.3,29.81,30.12,17773294
2016-05-20,30.06,30.94,30.06,30.88,22234740
2016-05-23,30.72,31.24,30.72,30.9,23493056
2016-05-24,31.04,31.25,30.84,31.22,19858472
2016-05-25,31.3,31.58,30.84,31.3,17898064
2016-05-26,31.28,31.44,31.04,31.14,13549582
2016-05-27,31.3,31.58,31.24,31.44,16153624
2016-05-31,31.41,31.7,31.25,31.65,23842776
2016-06-01,31.72,31.92,31.52,31.86,15397838
2016-06-02,31.84,31.91,31.7,31.83,12857688
2016-06-03,31.84,31.89,31.5,31.78,11913268
2016-06-06,31.86,31.95,31.61,31.7,11913202
2016-06-07,31.68,31.84,31.6,31.62,12818252
2016-06-08,31.64,31.76,31.53,31.61,13385122
2016-06-09,31.44,31.56,31.27,31.46,11233064
2016-06-10,31.1,31.48,31.06,31.4,15732362
2016-06-13,31.36,31.56,31.11,31.2,15353022
2016-06-14,31.0,31.35,30.97,31.32,14937716
2016-06-15,31.23,31.55,31.12,31.18,16346716
2016-06-16,31.1,31.62,30.92,31.55,15080840
2016-06-17,31.58,31.58,31.07,31.18,23925742
2016-06-20,31.46,31.72,31.21,31.23,15595858
2016-06-21,31.24,31.4,31.02,31.27,17769772
2016-06-22,31.27,31.58,31.1,31.32,11586628
2016-06-23,31.67,31.74,31.32,31.48,14291890
2016-06-24,30.42,31.3,30.33,30.82,35744888
2016-06-27,30.51,31.36,30.48,31.23,31704516
2016-06-28,31.53,31.57,31.11,31.54,21480804
2016-06-29,31.83,32.08,31.59,31.97,20626786
2016-06-30,32.12,32.71,32.0,32.6,29341022
2016-07-01,32.46,32.72,32.14,32.64,17591350
2016-07-05,32.36,32.64,32.28,32.5,18344670
2016-07-06,32.52,32.6,32.34,32.55,21475726
2016-07-07,32.4,33.21,32.38,33.13,30780208
2016-07-08,33.3,33.59,33.15,33.56,27918534
2016-07-11,33.76,33.84,33.46,33.7,15106430
2016-07-12,33.84,33.98,33.5,33.58,19438598
2016-07-13,33.59,33.68,33.35,33.42,17041310
2016-07-14,33.63,33.68,33.44,33.51,14941806
2016-07-15,33.78,33.82,33.34,33.44,14575534
2016-07-18,33.38,33.59,33.34,33.43,10137686
2016-07-19,33.34,33.61,33.24,33.54,15721154
2016-07-20,33.51,33.6,33.11,33.56,11885126
2016-07-21,33.48,33.68,33.31,33.51,14993678
2016-07-22,33.75,33.88,33.52,33.73,15377778
2016-07-25,33.78,33.85,33.64,33.74,12056176
2016-07-26,33.64,33.74,33.33,33.59,16980962
2016-07-27,34.1,34.16,33.26,33.96,23705284
2016-07-28,33.86,34.18,33.84,33.93,17688290
2016-07-29,33.94,33.97,33.54,33.62,19854844
2016-08-01,33.7,33.88,33.67,33.77,13197172
2016-08-02,33.82,33.82,33.44,33.45,14091434
2016-08-03,33.5,33.64,33.21,33.42,14937152
2016-08-04,33.34,33.64,33.34,33.59,13459406
2016-08-05,33.76,33.91,33.57,33.7,13828622
2016-08-08,33.55,33.6,33.38,33.54,14609540
2016-08-09,33.6,33.71,33.42,33.45,16782938
2016-08-10,33.45,33.68,33.32,33.61,15082226
2016-08-11,33.62,33.9,33.58,33.84,11836522
2016-08-12,33.66,33.9,33.66,33.76,8224804
2016-08-15,33.76,33.98,33.73,33.76,9572788
2016-08-16,33.62,33.83,33.58,33.66,9433452
2016-08-17,33.66,33.94,33.52,33.88,10986998
2016-08-18,33.94,33.94,33.54,33.7,11327314
2016-08-19,33.58,33.62,33.09,33.14,25660510
2016-08-22,33.18,33.24,32.91,33.22,11404084
2016-08-23,33.35,33.36,32.67,32.83,20159972
2016-08-24,32.74,32.94,32.69,32.84,17686188
2016-08-25,32.88,32.94,32.72,32.78,12947970
2016-08-26,32.87,33.1,32.58,32.76,13464584
2016-08-29,32.84,33.0,32.78,32.83,11631818
2016-08-30,32.84,32.84,32.56,32.78,12781158
2016-08-31,32.67,32.84,32.49,32.63,13573852
2016-09-01,32.8,33.04,32.64,32.94,17725108
2016-09-02,33.19,33.28,32.98,33.08,12015742
2016-09-06,33.02,33.2,32.81,33.17,14561952
2016-09-07,33.06,33.22,33.0,33.18,14253432
2016-09-08,33.11,33.22,32.93,33.08,16220100
2016-09-09,32.62,32.94,32.41,32.56,28324920
2016-09-12,32.48,32.95,32.42,32.88,17208186
2016-09-13,32.64,32.77,32.37,32.38,25159340
2016-09-14,32.49,32.72,32.38,32.58,15221148
2016-09-15,32.46,33.22,32.41,33.12,20281602
2016-09-16,32.99,33.07,32.64,32.96,27162722
2016-09-19,32.99,33.16,32.79,32.92,13588692
2016-09-20,33.16,33.38,33.01,33.12,15151722
2016-09-21,33.09,33.67,33.04,33.58,16920356
2016-09-22,33.75,33.76,33.43,33.65,17430964
2016-09-23,33.34,33.75,33.34,33.58,18402430
2016-09-26,33.62,33.62,32.85,32.9,15644926
2016-09-27,32.88,33.2,32.8,33.08,17255954
2016-09-28,33.08,33.36,33.0,33.34,15612254
2016-09-29,33.34,33.34,32.89,33.12,18663912
2016-09-30,33.27,33.28,33.1,33.17,21135692
2016-10-03,32.94,33.18,32.85,33.1,13470024
2016-10-04,33.04,33.19,32.82,32.92,14590072
2016-10-05,33.07,33.12,32.78,32.9,16502810
2016-10-06,32.8,32.9,32.54,32.7,14495324
2016-10-07,32.86,32.86,32.48,32.68,14943236
2016-10-10,32.74,33.0,32.72,32.89,14850010
2016-10-11,32.86,32.86,32.44,32.48,14763696
2016-10-12,32.54,32.78,32.46,32.62,12826002
2016-10-13,32.44,32.65,32.11,32.56,14289662
2016-10-14,32.6,32.87,32.5,32.6,15327680
2016-10-17,32.57,32.79,32.49,32.51,10784236
2016-10-18,32.74,32.75,32.4,32.44,15356362
2016-10-19,32.56,32.76,32.36,32.46,17066422
2016-10-20,32.39,32.45,32.09,32.18,21401148
2016-10-21,31.98,32.16,31.78,32.03,22887354
2016-10-24,32.8,32.8,32.31,32.48,19291786
2016-10-25,32.5,32.82,32.2,32.26,30403058
2016-10-26,32.46,32.46,31.19,31.28,42837574
2016-10-27,31.32,31.38,30.3,30.74,44967712
2016-10-28,30.74,31.36,30.74,30.94,28923272
2016-10-31,31.1,31.24,30.85,30.91,19390752
2016-11-01,31.26,31.26,30.57,30.72,21027980
2016-11-02,30.68,30.82,30.55,30.74,23440670
2016-11-03,30.78,30.98,30.42,30.48,19073986
2016-11-04,30.23,30.62,30.02,30.33,21598622
2016-11-07,30.76,30.88,30.52,30.76,19343000
2016-11-08,30.82,31.46,30.72,31.26,22331646
2016-11-09,31.0,32.05,31.0,31.72,40324138
2016-11-10,31.76,32.96,31.75,32.55,54804802
2016-11-11,32.37,33.28,32.3,33.23,31766780
2016-11-14,33.09,34.06,33.09,33.63,37671616
2016-11-15,33.54,33.85,33.28,33.49,31409348
2016-11-16,33.39,33.76,33.3,33.74,22868890
2016-11-17,33.7,34.36,33.4,34.24,23362160
2016-11-18,34.12,34.3,33.96,34.17,20925136
2016-11-21,34.16,34.36,33.98,34.1,17255248
2016-11-22,34.13,34.58,34.1,34.51,26432816
2016-11-23,34.56,34.96,34.46,34.48,18862980
2016-11-25,34.46,34.62,34.4,34.58,6963552
2016-11-28,34.4,34.5,34.01,34.16,19572456
2016-11-29,34.25,35.11,34.14,35.07,30491230
2016-11-30,35.04,35.14,34.62,34.76,23009000
2016-12-01,34.7,35.02,34.62,34.93,19346858
2016-12-02,34.98,35.17,34.32,34.39,26722730
2016-12-05,34.51,34.66,34.19,34.34,19691288
2016-12-06,34.31,34.49,34.11,34.35,21342506
2016-12-07,34.38,34.72,34.04,34.66,21098798
2016-12-08,34.58,34.74,34.47,34.62,17552540
2016-12-09,34.74,34.74,34.46,34.72,17161754
2016-12-12,34.52,34.64,34.26,34.5,14967054
2016-12-13,34.54,35.12,34.46,34.99,18628320
2016-12-14,34.97,35.34,34.82,35.01,20540530
2016-12-15,35.09,35.32,34.8,34.94,20198176
2016-12-16,35.1,35.2,34.78,34.93,29901146
