Date,Open,High,Low,Close,Volume
2016-01-04,216.6,216.6,210.6,212.1,12403551
2016-01-05,214.9,215.7,212.4,214.8,10520576
2016-01-06,215.5,217.2,211.3,213.6,7691994
2016-01-07,209.1,210.2,205.4,210.2,15828778
2016-01-08,211.1,212.7,207.8,207.8,10307881
2016-01-11,206.8,208.3,205.5,206.2,7769684
2016-01-12,207.7,211.4,206.1,206.6,12489659
2016-01-13,208.7,212.4,206.9,210.2,10753825
2016-01-14,207.6,212.1,206.4,212.1,18976110
2016-01-15,213.4,213.9,205.8,207.0,14922429
2016-01-18,206.6,209.0,205.2,205.2,8843830
2016-01-19,207.8,210.8,205.9,209.02,11409364
2016-01-20,206.0,207.5,202.4,204.0,16278520
2016-01-21,203.8,206.1,201.2,204.3,14252181
2016-01-22,206.9,208.0,205.5,207.2,13520943
2016-01-25,207.6,208.8,205.1,206.2,10388648
2016-01-26,203.9,207.0,202.8,206.7,10989019
2016-01-27,207.0,210.9,205.8,210.1,15086499
2016-01-28,207.9,208.0,199.05,200.2,26807113
2016-01-29,203.5,206.0,200.96,204.8,19940934
2016-02-01,205.3,207.0,201.55,205.1,16201799
2016-02-02,204.7,206.0,198.3,199.3,13172563
2016-02-03,198.4,200.1,193.3,194.4,13688229
2016-02-04,197.2,198.3,191.8,196.6,17247023
2016-02-05,197.4,200.3,195.4,196.3,15669138
2016-02-08,196.4,196.6,190.8,191.9,10048702
2016-02-09,192.6,194.5,187.9,187.9,13221253
2016-02-10,188.1,191.4,185.8,187.8,11245537
2016-02-11,186.4,186.6,182.5,183.6,16328102
2016-02-12,184.6,189.6,184.5,189.6,15823914
2016-02-15,190.0,193.01,189.6,192.4,12370365
2016-02-16,193.7,194.3,190.5,191.7,11351444
2016-02-17,192.8,194.1,189.8,194.1,18550525
2016-02-18,202.6,208.31,197.5,207.4,27434354
2016-02-19,209.8,211.6,207.0,211.5,20844196
2016-02-22,213.6,216.3,210.74,215.9,10473036
2016-02-23,212.5,214.5,209.4,210.4,11503550
2016-02-24,209.2,209.4,203.2,204.5,14474029
2016-02-25,206.1,209.8,206.0,208.9,10171852
2016-02-26,210.8,214.4,209.5,211.2,11988113
2016-02-29,208.5,209.7,205.1,208.0,14723796
2016-03-01,207.4,212.2,206.4,212.2,11563810
2016-03-02,209.6,214.04,208.5,210.5,12500795
2016-03-03,213.0,220.2,213.0,220.0,22227937
2016-03-04,221.7,227.3,220.7,224.2,19568884
2016-03-07,223.0,226.5,221.9,225.6,12844591
2016-03-08,223.7,226.6,222.9,225.0,13421390
2016-03-09,227.0,229.4,225.0,227.0,17091288
2016-03-10,225.8,232.11,225.8,225.8,20308840
2016-03-11,228.6,229.8,226.9,229.8,13024559
2016-03-14,229.3,230.11,226.4,227.5,14704826
2016-03-15,226.5,226.9,222.2,222.8,14671889
2016-03-16,223.9,226.3,219.23,224.8,15570687
2016-03-17,226.5,230.3,224.8,225.91,12408523
2016-03-18,226.2,229.6,226.0,226.2,17205890
2016-03-21,225.5,226.8,224.6,226.8,8730688
2016-03-22,226.4,226.67,223.2,226.0,9493318
2016-03-23,225.8,227.3,225.01,226.7,11595301
2016-03-24,225.2,225.9,223.61,224.1,8094204
2016-03-29,226.5,227.3,223.7,226.9,11598797
2016-03-30,228.7,231.8,228.7,230.5,10443537
2016-03-31,230.6,230.6,226.7,227.7,14758879
2016-04-01,226.1,228.07,222.3,224.9,12394957
2016-04-04,224.8,228.96,224.3,226.7,6447440
2016-04-05,225.9,226.04,222.82,223.6,10844290
2016-04-06,224.5,227.0,223.26,226.6,11382939
2016-04-07,226.9,227.9,225.5,227.1,9301994
2016-04-08,227.8,233.7,226.7,232.3,13762188
2016-04-11,232.2,235.8,231.58,233.7,8751722
2016-04-12,233.7,235.33,232.1,235.1,8341760
2016-04-13,236.8,239.7,236.1,237.5,11008330
2016-04-14,237.1,238.6,235.7,236.8,9798271
2016-04-15,238.9,240.2,235.4,238.3,14809520
2016-04-18,236.0,238.88,231.4,234.6,11989290
2016-04-19,234.7,237.8,233.8,237.3,12482775
2016-04-20,236.4,237.0,234.8,236.1,7757842
2016-04-21,235.6,236.9,232.0,234.1,9365607
2016-04-22,232.6,233.8,230.5,232.2,10573967
2016-04-25,232.6,232.8,230.2,232.3,9574427
2016-04-26,233.5,235.0,230.7,232.2,12856618
2016-04-27,232.1,240.4,231.15,240.1,19640314
2016-04-28,239.0,239.9,236.0,238.9,9552523
2016-04-29,237.4,239.1,235.5,238.4,10370384
2016-05-03,237.3,238.1,230.2,230.54,13640253
2016-05-04,232.2,233.6,229.6,231.1,9393709
2016-05-05,218.0,219.1,201.6,208.5,63759848
2016-05-06,208.3,210.46,205.0,209.9,37043631
2016-05-09,209.5,212.1,207.86,210.0,19124847
2016-05-10,211.7,213.2,210.1,213.1,19335451
2016-05-11,213.5,214.3,210.0,210.0,28820529
2016-05-12,205.0,211.53,201.7,202.3,19896221
2016-05-13,202.0,210.53,200.9,202.4,13088851
2016-05-16,202.1,202.7,199.14,201.5,12071839
2016-05-17,202.3,204.4,201.6,203.0,15362860
2016-05-18,202.2,202.9,200.3,201.7,14283638
2016-05-19,200.2,202.2,198.5,198.7,13213457
2016-05-20,200.8,210.79,199.8,201.5,12709194
2016-05-23,201.7,203.49,200.4,203.0,13667953
2016-05-24,201.5,203.5,201.24,203.1,10944461
2016-05-25,205.2,206.7,204.4,205.8,15024433
2016-05-26,206.3,206.97,204.26,206.4,8883370
2016-05-27,206.2,206.28,203.96,205.3,10674731
2016-05-31,207.1,207.1,202.8,203.8,22659590
2016-06-01,202.8,203.1,201.1,202.0,14667946
2016-06-02,202.6,202.9,200.9,200.9,18657151
2016-06-03,201.2,203.07,200.5,202.1,16195533
2016-06-09,210.8,211.7,207.2,207.9,11698183
2016-06-10,207.8,207.8,202.07,202.9,12230835
2016-06-13,201.0,203.6,200.27,201.9,13963708
2016-06-14,204.1,204.7,198.1,198.3,25070504
2016-06-15,199.6,203.99,198.71,201.6,15836049
2016-06-16,199.3,202.6,198.96,201.2,12618446
2016-06-17,202.5,204.8,201.7,203.6,40230845
2016-06-20,208.5,215.63,206.5,215.5,19780635
