Date,Open,High,Low,Close,Volume
2016-01-04,380.0,380.0,366.5,369.75,7199
2016-01-05,372.0,373.25,366.36,367.0,7748
2016-01-06,377.25,378.95,371.0,376.75,11778
2016-01-07,375.25,382.0,372.62,374.0,10283
2016-01-08,370.0,376.75,369.1,375.0,8145
2016-01-11,370.0,385.0,370.0,375.0,34356
2016-01-12,385.0,388.25,370.5,386.0,30647
2016-01-13,389.75,389.75,379.34,384.75,12621
2016-01-14,377.0,381.75,369.25,373.75,19803
2016-01-15,370.0,375.12,355.75,356.0,22460
2016-01-18,357.75,362.0,356.0,360.0,20549
2016-01-19,366.5,369.0,359.05,361.25,22444
2016-01-20,354.0,361.69,327.75,351.5,59860
2016-01-21,347.25,354.0,343.0,351.25,29846
2016-01-22,356.0,359.75,356.0,358.25,7628
2016-01-25,364.75,367.75,356.75,362.25,14899
2016-01-26,358.75,359.5,355.27,359.0,15902
2016-01-27,357.5,357.5,343.0,353.75,40752
2016-01-28,347.0,359.5,347.0,355.0,31259
2016-01-29,353.0,356.88,348.5,352.0,49237
2016-02-01,355.0,360.32,351.0,356.75,52479
2016-02-02,356.25,364.25,356.25,359.25,23193
2016-02-03,362.25,364.0,358.0,362.25,16750
2016-02-04,364.0,369.75,360.88,364.5,33524
2016-02-05,360.0,368.31,358.0,364.75,14225
2016-02-08,360.0,360.0,331.25,334.0,42684
2016-02-09,328.5,337.75,321.14,330.0,37741
2016-02-10,328.0,337.9,325.25,332.75,18569
2016-02-11,328.75,336.0,294.5,320.75,37926
2016-02-12,324.0,337.75,320.44,326.5,57847
2016-02-15,338.0,342.68,333.44,337.79,21535
2016-02-16,336.25,343.29,336.25,339.5,7938
2016-02-17,345.0,362.0,344.0,358.0,39403
2016-02-18,352.0,356.73,346.5,349.25,25685
2016-02-19,345.0,348.87,345.0,346.25,1280
2016-02-22,345.0,353.31,345.0,345.25,15429
2016-02-23,340.0,349.5,338.5,338.5,31113
2016-02-24,338.5,342.5,335.62,339.0,39832
2016-02-25,345.0,347.0,330.0,339.0,64154
2016-02-26,330.0,345.88,330.0,339.5,29451
2016-02-29,342.0,348.5,331.2,348.5,27991
2016-03-01,350.0,358.0,348.25,358.0,28511
2016-03-02,368.0,379.25,365.35,370.0,58891
2016-03-03,368.75,368.75,350.25,357.5,68593
2016-03-04,361.75,363.0,357.25,363.0,37862
2016-03-07,364.5,364.5,354.5,355.5,68236
2016-03-08,362.0,362.0,354.0,355.5,27870
2016-03-09,350.0,359.0,347.0,352.5,17703
2016-03-10,347.0,354.75,347.0,351.25,34323
2016-03-11,345.0,354.25,345.0,354.0,16004
2016-03-14,354.0,354.0,351.2,351.5,1408
2016-03-15,348.0,353.25,348.0,352.0,18710
2016-03-16,345.0,355.5,345.0,350.0,85052
2016-03-17,352.0,355.25,350.5,353.0,156058
2016-03-18,356.25,364.75,350.5,359.75,45113
2016-03-21,355.0,365.0,353.03,355.0,13560
2016-03-22,355.0,363.75,355.0,358.0,22318
2016-03-23,365.0,365.0,355.69,359.25,24563
2016-03-24,359.75,360.0,355.0,356.25,33694
2016-03-29,358.5,358.5,352.5,354.5,19327
2016-03-30,359.75,360.0,351.16,353.0,35154
2016-03-31,354.0,363.19,350.25,354.9,28746
2016-04-01,346.5,350.0,338.05,343.25,64971
2016-04-04,341.0,350.75,341.0,347.5,33436
2016-04-05,350.0,350.0,343.3,344.29,88084
2016-04-06,343.0,348.5,342.0,345.64,52276
2016-04-07,350.0,350.0,337.25,337.25,34660
2016-04-08,338.0,344.59,337.0,337.0,9026
2016-04-11,336.0,340.25,335.0,335.0,35582
2016-04-12,345.0,345.0,329.25,329.25,42247
2016-04-13,328.0,334.75,324.25,329.5,55960
2016-04-14,329.0,334.5,327.85,328.75,26848
2016-04-15,328.75,330.0,327.25,328.75,21789
2016-04-18,329.25,335.72,322.25,324.0,69336
2016-04-19,324.0,330.0,324.0,325.0,7835
2016-04-20,332.0,332.0,323.0,325.25,50801
2016-04-21,325.25,326.75,321.0,321.0,22253
2016-04-22,321.0,325.0,315.0,315.75,32214
2016-04-25,318.25,320.25,315.0,316.25,8069
2016-04-26,316.5,325.0,315.0,315.0,54952
2016-04-27,315.25,318.81,315.25,317.0,24153
2016-04-28,325.0,325.0,315.5,316.75,5239
2016-04-29,315.0,319.7,308.62,314.25,25584
2016-05-03,310.0,318.5,310.0,318.5,22911
2016-05-04,315.0,321.75,311.0,321.75,64360
2016-05-05,321.0,327.0,321.0,324.5,31175
2016-05-06,322.0,328.0,322.0,323.0,30121
2016-05-09,325.0,327.0,323.25,325.28,58411
2016-05-10,322.5,326.38,322.5,325.2,20792
2016-05-11,322.5,329.25,322.5,327.25,10239
2016-05-12,327.0,332.5,326.5,328.25,47879
2016-05-13,322.75,335.0,322.75,328.0,54295
2016-05-16,325.0,335.0,325.0,331.5,16406
2016-05-17,335.0,339.0,330.5,336.0,31955
2016-05-18,335.0,341.5,335.0,340.0,31812
2016-05-19,342.0,344.5,336.25,341.5,45882
2016-05-20,335.0,346.75,335.0,344.0,22014
2016-05-23,350.0,350.0,340.75,348.75,29371
2016-05-24,349.0,352.0,345.75,351.0,19833
2016-05-25,350.0,360.0,345.83,360.0,43836
2016-05-26,360.0,367.0,356.0,363.0,63849
2016-05-27,365.0,365.0,355.25,361.0,27535
2016-05-31,355.0,362.75,355.0,362.75,86600
2016-06-01,355.0,362.5,355.0,359.0,16006
2016-06-02,357.0,362.5,357.0,361.75,55171
2016-06-03,361.0,361.83,358.5,360.0,10150
2016-06-09,359.75,359.75,356.75,357.0,20161
2016-06-10,358.5,358.94,346.25,348.5,31685
2016-06-13,340.0,343.88,331.75,334.8,56930
2016-06-14,330.0,330.0,305.5,323.0,76057
2016-06-15,330.5,332.75,326.5,331.75,33502
2016-06-16,330.0,340.0,324.58,327.0,85637
2016-06-17,327.0,335.0,327.0,335.0,44745
2016-06-20,344.75,347.5,338.29,344.5,34005
2016-06-21,337.0,344.75,334.89,341.0,42244
2016-06-22,345.0,346.75,340.0,345.0,29375
2016-06-23,341.0,346.0,338.25,345.0,16541
2016-06-24,322.25,327.8,310.0,319.25,40800
2016-06-27,330.0,330.0,267.0,274.75,80381
2016-06-28,288.0,295.75,286.53,290.0,36586
2016-06-29,296.25,303.0,291.48,296.0,41577
2016-06-30,309.75,321.88,309.75,311.5,30702
2016-07-01,320.0,326.3,311.0,317.25,17211
2016-07-04,330.0,330.0,304.5,311.0,22169
2016-07-05,304.0,305.98,285.75,285.75,43980
2016-07-06,290.0,294.75,281.25,284.75,55606
2016-07-07,299.75,302.0,291.0,296.25,13924
2016-07-08,280.0,301.75,280.0,301.75,17210
2016-07-11,290.0,315.0,290.0,314.75,34155
2016-07-12,314.75,320.58,308.5,316.2,23181
2016-07-13,320.0,325.5,315.88,320.25,18684
2016-07-14,310.0,324.5,310.0,324.5,40526
2016-07-15,319.25,327.75,319.25,321.56,59022
2016-07-18,318.0,326.01,318.0,318.5,34554
2016-07-19,327.0,327.0,320.0,321.5,30158
2016-07-20,321.5,328.25,320.0,321.62,12608
2016-07-21,318.0,329.5,318.0,326.75,17475
2016-07-22,325.0,333.5,320.25,322.0,11149
2016-07-25,325.5,335.0,322.0,325.0,12286
2016-07-26,330.0,330.0,323.25,330.0,19649
2016-07-27,322.0,332.0,322.0,331.5,34421
2016-07-28,332.0,339.75,325.75,337.0,18930
2016-07-29,339.0,339.75,330.75,339.75,116098
2016-08-01,336.0,338.4,331.81,337.0,56726
2016-08-02,330.0,339.03,330.0,336.0,14242
2016-08-03,330.0,345.0,330.0,344.75,29992
2016-08-04,344.75,345.65,337.75,340.0,48267
2016-08-05,339.25,349.5,330.0,349.5,37899
2016-08-08,341.0,354.0,340.5,345.0,26991
2016-08-09,349.0,351.25,343.96,348.75,21043
2016-08-10,332.5,348.75,332.5,346.5,14541
2016-08-11,355.25,355.25,342.81,349.0,43573
2016-08-12,340.0,362.0,340.0,357.75,36633
2016-08-15,352.25,355.74,344.0,349.25,23446
2016-08-16,340.0,355.25,340.0,349.25,19849
