Date,Open,High,Low,Close,Volume
2016-01-04,1192.0,1197.0,1178.0,1183.0,1047633
2016-01-05,1200.0,1202.0,1178.0,1187.0,766884
2016-01-06,1185.0,1185.0,1171.0,1184.0,1286990
2016-01-07,1159.0,1174.0,1150.0,1157.0,1357715
2016-01-08,1166.0,1185.0,1158.0,1166.0,1289933
2016-01-11,1156.0,1167.0,1153.0,1156.0,801075
2016-01-12,1160.0,1178.0,1154.0,1166.0,1247767
2016-01-13,1186.0,1206.0,1183.0,1191.0,1574400
2016-01-14,1178.0,1178.0,1154.0,1171.0,1178292
2016-01-15,1169.0,1178.0,1140.0,1142.0,1733716
2016-01-18,1142.0,1156.0,1135.0,1136.0,781241
2016-01-19,1150.0,1163.0,1149.0,1159.0,794102
2016-01-20,1138.0,1144.0,1105.0,1113.0,1664929
2016-01-21,1118.0,1149.0,1118.0,1144.0,1520439
2016-01-22,1162.0,1173.0,1156.0,1162.0,1368914
2016-01-25,1172.0,1174.0,1160.0,1165.0,935999
2016-01-26,1147.0,1168.0,1147.0,1167.0,1124103
2016-01-27,1168.0,1171.0,1123.0,1142.0,3027086
2016-01-28,1138.0,1154.0,1134.0,1139.0,1137144
2016-01-29,1151.0,1175.0,1132.0,1175.0,1641480
2016-02-01,1181.0,1192.0,1131.0,1159.0,2133398
2016-02-02,1160.0,1160.0,1129.0,1135.0,1060184
2016-02-03,1133.0,1139.0,1106.0,1112.0,1095239
2016-02-04,1129.0,1129.0,1102.0,1112.0,1829257
2016-02-05,1112.0,1125.0,1098.0,1098.0,1735907
2016-02-08,1099.0,1104.0,1053.0,1056.0,1902463
2016-02-09,1062.0,1068.0,1040.0,1063.0,1618845
2016-02-10,1062.0,1085.0,1055.0,1081.0,1551222
2016-02-11,1073.0,1073.0,1044.0,1059.0,1286709
2016-02-12,1062.0,1074.0,1055.0,1074.0,1458908
2016-02-15,1090.0,1097.0,1088.0,1092.0,1265531
2016-02-16,1096.0,1105.0,1087.0,1099.0,1083417
2016-02-17,1097.0,1128.0,1097.0,1123.0,1078456
2016-02-18,1126.0,1128.0,1108.0,1120.0,1419409
2016-02-19,1118.0,1124.0,1104.0,1111.0,1140732
2016-02-22,1121.0,1128.0,1109.0,1111.0,828102
2016-02-23,1099.0,1112.0,1092.0,1092.0,1175338
2016-02-24,1094.0,1096.0,1070.0,1072.0,1945037
2016-02-25,1101.0,1122.0,993.0,1017.0,5182920
2016-02-26,1023.0,1057.0,1015.0,1030.0,3438814
2016-02-29,1021.0,1022.0,997.0,1002.0,3314518
2016-03-01,1005.0,1018.0,1001.0,1006.0,2895180
2016-03-02,1015.0,1024.0,1009.0,1021.0,2635837
2016-03-03,1021.0,1032.0,1010.0,1013.0,1790965
2016-03-04,1017.0,1025.0,1012.0,1023.0,1629348
2016-03-07,1019.0,1029.0,1018.0,1019.0,1176270
2016-03-08,1015.0,1031.0,1008.0,1029.0,1630598
2016-03-09,1033.0,1053.0,1031.0,1045.0,2192381
2016-03-10,1045.0,1055.0,1029.0,1029.0,2041067
2016-03-11,1040.0,1043.0,1030.0,1037.0,1427402
2016-03-14,1037.0,1045.0,1027.44,1044.0,1087929
2016-03-15,1040.0,1051.5,1038.0,1047.0,878493
2016-03-16,1050.0,1051.0,1041.0,1049.0,1018132
2016-03-17,1052.0,1057.0,1035.0,1049.0,1214042
2016-03-18,1047.0,1056.0,1043.0,1045.0,1616617
2016-03-21,1041.0,1051.0,1034.0,1047.0,1245453
2016-03-22,1025.0,1034.0,1009.0,1023.0,2170865
2016-03-23,1022.0,1028.0,1013.0,1028.0,1521881
2016-03-24,1027.0,1036.0,1019.0,1034.0,1911666
2016-03-29,1032.0,1041.0,1030.0,1041.0,1560474
2016-03-30,1054.0,1060.0,1044.0,1048.0,1299214
2016-03-31,1049.0,1049.2,1036.0,1042.0,1235341
2016-04-01,1037.0,1051.0,1028.0,1050.0,1346173
2016-04-04,1046.0,1059.0,1044.0,1051.0,831954
2016-04-05,1046.0,1046.0,1032.72,1038.0,1049676
2016-04-06,1040.0,1040.0,1027.0,1031.0,1743154
2016-04-07,1032.0,1034.37,1021.0,1024.0,1229063
2016-04-08,1024.0,1042.0,1022.22,1037.0,1116218
2016-04-11,1033.0,1040.0,1027.0,1034.0,914651
2016-04-12,1034.0,1052.0,1024.0,1052.0,1767646
2016-04-13,1059.0,1075.0,1056.0,1075.0,2011406
2016-04-14,1078.0,1081.63,1060.0,1066.0,1413920
2016-04-15,1067.0,1067.0,1042.0,1045.0,1993263
2016-04-18,1039.0,1044.0,1037.0,1041.0,1194431
2016-04-19,1041.0,1048.0,1035.0,1044.0,1687472
2016-04-21,1031.0,1034.23,1010.0,1018.0,1799600
2016-04-22,1016.0,1020.0,1012.0,1014.0,1288007
2016-04-25,1017.0,1018.0,1005.0,1010.0,1294408
2016-04-26,1011.0,1011.0,1001.0,1004.0,934628
2016-04-27,1000.0,1003.0,992.5,1000.0,1620218
2016-04-28,995.0,1010.0,994.5,1010.0,1526570
2016-04-29,1004.0,1005.7,994.0,1001.0,1319238
2016-05-03,1004.0,1004.0,988.0,992.5,1724068
2016-05-04,992.5,997.5,987.0,990.0,1433705
2016-05-05,993.5,1000.0,989.5,998.5,1208874
2016-05-06,997.0,1000.33,982.0,1000.0,1781223
2016-05-09,1006.0,1024.0,1004.0,1024.0,1415072
2016-05-10,1075.0,1088.0,1056.0,1078.0,4149961
2016-05-11,1080.0,1101.0,1074.0,1096.0,1890445
2016-05-12,1093.0,1095.0,1069.0,1071.0,1682870
2016-05-13,1069.0,1079.0,1057.0,1077.0,1062382
2016-05-16,1074.0,1082.0,1066.0,1082.0,786968
2016-05-17,1084.0,1088.0,1070.0,1076.0,931015
2016-05-18,1071.0,1077.0,1062.0,1070.0,1144782
2016-05-19,1061.0,1071.75,1054.0,1062.0,1520759
2016-05-20,1069.0,1077.0,1058.0,1077.0,1302675
2016-05-23,1072.0,1081.0,1070.0,1074.0,1194967
2016-05-24,1068.0,1098.0,1064.0,1097.0,1217506
2016-05-25,1100.0,1101.0,1087.0,1094.0,1267377
2016-05-26,1091.0,1101.0,1088.0,1098.0,789939
2016-05-27,1080.0,1083.0,1069.0,1075.0,1302420
2016-05-31,1072.0,1084.0,1064.0,1064.0,2418847
2016-06-01,1065.0,1066.08,1046.0,1053.0,1266751
2016-06-02,1053.0,1061.0,1049.0,1059.0,1459459
2016-06-03,1065.0,1065.0,1045.0,1052.0,876148
2016-06-09,1058.0,1063.0,1052.0,1054.0,819489
2016-06-10,1054.0,1054.0,1027.0,1027.0,986364
2016-06-13,1020.0,1020.0,1003.0,1005.0,1725445
2016-06-14,998.5,1002.0,987.5,987.5,1944954
2016-06-15,993.5,1000.0,989.5,992.5,1334393
2016-06-16,983.0,989.0,969.0,976.0,1303216
