Date,Open,High,Low,Close,Volume
2016-01-04,1948.0,1973.0,1896.02,1917.0,939426
2016-01-05,1927.0,1948.0,1924.0,1933.0,774567
2016-01-06,1917.0,1939.01,1875.0,1885.86,998339
2016-01-07,1864.0,1889.0,1841.11,1864.2,1324969
2016-01-08,1865.0,1887.41,1835.52,1849.0,1055527
2016-01-11,1837.0,1862.0,1837.0,1848.0,1165185
2016-01-12,1848.0,1892.0,1844.0,1882.83,1093296
2016-01-13,1883.0,1903.0,1864.35,1888.7,1066653
2016-01-14,1845.0,1848.0,1815.91,1834.98,1172041
2016-01-15,1845.0,1853.0,1778.0,1788.2,2358699
2016-01-18,1789.0,1813.0,1751.0,1753.0,1330119
2016-01-19,1779.0,1825.0,1778.0,1823.0,1407221
2016-01-20,1780.0,1792.0,1744.0,1759.0,1457242
2016-01-21,1772.0,1814.3,1757.0,1798.02,1519815
2016-01-22,1840.0,1868.8,1815.0,1827.94,1899418
2016-01-25,1849.0,1866.38,1831.0,1850.22,804889
2016-01-26,1812.0,1846.0,1803.0,1836.0,940733
2016-01-27,1850.0,1865.0,1828.0,1851.95,1130580
2016-01-28,1856.0,1861.0,1783.0,1790.04,2144795
2016-01-29,1800.0,1854.0,1792.0,1802.85,1636530
2016-02-01,1863.0,1882.5,1828.0,1849.0,868431
2016-02-02,1843.0,1856.75,1775.0,1788.0,1132334
2016-02-03,1771.0,1794.0,1738.0,1741.0,1580418
2016-02-04,1765.0,1785.0,1722.0,1735.26,2144528
2016-02-05,1784.0,1809.0,1763.85,1770.0,1680236
2016-02-08,1768.0,1770.0,1626.55,1637.0,2774481
2016-02-09,1630.0,1654.0,1581.0,1639.0,4017224
2016-02-10,1647.0,1724.0,1639.0,1705.0,2549324
2016-02-11,1692.0,1700.0,1636.99,1677.15,2460168
2016-02-12,1670.0,1702.7,1652.0,1680.0,2514584
2016-02-15,1705.0,1752.36,1696.0,1724.0,1166909
2016-02-16,1753.0,1768.0,1715.92,1728.41,1411397
2016-02-17,1735.0,1796.0,1733.0,1796.0,1350979
2016-02-18,1807.0,1808.0,1776.0,1802.0,1324887
2016-02-19,1802.0,1809.0,1771.0,1791.0,1131236
2016-02-22,1810.0,1839.0,1810.0,1822.0,661652
2016-02-23,1800.0,1833.0,1800.0,1812.0,1078836
2016-02-24,1814.0,1818.0,1753.05,1760.0,1113736
2016-02-25,1792.0,1815.0,1788.0,1793.0,1094557
2016-02-26,1814.0,1825.0,1795.0,1816.0,1238192
2016-02-29,1799.0,1866.29,1795.0,1844.0,1210060
2016-03-01,1844.0,1874.0,1836.0,1868.0,1193386
2016-03-02,1890.0,1903.0,1842.0,1850.0,1596335
2016-03-03,1907.0,1948.0,1743.39,1935.0,2115501
2016-03-04,1941.0,1953.0,1914.7,1917.0,1899243
2016-03-07,1910.0,1916.0,1879.0,1901.0,914703
2016-03-08,1895.0,1925.0,1873.0,1922.0,1802473
2016-03-09,1950.0,1950.0,1899.0,1917.0,1337020
2016-03-10,1898.0,1917.48,1859.0,1859.0,1358136
2016-03-11,1884.0,1954.41,1858.72,1940.0,1540115
2016-03-14,1942.0,1986.0,1930.0,1955.0,1222927
2016-03-15,1948.0,1964.0,1934.0,1934.0,737395
2016-03-16,1946.0,1959.0,1925.92,1933.0,810634
2016-03-17,1939.0,1948.0,1900.0,1947.0,1063060
2016-03-18,1950.0,1961.0,1941.0,1942.0,1604416
2016-03-21,1931.0,1951.03,1917.23,1928.0,1059127
2016-03-22,1926.0,1953.0,1910.0,1950.0,1506727
2016-03-23,1945.0,1957.0,1932.78,1938.0,918758
2016-03-24,1925.0,1960.0,1925.0,1948.0,986061
2016-03-29,1966.0,1989.37,1954.0,1970.0,1244298
2016-03-30,1985.0,2001.0,1971.0,1986.0,895281
2016-03-31,1980.0,1985.0,1955.05,1966.0,995494
2016-04-01,1942.0,1986.0,1941.0,1981.0,861054
2016-04-04,1970.0,1993.0,1969.0,1976.0,536568
2016-04-05,1959.0,1971.0,1929.79,1940.0,1449415
2016-04-06,1965.0,1997.0,1958.0,1980.0,1386242
2016-04-07,1985.0,2008.0,1981.41,1990.0,1448919
2016-04-08,1997.0,2034.0,1992.0,2023.0,1191784
2016-04-11,2018.0,2041.42,2007.0,2026.0,790714
2016-04-12,2028.0,2030.0,2015.0,2022.0,1073829
2016-04-13,2036.0,2071.09,2025.0,2050.0,1421524
2016-04-14,2057.0,2064.0,2031.0,2050.0,805450
2016-04-15,2045.0,2048.0,2011.0,2035.0,1282858
2016-04-18,2017.0,2041.0,2010.0,2030.0,574446
2016-04-19,2029.0,2037.41,2010.0,2023.0,1391054
2016-04-20,2020.0,2020.0,1998.0,2008.0,1086196
2016-04-21,2008.0,2018.0,1989.5,2003.91,856791
2016-04-22,2002.0,2011.0,1970.0,1973.0,1079462
2016-04-25,1983.0,2007.0,1974.63,1981.0,930179
2016-04-26,1980.0,2016.81,1977.0,2011.0,1763885
2016-04-27,2020.0,2044.0,1997.0,2042.0,1952546
2016-04-28,2025.0,2036.0,2003.0,2032.0,1079673
2016-04-29,2009.0,2014.0,1969.15,1988.0,1564146
2016-05-03,1982.0,1986.0,1932.49,1951.0,1238441
2016-05-04,1948.0,1977.0,1935.79,1951.0,1904768
2016-05-05,1954.0,1967.2,1914.0,1948.0,903194
2016-05-06,1947.0,1973.0,1940.0,1971.0,1307021
2016-05-09,1985.0,2007.23,1977.0,2003.0,834589
2016-05-10,2018.0,2037.35,2008.0,2028.0,1065586
2016-05-11,2028.0,2031.0,2010.09,2017.0,988929
2016-05-12,1999.0,2038.0,1997.0,2021.0,1059347
2016-05-13,2018.0,2033.0,1994.23,2023.0,752084
2016-05-16,2009.0,2031.0,2008.0,2031.0,745367
2016-05-17,2027.0,2046.0,2016.0,2021.0,606808
2016-05-18,2016.0,2021.71,1988.0,1999.0,1277832
2016-05-19,1988.0,1999.76,1960.0,1991.0,1030988
2016-05-20,2014.0,2049.0,2011.0,2043.0,1166836
2016-05-23,2037.0,2059.0,2034.0,2038.0,699868
2016-05-24,2025.0,2080.82,2022.0,2050.0,985627
2016-05-25,2071.0,2101.0,2059.0,2078.0,1278635
2016-05-26,2072.0,2079.73,2047.02,2060.0,1050552
2016-05-27,2062.0,2086.51,2053.0,2082.0,684379
