Date,Open,High,Low,Close,Volume
2016-01-04,26.39,26.42,25.88,26.41,35611242
2016-01-05,26.54,26.66,26.18,26.29,22024912
2016-01-06,26.08,26.14,25.82,26.01,30799802
2016-01-07,25.49,25.74,25.12,25.41,43235370
2016-01-08,25.55,25.63,24.72,24.78,28609697
2016-01-11,24.93,25.34,24.93,25.27,32346903
2016-01-12,25.51,25.57,25.03,25.35,30122412
2016-01-13,25.42,25.52,24.57,24.6,32861427
2016-01-14,24.69,24.9,24.46,24.66,41494624
2016-01-15,23.93,24.43,23.57,23.62,63868300
2016-01-19,23.8,24.03,23.59,23.85,52241615
2016-01-20,23.4,23.51,22.47,22.9,83471716
2016-01-21,23.09,23.45,22.87,22.9,46258687
2016-01-22,23.6,23.64,22.99,23.37,55039361
2016-01-25,23.38,23.52,23.14,23.17,42659426
2016-01-26,23.24,23.85,23.24,23.72,25140313
2016-01-27,23.69,23.9,23.3,23.43,24416460
2016-01-28,23.73,23.79,22.98,23.1,31827728
2016-01-29,23.4,23.8,23.2,23.79,39300705
2016-02-01,23.46,23.57,23.23,23.48,23842051
2016-02-02,23.23,23.25,22.73,22.83,36094173
2016-02-03,23.09,23.18,22.58,23.1,32227060
2016-02-04,23.17,23.57,22.93,23.54,29157963
2016-02-05,23.51,23.66,22.81,22.89,32123156
2016-02-08,22.63,23.02,22.48,22.93,38810214
2016-02-09,22.6,22.86,22.53,22.65,30167389
2016-02-10,23.13,23.13,22.46,22.51,35425468
2016-02-11,24.09,24.97,24.09,24.68,92476245
2016-02-12,24.89,25.36,24.52,25.11,49568806
2016-02-16,25.27,25.98,25.19,25.84,40068701
2016-02-17,26.17,26.59,26.08,26.46,36568538
2016-02-18,26.44,26.58,26.28,26.43,29588743
2016-02-19,26.27,26.56,26.25,26.55,28764873
2016-02-22,26.87,26.91,26.42,26.63,24582845
2016-02-23,26.54,26.54,26.06,26.12,27964620
2016-02-24,25.89,26.33,25.65,26.32,21960126
2016-02-25,26.49,26.6,26.2,26.6,18541905
2016-02-26,26.8,26.85,26.32,26.41,18083957
2016-02-29,26.42,26.65,26.15,26.18,24614367
2016-03-01,26.45,26.93,26.24,26.83,25182146
2016-03-02,26.8,26.91,26.6,26.9,19010840
2016-03-03,26.95,26.97,26.59,26.87,18999844
2016-03-04,26.92,26.96,26.67,26.8,19388982
2016-03-07,26.58,27.18,26.33,27.14,21500069
2016-03-08,26.97,27.3,26.69,27.05,23506372
2016-03-09,27.24,27.8,27.12,27.61,38697086
2016-03-10,27.76,27.98,27.03,27.38,33200565
2016-03-11,27.82,27.91,27.67,27.86,21671630
2016-03-14,27.82,27.86,27.6,27.7,18160326
2016-03-15,27.48,27.69,27.45,27.66,16917163
2016-03-16,27.52,27.94,27.51,27.88,18969457
2016-03-17,27.92,28.44,27.87,28.19,28468729
2016-03-18,28.23,28.38,27.97,28.33,43107672
2016-03-21,28.1,28.35,28.04,28.19,23741808
2016-03-22,28.2,28.38,27.9,28.28,23532334
2016-03-23,28.26,28.28,27.73,27.83,18995198
2016-03-24,27.77,28.0,27.59,27.96,15791577
2016-03-28,27.99,28.02,27.78,27.9,12773839
2016-03-29,27.87,28.19,27.69,28.1,17095492
2016-03-30,28.34,28.68,28.26,28.46,19168054
2016-03-31,28.53,28.67,28.35,28.47,18328026
2016-04-01,28.3,28.7,28.12,28.69,22671831
2016-04-04,28.37,28.41,28.01,28.14,17517471
2016-04-05,27.64,27.83,27.46,27.58,24238606
2016-04-06,27.7,28.04,27.62,28.0,20250824
2016-04-07,27.9,27.9,27.53,27.6,16540533
2016-04-08,27.71,27.94,27.58,27.69,14070088
2016-04-11,27.88,28.18,27.61,27.62,18675847
2016-04-12,27.14,27.66,26.95,27.64,27283216
2016-04-13,27.96,28.28,27.72,28.23,25379701
2016-04-14,28.38,28.4,28.1,28.25,15036711
2016-04-15,28.1,28.13,27.73,27.9,23747094
2016-04-18,27.9,28.25,27.8,28.19,15742185
2016-04-19,28.33,28.44,28.2,28.33,19844322
2016-04-20,28.4,28.68,28.26,28.44,19761876
2016-04-21,28.42,28.51,28.16,28.24,17200013
2016-04-22,28.3,28.55,28.07,28.15,23031794
2016-04-25,28.11,28.28,27.98,28.23,16423950
2016-04-26,28.27,28.49,28.22,28.45,18022842
2016-04-27,28.44,28.65,28.31,28.64,20791587
2016-04-28,28.45,28.59,27.79,27.96,28927420
2016-04-29,27.72,27.83,27.14,27.49,33833214
2016-05-02,27.48,27.52,27.2,27.37,27324763
2016-05-03,27.16,27.19,26.61,26.86,34960350
2016-05-04,26.8,26.82,26.28,26.44,32598156
2016-05-05,26.46,26.57,26.21,26.21,23023573
2016-05-06,26.19,26.54,25.8,26.53,25566186
2016-05-09,26.52,26.68,26.39,26.51,16935986
2016-05-10,26.67,27.1,26.51,27.03,22629208
2016-05-11,27.09,27.11,26.68,26.7,19001777
2016-05-12,26.81,26.81,26.41,26.67,19679366
2016-05-13,26.55,26.89,26.46,26.53,20760485
2016-05-16,26.57,27.12,26.56,26.97,20875254
2016-05-17,26.9,27.06,26.55,26.65,25896417
2016-05-18,26.61,26.96,26.48,26.72,31395586
2016-05-19,27.99,28.29,27.4,27.57,50079788
2016-05-20,27.63,28.15,27.62,27.97,32678461
2016-05-23,27.78,28.25,27.78,27.94,19746762
2016-05-24,28.01,28.58,28.01,28.47,26489200
2016-05-25,28.58,29.0,28.52,28.92,25696818
2016-05-26,28.86,29.04,28.8,28.9,19288100
2016-05-27,28.95,29.04,28.79,28.92,16642871
2016-05-31,28.8,29.08,28.76,29.05,28606274
2016-06-01,28.84,29.04,28.8,28.9,22268672
2016-06-02,28.98,29.15,28.92,29.08,19538178
2016-06-03,29.13,29.21,28.9,29.13,18677663
2016-06-06,29.07,29.41,29.06,29.1,16167119
2016-06-07,28.9,29.35,28.82,29.07,21566590
2016-06-08,29.09,29.27,29.06,29.14,17772913
2016-06-09,28.97,29.19,28.83,29.14,18349875
2016-06-10,28.79,29.03,28.77,29.03,18244220
2016-06-13,28.97,29.19,28.82,28.84,17181950
2016-06-14,28.66,29.0,28.63,28.96,19279705
2016-06-15,28.49,28.86,28.4,28.65,30738577
2016-06-16,28.38,28.92,28.37,28.87,17504145
2016-06-17,28.88,29.0,28.69,28.95,32333507
2016-06-20,29.04,29.22,28.78,28.8,22100840
2016-06-21,28.97,29.0,28.73,28.77,19098634
2016-06-22,28.87,29.08,28.68,28.72,18273261
2016-06-23,29.03,29.22,28.96,29.22,19415601
2016-06-24,28.16,28.57,27.7,27.75,44408897
2016-06-27,27.48,27.55,27.13,27.31,30293961
2016-06-28,27.55,27.85,27.5,27.79,24646939
2016-06-29,28.13,28.33,27.9,28.26,25592961
2016-06-30,28.38,28.69,28.07,28.69,25184399
2016-07-01,28.78,28.93,28.59,28.8,20901306
2016-07-05,28.23,28.62,28.22,28.33,22116898
2016-07-06,28.45,28.77,28.17,28.72,24844038
2016-07-07,28.72,28.9,28.61,28.74,17395408
2016-07-08,28.91,29.28,28.88,29.26,24647376
2016-07-11,29.34,29.7,29.26,29.43,22045219
2016-07-12,29.72,29.74,29.52,29.61,22157542
2016-07-13,29.72,29.83,29.58,29.75,18038066
2016-07-14,29.84,29.99,29.64,29.76,19332194
2016-07-15,29.93,29.95,29.66,29.82,17800449
2016-07-18,29.75,30.0,29.74,29.91,17484874
2016-07-19,29.91,30.01,29.77,29.92,18515957
2016-07-20,30.04,30.69,29.98,30.63,50168804
2016-07-21,30.64,30.72,30.37,30.58,21582727
2016-07-22,30.7,30.87,30.54,30.71,19399558
2016-07-25,30.67,30.83,30.63,30.79,15174158
2016-07-26,30.8,31.15,30.71,30.88,21328211
2016-07-27,30.95,30.97,30.66,30.76,22722970
2016-07-28,30.65,30.74,30.37,30.52,22470486
2016-07-29,30.6,30.69,30.47,30.53,23807196
2016-08-01,30.7,30.75,30.36,30.73,22438722
2016-08-02,30.82,30.82,30.4,30.62,24485208
2016-08-03,30.51,30.74,30.51,30.72,15962464
2016-08-04,30.78,30.91,30.71,30.8,18586492
2016-08-05,30.9,31.07,30.69,31.04,18873294
2016-08-08,31.0,31.19,30.86,31.01,19019941
2016-08-09,31.11,31.24,30.84,30.94,19159495
2016-08-10,31.01,31.13,30.74,30.85,16684321
2016-08-11,30.95,31.02,30.86,30.95,24020927
2016-08-12,30.92,30.99,30.8,30.87,13430558
2016-08-15,30.98,31.24,30.89,31.19,21944655
2016-08-16,31.22,31.23,30.98,31.12,23399686
2016-08-17,30.97,30.97,30.33,30.72,55071218
2016-08-18,30.41,30.67,30.06,30.48,48710491
2016-08-19,30.37,30.65,30.24,30.52,25131345
2016-08-22,30.44,30.78,30.37,30.63,28680009
2016-08-23,30.83,31.06,30.79,30.98,23493605
2016-08-24,30.98,31.2,30.95,31.06,24474730
2016-08-25,31.06,31.39,31.02,31.29,22917124
2016-08-26,31.34,31.66,31.19,31.35,21106152
2016-08-29,31.43,31.7,31.41,31.58,21101729
2016-08-30,31.61,31.66,31.41,31.54,17794797
2016-08-31,31.45,31.58,31.25,31.44,20418762
2016-09-01,31.42,31.64,31.26,31.58,15980457
2016-09-02,31.65,31.95,31.65,31.83,18075710
2016-09-06,31.93,31.94,31.7,31.87,17656515
2016-09-07,31.79,31.93,31.75,31.79,14050458
2016-09-08,31.72,31.75,31.42,31.47,19913699
2016-09-09,31.14,31.34,30.85,30.85,25450499
2016-09-12,30.61,31.5,30.6,31.44,22612518
2016-09-13,31.26,31.35,30.9,31.06,23617915
2016-09-14,31.01,31.22,30.8,31.0,24356477
2016-09-15,30.63,31.39,30.61,31.31,26021227
2016-09-16,31.12,31.14,30.7,30.84,37416316
2016-09-19,30.85,31.25,30.82,31.02,16833453
2016-09-20,31.08,31.22,31.04,31.1,15878912
2016-09-21,31.11,31.38,30.97,31.36,21169350
2016-09-22,31.5,31.8,31.49,31.66,20261859
2016-09-23,31.71,31.8,31.31,31.34,20442199
2016-09-26,31.1,31.16,30.79,31.07,20361549
