Date,Open,High,Low,Close,Volume
2016-01-04,58.81,58.81,57.47,58.13,4962917
2016-01-05,58.45,58.68,57.97,58.13,3644101
2016-01-06,57.0,57.88,56.6,57.13,4911700
2016-01-07,56.03,57.95,55.53,56.64,5449007
2016-01-08,56.87,56.9,55.7,55.76,4959708
2016-01-11,56.08,56.52,55.58,56.12,4395142
2016-01-12,57.5,59.92,57.45,59.65,8451957
2016-01-13,59.74,59.95,57.38,57.77,6563382
2016-01-14,58.17,61.08,58.0,60.2,7906962
2016-01-15,57.92,59.33,57.8,58.71,5514256
2016-01-19,59.57,60.24,58.31,59.94,7991440
2016-01-20,58.45,59.94,58.03,59.25,6626363
2016-01-21,59.46,60.16,58.63,59.06,4428480
2016-01-22,59.63,60.63,59.34,60.51,5286251
2016-01-25,60.23,61.8,60.17,60.92,7232627
2016-01-26,61.04,62.11,60.66,61.94,4957087
2016-01-27,61.74,62.59,60.62,61.01,4735669
2016-01-28,61.78,62.26,61.14,61.34,4190689
2016-01-29,61.83,63.43,61.82,63.31,5210493
2016-02-01,62.48,63.0,62.07,62.33,3968930
2016-02-02,61.04,61.63,59.78,60.12,5545614
2016-02-03,60.63,61.02,59.51,60.76,3580369
2016-02-04,60.09,60.36,58.98,59.62,5500658
2016-02-05,59.2,59.72,57.95,58.54,7419411
2016-02-08,54.98,55.44,53.04,54.05,12254597
2016-02-09,53.27,53.73,51.22,52.33,8168606
2016-02-10,53.6,54.29,52.94,53.32,6279007
2016-02-11,52.22,52.86,51.33,52.11,5604337
2016-02-12,53.33,53.87,52.52,53.87,4198832
2016-02-16,54.13,55.21,54.02,55.01,5164709
2016-02-17,55.46,56.88,55.03,56.61,6214945
2016-02-18,57.02,57.27,55.87,56.01,4628562
2016-02-19,55.41,56.03,55.07,55.9,4743601
2016-02-22,56.71,57.41,56.34,56.63,3394740
2016-02-23,56.52,56.75,55.7,55.76,3376026
2016-02-24,55.18,56.33,54.53,56.19,3064543
2016-02-25,56.56,57.25,55.56,57.24,2985905
2016-02-26,57.52,57.8,56.87,57.04,3397138
2016-02-29,57.13,57.5,56.66,56.98,4675067
2016-03-01,57.87,58.42,57.42,58.21,5542681
2016-03-02,58.23,58.25,57.24,57.68,4110302
2016-03-03,57.95,58.0,56.74,57.8,3725412
2016-03-04,58.34,58.4,57.42,57.74,3607977
2016-03-07,57.25,57.29,56.46,57.0,4099228
2016-03-08,56.41,56.6,55.78,55.93,3510593
2016-03-09,56.2,56.24,55.66,56.05,3282764
2016-03-10,56.39,56.98,54.65,55.42,5145068
2016-03-11,56.19,57.08,55.62,56.97,4721425
2016-03-14,56.55,58.22,56.45,58.12,5432036
2016-03-15,57.7,58.23,57.66,58.03,3473958
2016-03-16,57.7,58.98,57.3,58.91,3825417
2016-03-17,58.57,58.99,58.24,58.73,3596243
2016-03-18,58.21,59.32,57.93,59.25,5200366
2016-03-21,59.31,59.72,58.73,59.52,3534754
2016-03-22,59.28,59.64,58.8,58.85,4819045
2016-03-23,58.66,59.27,58.23,59.06,4850098
2016-03-24,58.87,60.64,58.78,60.32,5087806
2016-03-28,60.25,60.73,59.92,60.18,3251831
2016-03-29,60.18,61.79,59.95,61.62,4540530
2016-03-30,62.13,62.85,61.79,62.45,5370228
2016-03-31,62.34,63.02,62.04,62.7,3497478
2016-04-01,62.32,63.19,62.21,63.12,2425302
2016-04-04,63.12,63.14,61.6,61.76,3850741
2016-04-05,61.35,61.56,60.89,61.18,2551428
2016-04-06,61.1,61.65,60.89,61.56,2093650
2016-04-07,61.01,61.23,59.89,59.99,4332026
2016-04-08,60.5,60.8,59.92,60.16,2536664
2016-04-11,60.66,61.12,59.96,59.98,3367919
2016-04-12,60.84,60.84,58.94,59.46,6215590
2016-04-13,60.07,60.74,59.44,60.45,6631429
2016-04-14,60.45,60.76,60.06,60.36,2710866
2016-04-15,60.85,60.96,59.95,60.07,5264343
2016-04-18,59.95,60.51,59.12,60.38,3570082
2016-04-19,60.63,60.63,59.25,59.85,2289996
2016-04-20,59.99,60.39,59.33,60.09,2369425
2016-04-21,59.88,60.42,59.71,60.05,2544520
2016-04-22,59.98,60.62,59.69,60.44,3283503
2016-04-25,60.09,60.31,59.69,60.21,2087509
2016-04-26,60.27,60.95,60.16,60.63,2067968
2016-04-27,60.5,61.25,60.11,60.58,1913241
2016-04-28,60.1,60.5,59.58,59.73,3109772
2016-04-29,59.25,59.5,57.78,58.37,4415850
2016-05-02,58.37,58.63,57.95,58.37,5367342
2016-05-03,58.01,58.3,57.52,57.65,4558139
2016-05-04,57.2,57.83,57.0,57.54,5056693
2016-05-05,57.5,57.76,57.06,57.59,6253699
2016-05-06,56.45,60.8,56.21,60.55,7379904
2016-05-09,60.57,61.17,60.05,60.82,4111983
2016-05-10,60.8,61.95,60.56,61.74,3720248
2016-05-11,61.56,61.98,60.9,61.1,2923780
2016-05-12,61.27,61.46,60.51,61.13,2201343
2016-05-13,60.95,62.09,60.79,61.35,3482391
2016-05-16,61.3,62.04,60.87,61.81,2983655
2016-05-17,61.49,62.06,61.31,61.64,4453652
2016-05-18,61.55,62.4,61.39,62.02,2886295
2016-05-19,61.59,62.15,61.45,62.01,3590337
2016-05-20,61.91,63.23,61.91,62.94,4649723
2016-05-23,62.83,62.9,61.7,61.74,3070386
2016-05-24,62.04,63.0,61.95,62.91,3669376
2016-05-25,63.0,63.15,62.53,62.6,3847780
2016-05-26,62.52,62.81,62.05,62.26,2700217
2016-05-27,62.48,62.73,62.14,62.46,2273553
2016-05-31,62.6,62.63,61.26,61.44,4503704
2016-06-01,61.43,61.55,60.9,61.13,3065100
2016-06-02,61.16,61.35,60.69,61.34,2947032
2016-06-03,61.32,61.33,60.1,60.12,3859757
2016-06-06,60.05,60.42,59.47,60.35,4511132
2016-06-07,60.74,61.06,60.26,60.73,3233257
2016-06-08,60.72,61.76,60.61,61.62,3670837
2016-06-09,60.89,61.16,60.39,60.99,4381359
2016-06-10,60.26,60.79,59.8,60.27,4264167
2016-06-13,59.92,60.98,59.76,60.05,3205281
2016-06-14,59.98,60.72,59.88,60.6,3393861
2016-06-15,60.86,60.86,59.51,59.63,3783887
2016-06-16,59.25,59.86,58.59,59.71,3225859
2016-06-17,59.88,60.02,58.94,59.55,3821420
2016-06-20,60.5,61.76,60.42,61.3,3638388
2016-06-21,61.46,61.85,61.19,61.6,3178880
2016-06-22,61.48,62.15,61.43,61.72,3895631
2016-06-23,62.44,62.71,61.63,62.7,2894107
2016-06-24,60.0,60.04,57.96,58.01,9228117
2016-06-27,57.42,57.55,55.16,55.48,7969566
2016-06-28,56.38,56.69,55.62,56.0,6468515
2016-06-29,56.74,57.51,56.3,57.09,6184109
2016-06-30,57.37,57.48,56.7,57.24,5863116
2016-07-01,57.16,58.16,57.0,57.2,8307127
2016-07-05,56.7,56.87,56.09,56.4,6498727
2016-07-06,55.98,56.84,55.42,56.77,5234806
2016-07-07,56.84,57.47,56.61,56.84,2161202
2016-07-08,57.39,58.16,57.11,57.93,3658249
2016-07-11,58.08,58.71,58.08,58.44,2851087
2016-07-12,57.99,58.68,57.95,58.36,3313050
2016-07-13,58.69,58.86,58.05,58.49,3024059
2016-07-14,59.07,59.41,58.73,58.94,2711612
2016-07-15,57.52,58.07,56.52,57.76,6336358
2016-07-18,57.84,58.03,57.63,57.98,3645482
2016-07-19,57.85,58.04,57.48,57.67,4218095
2016-07-20,57.74,58.82,57.5,58.72,3589195
2016-07-21,58.54,58.83,58.22,58.31,3195172
2016-07-22,58.59,58.59,57.53,58.36,3820408
2016-07-25,58.25,58.4,57.88,58.4,3175457
2016-07-26,58.34,58.91,58.33,58.62,3348952
2016-07-27,58.55,58.55,57.88,58.25,2684976
2016-07-28,58.31,58.63,57.52,57.89,2459947
2016-07-29,58.03,58.08,57.17,57.49,2937935
2016-08-01,57.58,58.48,57.36,58.45,2993610
2016-08-02,58.15,58.51,57.53,57.85,3796826
2016-08-03,57.85,58.31,57.5,58.15,2504215
2016-08-04,58.22,58.96,57.89,58.77,5096850
2016-08-05,58.09,60.47,56.85,59.71,8794082
2016-08-08,59.64,59.71,58.24,58.31,5272065
2016-08-09,58.2,58.47,57.59,57.67,4352230
2016-08-10,57.89,57.89,57.31,57.53,2878148
2016-08-11,57.82,57.92,57.12,57.33,3232492
2016-08-12,57.16,58.25,57.06,58.2,3788831
2016-08-15,58.0,58.31,57.29,57.88,5675824
2016-08-16,57.65,57.98,57.28,57.3,3664444
2016-08-17,57.25,57.45,56.42,57.0,5413007
2016-08-18,56.79,57.0,56.32,56.94,3386666
2016-08-19,57.02,57.65,56.93,57.14,3386313
2016-08-22,56.98,57.81,56.85,57.74,2510419
2016-08-23,57.6,58.66,57.53,58.15,5375295
2016-08-24,58.03,58.25,57.35,57.67,4697876
2016-08-25,57.7,57.97,57.34,57.57,2349481
2016-08-26,57.62,58.2,57.33,57.87,3397186
2016-08-29,57.75,58.1,57.45,57.85,2221123
2016-08-30,58.09,58.19,57.5,57.91,2430124
2016-08-31,57.73,57.91,57.06,57.44,3368016
2016-09-01,57.75,57.87,56.95,57.59,3352440
2016-09-02,57.95,58.61,57.88,58.36,3672655
2016-09-06,58.27,58.66,58.12,58.66,2586099
2016-09-07,58.69,59.0,58.22,58.38,3824743
2016-09-08,57.93,57.94,56.06,56.16,5701394
2016-09-09,56.36,56.36,55.23,55.23,4507480
2016-09-12,55.17,56.52,55.05,56.4,5593350
