Date,Open,High,Low,Close,Volume
2016-01-04,24.72,25.29,24.72,25.16,2651876
2016-01-05,25.2,25.47,24.84,25.27,2290111
2016-01-06,24.8,25.39,24.78,25.1,1996642
2016-01-07,24.56,24.89,24.15,24.32,2488709
2016-01-08,24.39,25.09,24.21,25.0,3264593
2016-01-11,25.06,25.27,24.45,24.85,2133254
2016-01-12,24.95,25.56,24.92,25.24,2127283
2016-01-13,25.26,25.69,24.48,24.62,2158945
2016-01-14,24.71,25.67,24.55,25.42,2309477
2016-01-15,24.83,25.33,24.55,25.07,2408841
2016-01-19,25.32,25.66,24.92,25.22,3725971
2016-01-20,24.92,25.22,24.21,25.02,3371422
2016-01-21,25.04,25.82,24.7,25.54,2969716
2016-01-22,25.94,26.54,25.9,26.43,2417830
2016-01-25,26.32,26.42,25.88,25.92,2162764
2016-01-26,25.96,27.18,25.95,27.12,2667865
2016-01-27,27.08,27.69,26.69,26.79,2401817
2016-01-28,27.04,27.13,25.95,26.44,2555902
2016-01-29,26.65,27.29,26.43,27.21,1910181
2016-02-01,26.96,27.52,26.6,27.39,1810367
2016-02-02,27.0,27.1,26.01,26.06,1909400
2016-02-03,26.31,26.93,25.66,26.89,1449234
2016-02-04,26.88,27.91,26.88,27.19,1555442
2016-02-05,27.03,27.16,26.23,26.59,1976711
2016-02-08,26.35,26.36,24.85,25.39,1936653
2016-02-09,24.98,24.98,23.89,24.33,2294315
2016-02-10,24.3,24.68,23.55,24.28,2256414
2016-02-11,23.8,24.09,23.33,23.81,2505420
2016-02-12,24.09,24.48,23.72,24.44,1663633
2016-02-16,24.42,25.06,23.88,25.03,1918558
2016-02-17,25.31,26.25,25.28,26.01,2008917
2016-02-18,25.75,25.75,23.8,25.27,3102637
2016-02-19,25.16,25.8,24.56,24.94,2107282
2016-02-22,25.17,25.97,25.12,25.71,1592733
2016-02-23,25.58,25.67,24.6,24.69,1901029
2016-02-24,24.39,24.91,23.92,24.82,1596139
2016-02-25,24.99,25.02,24.09,24.57,1736423
2016-02-26,24.74,24.86,24.42,24.58,1914662
2016-02-29,24.59,25.0,24.44,24.65,3128181
2016-03-01,24.86,26.01,24.69,25.77,2102088
2016-03-02,25.67,26.32,25.57,26.0,1599516
2016-03-03,26.0,27.06,25.95,26.82,1887442
2016-03-04,26.9,27.08,26.25,26.73,2339049
2016-03-07,26.48,27.26,26.26,27.09,1611791
2016-03-08,26.91,26.91,26.18,26.24,2859424
2016-03-09,26.44,26.82,26.3,26.62,2766287
2016-03-10,26.68,26.84,26.15,26.57,1515460
2016-03-11,26.57,27.53,26.57,27.32,1877229
2016-03-14,27.27,27.28,26.5,26.67,2261280
2016-03-15,26.5,26.97,26.14,26.29,2668785
2016-03-16,26.1,27.06,26.01,27.02,1853835
2016-03-17,26.98,27.78,26.98,27.6,1342184
2016-03-18,27.73,28.02,27.5,28.0,6525062
2016-03-21,27.96,28.04,27.31,27.9,1352283
2016-03-22,27.58,27.73,27.13,27.33,2208804
2016-03-23,27.2,27.3,26.26,26.44,1367901
2016-03-24,26.27,26.59,25.93,26.53,1596154
