Date,Open,High,Low,Close,Volume
2016-01-04,56.11,57.32,55.82,57.29,1337547
2016-01-05,57.45,57.53,56.31,57.35,1635899
2016-01-06,56.1,57.15,56.0,56.06,2395860
2016-01-07,55.26,55.6,54.55,54.86,1708402
2016-01-08,55.23,55.9,53.66,53.81,1724724
2016-01-11,53.86,54.22,52.82,53.24,1685801
2016-01-12,53.87,54.21,53.25,53.94,1728071
2016-01-13,54.02,54.23,51.48,52.07,3011709
2016-01-14,52.28,52.48,51.35,51.73,2084376
2016-01-15,50.28,51.99,49.43,49.94,2502206
2016-01-19,50.75,50.78,48.42,48.9,2077397
2016-01-20,48.25,48.83,46.64,48.36,2787260
2016-01-21,48.19,48.63,47.33,47.67,3240911
2016-01-22,48.45,49.16,48.31,49.1,2198473
2016-01-25,48.79,48.94,46.97,47.06,1551023
2016-01-26,47.18,48.52,47.02,48.36,2099036
2016-01-27,48.03,48.44,46.97,47.09,1533687
2016-01-28,47.51,47.71,46.53,47.0,1089607
2016-01-29,47.41,48.3,47.14,48.27,1877302
2016-02-01,47.74,48.23,46.91,47.88,1771589
2016-02-02,47.39,47.69,46.65,46.76,1795113
2016-02-03,47.36,47.75,45.8,47.68,1883678
2016-02-04,47.77,48.51,47.43,47.79,1145534
2016-02-05,47.69,47.87,45.26,45.56,1745925
2016-02-08,45.43,45.53,41.38,42.27,4349992
2016-02-09,41.49,41.83,40.02,40.68,3849342
2016-02-10,41.15,41.74,39.51,39.71,3184179
2016-02-11,39.28,42.02,38.85,41.55,4137483
2016-02-12,42.13,43.52,41.32,43.31,3659454
2016-02-16,43.95,44.33,43.2,44.15,2090153
2016-02-17,45.21,46.46,44.65,46.07,3416388
2016-02-18,45.51,46.88,41.38,43.17,6879319
2016-02-19,42.68,44.5,42.45,44.21,2798555
2016-02-22,44.47,46.47,44.22,46.46,2727996
2016-02-23,46.35,46.68,44.61,46.06,2781453
2016-02-24,45.59,46.51,45.0,46.42,1734879
2016-02-25,46.57,46.57,45.69,46.51,1551744
2016-02-26,47.28,47.82,46.47,46.7,2302608
2016-02-29,46.93,47.57,46.57,47.13,2149425
2016-03-01,47.42,48.76,46.97,48.74,1916901
2016-03-02,48.5,49.14,47.44,48.84,1432090
2016-03-03,48.74,49.42,48.21,49.29,2205762
2016-03-04,49.45,50.13,49.08,49.93,2374000
2016-03-07,49.5,50.05,49.42,49.85,1931437
2016-03-08,49.61,49.79,48.59,48.9,2680418
2016-03-09,49.23,49.43,48.56,48.95,1950684
2016-03-10,49.06,50.35,48.12,48.71,1984379
2016-03-11,49.42,49.92,48.71,49.54,1006958
2016-03-14,49.5,49.73,48.87,49.04,912050
2016-03-15,48.9,48.9,48.08,48.58,1551528
2016-03-16,48.19,49.18,48.19,48.97,1271614
2016-03-17,49.01,49.56,48.78,49.27,1040699
2016-03-18,49.49,49.62,49.01,49.13,1501370
2016-03-21,48.9,49.09,48.22,48.29,1474418
2016-03-22,47.95,48.3,47.54,48.11,1005430
2016-03-23,48.05,48.41,47.58,47.82,1451292
2016-03-24,48.14,48.14,47.12,47.91,1341419
2016-03-28,47.89,48.02,47.49,47.53,911383
2016-03-29,47.4,47.7,47.01,47.43,1947038
2016-03-30,47.78,48.14,46.97,47.37,1490953
2016-03-31,47.19,47.31,45.95,46.26,1904083
2016-04-01,45.9,46.42,45.41,46.29,1442506
2016-04-04,46.3,46.43,45.78,45.91,1316567
2016-04-05,45.34,45.44,44.25,44.7,2006775
2016-04-06,44.69,45.07,44.42,44.79,1030100
2016-04-07,44.46,44.67,43.39,43.61,1805797
2016-04-08,43.8,44.21,43.28,43.45,1038021
2016-04-11,43.75,44.31,43.4,43.4,1201554
2016-04-12,43.38,43.91,43.29,43.74,785886
2016-04-13,44.07,44.8,44.05,44.68,1483131
2016-04-14,44.76,44.89,44.22,44.42,1757183
2016-04-15,44.52,44.83,44.06,44.63,1383651
2016-04-18,44.46,46.62,44.17,46.5,3377623
2016-04-19,46.79,47.57,46.57,47.32,3723313
2016-04-20,48.99,49.14,46.99,47.42,3543968
2016-04-21,47.44,48.45,47.07,48.1,2289074
2016-04-22,48.1,49.82,48.1,49.76,3078347
2016-04-25,49.76,51.28,49.58,51.26,3734318
2016-04-26,51.27,51.63,50.52,50.61,3275322
2016-04-27,50.63,51.08,49.92,49.98,4456411
2016-04-28,49.76,51.22,49.5,50.8,6285281
2016-04-29,50.56,50.75,49.13,49.29,4506886
2016-05-02,49.48,49.54,48.6,48.92,2900541
2016-05-03,48.5,48.59,47.37,47.39,2804413
2016-05-04,47.02,47.24,45.56,46.04,4470407
2016-05-05,46.19,46.37,43.86,44.09,4889727
2016-05-06,44.48,47.0,44.4,46.7,6157664
2016-05-09,46.7,48.29,46.62,47.67,4305353
2016-05-10,47.88,48.34,47.39,47.54,4400822
2016-05-11,47.27,48.07,46.68,47.46,4931978
2016-05-12,47.83,47.89,45.35,45.43,4324172
2016-05-13,45.31,46.59,45.12,45.86,4120394
2016-05-16,45.8,46.47,45.12,45.28,4375581
2016-05-17,45.13,46.29,44.81,45.64,2788743
2016-05-18,45.58,46.11,44.51,44.9,2338346
2016-05-19,44.68,45.1,44.34,44.39,2170155
2016-05-20,44.87,46.56,44.87,46.49,3491009
2016-05-23,46.49,46.94,46.1,46.15,1806872
2016-05-24,46.38,47.47,46.01,46.71,2632723
2016-05-25,46.71,47.95,46.67,47.81,1822982
2016-05-26,47.82,48.45,47.52,47.92,2653612
2016-05-27,48.08,49.36,48.08,48.95,2600500
2016-05-31,48.84,49.96,48.4,49.9,2618591
2016-06-01,49.35,50.81,49.35,50.73,2901295
2016-06-02,50.73,53.81,50.22,53.68,6222045
2016-06-03,53.42,54.41,52.44,54.3,5364693
2016-06-06,54.4,54.96,53.76,54.82,3380874
2016-06-07,55.07,56.6,54.92,56.06,4470648
2016-06-08,56.39,56.39,55.09,55.8,2627650
2016-06-09,55.5,55.8,55.05,55.36,2545365
2016-06-10,54.54,54.97,53.15,53.47,2951873
2016-06-13,53.3,53.58,52.34,52.38,2814148
2016-06-14,52.4,52.95,51.71,52.44,2339387
2016-06-15,52.35,53.43,52.35,52.64,1538947
2016-06-16,52.36,53.34,51.98,53.01,3171840
2016-06-17,53.18,54.3,52.9,53.0,2918601
2016-06-20,53.49,54.49,53.0,53.36,2445866
2016-06-21,53.31,53.44,52.12,53.09,2916178
2016-06-22,52.89,53.43,52.42,52.65,2090778
2016-06-23,53.33,53.93,52.8,53.5,3144361
2016-06-24,51.18,52.18,50.41,50.59,3725418
2016-06-27,50.39,50.87,49.04,49.6,3066125
2016-06-28,49.46,50.34,48.51,50.33,2828415
2016-06-29,50.55,53.3,50.55,51.93,4154149
2016-06-30,52.01,52.42,51.35,52.4,2685630
2016-07-01,52.22,53.3,52.16,52.57,1774013
2016-07-05,52.44,52.51,50.6,50.81,2012858
2016-07-06,50.06,51.4,49.93,51.33,2303299
2016-07-07,51.32,52.04,50.5,51.26,1192054
2016-07-08,51.45,52.69,50.75,51.85,2155617
2016-07-11,52.17,52.55,51.77,52.26,2045653
2016-07-12,52.79,53.26,52.17,52.85,2095785
2016-07-13,53.17,53.17,52.38,52.53,1479097
2016-07-14,52.65,53.19,52.28,52.91,809031
2016-07-15,53.28,53.64,52.04,52.18,1536462
2016-07-18,52.43,52.49,51.73,52.32,1332350
2016-07-19,52.08,52.4,51.83,52.09,1357655
2016-07-20,52.37,52.37,51.36,51.97,1684279
2016-07-21,51.05,53.83,49.91,53.71,3648953
2016-07-22,53.22,54.29,52.97,53.48,2442469
2016-07-25,53.25,53.7,52.14,52.25,2191525
2016-07-26,52.44,52.97,52.1,52.2,1615360
2016-07-27,52.21,52.38,51.65,52.04,1574528
2016-07-28,51.99,53.67,51.38,53.47,2013390
2016-07-29,53.33,53.58,52.73,53.42,2281771
2016-08-01,53.55,54.19,53.24,53.48,1670866
2016-08-02,51.32,51.66,49.18,49.19,18627035
2016-08-03,50.25,51.44,50.2,51.32,12354160
2016-08-04,51.46,51.87,50.66,51.79,5482998
2016-08-05,52.03,52.65,51.42,51.42,2584326
2016-08-08,51.57,52.03,51.16,51.29,2004772
2016-08-09,52.55,52.75,51.76,52.24,3526549
2016-08-10,52.15,52.17,50.79,50.87,2080825
2016-08-11,50.89,51.48,50.89,51.01,1224375
2016-08-12,50.88,51.46,50.71,51.02,1635222
2016-08-15,51.08,52.9,50.96,52.25,3223975
2016-08-16,52.3,52.44,51.56,52.16,2022401
2016-08-17,52.1,52.11,50.8,51.18,2005263
2016-08-18,51.25,52.09,51.2,51.53,1391862
2016-08-19,51.2,51.4,50.35,50.4,1296723
2016-08-22,50.51,50.51,49.36,49.89,1489663
2016-08-23,50.28,50.34,49.74,49.98,981533
2016-08-24,50.11,50.61,49.44,49.59,1584154
2016-08-25,49.5,49.72,49.07,49.3,1201106
2016-08-26,49.51,49.6,48.51,48.84,1500517
2016-08-29,48.91,49.96,48.88,49.86,2250981
2016-08-30,50.02,50.23,49.1,49.83,2399417
2016-08-31,49.87,50.62,49.64,50.23,2813163
2016-09-01,50.28,50.83,49.68,50.66,2105499
2016-09-02,50.98,52.0,50.71,51.78,1868491
2016-09-06,51.63,51.73,50.36,50.45,3809053
2016-09-07,50.42,51.19,50.07,50.79,3362907
2016-09-08,50.77,51.65,50.46,51.6,3737993
2016-09-09,51.08,51.2,49.66,49.69,3860012
2016-09-12,49.51,51.07,49.01,50.99,3113646
2016-09-13,50.38,50.74,49.42,49.74,2605283
2016-09-14,49.76,50.77,49.49,50.29,3128684
2016-09-15,50.53,52.2,49.97,52.05,4503870
2016-09-16,51.91,52.36,51.38,52.07,3305137
2016-09-19,52.24,52.82,51.76,52.29,2419130
2016-09-20,52.41,52.94,52.22,52.33,1794471
2016-09-21,52.39,53.36,52.36,53.25,2499530
2016-09-22,53.45,54.0,53.11,53.86,1724135
2016-09-23,53.5,54.23,53.5,53.91,1912152
2016-09-26,53.91,54.09,53.33,53.97,1502840
2016-09-27,53.96,54.79,53.79,54.35,2275490
2016-09-28,54.51,55.12,53.84,54.93,2115664
2016-09-29,54.72,55.64,54.57,55.04,2943058
2016-09-30,55.25,55.25,54.55,54.78,2249484
2016-10-03,54.71,55.74,54.69,55.65,1995366
2016-10-04,55.56,56.26,55.37,55.9,2005186
2016-10-05,55.93,56.97,55.85,56.09,2091719
2016-10-06,55.78,56.12,55.13,55.59,2219022
2016-10-07,55.84,55.84,54.76,55.45,1261363
2016-10-10,55.86,56.08,55.62,56.0,965909
2016-10-11,55.84,55.9,55.08,55.33,2364738
2016-10-12,55.19,56.69,55.08,55.6,3373004
2016-10-13,55.22,57.07,54.97,56.98,3730866
2016-10-14,57.2,58.1,56.96,56.97,2730782
2016-10-17,57.15,57.84,56.61,56.69,1815692
2016-10-18,57.32,57.54,55.97,56.62,2389891
2016-10-19,56.89,57.87,56.48,57.44,2037133
2016-10-20,57.92,59.57,57.9,59.18,4570163
