Date,Open,High,Low,Close,Volume
2016-01-04,404.5,404.5,390.7,392.6,10175379
2016-01-05,395.9,397.8,383.5,386.3,6712487
2016-01-06,383.2,383.9,375.5,376.5,7923246
2016-01-07,370.1,373.0,367.7,371.5,6140391
2016-01-08,369.5,372.2,363.4,364.6,4917336
2016-01-11,363.0,367.1,361.8,362.2,5272550
2016-01-12,365.0,371.3,364.1,371.3,7315071
2016-01-13,371.9,376.2,371.3,372.6,4801244
2016-01-14,367.5,370.6,364.2,368.5,4990561
2016-01-15,367.4,372.2,365.8,369.6,7534879
2016-01-18,368.1,371.4,366.9,369.1,3509220
2016-01-19,372.2,373.67,368.3,371.6,4320391
2016-01-20,365.2,368.8,358.1,359.9,5890686
2016-01-21,360.4,362.2,354.7,359.6,5413860
2016-01-22,364.4,367.0,360.7,366.2,4534288
2016-01-25,370.1,370.5,367.2,369.8,3661439
2016-01-26,366.3,370.7,363.7,369.4,4071853
2016-01-27,369.2,377.5,368.3,377.5,4349978
2016-01-28,375.6,378.2,367.8,368.6,4951795
2016-01-29,373.1,376.0,369.8,374.6,5272163
2016-02-01,376.0,380.4,373.48,379.5,4659834
2016-02-02,378.5,380.4,375.7,376.9,4485934
2016-02-03,375.4,380.0,371.8,373.1,5359674
2016-02-04,376.9,377.6,369.3,371.5,3296062
2016-02-05,372.9,373.5,362.0,362.0,5218255
2016-02-08,363.4,365.4,349.1,350.7,4329364
2016-02-09,351.5,354.5,345.7,349.2,4287537
2016-02-10,351.8,361.6,349.4,355.8,3615522
2016-02-11,354.1,354.1,343.3,350.1,5010021
2016-02-12,352.1,357.9,349.0,357.8,4437129
2016-02-15,363.1,368.6,362.9,364.0,3011211
2016-02-16,367.2,367.95,361.8,365.8,2295707
2016-02-17,365.7,376.2,363.1,376.0,3251589
2016-02-18,376.5,378.0,373.2,375.6,3440517
2016-02-19,375.6,376.8,370.5,374.7,3036013
2016-02-22,378.0,381.6,377.2,378.9,1423424
2016-02-23,376.6,381.1,374.3,377.2,2454675
2016-02-24,375.6,377.6,372.2,373.5,2712647
2016-02-25,378.2,386.3,378.2,384.3,3578973
2016-02-26,387.0,389.0,383.9,388.8,3332954
2016-02-29,385.1,389.6,385.1,388.6,4042749
2016-03-01,389.0,414.1,389.0,409.6,8516634
2016-03-02,412.0,416.0,406.0,407.8,4245846
2016-03-03,408.7,409.15,396.1,399.0,4799853
2016-03-04,399.7,406.3,397.9,398.7,5482307
2016-03-07,398.2,402.8,392.6,395.4,4453095
2016-03-08,392.8,393.1,385.9,392.0,4096704
2016-03-09,394.3,397.8,391.5,394.9,3497097
2016-03-10,379.7,379.7,356.3,358.6,8696546
2016-03-11,362.7,368.6,361.9,366.5,4196317
2016-03-14,367.3,371.1,364.9,366.6,2630924
2016-03-15,364.8,367.6,362.0,365.8,2664450
2016-03-16,367.0,374.8,365.64,372.4,3774513
2016-03-17,374.6,377.5,369.2,375.2,4119266
2016-03-18,375.0,378.5,374.1,375.5,6471244
2016-03-21,374.3,379.1,374.18,376.8,2339102
2016-03-22,376.7,380.2,373.1,380.2,3128154
2016-03-23,376.8,377.8,373.3,375.5,3745988
2016-03-24,372.6,374.9,369.2,369.9,2725212
2016-03-29,372.0,375.0,369.9,371.6,2401436
2016-03-30,375.2,376.2,370.2,373.0,3367743
2016-03-31,372.6,372.6,368.9,370.2,3571115
2016-04-01,366.6,367.3,362.3,364.1,4047170
2016-04-04,362.8,366.8,361.5,364.5,1764561
2016-04-05,362.4,362.4,358.6,359.5,2880205
2016-04-06,359.5,364.5,359.4,364.2,2179347
2016-04-07,365.6,367.3,358.2,360.5,3007613
2016-04-08,360.7,362.6,359.3,360.7,2279763
2016-04-11,358.2,358.78,352.7,355.3,3057733
2016-04-12,356.7,365.3,356.2,363.8,3309898
2016-04-13,367.6,369.4,366.6,367.7,3159548
2016-04-14,369.1,370.4,366.7,366.9,2897596
2016-04-15,367.2,367.7,362.7,362.8,3713544
2016-04-18,358.9,367.14,358.9,360.0,3074979
2016-04-19,360.4,362.6,358.3,359.4,3265117
2016-04-20,358.2,359.18,352.0,355.5,3880224
2016-04-21,356.2,356.2,347.4,347.6,4053305
2016-04-22,345.7,348.8,344.2,345.3,2129359
2016-04-25,345.7,349.1,342.3,348.0,3259633
2016-04-26,349.3,352.8,347.7,348.5,2857055
2016-04-27,347.3,352.2,347.0,352.2,3367011
2016-04-28,349.7,359.2,349.6,359.0,4041995
2016-04-29,358.1,368.6,358.1,361.9,4617060
2016-05-03,365.0,373.3,364.0,368.32,6317479
2016-05-04,376.8,376.8,366.6,371.0,6120193
2016-05-05,375.0,375.0,368.02,372.2,3267413
2016-05-06,372.1,378.3,371.2,377.0,4180782
2016-05-09,378.5,380.4,376.9,380.0,2757242
2016-05-10,381.5,382.7,378.3,379.5,4241604
2016-05-11,378.4,380.05,377.4,378.8,1785657
2016-05-12,376.9,378.7,371.34,373.5,4199795
2016-05-13,370.9,377.47,360.4,367.4,5807473
2016-05-16,365.6,369.5,363.5,369.5,1661778
2016-05-17,369.9,374.7,368.3,369.0,3087948
2016-05-18,367.4,369.6,363.0,369.6,3610571
2016-05-19,368.0,371.4,365.5,365.9,3665423
2016-05-20,368.7,370.8,366.8,368.0,3256185
2016-05-23,368.0,369.5,366.5,367.3,2733904
2016-05-24,366.4,374.1,365.5,374.0,3663528
2016-05-25,376.1,376.3,368.7,370.1,2425221
2016-05-26,369.7,371.0,364.6,369.2,2480344
2016-05-27,369.1,371.8,367.9,371.8,2328130
2016-05-31,373.4,377.1,370.3,375.3,6804948
2016-06-01,374.8,377.4,372.6,375.0,3053663
2016-06-02,375.3,377.2,371.9,374.0,2711064
2016-06-03,376.2,376.9,372.0,375.3,2453361
2016-06-09,363.5,363.5,355.0,358.5,3805871
