Date,Open,High,Low,Close,Volume
2016-01-04,67.18,67.57,65.1,66.1,4043338
2016-01-05,66.1,66.82,64.84,64.94,3304592
2016-01-06,63.61,64.29,62.56,63.68,3764497
2016-01-07,62.32,64.71,61.55,62.46,4369298
2016-01-08,63.21,65.01,62.95,63.13,3909748
2016-01-11,63.39,64.81,63.25,64.21,3742244
2016-01-12,64.66,66.09,64.64,65.62,3469449
2016-01-13,66.26,66.59,63.18,63.38,3929750
2016-01-14,63.3,64.96,61.5,64.48,4427324
2016-01-15,64.34,66.71,63.51,66.06,8567508
2016-01-19,66.84,68.24,66.42,67.37,5035499
2016-01-20,66.2,67.69,65.04,66.85,4663541
2016-01-21,67.19,67.56,65.79,67.03,3894369
2016-01-22,68.0,69.4,67.3,69.36,3969292
2016-01-25,69.29,70.49,68.76,69.92,5417261
2016-01-26,69.9,71.49,69.61,70.83,5532087
2016-01-27,70.89,71.35,69.26,69.49,4274329
2016-01-28,70.7,71.0,68.72,69.79,5797546
2016-01-29,67.44,67.48,62.8,64.54,17898617
2016-02-01,64.17,65.44,63.31,64.2,6725813
2016-02-02,63.87,63.99,60.13,60.66,7811895
2016-02-03,61.77,61.92,58.73,59.61,9419354
2016-02-04,59.44,59.86,57.52,58.73,8680896
2016-02-05,58.37,58.57,54.85,55.5,7693972
2016-02-08,54.39,56.57,53.01,56.32,8221914
2016-02-09,56.26,59.19,55.82,58.25,8862836
2016-02-10,59.34,60.07,58.66,58.98,4990613
2016-02-11,57.96,59.11,57.76,58.19,6657652
2016-02-12,58.05,59.37,57.32,59.25,5229663
2016-02-16,59.83,60.0,58.88,59.36,3889455
2016-02-17,60.25,60.54,58.81,59.84,4943788
2016-02-18,59.57,59.92,58.23,58.35,5105130
2016-02-19,58.34,59.9,58.1,59.57,5699352
2016-02-22,60.07,63.31,59.97,63.27,6847292
2016-02-23,63.0,63.32,61.46,61.52,4809491
2016-02-24,60.92,63.48,60.71,63.2,4455686
2016-02-25,63.55,64.72,63.34,64.68,4271619
2016-02-26,64.81,65.11,63.77,64.45,3260165
2016-02-29,63.97,65.25,63.97,64.24,3417635
2016-03-01,64.45,65.69,64.26,65.48,3437088
2016-03-02,65.18,66.25,64.63,66.09,3349425
2016-03-03,65.8,66.01,64.18,64.8,3946590
2016-03-04,64.41,64.86,63.08,64.43,3702363
2016-03-07,63.89,64.43,62.91,63.59,2840933
2016-03-08,63.05,64.18,62.6,62.96,3559468
2016-03-09,63.19,64.04,62.74,63.92,3124036
2016-03-10,64.15,64.42,62.58,63.5,3274068
2016-03-11,63.83,64.65,63.53,64.47,2586324
2016-03-14,63.81,65.31,63.81,64.79,1858460
2016-03-15,64.19,65.9,64.19,65.72,2476213
2016-03-16,65.63,66.17,64.57,66.0,2200411
2016-03-17,65.09,65.75,63.24,64.67,4904981
2016-03-18,64.9,65.32,63.82,64.32,4185171
2016-03-21,64.05,64.4,63.51,63.94,2434493
2016-03-22,63.7,64.28,63.27,63.87,2839515
2016-03-23,63.9,65.5,63.58,65.05,3344293
2016-03-24,64.6,65.73,64.07,64.24,3083879
2016-03-28,64.13,65.02,63.6,64.64,2304634
