Date,Open,High,Low,Close,Volume
2016-01-04,85.84,86.63,85.54,86.63,4887126
2016-01-05,86.87,87.87,86.79,87.6,4804329
2016-01-06,85.97,87.56,85.86,87.09,5765953
2016-01-07,85.01,86.82,85.01,85.84,5167398
2016-01-08,85.94,86.52,85.51,85.74,4012560
2016-01-11,85.79,86.36,85.23,85.97,4137741
2016-01-12,86.14,86.74,85.04,85.58,4107420
2016-01-13,80.9,81.61,79.54,79.69,19444016
2016-01-14,79.65,79.65,77.28,77.51,16486911
2016-01-15,75.49,75.85,72.93,74.59,10480043
2016-01-19,74.49,75.21,71.63,72.38,8381874
2016-01-20,71.43,72.24,69.04,71.7,7701950
2016-01-21,70.95,72.41,69.42,71.91,8220977
2016-01-22,72.49,73.05,71.53,72.23,5202616
2016-01-25,72.21,73.0,71.51,72.31,7237867
2016-01-26,71.92,73.17,71.51,72.98,4934088
2016-01-27,73.05,74.58,71.54,72.02,9059158
2016-01-28,72.93,72.99,69.48,69.86,7178159
2016-01-29,69.39,71.94,69.1,71.87,8697571
2016-02-01,71.12,72.72,71.02,72.28,4603640
2016-02-02,71.26,71.72,70.02,70.12,4893541
2016-02-03,70.21,71.09,68.21,68.82,6586014
2016-02-04,68.68,69.92,67.55,68.15,6066623
2016-02-05,67.73,69.22,67.51,67.84,5545094
2016-02-08,67.78,68.07,65.72,66.72,4401469
2016-02-09,66.08,68.01,65.55,67.16,4035728
2016-02-10,67.65,68.96,67.06,67.11,3683845
2016-02-11,66.39,66.89,65.55,66.37,4844599
2016-02-12,67.36,67.62,66.7,67.34,3041950
2016-02-16,67.42,68.78,66.9,68.65,5260446
2016-02-17,68.0,70.9,67.62,69.39,5971544
2016-02-18,69.09,69.44,68.1,68.29,4379510
2016-02-19,68.32,68.64,67.82,68.01,5306570
2016-02-22,67.07,69.36,67.07,68.95,5285364
2016-02-23,68.89,69.02,68.08,68.55,3985947
2016-02-24,68.17,69.26,67.49,69.2,3060662
2016-02-25,69.45,70.14,69.25,69.69,3779368
2016-02-26,70.81,72.4,70.79,71.33,5442851
2016-02-29,71.0,71.49,70.11,70.38,3844444
2016-03-01,70.69,71.66,69.62,71.61,3322301
2016-03-02,71.63,72.0,70.36,71.19,3119206
2016-03-03,71.29,72.5,70.34,72.4,4296743
2016-03-04,72.6,72.91,71.6,71.69,4718443
2016-03-07,71.08,71.98,70.71,70.85,5026178
2016-03-08,70.66,70.75,68.11,68.22,6817537
2016-03-09,68.58,70.08,68.11,69.57,3776058
2016-03-10,69.32,70.29,68.1,68.35,4447893
2016-03-11,69.01,70.52,68.75,70.28,4653322
2016-03-14,70.33,71.39,70.13,70.94,3249491
2016-03-15,70.69,70.85,69.47,69.59,2368645
2016-03-16,69.73,70.45,69.15,70.07,3007983
2016-03-17,69.38,69.48,65.97,67.59,8989396
2016-03-18,67.94,69.61,67.32,69.47,8307532
2016-03-21,69.39,71.02,67.08,69.34,8926936
2016-03-22,69.01,69.2,66.16,67.52,9682072
2016-03-23,67.75,68.37,67.13,67.33,7945402
2016-03-24,66.93,67.6,66.23,67.38,4909924
2016-03-28,67.69,68.2,67.44,67.67,3602970
2016-03-29,67.73,69.07,67.56,68.69,3610121
