Date,Open,High,Low,Close,Volume
2016-01-04,1730.0,1763.36,1715.0,1737.0,1073657
2016-01-05,1745.0,1767.0,1743.0,1762.0,735347
2016-01-06,1764.0,1766.34,1743.0,1758.0,878302
2016-01-07,1721.0,1727.56,1663.68,1669.0,1835644
2016-01-08,1678.0,1734.0,1678.0,1713.0,1414691
2016-01-11,1715.0,1721.36,1691.68,1718.0,995462
2016-01-12,1721.0,1745.0,1705.0,1720.0,1245890
2016-01-13,1735.0,1735.5,1686.0,1690.0,1036231
2016-01-14,1672.0,1672.0,1601.74,1642.0,1721916
2016-01-15,1644.0,1657.0,1593.0,1612.0,1170465
2016-01-18,1605.0,1632.0,1585.3,1601.0,836256
2016-01-19,1619.0,1647.68,1619.0,1632.0,756991
2016-01-20,1604.0,1628.0,1586.0,1621.0,1481172
2016-01-21,1630.0,1646.0,1610.0,1630.0,1278588
2016-01-22,1650.0,1653.0,1622.0,1640.0,1541945
2016-01-25,1651.0,1668.0,1620.0,1631.0,1217461
2016-01-26,1582.0,1634.0,1561.0,1579.0,3138719
2016-01-27,1594.0,1605.0,1561.0,1573.0,2085637
2016-01-28,1564.0,1573.0,1506.0,1526.0,2280274
2016-01-29,1548.0,1564.0,1513.0,1548.0,2127735
2016-02-01,1552.0,1601.0,1541.0,1601.0,1786936
2016-02-02,1599.0,1607.0,1574.0,1587.0,1530326
2016-02-03,1587.0,1594.0,1543.0,1551.0,1600585
2016-02-04,1570.0,1572.0,1513.0,1532.0,1308405
2016-02-05,1535.0,1578.0,1521.0,1521.0,1725145
2016-02-08,1530.0,1536.0,1466.0,1469.0,2022052
2016-02-09,1468.0,1513.0,1464.0,1502.0,2184189
2016-02-10,1515.0,1537.0,1491.0,1514.0,1211105
2016-02-11,1500.0,1512.5,1458.0,1462.0,1308894
2016-02-12,1472.0,1492.0,1462.0,1486.0,1345446
2016-02-15,1506.0,1524.0,1502.0,1508.0,807203
2016-02-16,1512.0,1538.0,1507.0,1538.0,1076925
2016-02-17,1540.0,1564.0,1528.0,1555.0,1446010
2016-02-18,1567.0,1582.0,1551.0,1562.0,1480821
2016-02-19,1564.0,1568.0,1532.0,1553.0,1365459
2016-02-22,1566.0,1582.0,1539.0,1545.0,628143
2016-02-23,1534.0,1542.0,1516.0,1522.0,1256983
2016-02-24,1519.0,1527.84,1499.0,1514.0,1018033
2016-02-25,1477.0,1500.0,1467.0,1495.0,1709416
2016-02-26,1506.0,1511.0,1473.0,1494.0,1407670
2016-02-29,1477.0,1512.0,1476.0,1506.0,1078881
2016-03-01,1510.0,1549.0,1503.0,1543.0,1483178
2016-03-02,1552.0,1557.7,1506.0,1510.0,1185325
2016-03-03,1514.0,1519.63,1478.0,1485.0,1224229
2016-03-04,1492.0,1557.0,1485.0,1552.0,1395112
2016-03-07,1546.0,1546.0,1524.0,1533.0,943196
2016-03-08,1524.0,1543.0,1507.0,1536.0,1122603
2016-03-09,1545.0,1557.0,1527.0,1533.0,1236014
2016-03-10,1529.0,1536.0,1494.0,1494.0,1367538
2016-03-11,1509.0,1522.0,1493.0,1521.0,1203424
2016-03-14,1525.0,1553.28,1521.39,1544.0,800923
2016-03-15,1549.0,1552.0,1497.0,1507.0,1514881
2016-03-16,1514.0,1527.0,1510.0,1516.0,846921
2016-03-17,1520.0,1521.0,1477.0,1485.0,1365418
2016-03-18,1481.0,1522.0,1469.0,1514.0,1703365
2016-03-21,1508.0,1514.0,1494.0,1501.0,716627
