Date,Open,High,Low,Close,Volume
2016-01-04,703.5,716.0,697.5,709.5,1360475
2016-01-05,713.5,735.5,713.12,719.5,1050401
2016-01-06,714.5,724.0,701.0,721.5,1204294
2016-01-07,706.0,716.5,701.0,705.5,1504327
2016-01-08,707.5,717.5,692.5,693.0,1125098
2016-01-11,692.5,703.5,681.5,681.5,802809
2016-01-12,684.0,708.5,669.0,681.5,1521917
2016-01-13,685.0,701.5,676.5,692.0,1185673
2016-01-14,683.5,708.5,683.5,702.5,1141215
2016-01-15,698.0,706.5,682.5,690.0,1567503
2016-01-18,688.0,689.0,670.35,674.5,1147758
2016-01-19,681.5,699.5,660.5,664.5,1507383
2016-01-20,653.5,653.5,632.5,640.5,1967368
2016-01-21,645.0,663.5,641.0,662.0,1788951
2016-01-22,670.5,674.5,660.5,661.5,1379338
2016-01-25,665.0,678.0,648.5,658.0,1400896
2016-01-26,659.5,694.5,654.5,694.5,1627929
2016-01-27,700.0,712.0,688.8,706.5,1141531
2016-01-28,699.5,721.5,699.5,709.0,1386946
2016-01-29,719.0,722.0,693.0,722.0,1351026
2016-02-01,718.5,740.06,718.5,739.0,1238292
2016-02-02,744.0,745.5,712.5,722.0,1297501
2016-02-03,718.0,726.5,704.0,722.0,1539944
2016-02-04,739.0,790.0,736.55,784.0,2194194
2016-02-05,787.0,808.0,776.5,788.0,2344607
2016-02-08,797.5,849.5,792.4,849.5,2143138
2016-02-09,845.5,862.5,826.07,853.0,1930410
2016-02-10,830.0,855.0,818.0,830.0,1807626
2016-02-11,828.0,893.0,828.0,875.0,2363188
2016-02-12,871.5,897.0,863.5,897.0,1972848
2016-02-15,890.0,890.0,855.0,873.5,1526452
2016-02-16,877.0,886.0,860.0,878.0,1966477
2016-02-17,878.0,906.5,876.0,906.0,1725608
2016-02-18,906.0,920.5,891.5,920.5,1511332
2016-02-19,920.5,953.5,918.5,953.5,1651688
2016-02-22,954.0,968.0,938.0,957.5,1475116
2016-02-23,955.0,979.5,951.5,976.0,1261841
2016-02-24,976.0,1000.36,966.5,992.5,1634027
2016-02-25,989.0,1008.0,982.0,990.0,1320973
2016-02-26,1005.0,1009.0,987.0,993.5,993229
2016-02-29,1000.0,1025.0,992.5,1000.0,1611653
2016-03-01,975.0,1005.0,923.0,938.0,2079427
2016-03-02,944.5,966.0,927.0,943.0,1500622
2016-03-03,947.0,964.0,940.0,954.0,1622760
2016-03-04,949.0,971.5,947.0,959.0,2521129
2016-03-07,949.0,960.0,928.0,951.5,1652835
2016-03-08,944.0,952.5,912.0,917.0,1676466
2016-03-09,917.0,920.5,894.0,915.0,1437817
2016-03-10,915.5,932.53,904.0,919.0,1559864
2016-03-11,931.0,940.5,916.5,929.5,849950
2016-03-14,932.0,937.0,911.5,925.0,1041693
2016-03-15,918.0,921.5,897.43,915.0,947946
2016-03-16,917.5,936.25,911.5,915.5,959657
2016-03-17,945.5,1007.0,945.5,1007.0,1684464
2016-03-18,1003.0,1009.47,980.0,988.0,1398810
2016-03-21,984.5,990.0,971.0,980.5,593660
2016-03-22,985.0,1007.0,978.66,994.0,958104
2016-03-23,984.5,985.0,944.0,950.0,1390438
2016-03-24,935.0,935.0,909.0,920.0,1377611
2016-03-29,926.0,927.82,897.0,914.5,1121495
2016-03-30,928.5,951.0,927.0,938.5,1418964
2016-03-31,937.0,962.47,924.0,952.5,1445899
2016-04-01,951.0,955.0,918.5,924.5,1238965
2016-04-04,922.0,927.0,902.5,907.0,995789
2016-04-05,900.0,924.82,892.0,914.0,1104418
2016-04-06,917.5,929.0,912.5,926.0,1025433
2016-04-07,932.0,945.0,919.5,927.5,1234968
2016-04-08,925.0,946.0,925.0,933.0,1062986
2016-04-11,933.0,964.0,930.0,961.0,1238826
2016-04-12,963.5,992.0,962.8,992.0,1387699
2016-04-13,999.5,1032.0,995.5,1027.0,1687525
2016-04-14,1019.0,1020.0,986.5,1010.0,1361971
2016-04-15,1011.0,1021.04,997.0,1019.0,1114462
2016-04-18,1006.0,1013.0,996.5,1012.0,1137816
2016-04-19,1030.0,1071.0,1030.0,1063.0,1735219
2016-04-20,1058.0,1107.0,1051.0,1096.0,1293537
2016-04-21,1097.0,1114.0,1068.0,1075.0,1343329
2016-04-22,1074.0,1083.0,1058.0,1072.0,816491
2016-04-25,1077.0,1079.0,1052.0,1061.0,791909
2016-04-26,1064.0,1071.0,1049.0,1065.0,1028570
2016-04-27,1056.0,1080.0,1056.0,1073.0,973097
2016-04-28,1070.0,1097.0,1070.0,1095.0,913576
2016-04-29,1077.0,1118.0,1077.0,1113.0,1054287
2016-05-03,1107.0,1123.24,1064.0,1071.0,1285602
2016-05-04,1066.0,1066.0,1029.0,1036.0,1009126
2016-05-05,1042.0,1048.0,1026.0,1039.0,882550
2016-05-06,1036.0,1103.0,1027.0,1103.0,1264342
2016-05-09,1101.0,1105.0,1033.0,1039.0,1173338
2016-05-10,1051.0,1072.0,1034.0,1054.0,810791
2016-05-11,1054.0,1088.0,1054.0,1075.0,790769
2016-05-12,1081.0,1099.0,1063.0,1075.0,941888
2016-05-13,1069.0,1117.0,1068.0,1115.0,1014830
2016-05-16,1114.0,1164.0,1114.0,1149.0,781337
2016-05-17,1152.0,1171.0,1140.0,1160.0,719120
2016-05-18,1148.0,1157.0,1123.0,1144.0,1024071
2016-05-19,1109.0,1109.0,1054.0,1064.0,1715646
2016-05-20,1071.0,1103.0,1064.0,1080.0,1338727
2016-05-23,1075.0,1093.0,1065.0,1077.0,823963
2016-05-24,1079.0,1091.0,1041.0,1041.0,1250916
2016-05-25,1040.0,1051.0,1015.0,1026.0,970564
2016-05-26,1034.0,1059.0,1032.0,1032.0,959401
2016-05-27,1038.0,1048.64,1010.0,1017.0,852291
2016-05-31,1026.0,1026.0,993.5,1009.0,3019991
2016-06-01,1009.0,1040.0,995.5,1032.0,1432487
2016-06-02,1032.0,1054.0,1029.0,1044.0,1167276
2016-06-03,1054.0,1127.0,1030.0,1123.0,1458839
2016-06-09,1190.0,1221.0,1185.0,1211.0,1089852
2016-06-10,1210.0,1238.0,1196.0,1214.0,1117615
2016-06-13,1205.0,1240.0,1205.0,1233.0,1386433
2016-06-14,1229.0,1244.0,1191.0,1194.0,1578904
2016-06-15,1196.0,1231.0,1194.0,1212.0,1161463
2016-06-16,1211.0,1264.94,1207.0,1233.0,1133497
2016-06-17,1231.0,1237.0,1200.0,1227.0,1422648
2016-06-20,1234.0,1235.0,1202.0,1224.0,1031507
2016-06-21,1221.0,1227.0,1192.0,1218.0,1094034
2016-06-22,1218.0,1229.0,1202.0,1216.0,818520
2016-06-23,1214.0,1248.0,1214.0,1239.0,756047
2016-06-24,1465.0,1482.0,1369.0,1386.0,2045161
2016-06-27,1485.0,1521.0,1434.0,1483.0,2468485
2016-06-28,1511.0,1514.0,1386.0,1449.0,2023589
2016-06-29,1463.0,1592.0,1456.0,1587.0,1730144
2016-06-30,1591.0,1644.0,1564.67,1644.0,1903512
2016-07-01,1651.0,1760.0,1646.0,1760.0,1606580
2016-07-04,1825.0,1917.0,1816.59,1895.0,1964204
2016-07-05,1860.0,1940.0,1793.0,1893.0,1917883
2016-07-06,1932.0,2057.21,1923.24,2008.0,2277654
2016-07-07,1966.0,2002.0,1909.0,1916.0,1644133
2016-07-08,1907.0,1949.0,1817.0,1870.0,1694217
2016-07-11,1888.0,1999.75,1888.0,1984.0,1430171
2016-07-12,1945.0,1979.67,1914.0,1929.0,1292214
2016-07-13,1933.0,1984.0,1917.07,1936.0,1162875
2016-07-14,1955.0,1961.0,1878.0,1907.0,1228541
2016-07-15,1895.0,1898.82,1818.0,1858.0,1600872
2016-07-18,1840.0,1882.0,1803.55,1874.0,970426
2016-07-19,1881.0,1904.0,1859.0,1877.0,763490
2016-07-20,1873.0,1895.0,1787.0,1819.0,874493
2016-07-21,1786.0,1833.0,1738.0,1817.0,1172765
2016-07-22,1827.0,1854.0,1801.4,1831.0,916862
2016-07-25,1830.0,1838.17,1777.0,1801.0,648194
2016-07-26,1808.0,1887.0,1798.0,1867.0,951214
2016-07-27,1875.0,1894.0,1831.0,1847.0,791387
2016-07-28,1859.0,1953.0,1859.0,1902.0,851229
2016-07-29,1903.0,1931.0,1866.0,1931.0,902944
2016-08-01,1946.0,1974.0,1899.35,1923.0,773166
2016-08-02,1965.0,1995.0,1921.0,1955.0,924150
2016-08-03,1975.0,2010.0,1914.0,1941.0,1121264
2016-08-04,1930.0,1961.0,1832.63,1954.0,1343754
2016-08-05,1969.0,1995.0,1876.72,1884.0,1238081
2016-08-08,1865.0,1955.08,1850.0,1915.0,915604
2016-08-09,1915.0,1960.0,1894.0,1957.0,820138
2016-08-10,1960.0,1995.0,1951.0,1960.0,1020179
2016-08-11,1961.0,1977.0,1943.0,1972.0,968162
2016-08-12,1950.0,1977.0,1917.0,1963.0,935922
2016-08-15,1960.0,1996.0,1945.0,1983.0,577679
2016-08-16,1984.0,2035.15,1965.0,1982.0,953050
2016-08-17,1985.0,2010.0,1916.0,1927.0,1046876
2016-08-18,1940.0,1976.0,1926.0,1937.0,725330
2016-08-19,1936.0,1971.0,1918.95,1939.0,977923
2016-08-22,1912.0,1914.0,1804.0,1825.0,1083587
2016-08-23,1830.0,1872.0,1822.0,1836.0,568613
2016-08-24,1824.0,1824.0,1759.0,1762.0,899028
2016-08-25,1751.0,1773.0,1716.0,1756.0,1006103
2016-08-26,1779.0,1797.0,1729.0,1790.0,875953
2016-08-30,1763.0,1766.0,1678.0,1690.0,858453
2016-08-31,1679.0,1692.0,1605.0,1606.0,1554068
2016-09-01,1603.0,1633.0,1572.0,1619.0,1449651
2016-09-02,1619.0,1697.0,1609.0,1668.0,1755955
2016-09-05,1679.0,1715.0,1665.0,1673.0,863911
2016-09-06,1681.0,1712.0,1677.0,1694.0,1241871
2016-09-07,1706.0,1733.0,1702.0,1719.0,948280
2016-09-08,1723.0,1727.0,1693.0,1697.0,854976
2016-09-09,1688.0,1697.0,1630.0,1640.0,826110
2016-09-12,1622.0,1641.0,1599.0,1635.0,894681
2016-09-13,1649.0,1682.0,1603.0,1612.0,866236
2016-09-14,1616.0,1677.0,1612.0,1635.0,815796
2016-09-15,1647.0,1663.0,1606.0,1646.0,1144338
2016-09-16,1641.0,1641.0,1593.0,1616.0,1563660
2016-09-19,1633.0,1685.27,1633.0,1670.0,668148
2016-09-20,1670.0,1702.0,1666.0,1670.0,790068
2016-09-21,1677.0,1716.0,1673.0,1713.0,1000322
2016-09-22,1759.0,1806.0,1757.0,1802.0,997227
2016-09-23,1766.0,1808.0,1747.0,1786.0,844922
2016-09-26,1777.0,1806.0,1763.0,1790.0,639490
2016-09-27,1809.0,1825.0,1774.0,1776.0,1062845
2016-09-28,1783.0,1803.0,1761.0,1777.0,741906
2016-09-29,1825.0,1843.0,1799.0,1810.0,984832
2016-09-30,1799.0,1858.0,1795.0,1814.0,1321788
2016-10-03,1814.0,1858.0,1805.0,1827.0,789643
2016-10-04,1820.0,1851.0,1722.0,1724.0,1847453
2016-10-05,1699.0,1706.0,1659.0,1675.0,1456666
2016-10-06,1678.0,1695.0,1613.85,1614.0,1306977
2016-10-07,1628.0,1714.0,1612.61,1665.0,1841257
2016-10-10,1686.0,1709.0,1680.0,1685.0,820689
2016-10-11,1687.0,1703.0,1638.0,1647.0,1021094
2016-10-12,1645.0,1659.0,1607.64,1636.0,1034966
2016-10-13,1640.0,1696.0,1639.0,1666.0,1398470
2016-10-14,1689.0,1695.0,1616.0,1620.0,1046720
2016-10-17,1616.0,1619.0,1595.0,1608.0,867363
2016-10-18,1628.0,1662.0,1618.0,1635.0,843988
2016-10-19,1643.0,1667.0,1620.0,1651.0,1246350
2016-10-20,1655.0,1656.0,1624.0,1650.0,871212
2016-10-21,1653.0,1659.0,1634.0,1646.0,1057445
2016-10-24,1653.0,1678.0,1613.0,1613.0,846269
2016-10-25,1628.0,1648.36,1612.0,1643.0,837343
2016-10-26,1632.0,1642.0,1599.0,1608.0,979620
2016-10-27,1614.0,1629.0,1586.0,1614.0,613409
2016-10-28,1607.0,1626.0,1585.79,1612.0,680980
2016-10-31,1617.0,1646.0,1609.0,1640.0,1080238
2016-11-01,1649.0,1722.0,1640.0,1718.0,1355648
2016-11-02,1707.0,1794.0,1706.0,1780.0,1400723
2016-11-03,1766.0,1781.0,1679.0,1703.0,1205253
2016-11-04,1691.0,1712.34,1616.0,1625.0,1072218
2016-11-07,1615.0,1620.45,1570.82,1576.0,993226
2016-11-08,1575.0,1616.0,1558.0,1600.0,910532
2016-11-09,1760.0,1864.0,1702.28,1771.0,3286782
2016-11-10,1771.0,1785.0,1571.0,1576.0,2089794
2016-11-11,1544.0,1554.0,1432.0,1435.0,1717718
2016-11-14,1432.0,1513.91,1392.0,1405.0,1277377
2016-11-15,1451.0,1470.0,1394.0,1405.0,1541549
2016-11-16,1414.0,1427.0,1374.0,1378.0,1234167
2016-11-17,1392.0,1401.0,1364.0,1384.0,1425175
2016-11-18,1349.0,1349.0,1285.0,1289.0,1580973
2016-11-21,1297.0,1338.0,1297.0,1330.0,904119
2016-11-22,1362.0,1362.0,1280.0,1282.0,1243600
2016-11-23,1277.0,1337.0,1222.0,1244.0,1518435
2016-11-24,1241.0,1266.0,1227.0,1244.0,582556
2016-11-25,1250.0,1250.0,1218.3,1232.0,791093
2016-11-28,1246.0,1278.0,1242.0,1278.0,1181334
2016-11-29,1269.0,1277.0,1223.0,1234.0,1122745
2016-11-30,1240.0,1255.0,1199.64,1200.0,2497690
2016-12-01,1209.0,1215.0,1132.0,1182.0,1291895
2016-12-02,1176.0,1207.0,1160.0,1198.0,943007
2016-12-05,1198.0,1209.0,1140.0,1150.0,1300706
2016-12-06,1155.0,1164.0,1137.0,1144.0,1378812
2016-12-07,1159.0,1179.0,1122.0,1173.0,1394541
2016-12-08,1181.0,1193.0,1158.0,1168.0,1019851
2016-12-09,1176.0,1219.0,1166.0,1184.0,1262717
2016-12-12,1182.0,1186.57,1142.0,1145.0,1396349
2016-12-13,1151.0,1153.0,1108.77,1140.0,1262629
2016-12-14,1140.0,1183.0,1131.0,1180.0,1500151
2016-12-15,1133.0,1133.0,1052.0,1114.0,2493659
2016-12-16,1111.0,1127.0,1094.0,1101.0,1647122
2016-12-19,1110.0,1115.5,1072.0,1114.0,1150168
2016-12-20,1112.0,1112.0,1082.0,1091.0,859026
2016-12-21,1097.0,1117.0,1087.0,1093.0,860173
2016-12-22,1096.0,1137.0,1094.0,1124.0,716719
2016-12-23,1120.0,1127.0,1112.0,1112.0,293386
2016-12-28,1126.0,1175.0,1112.0,1170.0,653657
2016-12-29,1184.0,1224.62,1184.0,1224.0,775591
2016-12-30,1227.0,1229.0,1185.0,1221.0,628616
2017-01-03,1221.0,1272.0,1213.0,1266.0,1377388
2017-01-04,1273.0,1330.0,1264.15,1314.0,2031113
2017-01-05,1325.0,1402.0,1317.95,1398.0,1541481
2017-01-06,1384.0,1384.0,1344.0,1349.0,1217373
2017-01-09,1352.0,1370.0,1328.0,1370.0,1194279
2017-01-10,1379.0,1450.0,1371.0,1432.0,1596508
2017-01-11,1421.0,1431.86,1370.0,1381.0,1003385
2017-01-12,1405.0,1449.0,1405.0,1422.0,1475046
2017-01-13,1419.0,1432.57,1352.0,1413.0,1509007
2017-01-16,1435.0,1463.0,1416.0,1436.0,888731
2017-01-17,1450.0,1463.0,1425.0,1425.0,1365854
2017-01-18,1420.0,1447.0,1400.0,1447.0,1086593
2017-01-19,1426.0,1436.0,1394.0,1398.0,1295226
2017-01-20,1401.0,1414.0,1390.0,1402.0,837610
2017-01-23,1419.0,1450.02,1411.99,1450.0,800499
2017-01-24,1458.0,1490.0,1422.0,1482.0,849658
2017-01-25,1479.0,1503.01,1403.0,1420.0,1722961
2017-01-26,1421.0,1424.0,1360.2,1372.0,1545210
2017-01-27,1331.0,1433.0,1331.0,1428.0,1079779
2017-01-30,1423.0,1431.0,1404.0,1414.0,701425
2017-01-31,1419.0,1465.0,1407.0,1453.0,1142337
2017-02-01,1450.0,1489.0,1428.0,1466.0,1310995
2017-02-02,1472.0,1506.0,1472.0,1484.0,1113170
2017-02-03,1465.0,1471.02,1438.0,1469.0,925888
2017-02-06,1486.0,1502.0,1467.0,1488.0,859818
2017-02-07,1500.0,1572.0,1495.92,1566.0,1094729
2017-02-08,1572.0,1594.0,1533.0,1569.0,1426491
2017-02-09,1577.0,1580.0,1523.0,1529.0,1186982
2017-02-10,1527.0,1567.43,1508.0,1555.0,866740
2017-02-13,1574.0,1578.0,1522.0,1524.0,1190294
2017-02-14,1525.0,1564.0,1509.29,1524.0,1244316
2017-02-15,1527.0,1528.0,1493.0,1512.0,1139689
2017-02-16,1520.0,1520.0,1492.0,1504.0,934354
2017-02-17,1506.0,1548.0,1493.0,1523.0,965404
2017-02-20,1535.0,1537.0,1514.0,1530.0,597861
2017-02-21,1535.0,1540.0,1480.0,1512.0,922751
2017-02-22,1507.0,1522.0,1501.0,1511.0,847420
2017-02-23,1511.0,1561.0,1496.0,1536.0,1126857
2017-02-24,1528.0,1580.0,1506.0,1525.0,1079771
2017-02-27,1526.0,1534.0,1473.0,1486.0,1136558
2017-02-28,1450.0,1506.0,1430.0,1486.0,1534626
2017-03-01,1482.0,1485.0,1445.4,1473.0,1181585
2017-03-02,1468.0,1489.0,1454.92,1455.0,1125249
2017-03-03,1426.0,1430.0,1344.0,1413.0,1474621
2017-03-06,1405.0,1408.0,1376.0,1392.0,1307325
2017-03-07,1391.0,1398.0,1361.0,1370.0,1354499
2017-03-08,1363.0,1386.0,1349.64,1377.0,1724830
2017-03-09,1363.0,1375.0,1343.0,1355.0,1539717
2017-03-10,1319.0,1371.0,1294.0,1360.0,1856707
2017-03-13,1380.0,1443.0,1376.0,1436.0,1590915
2017-03-14,1426.0,1452.0,1413.0,1443.0,1341345
2017-03-15,1446.0,1469.0,1443.19,1453.0,1377004
2017-03-16,1510.0,1562.02,1503.0,1510.0,1789283
2017-03-17,1488.0,1513.0,1473.0,1511.0,1190187
2017-03-20,1512.0,1528.0,1432.31,1528.0,548969
2017-03-21,1524.0,1558.0,1516.0,1553.0,1206514
2017-03-22,1545.0,1588.0,1533.0,1569.0,1188602
2017-03-23,1567.0,1584.0,1535.0,1536.0,930970
2017-03-24,1537.0,1565.0,1536.0,1545.0,807130
2017-03-27,1537.0,1579.0,1515.0,1550.0,1062671
2017-03-28,1557.0,1564.0,1534.0,1562.0,819598
2017-03-29,1563.0,1570.76,1527.0,1535.0,818294
2017-03-30,1533.0,1555.0,1513.0,1555.0,924607
2017-03-31,1537.0,1556.0,1498.82,1556.0,1623115
2017-04-03,1542.0,1561.0,1511.0,1552.0,1020352
2017-04-04,1555.0,1599.0,1553.0,1595.0,865454
2017-04-05,1600.0,1610.0,1571.0,1574.0,1119471
2017-04-06,1562.0,1602.0,1560.0,1594.0,741157
2017-04-07,1617.0,1626.0,1606.0,1624.0,1014629
2017-04-10,1613.0,1623.0,1580.0,1583.0,999233
2017-04-11,1588.0,1654.0,1585.0,1652.0,1201617
2017-04-12,1649.0,1660.0,1614.0,1616.0,743475
2017-04-13,1628.0,1648.86,1624.04,1641.0,685434
