Date,Open,High,Low,Close,Volume
2016-01-04,99.77,100.0,97.01,98.01,14737167
2016-01-05,99.69,99.85,98.7,99.26,9260812
2016-01-06,97.57,100.68,97.52,100.3,12540672
2016-01-07,98.06,99.0,96.03,96.25,12944608
2016-01-08,96.9,97.99,96.41,96.45,11976034
2016-01-11,97.22,97.22,94.29,96.5,12322488
2016-01-12,96.9,98.49,95.21,97.1,9830086
2016-01-13,97.25,98.03,92.12,92.54,11930022
2016-01-14,92.72,94.88,90.79,93.02,15699821
2016-01-15,90.37,92.78,89.68,91.84,17585342
2016-01-19,93.14,93.22,88.85,89.9,14243329
2016-01-20,88.0,91.83,86.28,90.55,19654598
2016-01-21,90.37,90.6,88.71,88.87,12121181
2016-01-22,90.4,92.07,89.71,91.83,9116923
2016-01-25,91.53,93.54,90.43,90.61,10103621
2016-01-26,90.72,92.83,90.25,92.21,6860432
2016-01-27,91.84,92.1,89.0,89.63,12421543
2016-01-28,90.0,90.22,86.86,87.53,14115852
2016-01-29,84.28,85.3,82.33,83.0,36738490
2016-02-01,82.32,84.52,82.28,84.05,17845071
2016-02-02,84.18,84.22,81.89,82.7,16504629
2016-02-03,84.91,86.99,83.87,86.39,24471579
2016-02-04,86.02,87.45,85.61,86.68,14494802
2016-02-05,86.68,88.02,84.45,85.14,15584508
2016-02-08,84.19,86.65,83.86,85.26,18990026
2016-02-09,84.2,88.48,84.1,87.25,14154322
2016-02-10,88.69,89.85,87.54,87.8,13450170
2016-02-11,86.5,88.45,86.01,87.36,12950962
2016-02-12,88.66,89.88,86.68,89.44,11248406
2016-02-16,90.72,91.28,89.89,91.15,12101509
2016-02-17,91.09,91.5,88.66,89.36,22648432
2016-02-18,89.6,90.95,88.93,88.99,11312502
2016-02-19,88.2,88.98,87.12,87.44,12870825
2016-02-22,88.35,89.5,88.05,89.1,9699840
2016-02-23,89.1,89.4,87.9,88.35,8338139
2016-02-24,87.41,89.54,86.79,89.36,8300107
2016-02-25,90.0,90.49,89.55,90.16,9129100
2016-02-26,90.61,90.92,87.89,88.1,13246459
2016-02-29,87.87,89.14,87.25,87.25,12571556
2016-03-01,87.9,89.72,87.3,89.69,11698465
2016-03-02,89.6,89.68,87.96,88.8,10522687
2016-03-03,89.13,89.31,87.48,87.83,12366400
2016-03-04,88.3,89.1,86.85,87.21,21168265
2016-03-07,87.11,90.04,86.88,89.65,13100610
2016-03-08,89.65,90.4,88.35,88.66,10970679
2016-03-09,88.94,89.25,87.43,87.83,10388814
2016-03-10,88.3,89.9,87.82,88.64,10880682
2016-03-11,89.97,89.98,88.8,89.65,10517433
2016-03-14,90.0,91.21,89.34,90.46,10984129
2016-03-15,89.92,90.07,89.03,89.44,10265118
2016-03-16,88.96,90.88,88.91,90.28,8794809
2016-03-17,89.79,90.37,88.81,89.53,10526466
2016-03-18,90.02,90.73,89.54,90.27,16794188
2016-03-21,90.0,93.01,90.0,92.67,9756436
2016-03-22,92.14,93.96,92.05,93.72,9636622
2016-03-23,90.96,92.22,89.97,90.08,13693611
2016-03-24,89.61,92.82,89.44,91.32,14335403
2016-03-28,92.07,94.31,91.94,92.46,9590369
2016-03-29,92.19,92.24,90.61,92.2,8608288
