Date,Open,High,Low,Close,Volume
2016-01-04,88.5,88.79,83.85,85.27,35323982
2016-01-05,87.0,90.48,85.92,88.26,33571058
2016-01-06,87.7,87.7,82.56,85.85,43814374
2016-01-07,80.13,83.22,78.07,78.71,91357932
2016-01-08,79.13,82.39,77.09,77.48,48953496
2016-01-11,76.14,81.23,73.43,73.43,54259717
2016-01-12,73.0,77.49,70.38,72.0,80486638
2016-01-13,72.92,75.56,71.36,71.87,56178302
2016-01-14,70.83,81.38,69.26,78.62,84813604
2016-01-15,77.1,77.99,70.99,73.5,88186493
2016-01-18,73.51,75.6,72.26,75.15,41909453
2016-01-19,77.7,85.35,77.6,78.98,71172095
2016-01-20,75.0,77.16,70.1,71.2,93870071
2016-01-21,73.63,82.43,70.7,82.25,84586868
2016-01-22,84.7,86.71,77.02,78.58,79348754
2016-01-25,79.26,84.64,76.33,80.85,50693199
2016-01-26,78.55,87.86,77.74,87.1,63230417
2016-01-27,86.29,92.03,85.0,92.03,68258044
2016-01-28,91.88,95.2,88.08,90.45,72703196
2016-01-29,92.25,94.16,86.0,89.48,50333387
2016-02-01,90.16,91.13,85.05,87.99,41380310
2016-02-02,87.37,88.81,81.38,83.15,53039041
2016-02-03,82.9,86.89,81.99,85.95,58154789
2016-02-04,93.5,100.24,89.8,99.68,88762888
2016-02-05,95.53,105.5,95.01,102.15,104542815
2016-02-08,104.45,106.65,97.55,102.8,62992861
2016-02-09,102.7,103.35,94.01,94.44,57146613
2016-02-10,94.23,95.44,89.79,93.5,53263071
2016-02-11,92.01,92.32,87.1,87.68,51406390
2016-02-12,88.49,98.57,87.98,98.46,62449099
2016-02-15,101.3,102.96,98.19,101.2,37398560
2016-02-16,105.25,106.0,99.17,102.95,59016809
2016-02-17,106.0,120.09,105.0,120.0,111275996
2016-02-18,120.0,122.5,114.1,117.9,57341086
2016-02-19,116.45,118.82,114.82,118.4,43444442
2016-02-22,121.05,133.1,120.9,131.8,48669742
2016-02-23,127.1,131.95,126.55,129.45,48028812
2016-02-24,126.35,127.0,114.2,116.35,50647315
2016-02-25,119.1,123.8,117.2,118.8,39924434
2016-02-26,121.7,128.7,121.15,128.25,58226740
2016-02-29,127.75,135.15,125.75,133.25,52399263
2016-03-01,132.0,137.21,124.75,130.5,65261500
2016-03-02,133.5,135.4,130.35,135.4,52784691
2016-03-03,137.15,148.0,137.0,143.0,96392455
2016-03-04,146.85,180.0,146.1,160.0,100877921
2016-03-07,158.2,171.75,151.85,170.75,98449458
2016-03-08,165.0,165.35,138.8,139.75,104573022
2016-03-09,139.75,148.75,136.81,143.25,59061275
2016-03-10,143.1,145.64,131.7,137.25,59052019
2016-03-11,140.85,144.14,134.76,141.7,49892820
2016-03-14,143.4,152.95,140.95,147.9,49688564
2016-03-15,142.3,143.35,137.85,140.85,53670159
2016-03-16,142.5,145.88,140.91,144.3,39175739
2016-03-17,157.5,158.7,153.15,158.0,72429702
2016-03-18,158.0,164.05,157.7,160.8,86836804
2016-03-21,158.75,160.65,153.65,159.9,30922111
2016-03-22,158.5,160.65,156.15,159.85,37193349
2016-03-23,158.15,161.95,150.98,153.5,49180184
2016-03-24,149.85,152.0,145.7,151.2,43176926
2016-03-29,153.0,154.0,142.5,143.8,37831232
2016-03-30,146.5,155.8,146.5,151.55,48369517
2016-03-31,149.2,158.07,145.69,157.3,52558561
2016-04-01,154.5,158.85,146.6,149.75,41837568
2016-04-04,150.2,152.85,147.8,149.8,28820027
2016-04-05,145.7,145.75,139.3,141.85,48930572
2016-04-06,141.5,145.22,134.3,140.1,54354273
2016-04-07,140.9,143.05,131.69,132.1,54021741
2016-04-08,134.05,141.84,132.25,136.8,34442592
2016-04-11,136.25,142.22,136.15,141.5,32852836
2016-04-12,142.95,149.7,142.0,148.55,49681804
2016-04-13,152.45,158.5,151.7,158.5,60344438
2016-04-14,157.05,161.36,152.2,158.0,57302354
2016-04-15,157.15,159.1,153.6,155.65,54050021
2016-04-18,151.5,158.05,147.3,158.05,45879705
2016-04-19,160.0,170.37,158.01,169.9,68692424
2016-04-20,168.85,172.85,165.15,170.65,59785586
2016-04-21,173.4,176.61,165.0,166.75,59221542
2016-04-22,164.05,165.15,160.2,161.8,43226788
2016-04-25,160.8,161.16,154.6,155.0,35192224
2016-04-26,154.8,155.0,151.3,152.0,39680327
2016-04-27,150.15,155.0,149.65,153.0,43167884
2016-04-28,153.75,156.45,150.45,156.45,38472609
2016-04-29,154.4,166.5,153.8,162.9,53380206
2016-05-03,160.0,163.21,148.85,149.8,55974091
2016-05-04,147.6,149.03,141.55,145.05,50175598
2016-05-05,146.55,149.05,144.4,145.45,24400102
2016-05-06,144.25,145.7,138.1,145.6,44025198
2016-05-09,142.5,142.5,131.92,132.55,63067313
2016-05-10,134.05,136.65,129.4,133.9,56391583
2016-05-11,135.6,138.1,134.8,136.85,36097426
2016-05-12,136.7,136.9,129.65,131.1,35297201
2016-05-13,129.5,134.05,128.55,131.15,33302249
2016-05-16,130.7,136.25,130.0,133.6,23402303
