Date,Open,High,Low,Close,Volume
2016-01-04,144.6,145.1,140.8,143.0,1293328
2016-01-05,143.0,144.3,142.3,142.6,1191832
2016-01-06,141.8,142.1,138.3,140.3,1243301
2016-01-07,137.4,138.7,135.4,138.0,2535714
2016-01-08,138.5,140.2,136.2,136.5,2036642
2016-01-11,136.0,136.1,129.4,129.9,4388480
2016-01-12,125.0,125.7,120.8,121.2,5908553
2016-01-13,124.8,126.4,120.4,120.6,8022810
2016-01-14,121.0,121.1,116.6,118.8,4189522
2016-01-15,119.5,120.1,114.0,114.4,2997105
2016-01-18,114.0,115.8,112.9,113.4,3437896
2016-01-19,115.6,118.3,114.8,117.6,5599526
2016-01-20,116.5,120.3,115.2,117.4,8095908
2016-01-21,117.2,122.9,117.2,122.0,4808239
2016-01-22,122.8,124.9,121.4,123.7,4379446
2016-01-25,126.7,128.2,122.6,124.3,4463292
2016-01-26,123.4,125.0,122.1,124.8,2711037
2016-01-27,123.5,125.2,123.0,125.0,1849211
2016-01-28,125.5,126.7,124.3,125.0,2511788
2016-01-29,125.6,127.0,124.4,127.0,3630774
2016-02-01,126.9,127.8,124.8,125.6,1968502
2016-02-02,124.9,124.9,119.6,120.4,2707885
2016-02-03,120.5,120.8,115.8,117.5,2743117
2016-02-04,119.0,120.7,116.6,120.3,2990882
2016-02-05,119.7,121.6,116.0,116.0,6016691
2016-02-08,117.0,117.3,113.0,116.2,4421966
2016-02-09,116.5,117.3,114.0,115.9,4849201
2016-02-10,115.5,118.9,115.5,117.7,2962665
2016-02-11,116.9,117.1,113.4,115.0,3507727
2016-02-12,115.2,118.3,115.2,117.3,3082709
2016-02-15,120.6,124.84,120.5,122.3,3038007
2016-02-16,123.0,123.4,121.3,122.8,2056762
2016-02-17,123.4,128.1,123.29,128.0,2232749
2016-02-18,128.0,129.0,124.18,125.8,2784316
2016-02-19,127.2,127.2,123.2,125.2,1998213
2016-02-22,125.5,127.0,123.8,124.1,2142496
2016-02-23,122.8,126.0,122.0,124.2,2921684
2016-02-24,125.4,125.8,112.6,113.8,6370002
2016-02-25,114.3,116.26,113.7,114.6,3781367
2016-02-26,116.4,117.3,115.5,116.2,2841909
2016-02-29,115.9,117.4,113.0,114.9,3624239
2016-03-01,115.6,117.9,113.2,117.6,1977850
2016-03-02,118.3,120.3,115.7,119.5,4224148
2016-03-03,119.2,120.65,116.6,118.8,3186373
2016-03-04,119.2,120.7,118.2,119.9,2292561
2016-03-07,119.9,120.9,117.2,118.2,2367380
2016-03-08,117.0,120.3,116.4,119.61,2447319
2016-03-09,119.3,122.3,119.1,122.07,2596870
2016-03-10,121.9,122.8,117.7,117.7,2643191
2016-03-11,119.0,122.1,118.6,121.2,2716309
2016-03-14,121.0,123.3,120.1,122.15,3052157
2016-03-15,122.9,123.6,121.0,122.2,2752473
2016-03-16,122.3,123.5,120.7,122.1,2765336
2016-03-17,124.5,125.0,120.4,124.0,4310985
2016-03-18,122.8,124.5,122.6,124.3,4849273
2016-03-21,123.9,125.6,122.95,123.3,1564434
2016-03-22,122.7,124.3,120.5,123.4,2745156
2016-03-23,123.9,125.1,123.6,124.0,1613885
2016-03-24,124.4,124.4,119.9,120.4,2118968
2016-03-29,120.7,123.2,119.7,123.1,2395250
2016-03-30,123.3,125.8,123.3,124.8,2029577
2016-03-31,125.0,125.0,120.7,121.0,2884195
2016-04-01,119.6,123.4,119.6,122.9,2574293
2016-04-04,122.2,124.0,121.5,122.1,2145172
2016-04-05,121.8,123.1,120.68,121.7,2193064
2016-04-06,122.4,122.8,120.4,121.6,2301115
2016-04-07,122.8,122.8,118.95,119.5,2353999
2016-04-08,120.4,122.2,119.85,121.5,2185151
2016-04-11,120.7,121.3,119.4,119.6,2380460
2016-04-12,118.8,121.1,118.8,121.0,2972708
2016-04-13,121.5,124.5,121.41,124.1,2249068
2016-04-14,126.9,136.3,126.9,133.2,4813236
2016-04-15,135.3,135.3,131.3,131.4,3303632
2016-04-18,130.5,132.5,129.5,132.0,2403988
2016-04-19,132.3,136.0,131.8,134.6,2671100
2016-04-20,135.1,135.41,133.4,134.0,1672683
2016-04-21,134.6,135.0,132.4,133.1,1717544
2016-04-22,131.8,132.2,128.0,128.2,1731670
2016-04-25,127.7,129.2,127.0,127.3,1481779
2016-04-26,128.2,129.5,127.4,127.4,2134034
2016-04-27,128.4,129.7,127.4,128.4,2775712
2016-04-28,128.2,129.1,127.4,128.4,2592881
2016-04-29,126.7,130.2,126.7,128.1,3074911
2016-05-03,127.7,127.8,125.47,125.8,2576156
2016-05-04,126.1,126.2,124.9,125.86,2017810
2016-05-05,126.7,126.7,125.5,126.6,2161477
2016-05-06,126.0,128.8,126.0,127.1,2753876
2016-05-09,128.4,129.3,127.4,128.6,1860793
