Date,Open,High,Low,Close,Volume
2016-01-04,2261.0,2300.0,2226.0,2233.0,300365
2016-01-05,2243.0,2286.0,2237.0,2267.0,226475
2016-01-06,2256.0,2265.0,2214.0,2230.0,247128
2016-01-07,2183.0,2221.0,2159.0,2192.0,343895
2016-01-08,2192.0,2232.0,2185.0,2197.0,253028
2016-01-11,2192.0,2199.94,2156.0,2156.0,227177
2016-01-12,2170.0,2219.0,2147.0,2192.0,300295
2016-01-13,2221.0,2243.0,2204.0,2211.0,271858
2016-01-14,2187.0,2191.0,2091.0,2104.0,454834
2016-01-15,2105.0,2118.0,2015.0,2025.0,445027
2016-01-18,2025.0,2034.0,1991.0,1991.0,282147
2016-01-19,2031.0,2031.0,1979.0,2006.0,349496
2016-01-20,1975.0,1979.0,1914.85,1922.0,455083
2016-01-21,1928.0,1968.0,1881.0,1903.0,418217
2016-01-22,1938.0,2012.0,1930.0,1986.0,465838
2016-01-25,1996.0,2008.0,1987.0,1996.0,172563
2016-01-26,1967.0,2014.0,1967.0,2000.0,229187
2016-01-27,1994.0,1997.0,1973.0,1994.0,324259
2016-01-28,1978.0,1985.0,1937.0,1963.0,401612
2016-01-29,1980.0,2018.0,1966.0,2018.0,335950
2016-02-01,2023.0,2037.0,2009.0,2029.0,252864
2016-02-02,2077.0,2101.66,2070.0,2095.0,352301
2016-02-03,2096.0,2155.0,2096.0,2125.0,550679
2016-02-04,2158.0,2169.0,2124.0,2152.0,456507
2016-02-05,2147.0,2169.0,2107.5,2111.0,374332
2016-02-08,2111.0,2116.0,2048.0,2061.0,339073
2016-02-09,2062.0,2078.0,1986.0,1995.0,509530
2016-02-10,1965.0,2003.0,1596.83,1945.0,1914951
2016-02-11,1943.0,1944.0,1875.0,1875.0,625505
2016-02-12,1880.0,1893.0,1822.0,1850.0,504252
2016-02-15,1880.0,1911.0,1864.0,1872.0,650073
2016-02-16,1881.0,1890.0,1848.0,1852.0,444204
2016-02-17,1846.0,1912.0,1846.0,1912.0,622120
2016-02-18,1908.0,1908.0,1866.92,1884.0,310986
2016-02-19,1871.0,1914.0,1856.0,1872.0,460227
2016-02-22,1892.0,1941.0,1882.0,1882.0,335370
2016-02-23,1866.0,1883.0,1853.0,1876.0,334027
2016-02-24,1873.0,1884.0,1853.0,1862.0,324583
2016-02-25,1871.0,1896.0,1870.0,1879.0,508286
2016-02-26,1897.0,1907.0,1868.0,1905.0,411048
2016-02-29,1900.0,1919.0,1820.0,1881.0,598020
