Date,Open,High,Low,Close,Volume
2016-01-04,38.38,38.51,37.52,37.83,1786967
2016-01-05,37.83,38.08,37.43,37.92,2457984
2016-01-06,37.5,38.78,37.26,38.42,3727005
2016-01-07,37.87,38.0,37.19,37.37,1858978
2016-01-08,37.62,37.77,36.46,36.55,1814240
2016-01-11,36.6,36.8,35.64,36.08,2419588
2016-01-12,36.25,36.67,35.97,36.65,2151330
2016-01-13,36.73,37.21,35.41,35.47,1611322
2016-01-14,35.23,35.57,34.63,35.36,3167073
2016-01-15,34.61,34.99,33.94,34.96,3573113
2016-01-19,35.17,35.38,34.34,34.48,3831804
2016-01-20,33.98,35.29,33.37,34.79,3063185
2016-01-21,34.82,35.02,33.76,33.91,2959023
2016-01-22,34.44,35.33,34.0,35.21,2134900
2016-01-25,35.03,36.0,34.56,35.69,2982839
2016-01-26,35.9,36.48,35.53,36.44,2175982
2016-01-27,36.21,36.58,35.63,35.77,2596726
2016-01-28,34.24,34.24,32.41,33.07,8291680
2016-01-29,33.2,34.2,33.02,33.94,5519152
2016-02-01,34.02,35.67,33.85,35.38,5940835
2016-02-02,35.15,35.62,34.52,34.83,4779141
2016-02-03,35.14,35.48,34.26,35.1,4400911
2016-02-04,35.16,35.78,34.84,35.21,3527196
2016-02-05,35.02,35.43,33.16,33.27,3323966
2016-02-08,32.95,32.98,31.99,32.75,4777035
2016-02-09,32.43,33.64,32.12,32.89,3041215
2016-02-10,33.21,33.69,32.32,32.79,2027675
2016-02-11,32.46,32.92,32.18,32.42,3295185
2016-02-12,33.0,33.03,31.84,32.6,2547593
2016-02-16,33.1,34.29,32.62,33.83,3289455
2016-02-17,34.07,34.68,33.84,34.47,2946658
2016-02-18,34.46,34.98,34.17,34.4,2377175
2016-02-19,34.43,34.8,34.29,34.49,1924459
2016-02-22,34.73,34.93,34.3,34.5,1677031
2016-02-23,34.35,34.57,34.17,34.39,1242084
2016-02-24,34.16,34.82,34.07,34.61,2371114
2016-02-25,34.77,35.24,34.69,35.15,2071746
2016-02-26,35.36,35.46,34.9,35.08,2243878
2016-02-29,35.0,35.23,34.62,34.63,1833173
2016-03-01,34.79,35.67,34.57,35.64,2287113
2016-03-02,35.56,36.07,35.3,36.04,1773322
2016-03-03,35.95,36.08,35.65,35.95,1279039
2016-03-04,35.68,35.76,34.48,34.75,3109216
2016-03-07,34.38,34.88,34.12,34.79,2698199
2016-03-08,34.72,34.93,34.59,34.64,1325339
2016-03-09,34.79,34.99,34.5,34.59,2320310
2016-03-10,34.72,34.99,34.24,34.5,2376131
2016-03-11,34.76,35.47,34.7,35.14,2416632
2016-03-14,34.95,35.57,34.79,35.35,1663605
2016-03-15,34.99,35.25,34.24,34.34,2694100
2016-03-16,34.28,34.52,34.1,34.48,1987838
2016-03-17,34.39,34.49,33.78,33.94,2349761
2016-03-18,33.76,34.84,33.75,34.48,2940095
2016-03-21,34.37,34.78,34.37,34.45,2034044
2016-03-22,34.4,35.1,34.3,34.99,2728078
2016-03-23,34.8,34.9,33.68,34.0,3450403
2016-03-24,33.8,34.43,33.69,34.35,1677771
2016-03-28,34.75,35.09,34.07,34.57,5697849
2016-03-29,34.66,35.2,34.41,34.5,52932327
2016-03-30,34.84,34.92,34.42,34.5,7002182
2016-03-31,34.41,34.7,34.35,34.5,4759454
2016-04-01,34.4,34.82,34.34,34.6,3816065
2016-04-04,34.69,35.45,34.52,35.21,3230371
2016-04-05,35.15,35.22,34.63,34.78,3168975
2016-04-06,34.71,35.76,34.7,35.75,3953517
2016-04-07,35.52,35.71,35.0,35.25,1905807
2016-04-08,35.42,35.58,35.14,35.37,2438797
2016-04-11,35.5,35.71,34.95,35.02,2115803
2016-04-12,35.31,35.31,34.91,35.23,1973232
2016-04-13,35.45,36.1,35.15,36.0,6908810
2016-04-14,36.06,36.54,35.84,36.25,2877741
2016-04-15,36.18,36.27,35.87,36.17,1825245
2016-04-18,36.02,36.8,36.0,36.79,2650763
2016-04-19,36.89,36.93,36.34,36.62,2533001
2016-04-20,36.64,37.38,36.45,37.31,3134272
2016-04-21,37.41,38.08,37.25,37.5,4523864
2016-04-22,37.5,37.7,37.29,37.44,3378011
2016-04-25,37.42,37.85,37.33,37.79,1954556
2016-04-26,37.64,38.0,37.49,37.7,2589675
2016-04-27,37.46,38.05,37.43,37.83,3512525
2016-04-28,36.0,36.25,33.74,33.92,9927462
2016-04-29,33.57,33.86,33.02,33.59,7462827
2016-05-02,33.7,34.02,33.32,34.0,4488936
2016-05-03,33.79,34.33,33.5,34.26,5798113
2016-05-04,34.13,34.5,33.84,33.89,3454589
2016-05-05,33.92,34.12,33.58,33.75,3354061
2016-05-06,33.62,34.17,33.49,33.72,2656487
2016-05-09,33.68,34.07,33.68,33.88,3251536
2016-05-10,34.15,34.44,33.89,34.41,3897509
2016-05-11,34.43,34.73,34.17,34.17,1912950
2016-05-12,34.21,34.4,33.64,33.76,2795666
2016-05-13,33.82,34.25,33.7,33.75,2015525
2016-05-16,33.8,34.29,33.71,34.11,2159511
2016-05-17,33.89,34.27,33.37,33.57,2470390
2016-05-18,33.39,33.94,33.04,33.28,5987774
2016-05-19,33.28,33.49,32.96,33.28,2672103
2016-05-20,33.32,33.75,33.26,33.34,2247779
2016-05-23,33.48,33.54,33.05,33.08,2130761
2016-05-24,33.21,33.66,33.0,33.45,2609643
2016-05-25,33.57,33.8,33.48,33.61,3533139
2016-05-26,33.59,34.05,33.46,33.85,3567034
2016-05-27,33.85,34.58,33.76,34.41,3236976
2016-05-31,34.54,34.6,33.97,34.41,3518999
2016-06-01,34.27,34.73,34.09,34.66,3463390
2016-06-02,34.73,35.05,34.57,34.84,3038237
2016-06-03,34.71,34.79,33.98,34.32,3726998
2016-06-06,34.45,34.63,34.25,34.49,1779162
2016-06-07,34.4,34.84,34.28,34.28,2887123
2016-06-08,34.24,34.58,34.17,34.41,2489939
2016-06-09,34.31,35.02,34.31,34.95,5842231
2016-06-10,34.91,34.91,34.08,34.14,2555728
2016-06-13,34.07,34.25,33.38,33.41,2288005
2016-06-14,33.36,33.38,33.0,33.09,2510280
2016-06-15,33.13,33.49,33.0,33.13,2537672
2016-06-16,32.96,33.76,32.64,33.7,4725985
2016-06-17,33.58,33.92,33.33,33.81,4982381
2016-06-20,34.61,34.77,33.98,34.14,3631231
2016-06-21,34.23,34.4,33.87,33.88,2208209
2016-06-22,33.89,34.54,33.87,34.11,4699530
2016-06-23,34.42,35.66,34.17,35.62,4426927
2016-06-24,34.33,34.85,33.96,34.11,6377279
2016-06-27,33.87,33.95,32.81,32.93,2065449
2016-06-28,33.03,33.42,32.99,33.35,2283844
2016-06-29,33.69,34.14,33.37,34.06,3280348
2016-06-30,34.04,34.6,33.82,34.6,2508203
2016-07-01,34.51,35.0,33.67,34.85,2243868
2016-07-05,34.76,34.92,34.1,34.44,1988459
2016-07-06,34.38,34.74,34.21,34.7,2233704
2016-07-07,34.7,35.79,34.6,35.5,3322753
2016-07-08,35.63,36.03,35.52,35.93,1887656
2016-07-11,36.1,36.19,35.59,35.61,1779035
2016-07-12,35.64,35.92,35.35,35.71,1690296
2016-07-13,35.91,36.08,35.54,35.8,1696983
2016-07-14,36.06,36.56,36.04,36.53,2378818
2016-07-15,36.65,36.93,36.31,36.35,2696647
2016-07-18,36.42,36.65,36.26,36.44,1454850
2016-07-19,36.32,36.52,36.12,36.5,1534289
2016-07-20,36.57,36.91,36.39,36.82,2031397
2016-07-21,36.84,37.04,36.08,36.45,4810880
2016-07-22,36.4,36.57,36.2,36.52,2252852
2016-07-25,36.56,36.72,36.43,36.57,2056391
2016-07-26,36.63,36.91,36.42,36.83,1891334
2016-07-27,36.83,37.29,36.54,37.2,3534350
2016-07-28,37.85,38.71,37.62,38.27,4563350
2016-07-29,38.28,38.6,37.59,38.49,2553587
2016-08-01,38.59,39.2,38.59,38.98,5388485
2016-08-02,38.97,39.35,38.88,39.03,4834564
2016-08-03,38.99,39.15,38.88,39.0,3586335
2016-08-04,39.08,39.15,38.01,38.68,2065500
2016-08-05,38.93,38.99,38.77,38.97,1498280
2016-08-08,39.03,39.05,38.29,38.41,2433362
2016-08-09,38.36,38.85,38.29,38.69,1671455
2016-08-10,38.65,38.8,38.34,38.55,921366
2016-08-11,38.7,38.89,38.41,38.85,2557952
2016-08-12,38.85,38.94,38.43,38.68,1448530
2016-08-15,38.82,39.01,38.6,39.0,1977675
2016-08-16,38.94,38.99,38.49,38.51,1179882
2016-08-17,38.45,38.64,37.94,38.08,1988357
2016-08-18,38.03,38.44,37.95,38.38,1456152
2016-08-19,38.34,38.46,38.18,38.34,2349173
2016-08-22,38.26,38.52,38.06,38.45,1562977
2016-08-23,38.56,38.95,38.56,38.79,2168385
2016-08-24,38.85,39.0,38.22,38.34,2128093
2016-08-25,38.36,38.76,38.3,38.43,2787586
2016-08-26,38.42,39.14,38.27,38.8,3220019
2016-08-29,38.94,39.16,38.69,38.73,1884926
2016-08-30,38.65,38.76,38.38,38.46,1987470
2016-08-31,38.44,38.58,38.25,38.42,2209546
2016-09-01,38.39,38.58,38.12,38.46,1699124
2016-09-02,38.66,38.77,38.36,38.51,1293765
2016-09-06,38.65,38.73,38.07,38.5,1664761
2016-09-07,38.41,38.74,38.31,38.67,1684427
2016-09-08,38.58,38.7,38.38,38.5,1669300
2016-09-09,38.27,38.38,37.16,37.16,2356534
2016-09-12,37.09,37.8,36.98,37.7,2006418
2016-09-13,37.36,37.72,37.17,37.41,2116255
2016-09-14,37.37,37.7,37.18,37.33,1970787
2016-09-15,37.21,37.94,37.21,37.75,1912523
2016-09-16,37.84,37.95,36.84,37.59,7160699
2016-09-19,37.73,38.28,37.2,37.91,2846608
2016-09-20,38.22,38.37,37.47,38.24,1698877
2016-09-21,38.27,38.57,38.08,38.53,1509323
2016-09-22,38.6,38.82,38.54,38.78,1315963
2016-09-23,39.3,39.3,38.31,38.45,2635904
2016-09-26,38.26,38.42,37.82,37.97,1547868
2016-09-27,37.88,39.08,37.81,38.76,3219505
2016-09-28,38.87,38.91,38.42,38.72,1247356
2016-09-29,38.55,38.71,37.74,38.14,1464729
2016-09-30,38.39,38.97,38.16,38.83,1864886
2016-10-03,38.54,38.95,38.39,38.88,2544910
2016-10-04,38.1,39.67,38.1,39.15,3612008
2016-10-05,39.34,39.77,38.92,39.53,2740065
2016-10-06,39.54,39.8,39.15,39.27,3237978
2016-10-07,39.39,39.91,39.16,39.74,2982062
2016-10-10,39.46,40.2,39.46,40.05,2055762
2016-10-11,39.79,40.0,38.58,38.69,2091446
2016-10-12,38.84,38.99,38.53,38.81,1368877
2016-10-13,38.44,38.49,37.91,38.32,1610074
2016-10-14,38.42,38.73,38.34,38.45,1547204
2016-10-17,38.42,38.63,38.38,38.57,1152200
2016-10-18,38.89,39.02,38.71,38.72,980962
2016-10-19,38.72,38.8,38.28,38.37,1721742
2016-10-20,38.38,38.67,38.1,38.47,1356763
2016-10-21,38.2,38.33,37.93,38.08,1389486
2016-10-24,38.2,38.45,38.11,38.17,1324325
2016-10-25,38.25,38.35,37.55,37.67,1659372
2016-10-26,37.47,37.58,36.44,36.6,3402549
2016-10-27,36.73,36.75,35.82,36.09,3199737
2016-10-28,36.04,36.42,35.87,35.98,2576020
2016-10-31,36.01,36.1,35.5,36.01,4561729
2016-11-01,35.99,36.09,35.39,35.66,2511063
2016-11-02,35.55,35.72,35.15,35.37,3478953
2016-11-03,38.26,38.92,37.14,37.19,6784437
2016-11-04,37.39,38.38,37.3,38.08,3925462
2016-11-07,38.53,38.96,38.09,38.68,3944142
2016-11-08,38.57,39.1,38.18,38.77,2696521
2016-11-09,39.35,39.49,36.73,37.16,5396608
2016-11-10,38.25,38.46,37.3,37.6,3715190
2016-11-11,37.4,37.57,36.6,36.74,2564499
2016-11-14,36.88,36.91,36.27,36.45,2843913
2016-11-15,36.55,37.65,36.44,37.6,2032300
2016-11-16,37.46,37.72,37.22,37.48,2006632
2016-11-17,37.56,38.67,37.24,38.58,2899573
2016-11-18,38.52,38.69,38.0,38.37,1916246
2016-11-21,38.32,38.86,38.31,38.65,1621393
2016-11-22,38.39,38.53,37.66,38.47,2975727
2016-11-23,38.42,39.13,38.42,38.97,2790360
2016-11-25,39.21,39.3,39.0,39.06,1310765
2016-11-28,39.05,39.05,38.53,38.68,2178699
2016-11-29,38.85,39.55,38.69,38.98,2903671
2016-11-30,38.96,39.16,38.16,38.28,3109086
2016-12-01,38.28,38.58,37.46,37.64,2939306
