Date,Open,High,Low,Close,Volume
2016-01-04,528.0,530.0,516.7,520.4,22025361
2016-01-05,523.2,525.78,517.0,522.6,16820407
2016-01-06,519.2,521.23,502.97,508.3,32108901
2016-01-07,503.1,508.76,497.15,502.0,37633959
2016-01-08,504.8,510.5,499.1,499.1,26120990
2016-01-11,499.15,505.9,497.8,497.8,19854901
2016-01-12,500.6,508.9,498.05,505.1,26399085
2016-01-13,509.6,513.0,502.3,504.8,19017312
2016-01-14,502.1,506.3,493.8,502.0,28441839
2016-01-15,499.75,502.4,481.55,485.7,49858331
2016-01-18,486.0,488.3,477.05,479.7,35112056
2016-01-19,487.05,492.85,483.95,488.65,24356333
2016-01-20,479.05,479.86,461.8,465.8,38859270
2016-01-21,467.45,473.7,463.2,471.2,38824427
2016-01-22,478.55,484.35,475.8,482.7,22325413
2016-01-25,482.15,483.2,470.84,473.45,28939054
2016-01-26,465.3,477.8,462.5,474.5,27686722
2016-01-27,473.95,480.1,468.5,480.1,25859934
2016-01-28,480.15,488.55,475.5,477.65,30752779
2016-01-29,485.2,492.3,482.75,492.3,35475204
2016-02-01,493.35,496.95,478.55,484.4,28377623
2016-02-02,483.1,484.85,465.0,467.6,40464391
2016-02-03,465.0,467.3,444.45,449.45,47331743
2016-02-04,458.9,463.15,447.8,459.5,35617196
2016-02-05,461.2,467.9,456.9,457.85,29929859
2016-02-08,457.6,460.7,436.35,438.45,35442249
2016-02-09,437.45,445.4,428.8,432.5,45270399
2016-02-10,437.0,445.1,432.75,441.4,37352698
2016-02-11,434.0,435.95,420.15,420.15,53058627
2016-02-12,425.0,463.32,424.95,440.4,35851467
2016-02-15,445.6,448.75,442.45,446.4,22901213
2016-02-16,449.0,449.0,435.7,448.2,26146098
2016-02-17,448.05,457.9,446.0,456.95,28849657
2016-02-18,458.5,459.25,446.75,448.85,22338242
2016-02-19,449.25,455.9,444.7,449.85,20651592
2016-02-22,440.0,448.8,425.5,445.6,37338082
2016-02-23,446.6,454.1,440.15,441.3,29805900
2016-02-24,445.5,447.0,431.1,433.8,40092253
2016-02-25,440.0,451.3,439.85,448.8,32058078
2016-02-26,453.9,467.95,452.45,467.35,26172870
2016-02-29,460.0,462.2,451.05,459.65,34201293
2016-03-01,461.5,463.3,455.6,460.95,27717587
2016-03-02,466.85,476.85,466.18,471.6,32310923
2016-03-03,455.0,460.65,450.5,450.5,32304280
2016-03-04,454.15,456.45,450.4,453.55,39194384
2016-03-07,449.6,453.2,443.4,450.35,29104134
2016-03-08,447.6,456.0,443.69,448.8,26761843
2016-03-09,452.1,470.25,449.65,450.25,31896451
2016-03-10,453.7,462.9,445.46,445.5,44716477
2016-03-11,454.1,455.9,448.92,451.35,34634654
2016-03-14,454.4,456.8,448.96,452.55,24923221
2016-03-15,451.1,454.05,449.05,452.95,24634499
2016-03-16,455.0,459.2,451.9,457.2,24938493
2016-03-17,457.8,458.55,442.55,449.2,28774316
2016-03-18,445.4,453.6,445.4,448.8,48890498
2016-03-21,451.55,453.85,447.25,449.0,22993539
2016-03-22,447.7,450.15,443.15,447.9,34594990
2016-03-23,449.45,450.95,444.45,448.1,21935066
2016-03-24,444.0,444.95,437.55,438.3,28634193
2016-03-29,436.85,440.75,429.7,432.5,26389367
2016-03-30,435.75,440.9,435.3,437.05,27894128
2016-03-31,435.0,437.35,431.65,433.9,33309794
2016-04-01,431.2,433.1,427.5,432.0,29959823
2016-04-04,431.55,433.7,428.5,430.7,20228264
2016-04-05,425.0,425.5,415.75,417.5,36900143
2016-04-06,417.75,420.6,414.5,419.9,31114025
2016-04-07,420.0,421.6,413.95,416.15,17669246
2016-04-08,417.4,421.15,416.8,417.77,19041334
