Date,Open,High,Low,Close,Volume
2016-01-04,155.94,156.26,154.0,155.26,729052
2016-01-05,155.75,157.01,154.9,155.79,459943
2016-01-06,153.87,155.1,152.76,154.21,548079
2016-01-07,151.47,154.04,151.15,151.67,539715
2016-01-08,152.32,152.32,150.02,150.28,649140
2016-01-11,150.51,151.9,145.88,146.38,929502
2016-01-12,147.5,148.9,145.45,146.45,753670
2016-01-13,146.68,147.42,144.07,144.67,586658
2016-01-14,145.32,147.3,144.63,146.61,572624
2016-01-15,142.64,147.4,142.64,146.72,843504
2016-01-19,148.68,161.06,146.29,148.35,554578
2016-01-20,146.66,147.54,142.72,146.43,680477
2016-01-21,146.51,146.59,143.76,144.14,777330
2016-01-22,145.66,147.63,144.68,146.57,527442
2016-01-25,146.37,146.98,144.56,144.7,445589
2016-01-26,144.93,148.96,143.96,148.86,618014
2016-01-27,148.97,150.61,146.46,147.49,385487
2016-01-28,148.14,149.13,145.64,146.5,372245
2016-01-29,147.28,151.67,147.01,151.44,526161
2016-02-01,150.39,154.27,150.14,153.82,676907
2016-02-02,152.66,153.96,150.43,150.86,364117
2016-02-03,152.02,153.91,148.05,150.67,455030
2016-02-04,150.75,151.81,148.97,150.11,404454
2016-02-05,150.01,150.15,147.33,147.87,465063
2016-02-08,147.05,147.74,143.64,146.32,632733
2016-02-09,145.41,149.12,144.86,147.62,666463
2016-02-10,150.53,159.26,148.74,156.75,1310479
2016-02-11,154.44,158.26,154.25,157.91,779105
2016-02-12,158.92,159.4,156.6,158.99,490804
2016-02-16,160.0,162.5,159.43,161.86,527618
2016-02-17,162.46,164.51,161.0,164.01,548428
2016-02-18,163.44,165.41,162.75,163.49,715855
2016-02-19,163.37,166.42,162.5,166.24,752007
2016-02-22,167.54,168.41,166.34,166.95,463087
2016-02-23,165.88,167.36,165.35,166.58,476967
2016-02-24,165.37,168.11,164.29,167.7,670379
2016-02-25,168.56,169.45,166.67,169.35,557139
2016-02-26,170.01,170.02,167.05,167.53,492693
2016-02-29,167.78,168.86,165.38,165.45,561167
2016-03-01,165.96,170.24,164.62,170.16,621156
2016-03-02,169.44,170.22,167.52,168.93,457077
2016-03-03,168.05,168.81,166.7,167.7,439351
2016-03-04,168.17,168.53,166.26,167.97,346280
2016-03-07,167.66,168.63,165.92,167.12,365077
2016-03-08,166.82,168.24,165.27,167.51,522147
2016-03-09,168.01,168.32,167.02,167.34,234694
2016-03-10,167.48,169.47,166.91,168.16,350239
2016-03-11,169.03,169.81,167.92,169.75,371057
2016-03-14,169.72,169.95,167.13,168.32,423609
2016-03-15,167.3,168.96,166.32,167.58,357685
2016-03-16,166.81,168.09,165.51,167.41,433570
2016-03-17,167.11,167.24,164.45,165.67,460460
2016-03-18,166.37,168.41,165.63,167.62,911763
2016-03-21,166.87,167.91,165.85,167.16,328671
2016-03-22,167.07,169.57,165.62,169.18,396800
2016-03-23,168.65,169.95,168.26,168.57,339267
2016-03-24,168.31,169.46,166.84,167.98,338377
2016-03-28,168.4,169.29,167.23,168.84,535274
2016-03-29,168.8,171.91,167.51,171.79,326657
2016-03-30,172.48,173.57,172.04,172.87,446433
2016-03-31,172.5,173.32,171.4,172.63,580716
2016-04-01,171.95,173.35,171.04,172.9,414328
2016-04-04,172.69,173.14,171.76,172.24,331694
2016-04-05,171.65,172.27,169.36,169.44,398442
2016-04-06,169.14,171.52,169.0,171.42,438478
2016-04-07,170.87,171.31,167.84,168.6,421098
2016-04-08,168.97,169.64,167.95,167.99,356421
2016-04-11,168.96,169.18,166.11,166.6,449969
2016-04-12,166.95,168.78,165.66,168.39,338819
2016-04-13,169.47,169.88,168.16,169.4,319774
2016-04-14,169.48,170.13,168.5,169.6,297430
2016-04-15,169.77,170.07,168.79,169.98,276397
2016-04-18,169.49,172.47,169.49,172.36,333768
2016-04-19,173.12,173.12,171.29,171.7,301958
2016-04-20,171.81,172.72,169.12,171.82,225982
2016-04-21,171.52,172.14,169.13,170.03,379008
2016-04-22,170.15,171.14,169.32,170.83,221643
2016-04-25,172.0,172.24,170.33,172.15,319451
2016-04-26,172.2,173.97,171.58,172.26,247376
2016-04-27,172.72,174.57,171.25,174.09,390692
2016-04-28,173.48,174.75,169.78,170.53,451803
2016-04-29,169.38,169.88,167.55,168.7,491890
2016-05-02,168.86,171.21,168.73,171.0,584339
2016-05-03,168.97,171.86,167.63,168.54,570794
2016-05-04,167.61,167.83,165.16,166.7,694492
2016-05-05,166.79,168.76,166.79,168.11,399055
2016-05-06,167.24,170.77,166.05,170.0,442965
2016-05-09,169.59,172.07,168.63,170.73,414264
2016-05-10,171.12,172.31,170.19,172.23,295949
2016-05-11,171.41,172.56,170.39,171.38,357826
2016-05-12,171.97,172.82,170.68,172.25,337120
2016-05-13,172.0,173.98,170.83,171.97,335014
2016-05-16,171.63,174.45,171.41,174.13,358579
2016-05-17,174.1,174.31,169.77,170.55,435496
2016-05-18,170.39,172.23,169.56,170.95,425744
2016-05-19,170.09,171.64,169.1,170.89,310015
2016-05-20,171.03,172.0,169.64,170.75,472095
2016-05-23,171.02,171.1,169.02,169.21,410703
2016-05-24,170.27,172.8,169.64,172.74,439630
2016-05-25,172.86,173.32,171.24,171.53,379277
2016-05-26,171.35,173.07,170.04,172.72,365388
2016-05-27,173.45,174.89,173.15,173.8,351910
2016-05-31,173.99,174.23,172.3,173.73,1426626
2016-06-01,173.36,173.95,172.3,173.1,396943
2016-06-02,173.35,176.47,172.66,176.16,545775
2016-06-03,175.98,176.3,175.0,175.87,387121
2016-06-06,175.8,177.19,175.14,176.71,342122
2016-06-07,176.38,176.82,175.2,175.88,456094
2016-06-08,176.15,179.32,175.45,179.14,390882
2016-06-09,178.99,180.98,178.78,180.71,397926
2016-06-10,178.9,180.04,177.74,178.35,354424
2016-06-13,178.32,179.35,176.94,176.98,479091
2016-06-14,176.94,177.5,175.26,176.66,445173
2016-06-15,176.72,177.14,174.39,174.68,400972
2016-06-16,174.22,174.81,172.35,174.71,413648
2016-06-17,174.79,174.79,171.81,172.9,584705
2016-06-20,174.47,175.9,174.01,174.83,543581
2016-06-21,175.2,175.39,174.25,174.71,424876
2016-06-22,174.81,175.84,174.7,174.95,463717
2016-06-23,176.01,177.63,175.55,177.61,300242
2016-06-24,171.4,173.6,170.31,170.87,649247
2016-06-27,169.99,170.76,166.5,167.75,734734
2016-06-28,168.75,171.66,168.75,171.27,627928
2016-06-29,171.98,175.7,171.7,175.52,427411
2016-06-30,176.07,176.81,174.52,176.8,663108
2016-07-01,176.92,177.47,175.87,177.21,379526
2016-07-05,177.09,177.69,176.13,177.25,312291
2016-07-06,176.89,178.43,176.0,178.14,328318
2016-07-07,178.5,179.36,176.98,177.98,250616
2016-07-08,179.0,180.91,178.43,180.72,398890
2016-07-11,181.74,182.65,180.93,181.78,265947
2016-07-12,182.4,183.0,180.8,180.9,282571
2016-07-13,181.69,181.71,180.52,181.11,246592
2016-07-14,181.61,181.72,180.77,181.45,233956
2016-07-15,182.3,182.67,180.13,180.58,259702
2016-07-18,180.98,181.25,180.13,180.92,224884
2016-07-19,180.61,181.25,179.32,180.51,246339
2016-07-20,180.62,181.44,180.5,180.86,207206
2016-07-21,180.46,180.82,179.14,179.72,246330
2016-07-22,180.44,180.99,179.29,180.66,186276
2016-07-25,180.89,181.43,179.24,179.83,222184
2016-07-26,180.09,181.14,179.32,180.89,194570
2016-07-27,180.68,180.68,178.52,179.01,304170
2016-07-28,178.87,180.22,178.32,179.28,246511
2016-07-29,179.88,181.27,179.01,180.98,397737
2016-08-01,180.74,181.2,180.0,180.14,246152
2016-08-02,180.11,180.22,178.83,179.95,366517
2016-08-03,180.02,180.32,178.54,179.68,599399
2016-08-04,171.1,174.0,163.16,163.53,1729466
2016-08-05,164.53,167.18,163.58,166.96,1594187
2016-08-08,166.94,167.53,165.1,166.02,933975
2016-08-09,165.53,166.22,164.19,164.55,535705
2016-08-10,164.58,167.7,164.17,166.22,601364
2016-08-11,166.63,167.81,165.9,167.46,431352
2016-08-12,166.74,166.9,165.38,165.46,427006
2016-08-15,165.22,165.81,164.29,164.42,450992
2016-08-16,163.69,164.21,162.58,162.87,451310
2016-08-17,163.22,163.22,160.85,161.4,695038
2016-08-18,161.5,161.98,160.95,161.39,477628
2016-08-19,161.2,161.42,159.58,161.29,723290
2016-08-22,161.36,162.93,161.15,162.48,593754
2016-08-23,162.54,163.03,160.11,160.5,710732
2016-08-24,160.36,160.63,159.21,159.83,680567
2016-08-25,159.5,161.84,158.53,160.82,889982
2016-08-26,161.14,164.18,160.26,163.36,879230
2016-08-29,163.15,164.49,162.55,164.22,467172
2016-08-30,164.11,164.84,163.47,163.81,515384
2016-08-31,163.16,164.53,162.91,163.79,621539
2016-09-01,163.92,164.31,162.28,162.98,341373
2016-09-02,163.8,165.0,162.86,164.29,448952
2016-09-06,164.1,164.5,163.56,164.31,324333
2016-09-07,164.17,165.25,164.08,164.42,297749
2016-09-08,164.16,164.66,163.28,164.12,395322
2016-09-09,162.9,163.71,158.79,158.86,780085
2016-09-12,160.0,162.16,158.85,161.88,758852
2016-09-13,160.66,161.07,159.83,160.08,557592
2016-09-14,160.06,160.39,158.56,159.41,590615
2016-09-15,159.15,163.33,159.15,162.77,495254
