Date,Open,High,Low,Close,Volume
2016-01-04,602.0,607.05,593.5,596.0,6156470
2016-01-05,599.5,615.7,598.97,611.0,4610213
2016-01-06,614.0,614.14,599.15,606.5,6034746
2016-01-07,593.5,598.5,577.86,590.0,6685494
2016-01-08,595.0,604.32,586.12,590.5,4215726
2016-01-11,587.0,595.83,580.1,589.5,4243399
2016-01-12,593.0,611.5,590.25,598.5,6279549
2016-01-13,604.0,607.0,587.0,589.5,4490680
2016-01-14,586.5,588.88,561.3,564.0,10648985
2016-01-15,564.0,570.94,549.5,551.0,9501183
2016-01-18,549.0,564.84,544.0,545.5,4716472
2016-01-19,555.0,565.06,553.5,561.5,4909991
2016-01-20,551.0,558.7,542.0,544.5,7048713
2016-01-21,548.0,555.59,542.36,552.0,7682356
2016-01-22,560.0,568.79,552.5,559.0,6346106
2016-01-25,563.0,568.18,558.02,562.0,4993741
2016-01-26,555.5,569.21,553.5,561.0,6088260
2016-01-27,561.0,562.52,550.5,552.5,6417568
2016-01-28,549.0,551.5,514.56,525.5,11611386
2016-01-29,529.5,539.5,509.5,539.5,10725275
2016-02-01,541.0,560.15,538.5,555.0,6629458
2016-02-02,553.5,556.25,536.39,541.0,7803591
2016-02-03,538.0,543.0,517.32,523.5,8670670
2016-02-04,529.5,532.5,503.5,514.5,10808357
2016-02-05,516.5,523.0,505.6,506.5,7006428
2016-02-08,511.0,511.99,470.04,475.3,13099682
2016-02-09,472.2,484.7,466.85,483.6,14878387
2016-02-10,488.1,512.64,480.7,507.0,9533463
2016-02-11,505.5,505.5,470.85,478.5,12646417
2016-02-12,481.7,486.0,473.1,479.8,8534722
2016-02-15,495.0,509.72,495.0,504.5,7105898
2016-02-16,508.0,525.5,506.0,518.0,10793754
2016-02-17,520.0,531.14,518.5,528.0,7344125
2016-02-18,532.0,547.5,528.0,541.5,8507521
2016-02-19,541.5,547.11,535.0,545.5,4979981
2016-02-22,551.0,560.0,536.0,537.5,4418651
2016-02-23,533.5,553.22,533.22,550.5,7715410
2016-02-24,550.0,552.82,522.01,530.5,7777344
2016-02-25,533.5,562.0,533.0,558.5,8035196
2016-02-26,572.0,572.0,530.0,541.0,13797543
2016-02-29,535.0,555.0,534.0,549.0,6889125
