Date,Open,High,Low,Close,Volume
2016-01-04,3158.4,3158.4,3078.0,3105.94,691551
2016-01-05,3145.2,3150.0,3088.8,3119.94,368548
2016-01-06,3101.0,3101.0,3010.0,3046.0,700223
2016-01-07,3014.0,3035.0,2939.0,2982.0,944353
2016-01-08,2989.0,3064.0,2978.0,3023.0,748112
2016-01-11,3016.0,3053.0,3013.0,3030.0,465338
2016-01-12,3028.0,3058.0,3004.0,3018.0,630561
2016-01-13,3047.0,3053.0,2986.0,2986.0,588372
2016-01-14,2897.0,2897.0,2754.0,2771.0,1597580
2016-01-15,2761.0,2808.0,2670.0,2722.0,1493811
2016-01-18,2720.4,2778.54,2679.6,2695.2,461325
2016-01-19,2731.0,2750.0,2708.0,2729.0,615934
2016-01-20,2674.0,2689.0,2626.0,2653.0,938952
2016-01-21,2668.8,2694.0,2594.98,2688.0,1337105
2016-01-22,2731.0,2767.0,2700.0,2748.0,675320
2016-01-25,2777.0,2777.0,2725.0,2741.0,506078
2016-01-26,2700.0,2737.0,2675.0,2732.0,415074
2016-01-27,2730.0,2794.0,2730.0,2788.0,674272
2016-01-28,2771.0,2785.0,2705.0,2730.0,538702
2016-01-29,2762.0,2792.0,2722.0,2756.0,910328
2016-02-01,2780.0,2814.0,2770.0,2814.0,1075065
2016-02-02,2814.0,2828.4,2762.44,2792.4,850791
2016-02-03,2783.0,2784.0,2696.0,2724.0,671428
2016-02-04,2766.0,2784.0,2700.0,2749.0,487851
2016-02-05,2760.0,2789.0,2729.0,2741.0,667542
2016-02-08,2755.0,2764.0,2606.0,2621.0,743724
2016-02-09,2628.0,2691.6,2605.54,2680.8,899988
2016-02-10,2700.0,2766.0,2669.0,2737.0,758968
2016-02-11,2704.0,2705.0,2640.0,2644.0,714178
2016-02-12,2659.0,2729.0,2659.0,2729.0,544637
2016-02-15,2778.0,2782.85,2749.2,2758.8,404377
2016-02-16,2774.0,2788.0,2737.0,2767.0,695646
2016-02-17,2778.0,2966.0,2778.0,2964.0,858228
2016-02-18,2974.8,2978.6,2913.6,2929.2,790091
2016-02-19,2923.0,2941.0,2885.0,2935.0,550400
2016-02-22,2966.0,3010.0,2939.0,2950.0,395530
2016-02-23,3042.0,3084.0,2988.38,3048.0,1160650
2016-02-24,3017.0,3044.0,2940.0,2983.0,1254963
2016-02-25,3000.0,3133.2,3000.0,3092.28,929890
2016-02-26,3166.8,3240.0,3125.89,3231.6,968115
2016-02-29,3199.2,3270.65,3188.4,3270.0,979452
2016-03-01,3270.0,3348.0,3242.0,3302.0,873169
2016-03-02,3335.0,3337.0,3196.0,3236.0,1023843
2016-03-03,3241.0,3272.0,3211.0,3244.0,880078
2016-03-04,3247.0,3288.0,3241.0,3282.0,482262
2016-03-07,3248.0,3250.0,3185.0,3221.0,972429
2016-03-08,3198.0,3222.0,3186.0,3211.0,627965
2016-03-09,3228.0,3231.61,3187.2,3228.0,611666
2016-03-10,3242.0,3264.0,3199.0,3199.0,867645
2016-03-11,3238.0,3271.0,3227.0,3271.0,359343
