Date,Open,High,Low,Close,Volume
2016-01-04,475.3,476.6,463.7,465.6,1470975
2016-01-05,466.9,473.0,465.9,471.8,1195704
2016-01-06,467.7,473.0,460.9,466.15,1316588
2016-01-07,454.8,458.1,446.7,451.2,1832045
2016-01-08,451.1,458.6,448.8,449.0,1317598
2016-01-11,447.0,452.0,443.1,446.4,1003819
2016-01-12,446.9,455.5,444.5,452.6,1521158
2016-01-13,456.0,463.5,454.4,459.6,1924932
2016-01-14,453.7,454.28,441.2,448.2,1915645
2016-01-15,446.1,450.0,430.6,433.0,2179433
2016-01-18,431.4,438.5,425.4,426.1,842000
2016-01-19,433.0,436.8,429.7,431.4,1335200
2016-01-20,422.1,426.7,414.8,416.0,2038195
2016-01-21,418.3,429.1,416.5,426.8,1799965
2016-01-22,437.4,439.7,433.2,436.0,1209330
2016-01-25,442.0,445.4,433.3,435.6,2080955
2016-01-26,427.6,436.5,427.1,435.1,1841501
2016-01-27,437.0,439.6,432.4,439.6,2049567
2016-01-28,438.9,440.5,431.4,433.9,2285975
2016-01-29,438.6,442.0,436.8,442.0,3051730
2016-02-01,443.7,447.5,435.9,439.9,1704060
2016-02-02,438.2,439.0,428.8,430.8,1217124
2016-02-03,428.3,428.9,412.9,418.2,2568062
2016-02-04,425.6,429.5,418.5,426.0,2303610
2016-02-05,427.8,434.0,421.4,422.0,1994201
2016-02-08,423.8,426.2,404.7,404.9,2402954
2016-02-09,406.2,407.0,389.1,392.0,2369690
2016-02-10,393.7,409.6,391.5,403.7,1993437
2016-02-11,400.3,401.0,389.8,389.8,2171725
2016-02-12,394.1,402.1,391.7,400.9,1997469
2016-02-15,408.8,414.4,405.9,412.3,1364481
2016-02-16,414.4,417.4,408.0,409.4,1960895
2016-02-17,409.6,426.0,409.6,424.1,1409532
2016-02-18,428.3,429.0,421.0,423.3,1581405
2016-02-19,423.0,427.4,415.7,420.8,1980617
2016-02-22,422.1,428.9,422.1,423.6,1748748
2016-02-23,420.5,426.6,417.0,422.2,1790166
2016-02-24,421.3,426.5,416.8,425.0,2902972
2016-02-25,431.1,435.1,429.6,434.6,1569692
2016-02-26,437.4,440.2,434.5,439.3,1491641
2016-02-29,434.3,438.5,430.5,438.1,1886242
2016-03-01,437.5,447.7,437.2,447.7,1885427
2016-03-02,448.0,454.8,442.6,445.4,1402031
2016-03-03,446.0,448.5,442.2,444.7,942057
2016-03-04,446.5,448.6,442.5,445.1,1295506
2016-03-07,443.8,447.2,436.2,437.2,1054014
2016-03-08,433.4,433.4,424.8,426.0,1775143
2016-03-09,428.6,432.6,423.3,424.4,1403981
2016-03-10,427.5,436.7,422.4,422.4,1753690
2016-03-11,429.6,438.6,429.6,437.9,1591370
2016-03-14,439.1,447.8,437.9,439.8,1285953
2016-03-15,438.6,440.6,435.2,438.7,1199359
2016-03-16,441.3,446.7,438.7,446.2,1528834
2016-03-17,449.3,452.9,442.3,446.5,2228152
2016-03-18,449.3,456.0,446.4,450.5,3010278
2016-03-21,449.9,455.5,447.9,448.3,939464
2016-03-22,447.2,457.5,443.0,457.5,2228909
2016-03-23,457.9,462.0,457.0,458.2,1336423
2016-03-24,453.9,456.7,450.7,453.1,1170643
2016-03-29,456.4,458.85,451.7,454.7,1342790
2016-03-30,458.8,462.02,458.0,461.6,911978
2016-03-31,459.5,460.7,455.9,456.4,1753162
2016-04-01,453.1,457.6,451.0,454.5,1579833
2016-04-04,452.6,459.9,452.4,457.2,1048876
2016-04-05,453.4,456.5,447.0,448.8,1367172
2016-04-06,450.5,454.71,448.7,452.0,1150155
2016-04-07,452.7,456.99,442.0,443.3,855395
2016-04-08,443.8,454.5,443.6,452.2,1076571
2016-04-11,450.5,454.0,447.0,449.1,919087
2016-04-12,449.4,459.9,448.1,459.7,1634059
2016-04-13,463.5,479.4,462.71,479.4,1731981
2016-04-14,480.5,486.9,478.6,486.9,2329161
2016-04-15,485.7,486.2,478.1,480.0,1286013
2016-04-18,475.3,480.45,475.3,479.6,1062432
2016-04-19,478.9,483.9,478.9,482.2,1649216
2016-04-20,478.8,480.27,476.4,478.6,1287139
2016-04-21,479.2,482.9,475.8,478.3,767565
2016-04-22,474.9,477.7,469.8,476.9,863122
2016-04-25,477.2,479.3,476.3,478.1,1001660
2016-04-26,478.1,483.5,477.9,483.2,1426649
2016-04-27,481.1,485.1,480.8,485.1,1146878
2016-04-28,481.3,484.5,476.4,481.6,1517637
2016-04-29,476.7,480.04,472.0,473.6,1633772
2016-05-03,473.4,473.5,465.6,467.0,1463163
2016-05-04,465.3,467.2,460.8,461.9,1142579
2016-05-05,463.2,468.7,462.5,463.3,998842
2016-05-06,460.6,464.2,455.4,458.0,1390130
2016-05-09,460.0,468.4,459.48,464.4,1086190
2016-05-10,467.1,472.4,465.9,471.6,1324186
2016-05-11,470.2,477.4,468.8,477.1,1587081
2016-05-12,474.7,481.8,472.9,475.4,1518349
2016-05-13,472.9,481.3,472.0,481.3,978621
2016-05-16,477.6,482.3,477.6,481.2,864015
2016-05-17,483.3,485.7,479.7,482.6,1052806
2016-05-18,479.1,487.5,477.8,487.5,1345089
