Date,Open,High,Low,Close,Volume
2016-01-04,187.65,188.25,179.88,181.28,2506464
2016-01-05,181.78,182.98,176.83,178.02,1872175
2016-01-06,176.17,180.07,175.0,177.56,1121480
2016-01-07,170.9,174.42,167.03,167.72,2455048
2016-01-08,168.74,172.36,164.9,165.17,1640290
2016-01-11,173.27,173.63,161.46,165.71,3111534
2016-01-12,167.16,169.96,163.05,168.64,1768650
2016-01-13,169.52,171.37,163.08,164.49,1783122
2016-01-14,165.42,176.58,161.01,175.11,2100057
2016-01-15,168.88,174.43,168.78,171.15,2665484
2016-01-19,173.71,174.35,165.4,169.58,1846745
2016-01-20,168.21,173.79,162.26,171.46,1871260
2016-01-21,172.32,172.5,168.0,169.18,992376
2016-01-22,172.71,177.56,170.78,176.71,1585461
2016-01-25,176.62,179.04,173.68,174.48,1025580
2016-01-26,173.9,175.29,168.68,172.9,1048478
2016-01-27,173.19,174.7,161.13,162.42,2301834
2016-01-28,164.35,165.25,152.46,154.25,3649907
2016-01-29,154.81,159.28,153.61,157.95,2855067
2016-02-01,156.73,160.26,154.75,158.94,1850206
2016-02-02,157.0,159.9,152.78,154.66,1508455
2016-02-03,147.16,152.78,140.12,149.46,3705586
2016-02-04,146.26,148.84,141.5,143.38,1691962
2016-02-05,142.66,143.13,134.54,136.05,2234139
2016-02-08,135.01,137.23,130.37,135.37,1888661
2016-02-09,133.58,143.15,131.64,139.49,1860349
2016-02-10,140.49,145.75,138.23,138.7,1364349
2016-02-11,136.65,140.09,135.0,138.46,1148822
2016-02-12,139.88,143.21,137.09,142.72,978772
2016-02-16,144.35,149.59,144.0,149.11,1468090
2016-02-17,148.88,156.33,148.88,155.63,1488730
2016-02-18,154.63,155.94,149.7,150.16,2041616
2016-02-19,149.23,152.79,148.51,151.31,1043438
2016-02-22,153.02,154.66,151.4,152.93,840961
2016-02-23,151.54,154.1,149.11,149.94,1347714
2016-02-24,148.39,149.84,143.03,149.42,1333584
2016-02-25,150.03,153.3,148.56,152.4,1265448
2016-02-26,153.04,156.55,151.65,155.31,979234
2016-02-29,154.52,156.83,150.24,150.24,1041279
2016-03-01,152.2,159.52,151.1,159.51,1323651
2016-03-02,158.66,161.86,155.87,157.2,958093
2016-03-03,156.84,158.34,155.11,157.45,715933
2016-03-04,158.62,159.13,155.01,156.14,856964
2016-03-07,155.0,163.15,153.48,161.62,1320327
2016-03-08,156.09,158.0,150.1,150.43,2045276
2016-03-09,150.32,153.77,147.58,153.0,1564819
2016-03-10,154.56,157.89,152.01,155.06,1256003
2016-03-11,156.48,159.0,154.23,158.59,1250711
2016-03-14,158.46,159.67,154.13,154.77,1031746
2016-03-15,153.85,155.56,147.75,149.98,1137371
2016-03-16,149.89,153.14,147.68,149.2,1036564
2016-03-17,148.47,149.47,142.41,147.22,1550473
2016-03-18,148.13,151.0,145.46,150.24,1849874
2016-03-21,154.25,157.11,152.74,155.13,1301268
2016-03-22,154.65,156.96,152.52,156.36,1074738
2016-03-23,156.23,158.23,152.1,152.54,854494
2016-03-24,151.9,155.94,149.51,155.34,953546
2016-03-28,156.57,156.9,151.1,152.13,849384
2016-03-29,152.42,157.46,150.57,157.13,821607
2016-03-30,158.96,162.92,155.56,157.43,1068552
2016-03-31,157.95,163.98,157.5,162.11,1191502
2016-04-01,161.72,169.58,160.69,166.86,1698232
2016-04-04,167.75,169.83,166.12,167.6,876343
2016-04-05,166.0,167.64,163.45,163.73,886406
2016-04-06,163.9,174.21,163.9,174.16,1157158
2016-04-07,173.46,173.46,166.87,168.21,1298766
2016-04-08,170.36,172.3,167.21,168.36,872157
2016-04-11,171.48,174.21,169.36,169.9,1010216
2016-04-12,170.0,172.41,167.5,171.44,722052
2016-04-13,172.6,176.55,170.76,174.01,1063078
2016-04-14,174.01,174.21,171.81,172.64,665738
2016-04-15,170.06,173.95,170.06,173.64,873624
2016-04-18,173.17,178.77,172.97,178.13,1251678
2016-04-19,142.54,144.0,132.51,136.88,11368743
2016-04-20,138.5,140.0,136.5,139.48,2900437
2016-04-21,140.0,145.1,139.85,144.95,2215880
2016-04-22,144.69,145.72,141.06,143.59,2197144
2016-04-25,144.0,144.47,142.47,143.07,1697906
2016-04-26,142.93,143.5,138.02,139.21,1845865
2016-04-27,139.0,139.71,137.3,138.59,1292324
2016-04-28,137.61,139.3,135.19,135.75,1487380
2016-04-29,135.0,135.89,132.0,134.99,2145925
2016-05-02,134.72,136.99,134.34,135.92,1956573
2016-05-03,134.3,135.38,132.0,133.65,2318816
2016-05-04,128.49,136.7,127.1,134.97,3274782
2016-05-05,134.59,140.0,134.11,138.9,2054623
2016-05-06,138.58,142.78,138.03,140.71,2213574
2016-05-09,140.29,142.98,140.29,141.76,1127745
2016-05-10,142.41,143.0,139.2,142.84,741584
2016-05-11,142.85,144.08,138.64,138.86,1076445
2016-05-12,139.87,140.15,135.97,136.98,1145665
2016-05-13,136.63,138.32,135.55,136.92,914244
2016-05-16,136.49,140.74,135.99,140.4,757528
2016-05-17,140.53,142.24,138.43,138.77,1179157
2016-05-18,138.46,141.84,137.75,140.23,791862
2016-05-19,139.19,139.97,136.34,137.99,520790
2016-05-20,138.77,141.57,137.47,140.51,764132
2016-05-23,140.62,141.93,139.63,139.83,448652
2016-05-24,140.64,143.65,139.05,143.48,782806
2016-05-25,143.99,145.8,143.0,143.55,879264
2016-05-26,143.18,144.93,142.05,143.12,540456
2016-05-27,143.47,144.5,141.7,143.85,659717
2016-05-31,144.05,145.17,143.52,144.83,951780
2016-06-01,144.42,146.46,143.06,145.78,786963
2016-06-02,146.05,147.3,144.86,147.1,878006
2016-06-03,146.21,147.0,143.32,145.54,685370
2016-06-06,145.67,148.84,144.05,147.6,750506
2016-06-07,147.13,147.51,144.02,144.95,847198
2016-06-08,144.95,145.85,143.52,145.26,627689
2016-06-09,144.39,146.11,142.73,143.42,736617
2016-06-10,142.14,142.79,140.1,141.62,933289
2016-06-13,140.44,143.78,139.42,139.71,913807
2016-06-14,139.59,140.78,136.23,137.77,1131276
2016-06-15,137.76,139.0,136.26,136.73,901263
2016-06-16,135.66,136.93,134.08,136.34,931899
2016-06-17,136.36,138.58,135.62,137.05,1780630
2016-06-20,139.15,141.65,138.01,140.1,1027367
2016-06-21,140.31,140.87,137.53,139.05,1008205
2016-06-22,139.68,143.22,138.11,140.89,1225575
2016-06-23,142.28,146.79,141.77,146.59,1343339
2016-06-24,139.5,143.19,138.36,138.91,5102420
2016-06-27,138.24,139.5,133.9,135.48,2143623
2016-06-28,136.41,138.9,133.58,135.01,1168377
2016-06-29,135.88,138.66,135.31,137.58,869761
2016-06-30,137.52,140.38,136.38,140.38,1116631
2016-07-01,140.04,142.0,138.9,140.73,911333
2016-07-05,134.8,139.0,132.65,138.67,2072341
2016-07-06,137.67,141.18,136.06,140.79,1098532
2016-07-07,140.54,140.96,139.11,140.06,1015004
2016-07-08,141.12,142.08,140.15,141.25,978166
2016-07-11,141.89,142.5,139.13,139.64,1071823
2016-07-12,141.06,149.41,141.06,148.99,1575628
2016-07-13,149.5,149.5,145.07,145.86,957086
2016-07-14,147.43,148.39,146.19,147.23,655580
2016-07-15,148.27,149.02,146.16,148.71,787739
2016-07-18,148.72,150.3,148.08,149.57,711788
2016-07-19,148.64,149.79,148.02,148.68,686912
2016-07-20,148.99,153.35,148.13,152.59,937289
2016-07-21,152.19,152.67,150.3,151.31,788502
2016-07-22,151.96,151.96,149.67,150.76,541670
2016-07-25,150.83,151.26,148.54,150.64,928542
2016-07-26,150.0,152.33,149.28,150.1,1656494
2016-07-27,149.67,164.13,145.28,162.25,3559717
2016-07-28,162.53,167.03,162.05,166.42,1501704
2016-07-29,165.97,166.63,163.11,166.35,1217434
2016-08-01,166.77,171.33,166.13,170.65,1087880
2016-08-02,170.51,170.51,163.72,166.92,1594993
2016-08-03,166.94,167.14,164.69,165.05,947582
2016-08-04,164.63,167.0,164.54,165.66,553667
2016-08-05,166.39,167.97,165.65,166.53,642786
2016-08-08,167.17,167.88,165.72,166.46,1059246
2016-08-09,166.46,166.75,165.2,165.59,767566
2016-08-10,165.87,166.27,164.67,165.98,854642
2016-08-11,166.6,168.47,165.3,168.02,992972
2016-08-12,167.27,167.85,166.2,166.99,568766
2016-08-15,167.4,174.48,167.26,173.36,1412693
2016-08-16,173.08,174.84,169.48,169.65,1321795
2016-08-17,171.47,171.86,166.97,169.15,922968
2016-08-18,170.0,182.67,163.6,172.37,6428434
2016-08-19,171.83,174.07,169.81,171.67,1015440
2016-08-22,170.27,175.71,169.84,173.75,1206417
2016-08-23,173.9,174.84,171.6,172.79,674208
2016-08-24,173.21,173.95,167.79,169.54,1022140
2016-08-25,170.12,173.41,167.35,169.48,603012
2016-08-26,170.38,174.0,170.01,172.21,820145
2016-08-29,172.11,172.83,170.25,170.42,588321
2016-08-30,170.5,170.99,167.89,168.99,577128
2016-08-31,169.01,169.97,167.57,168.34,703568
2016-09-01,168.72,169.05,166.31,168.56,562774
2016-09-02,169.93,169.96,167.25,167.9,503289
2016-09-06,168.01,170.76,168.01,170.18,663264
2016-09-07,169.69,172.98,168.21,169.58,607839
2016-09-08,168.91,172.22,168.43,170.07,644121
2016-09-09,167.95,169.51,164.75,164.85,808421
2016-09-12,164.87,171.08,164.87,170.71,976292
2016-09-13,169.65,171.11,167.71,170.15,1021769
2016-09-14,170.31,172.88,169.16,171.78,735531
2016-09-15,171.37,175.24,169.61,174.94,915043
2016-09-16,175.05,175.05,171.77,172.97,1525409
2016-09-19,173.37,174.75,172.36,173.15,487953
2016-09-20,174.29,177.47,173.68,175.8,786856
2016-09-21,176.16,178.9,174.76,178.45,779332
2016-09-22,179.81,180.72,177.62,179.34,1098852
2016-09-23,179.1,181.2,177.81,179.33,791939
2016-09-26,179.35,179.71,178.2,178.47,645769
2016-09-27,178.04,181.0,177.9,180.35,793983
2016-09-28,180.31,181.32,178.55,180.98,662283
2016-09-29,179.34,181.5,176.16,176.56,952506
2016-09-30,177.44,182.61,176.71,181.66,1283304
2016-10-03,184.49,184.49,179.04,182.23,1101885
2016-10-04,182.38,186.61,180.03,181.22,930680
2016-10-05,182.17,186.6,182.17,186.17,1119372
2016-10-06,186.0,186.88,183.15,184.93,806637
2016-10-07,185.82,185.99,183.6,184.49,773003
2016-10-10,185.32,186.7,184.28,184.85,1889978
2016-10-11,135.1,140.89,133.8,138.99,11033440
2016-10-12,139.97,141.44,136.0,136.18,2883166
2016-10-13,135.67,138.11,135.13,137.17,2117820
2016-10-14,138.42,139.35,136.57,138.0,1468694
2016-10-17,138.5,141.86,137.0,141.23,1444808
2016-10-18,143.15,149.32,142.69,145.22,2517647
2016-10-19,146.2,148.08,144.0,146.72,1002382
2016-10-20,148.08,148.08,142.64,142.83,1604019
2016-10-21,142.0,142.17,138.65,141.8,2116082
2016-10-24,142.48,144.25,141.51,142.27,738241
2016-10-25,141.67,141.97,137.94,138.18,1148691
2016-10-26,138.22,141.56,138.22,139.95,1149150
2016-10-27,140.39,142.49,139.04,139.29,1087125
2016-10-28,139.42,140.74,137.52,138.63,824700
2016-10-31,139.36,139.94,135.52,136.14,1621206
2016-11-01,136.39,139.84,135.96,139.5,2131809
2016-11-02,135.21,136.84,133.5,135.66,2508431
