Date,Open,High,Low,Close,Volume
2016-01-04,3556.0,3586.8,3514.0,3540.63,1635522
2016-01-05,3554.5,3570.0,3488.0,3539.0,1565806
2016-01-06,3549.5,3606.5,3534.0,3602.5,1816107
2016-01-07,3550.0,3593.0,3517.5,3521.5,2569637
2016-01-08,3538.0,3540.5,3499.5,3508.5,1805796
2016-01-11,3508.5,3532.0,3482.5,3511.5,1226075
2016-01-12,3530.5,3593.5,3503.5,3589.5,1758991
2016-01-13,3609.0,3614.0,3560.5,3614.0,1564698
2016-01-14,3578.0,3590.5,3524.0,3535.5,1700743
2016-01-15,3529.5,3553.0,3480.5,3514.5,1761811
2016-01-18,3519.0,3572.0,3515.0,3568.0,1432133
2016-01-19,3595.0,3608.5,3554.0,3559.5,1525675
2016-01-20,3511.0,3533.0,3439.0,3477.5,2235193
2016-01-21,3477.5,3492.0,3427.0,3464.5,2242851
2016-01-22,3503.5,3570.0,3475.5,3556.5,1871388
2016-01-25,3579.0,3592.5,3555.5,3586.0,1328674
2016-01-26,3562.0,3599.5,3465.25,3589.5,1606020
2016-01-27,3600.0,3667.0,3565.5,3667.0,1998206
2016-01-28,3673.5,3691.5,3619.5,3654.0,1561437
2016-01-29,3720.0,3786.0,3693.5,3786.0,2686386
2016-02-01,3800.5,3806.0,3728.5,3803.0,2199505
2016-02-02,3805.0,3809.0,3706.67,3784.0,1993190
2016-02-03,3776.0,3780.0,3707.0,3728.5,2035595
2016-02-04,3711.0,3729.73,3590.0,3598.5,2036677
2016-02-05,3601.5,3637.5,3493.0,3499.5,2303149
2016-02-08,3492.5,3545.0,3460.5,3529.5,2053667
2016-02-09,3542.0,3578.0,3493.0,3513.0,2114205
2016-02-10,3547.0,3571.0,3492.0,3518.5,2206822
2016-02-11,3495.5,3609.0,3483.0,3587.5,3624687
2016-02-12,3619.0,3619.0,3537.0,3553.5,3197296
2016-02-15,3623.0,3658.0,3596.5,3632.5,1841485
2016-02-16,3641.0,3704.0,3624.5,3694.0,2208237
2016-02-17,3706.0,3739.0,3687.5,3736.5,2031483
2016-02-18,3737.0,3750.5,3663.5,3731.0,2582044
2016-02-19,3744.5,3770.5,3717.5,3732.5,2138817
2016-02-22,3760.5,3772.5,3718.5,3721.5,1121612
2016-02-23,3695.0,3762.18,3680.24,3738.0,2004695
2016-02-24,3730.5,3737.5,3705.5,3718.0,1680064
2016-02-25,3751.5,3800.0,3692.5,3787.0,2604517
2016-02-26,3802.5,3822.0,3764.5,3771.5,1671736
2016-02-29,3751.0,3759.0,3715.5,3722.5,2321865
2016-03-01,3738.5,3831.0,3722.5,3814.0,1934013
2016-03-02,3819.5,3819.5,3743.0,3774.5,2155758
2016-03-03,3762.0,3764.0,3643.0,3692.5,2981641
2016-03-04,3687.0,3709.5,3671.5,3675.5,2707551
2016-03-07,3675.0,3722.0,3641.0,3660.5,2359639
2016-03-08,3639.0,3686.0,3623.0,3673.0,1912202
2016-03-09,3684.5,3703.0,3655.0,3692.5,1801183
2016-03-10,3700.0,3730.0,3689.5,3703.0,3052068
2016-03-11,3738.0,3767.5,3726.0,3752.5,1851789
2016-03-14,3760.5,3769.5,3735.73,3752.0,1429943
2016-03-15,3744.0,3775.5,3739.0,3757.0,1249487
2016-03-16,3759.5,3795.0,3748.0,3795.0,1755898
2016-03-17,3812.5,3834.0,3775.5,3834.0,1888477
2016-03-18,3814.0,3848.5,3796.5,3810.0,3328517
2016-03-21,3805.5,3814.78,3773.5,3795.0,1331215
2016-03-22,3776.0,3802.0,3745.0,3784.0,1704228
2016-03-23,3784.5,3821.5,3770.0,3814.0,1605652
2016-03-24,3792.0,3819.0,3763.5,3770.0,1197252
2016-03-29,3813.0,3838.0,3784.5,3838.0,1523757
2016-03-30,3869.5,3898.0,3842.5,3854.5,1442583
2016-03-31,3838.5,3875.0,3828.0,3863.0,1696046
2016-04-01,3825.0,3839.5,3776.0,3836.0,1589649
