Date,Open,High,Low,Close,Volume
2016-01-04,106.5,106.81,101.73,103.32,1531614
2016-01-05,102.14,105.98,101.9,103.8,1174074
2016-01-06,101.44,103.62,100.26,102.26,2013424
2016-01-07,100.1,100.79,95.62,95.76,1798173
2016-01-08,97.08,97.99,93.06,94.78,1678043
2016-01-11,95.9,96.22,90.7,92.19,2071059
2016-01-12,93.62,96.75,84.57,88.09,3783859
2016-01-13,88.52,89.65,78.23,78.42,4064762
2016-01-14,79.76,82.59,74.73,80.98,2452721
2016-01-15,74.48,79.05,73.22,76.95,4172862
2016-01-19,79.19,79.26,70.17,73.31,2630605
2016-01-20,71.63,75.99,69.73,74.25,3760543
2016-01-21,73.87,76.72,71.0,73.78,2186073
2016-01-22,75.5,80.32,75.28,79.4,1888190
2016-01-25,78.48,84.2,78.12,78.31,2305138
2016-01-26,78.06,78.67,74.24,76.04,2102066
2016-01-27,76.54,79.57,73.84,74.99,2009754
2016-01-28,70.01,70.57,64.51,67.81,6975228
2016-01-29,68.24,70.88,67.81,70.56,2817501
2016-02-01,70.0,73.55,68.8,72.58,3310369
2016-02-02,71.85,71.85,67.11,68.94,4281002
2016-02-03,69.54,70.41,65.51,69.17,2807644
2016-02-04,68.92,73.0,66.56,72.03,2962388
2016-02-05,70.68,71.56,68.0,71.0,4457430
2016-02-08,69.5,71.7,65.61,70.91,3329012
2016-02-09,68.97,74.54,68.31,72.26,2976067
2016-02-10,73.57,76.34,71.71,72.31,3464085
2016-02-11,58.6,66.28,55.0,65.51,15389600
2016-02-12,65.54,68.5,63.51,68.36,4683482
2016-02-16,70.3,71.94,68.78,71.67,3366106
2016-02-17,72.67,77.29,71.62,74.45,2608887
2016-02-18,74.86,75.36,70.96,71.02,1588856
2016-02-19,70.84,73.59,68.56,72.7,1758824
2016-02-22,73.57,75.2,72.4,73.9,1257500
2016-02-23,73.47,74.83,71.07,72.01,1607787
2016-02-24,71.29,74.43,69.5,74.32,1438057
2016-02-25,74.0,76.78,73.31,74.28,1559872
2016-02-26,75.0,76.39,73.56,74.34,1334912
2016-02-29,74.76,75.38,72.81,73.5,1305636
2016-03-01,74.01,75.06,71.93,75.05,2701431
2016-03-02,74.79,76.5,73.02,73.6,2147620
2016-03-03,74.0,74.0,71.27,72.56,1659105
2016-03-04,73.51,73.95,70.73,71.99,1342546
2016-03-07,71.64,74.66,69.88,73.29,1055341
2016-03-08,73.18,74.22,70.82,71.17,1469310
2016-03-09,71.28,71.96,67.83,68.85,1569205
2016-03-10,69.89,71.62,67.88,68.65,1588343
2016-03-11,69.53,70.92,68.4,70.89,1507024
2016-03-14,70.98,71.99,68.93,68.98,1296826
2016-03-15,68.37,68.49,65.25,65.64,2661997
2016-03-16,65.15,67.01,62.53,63.77,1259577
2016-03-17,64.03,64.79,60.3,63.05,2625723
2016-03-18,63.82,66.05,62.63,65.07,2434481
2016-03-21,64.98,69.25,64.77,68.61,1797870
2016-03-22,67.87,70.8,67.35,69.11,1645866
2016-03-23,70.81,71.33,67.22,67.43,1470507
2016-03-24,67.07,72.71,65.5,69.76,1886430
2016-03-28,70.4,70.91,68.37,68.45,1078649
2016-03-29,68.59,69.9,67.52,69.25,1252101
2016-03-30,70.64,71.99,67.94,68.35,1295541
2016-03-31,68.58,74.19,68.51,72.47,2160513
2016-04-01,73.2,74.09,71.07,73.3,1519709
2016-04-04,73.28,74.02,72.42,73.49,1112426
2016-04-05,73.07,75.24,72.24,73.35,1446825
2016-04-06,73.41,82.04,73.41,81.87,2733405
2016-04-07,81.5,84.42,78.64,79.4,1487069
2016-04-08,80.7,80.84,75.79,77.47,1556277
2016-04-11,77.0,77.67,75.0,75.81,969081
2016-04-12,75.71,77.53,75.26,77.37,808499
2016-04-13,77.64,79.49,76.57,79.22,1046122
2016-04-14,79.3,79.8,78.03,78.54,981489
2016-04-15,79.37,79.41,76.08,77.78,1124517
2016-04-18,77.79,78.41,74.7,77.89,1579466
2016-04-19,77.51,78.36,75.84,76.77,1070597
2016-04-20,77.18,79.25,77.0,78.49,1027892
2016-04-21,78.06,79.03,76.02,77.56,1656423
2016-04-22,77.11,77.87,74.84,76.77,791583
2016-04-25,76.82,77.89,75.84,76.55,690039
2016-04-26,76.56,76.96,73.77,74.43,769670
2016-04-27,73.99,74.05,72.01,73.19,1241981
2016-04-28,73.21,74.55,71.32,72.34,1269840
2016-04-29,71.46,73.17,70.01,72.27,1351474
2016-05-02,72.03,74.47,71.02,74.36,881051
2016-05-03,73.45,74.4,71.55,72.09,877345
2016-05-04,71.4,72.0,68.52,68.69,1255246
2016-05-05,68.97,71.01,68.03,70.41,1571445
2016-05-06,69.77,72.38,68.6,70.69,1465003
2016-05-09,70.4,74.42,69.11,72.86,2195484
2016-05-10,73.51,73.62,70.22,73.49,991404
2016-05-11,73.62,73.74,70.48,70.62,808164
2016-05-12,70.8,71.34,68.31,70.54,1036045
2016-05-13,70.27,73.31,69.95,73.21,857053
2016-05-16,73.08,76.81,73.08,76.47,1333534
2016-05-17,76.07,76.68,74.24,75.55,1348393
2016-05-18,75.18,79.0,74.9,77.53,1076231
2016-05-19,76.99,78.95,74.92,76.04,927139
2016-05-20,76.34,78.99,74.99,77.65,1070801
2016-05-23,77.97,82.07,77.7,80.68,1679719
2016-05-24,81.1,81.77,80.32,81.27,1095904
2016-05-25,81.31,83.5,80.64,83.16,1314747
2016-05-26,82.63,83.02,81.05,81.78,1382665
