Date,Open,High,Low,Close,Volume
2016-01-04,33.88,34.01,33.46,33.99,27669050
2016-01-05,33.96,34.0,33.53,33.83,16709510
2016-01-06,33.25,33.52,32.8,33.08,25491255
2016-01-07,32.28,33.01,31.84,31.84,37680521
2016-01-08,32.09,32.22,31.43,31.51,29953840
2016-01-11,31.81,32.22,31.68,32.06,27732435
2016-01-12,32.76,32.89,32.27,32.68,28587697
2016-01-13,32.76,32.93,31.83,31.91,33862507
2016-01-14,31.97,32.87,31.8,32.74,46527996
2016-01-15,29.73,30.5,29.45,29.76,75768021
2016-01-19,29.98,30.06,29.48,29.8,28595217
2016-01-20,29.35,29.87,29.21,29.59,39530285
2016-01-21,29.65,30.03,29.24,29.66,30142437
2016-01-22,30.12,30.24,29.51,29.92,25279762
2016-01-25,29.99,30.22,29.57,29.6,26263977
2016-01-26,29.61,30.05,29.61,29.94,24689760
2016-01-27,29.88,30.22,29.64,29.81,26136434
2016-01-28,30.02,30.18,29.75,29.97,22013858
2016-01-29,30.21,31.03,30.1,31.02,37972532
2016-02-01,30.72,31.12,30.64,30.82,18819957
2016-02-02,30.45,30.49,29.63,29.8,24800126
2016-02-03,29.72,29.72,28.52,29.34,44631950
2016-02-04,29.14,29.88,29.11,29.77,29109722
2016-02-05,29.58,29.76,28.91,29.04,27429383
2016-02-08,28.74,28.98,28.3,28.82,28623830
2016-02-09,28.49,29.14,28.41,28.81,22710592
2016-02-10,28.88,29.0,28.19,28.23,26850901
2016-02-11,27.83,28.41,27.68,28.22,28142620
2016-02-12,28.57,28.7,28.14,28.64,19507854
2016-02-16,28.75,28.95,28.36,28.78,30354226
2016-02-17,28.86,29.62,28.73,29.47,27295051
2016-02-18,29.53,29.76,29.38,29.42,20261469
2016-02-19,29.2,29.33,28.71,28.71,41618797
2016-02-22,29.11,29.54,29.0,29.35,23750437
2016-02-23,29.3,29.34,28.6,28.8,26432913
2016-02-24,28.52,29.3,28.38,29.19,21444582
2016-02-25,29.32,29.62,28.95,29.62,17311044
2016-02-26,29.88,30.08,29.7,29.8,19878207
2016-02-29,29.72,30.14,29.58,29.59,21616487
2016-03-01,29.93,30.53,29.75,30.37,25355600
2016-03-02,30.3,30.87,30.12,30.54,23418506
2016-03-03,31.13,31.35,30.54,30.58,25608765
2016-03-04,30.5,30.86,30.05,30.63,20169869
2016-03-07,30.59,31.12,30.5,30.94,18858185
2016-03-08,30.83,30.88,30.38,30.56,18850558
2016-03-09,30.83,31.04,30.67,30.86,14572783
2016-03-10,31.14,31.4,30.38,31.25,29434616
2016-03-11,31.67,31.79,31.53,31.76,22394486
2016-03-14,31.66,31.69,31.3,31.43,17391304
2016-03-15,31.34,31.65,31.06,31.65,16927746
2016-03-16,31.49,31.8,31.17,31.69,26062419
2016-03-17,31.76,32.17,31.7,31.98,22813015
2016-03-18,32.16,32.69,32.06,32.68,49633122
2016-03-21,32.23,32.42,31.95,32.34,21642305
2016-03-22,32.16,32.46,31.95,32.32,22150713
2016-03-23,32.47,32.47,31.98,32.0,18460868
2016-03-24,31.87,31.95,31.7,31.88,14126136
2016-03-28,31.87,32.0,31.62,31.9,11419161
2016-03-29,31.93,32.44,31.73,32.38,15178580
2016-03-30,32.45,32.75,32.29,32.71,16364754
2016-03-31,32.53,32.66,32.32,32.35,17650840
2016-04-01,32.27,32.47,32.1,32.45,18011252
2016-04-04,32.2,32.38,31.74,32.0,21456091
2016-04-05,31.89,32.12,31.72,31.9,20014550
2016-04-06,31.97,32.23,31.77,32.08,15501070
2016-04-07,31.89,31.9,31.35,31.55,23199618
2016-04-08,31.76,32.02,31.48,31.63,16360940
2016-04-11,31.9,32.34,31.66,31.67,19624130
2016-04-12,31.88,31.94,31.38,31.86,16647819
2016-04-13,31.97,32.18,31.95,32.13,19842763
2016-04-14,31.78,31.88,31.55,31.8,21541569
2016-04-15,31.79,31.88,31.38,31.46,28593002
2016-04-18,31.43,31.72,31.38,31.65,21516622
2016-04-19,31.7,31.81,31.4,31.6,31820262
2016-04-20,31.32,32.26,31.25,32.0,57414543
2016-04-21,31.94,32.06,31.81,31.97,28165950
2016-04-22,31.74,31.86,31.22,31.64,29387068
2016-04-25,31.36,31.5,31.2,31.39,19202357
