Date,Open,High,Low,Close,Volume
2016-01-04,313.1,313.9,309.2,311.2,1546773
2016-01-05,312.1,315.3,310.2,314.2,1373063
2016-01-06,312.5,313.4,308.6,310.8,1467420
2016-01-07,305.0,307.3,300.4,305.0,2038984
2016-01-08,301.0,304.4,297.7,299.7,2680566
2016-01-11,297.2,301.2,293.6,297.2,1803224
2016-01-12,297.0,304.9,293.1,300.9,1626713
2016-01-13,299.7,305.8,294.2,302.1,2071645
2016-01-14,298.0,300.4,296.1,297.5,2263899
2016-01-15,295.1,297.4,292.0,293.3,2998327
2016-01-18,292.6,294.5,287.4,288.0,2144355
2016-01-19,292.9,295.6,289.7,290.2,1907622
2016-01-20,285.5,286.8,281.8,283.1,2940722
2016-01-21,284.9,290.3,283.3,287.9,2149007
2016-01-22,290.7,294.2,287.9,294.2,1735564
2016-01-25,294.0,295.4,291.5,294.3,1419738
2016-01-26,290.2,291.6,288.0,289.3,3205718
2016-01-27,290.3,291.04,286.8,290.0,1981897
2016-01-28,288.2,291.7,287.4,288.3,2488105
2016-01-29,291.1,299.0,289.4,299.0,2385005
2016-02-01,299.2,299.2,292.42,297.7,1539298
2016-02-02,296.3,297.4,289.9,290.5,2045663
2016-02-03,290.9,294.63,287.3,289.5,1716640
2016-02-04,295.9,298.2,287.6,289.7,2427499
2016-02-05,289.0,293.0,288.2,288.6,2349638
2016-02-08,289.7,289.9,279.5,280.9,2568099
2016-02-09,279.7,280.9,273.8,274.4,3163860
2016-02-10,277.0,282.0,276.8,279.5,1871880
2016-02-11,279.5,279.5,269.2,269.8,2834277
2016-02-12,274.0,276.3,270.39,275.8,2234017
2016-02-15,280.8,284.9,280.1,283.2,1369335
2016-02-16,287.0,288.6,282.0,283.0,1758226
2016-02-17,283.5,289.7,283.5,289.7,1882946
2016-02-18,290.0,290.6,287.4,288.5,1445789
2016-02-19,288.9,290.0,285.9,289.3,1539624
2016-02-22,290.8,291.8,288.4,288.9,854396
2016-02-23,288.7,289.7,284.2,285.1,1639980
2016-02-24,282.6,283.2,276.6,277.0,1897736
2016-02-25,278.5,282.7,275.8,281.7,1838485
2016-02-26,286.6,290.0,285.0,288.3,2348609
2016-02-29,294.1,300.3,288.9,300.2,5252961
2016-03-01,299.8,303.7,298.8,299.0,3027027
2016-03-02,302.0,303.25,295.9,298.0,2483324
2016-03-03,300.2,301.4,297.5,298.6,1205016
2016-03-04,299.8,302.6,298.4,301.8,1950972
2016-03-07,301.4,303.5,298.2,298.7,1909014
2016-03-08,297.0,299.7,295.2,297.2,1200266
2016-03-09,297.1,299.0,295.0,295.5,1164636
2016-03-10,300.4,307.0,296.6,299.8,3060018
2016-03-11,303.7,305.0,302.5,304.7,1872754
2016-03-14,304.5,312.8,304.5,310.6,2149158
2016-03-15,310.0,312.0,309.2,311.1,1143112
2016-03-16,312.5,313.5,309.6,310.0,1523553
2016-03-17,313.0,316.5,310.0,315.5,2300209
2016-03-18,317.6,318.9,314.9,316.8,3666809
2016-03-21,315.1,320.8,314.4,319.4,1545586
2016-03-22,318.1,323.9,315.7,317.1,1738371
2016-03-23,315.9,320.2,314.7,316.6,1243164
2016-03-24,314.1,317.0,310.4,310.4,1769719
2016-03-29,313.9,315.9,311.5,313.0,1382920
2016-03-30,315.7,318.5,315.3,315.7,1477305
2016-03-31,312.0,317.5,311.4,313.0,2279527
2016-04-01,310.3,312.7,308.5,311.7,1926437
2016-04-04,310.5,315.5,310.5,313.0,1582890
2016-04-05,310.3,313.0,308.7,310.7,1673116
2016-04-06,311.0,315.44,310.7,313.5,1471500
2016-04-07,313.4,315.1,309.1,309.9,1224851
2016-04-08,311.0,317.0,311.0,315.9,1214483
2016-04-11,314.5,317.9,313.3,317.2,1352565
2016-04-12,309.6,311.8,307.7,311.8,2452226
2016-04-13,314.2,319.9,313.2,318.0,2089968
2016-04-14,311.4,311.9,307.0,307.4,1982650
2016-04-15,306.9,308.3,296.5,296.5,3512962
2016-04-18,295.1,296.6,293.0,293.3,2086398
2016-04-19,293.0,300.4,293.0,298.3,2838444
2016-04-20,295.8,302.0,293.83,298.7,1814292
2016-04-21,298.1,300.2,294.2,295.0,1949141
2016-04-22,295.1,295.1,289.7,290.5,1472656
2016-04-25,291.1,297.2,291.1,296.9,2291139
2016-04-26,297.3,306.4,297.3,306.3,3404909
2016-04-27,304.6,307.4,304.5,306.0,1898440
2016-04-28,308.0,312.9,307.2,311.4,2738942
2016-04-29,308.5,310.6,304.3,304.3,2614401
2016-05-03,304.2,305.0,298.6,298.6,1944208
2016-05-04,299.0,299.8,293.2,293.3,2207199
2016-05-05,294.9,297.8,292.7,294.5,1876858
2016-05-06,294.4,297.9,292.6,296.9,1571432
2016-05-09,300.0,301.0,297.7,299.0,1324072
2016-05-10,299.9,302.9,295.0,297.1,1408347
2016-05-11,295.7,296.6,290.9,292.1,1450641
2016-05-12,290.7,292.3,286.2,290.3,2301633
2016-05-13,290.1,292.7,287.3,292.7,2175620
2016-05-16,290.0,293.3,287.7,293.1,2117876
