Date,Open,High,Low,Close,Volume
2016-01-04,1127.0,1133.0,1109.0,1115.0,987514
2016-01-05,1121.0,1132.0,1109.0,1116.0,718351
2016-01-06,1109.0,1114.0,1100.3,1111.0,615687
2016-01-07,1092.0,1109.0,1078.0,1109.0,978517
2016-01-08,1113.0,1118.0,1106.0,1106.0,703109
2016-01-11,1104.0,1114.0,1087.0,1107.0,976105
2016-01-12,1101.0,1112.28,1097.0,1110.0,1378741
2016-01-13,1119.0,1131.75,1109.0,1111.0,970209
2016-01-14,1100.0,1100.0,1054.0,1055.0,1552829
2016-01-15,1055.0,1068.0,1024.0,1032.0,1628089
2016-01-18,1028.0,1052.0,1028.0,1040.0,1157060
2016-01-19,1056.0,1061.0,1048.0,1054.0,1043636
2016-01-20,1038.0,1044.0,1022.0,1030.0,1159256
2016-01-21,1032.0,1040.0,1013.44,1036.0,1144894
2016-01-22,1049.0,1077.0,1045.0,1073.0,1450433
2016-01-25,1079.0,1083.0,1056.0,1070.0,986002
2016-01-26,1056.0,1069.0,1053.0,1065.0,734846
2016-01-27,1067.0,1071.0,1060.0,1071.0,1143811
2016-01-28,1069.0,1072.0,1044.0,1046.0,898121
2016-01-29,1062.0,1100.0,1056.0,1100.0,1744592
2016-02-01,1104.0,1118.0,1097.0,1116.0,1159487
2016-02-02,1111.0,1120.75,1086.0,1089.0,926262
2016-02-03,1081.0,1089.0,1072.0,1082.0,934904
2016-02-04,1098.0,1098.0,1065.0,1082.64,895254
2016-02-05,1067.0,1079.0,1018.0,1020.0,1649055
2016-02-08,1017.0,1060.67,946.5,948.5,2414933
2016-02-09,949.5,967.71,934.5,948.0,1690000
2016-02-10,955.0,985.5,938.0,969.5,1963567
2016-02-11,964.5,969.12,932.0,932.0,1591141
2016-02-12,941.0,948.5,929.5,946.5,1030716
2016-02-15,961.0,976.0,953.5,968.5,938406
2016-02-16,971.5,987.0,963.5,971.5,1128996
2016-02-17,972.0,1002.0,965.0,992.5,784955
2016-02-18,993.5,1003.0,993.5,998.0,782194
2016-02-19,996.5,1004.0,992.0,999.0,688647
2016-02-22,1005.0,1018.0,1005.0,1015.0,443267
2016-02-23,1009.0,1012.58,982.0,991.0,1213588
2016-02-24,983.5,994.0,965.0,967.0,1061746
2016-02-25,974.5,994.0,974.5,989.5,1031343
2016-02-26,1002.0,1002.0,967.5,980.5,1159752
2016-02-29,979.5,991.5,974.0,979.5,1246473
2016-03-01,980.5,991.5,973.0,989.0,841324
2016-03-02,988.5,988.5,959.5,966.0,1161733
