Date,Open,High,Low,Close,Volume
2016-01-04,547.16,549.83,538.8,547.39,530891
2016-01-05,549.05,554.04,544.0,551.96,364065
2016-01-06,547.3,556.74,543.05,553.24,504030
2016-01-07,545.46,556.55,536.36,536.9,588952
2016-01-08,539.66,543.16,533.01,536.54,337476
2016-01-11,540.56,547.27,530.79,539.58,460293
2016-01-12,544.66,547.13,535.0,542.12,305429
2016-01-13,562.44,572.01,544.36,545.14,944648
2016-01-14,549.29,557.47,538.13,555.77,582101
2016-01-15,540.24,558.0,539.94,557.25,588052
2016-01-19,558.54,566.35,552.53,556.49,532490
2016-01-20,552.34,561.79,538.02,554.56,517427
2016-01-21,556.51,559.9,541.63,555.6,669198
2016-01-22,568.88,580.0,555.95,566.11,747476
2016-01-25,563.88,570.6,556.75,558.22,459951
2016-01-26,550.0,554.99,541.93,545.24,439121
2016-01-27,546.24,547.56,531.97,534.02,365191
2016-01-28,535.65,538.86,520.5,526.59,441651
2016-01-29,527.59,541.24,527.59,540.85,467175
2016-02-01,539.0,546.35,537.66,543.16,328059
2016-02-02,539.42,544.88,534.08,539.35,234735
2016-02-03,543.48,545.31,532.5,545.1,317161
2016-02-04,543.65,553.95,539.42,551.93,424498
2016-02-05,551.0,554.43,533.95,536.24,643098
2016-02-08,530.56,530.56,502.04,507.28,644239
2016-02-09,507.14,520.5,502.01,508.82,446195
2016-02-10,510.04,528.92,510.04,524.41,341772
2016-02-11,514.33,525.0,514.33,521.55,338236
2016-02-12,523.15,534.52,517.21,531.28,218087
2016-02-16,536.0,536.0,525.64,535.16,332785
2016-02-17,535.54,542.5,532.0,541.86,313171
2016-02-18,540.86,544.93,538.1,542.62,248475
2016-02-19,538.65,547.05,530.46,546.34,261179
2016-02-22,549.0,552.0,543.4,551.51,249381
2016-02-23,547.15,553.0,544.1,548.9,233587
2016-02-24,544.01,554.98,544.01,553.65,369768
2016-02-25,555.0,559.78,546.45,559.28,436325
2016-02-26,560.0,570.11,557.0,567.47,673665
2016-02-29,566.47,569.87,562.46,563.06,469831
2016-03-01,564.23,574.5,561.39,571.49,517964
2016-03-02,567.37,574.5,567.33,573.81,552251
2016-03-03,570.01,576.0,568.33,574.04,327528
2016-03-04,574.46,575.96,568.21,570.65,365051
2016-03-07,570.45,576.37,565.02,572.69,312858
2016-03-08,568.31,572.8,565.61,566.86,271146
2016-03-09,570.03,573.57,565.05,572.9,306834
2016-03-10,571.9,574.72,566.9,573.7,271779
2016-03-11,575.0,584.3,573.22,580.45,333361
2016-03-14,580.06,595.98,575.18,593.07,514782
2016-03-15,587.13,594.71,583.36,587.4,504970
2016-03-16,582.81,594.23,582.68,587.38,343836
2016-03-17,588.54,590.0,561.02,562.35,582708
2016-03-18,565.99,583.52,562.6,583.05,635662
2016-03-21,582.0,589.21,577.5,582.99,381009
2016-03-22,579.62,591.85,577.4,591.03,366837
2016-03-23,591.23,595.98,586.15,586.33,278334
2016-03-24,583.32,584.07,575.82,583.31,319903
2016-03-28,585.7,586.78,580.46,584.17,205273
2016-03-29,583.15,604.0,582.0,603.07,340156
2016-03-30,607.75,607.75,594.03,598.28,294082
2016-03-31,599.28,605.48,595.19,601.05,221045
2016-04-01,595.19,606.54,591.04,606.5,457144
2016-04-04,607.5,627.94,603.28,622.06,508810
2016-04-05,617.52,619.25,609.36,612.92,318500
2016-04-06,611.92,628.54,611.92,626.12,377431
2016-04-07,625.88,625.88,609.02,614.78,268194
2016-04-08,620.93,626.8,615.17,619.77,260182
2016-04-11,623.04,626.92,618.8,620.2,229540
2016-04-12,626.4,629.37,619.45,625.51,291432
2016-04-13,626.85,630.67,622.25,627.01,329519
2016-04-14,627.01,628.6,622.0,623.09,160796
2016-04-15,624.48,627.99,620.03,624.22,285220
2016-04-18,624.57,629.2,621.37,626.98,372183
2016-04-19,627.0,627.69,617.23,623.71,634473
2016-04-20,644.97,654.88,641.94,644.56,697395
2016-04-21,643.56,648.86,639.08,641.91,247015
2016-04-22,631.5,640.0,627.9,638.15,418861
2016-04-25,632.92,642.33,632.54,638.74,311145
2016-04-26,640.0,640.0,630.32,632.5,297095
2016-04-27,633.68,636.73,627.11,633.01,248666
2016-04-28,627.84,644.91,627.84,631.5,372035
2016-04-29,627.0,628.61,620.0,626.36,281938
2016-05-02,627.78,635.38,626.23,633.36,237128
2016-05-03,626.77,629.81,615.02,618.63,345491
2016-05-04,615.63,619.49,611.93,615.15,263622
2016-05-05,617.71,619.3,612.69,615.32,360476
2016-05-06,613.89,619.77,611.23,618.96,396647
2016-05-09,617.13,629.0,617.13,623.86,373874
2016-05-10,626.15,629.03,620.97,626.56,251682
2016-05-11,627.49,629.47,624.4,627.69,217424
2016-05-12,629.48,633.72,622.0,633.3,382960
2016-05-13,634.02,637.49,626.65,628.81,225800
2016-05-16,629.1,638.99,628.0,635.27,220965
2016-05-17,634.27,635.53,618.52,621.38,353229
2016-05-18,621.82,630.54,613.08,625.21,412364
2016-05-19,621.38,625.65,618.28,623.79,257787
2016-05-20,624.88,635.29,621.7,632.58,390651
2016-05-23,631.59,632.12,624.45,628.65,220210
2016-05-24,633.12,639.87,628.93,638.67,326005
2016-05-25,638.53,644.81,638.08,643.04,237383
2016-05-26,640.37,644.17,636.0,637.2,324796
2016-05-27,639.99,643.43,634.29,636.65,241540
2016-05-31,639.13,639.9,631.86,634.71,620153
2016-06-01,632.25,639.02,627.49,637.69,290005
2016-06-02,630.96,640.0,630.01,639.44,278354
2016-06-03,639.41,639.54,632.57,636.84,246909
2016-06-06,636.53,638.72,631.37,635.62,157198
2016-06-07,635.01,637.04,631.67,635.89,162412
2016-06-08,637.21,646.0,636.08,642.88,326502
2016-06-09,639.23,651.58,637.15,648.2,301073
2016-06-10,641.72,645.45,636.75,641.59,196651
2016-06-13,637.24,648.5,637.24,644.1,280508
2016-06-14,641.49,646.6,640.67,644.99,207629
2016-06-15,646.6,648.77,641.75,645.11,321259
2016-06-16,646.1,646.1,635.38,643.53,244265
2016-06-17,644.46,646.98,638.4,641.74,409044
2016-06-20,648.42,651.42,645.91,648.08,198123
2016-06-21,648.24,651.0,643.1,645.17,220519
2016-06-22,645.8,652.0,645.22,651.45,251269
2016-06-23,654.15,661.94,651.97,661.32,292638
2016-06-24,643.05,652.43,642.28,644.82,593229
2016-06-27,642.04,642.52,625.42,629.9,406875
2016-06-28,632.99,640.0,630.47,638.61,275079
2016-06-29,641.3,659.37,640.01,657.72,367848
2016-06-30,657.72,663.5,655.03,661.41,330632
2016-07-01,661.57,667.49,659.03,666.31,246008
2016-07-05,664.87,668.33,661.67,664.67,229274
2016-07-06,665.01,673.74,663.01,670.44,292740
2016-07-07,668.99,676.08,668.18,675.3,191102
2016-07-08,678.53,680.5,673.86,678.84,213819
2016-07-11,681.26,681.59,673.03,673.7,276975
2016-07-12,678.11,678.78,673.51,675.31,281644
2016-07-13,678.65,678.65,672.51,672.84,206902
2016-07-14,678.48,680.91,672.95,675.6,214123
2016-07-15,678.38,678.77,668.16,670.38,338191
2016-07-18,672.91,673.89,670.08,670.54,261749
2016-07-19,667.79,675.81,665.12,671.9,456418
2016-07-20,712.08,720.0,700.22,703.05,1160040
2016-07-21,696.0,700.81,688.78,690.95,450174
2016-07-22,688.43,689.82,680.65,689.37,463112
2016-07-25,686.45,691.1,684.61,686.37,284515
2016-07-26,688.96,691.21,685.24,686.62,218865
2016-07-27,686.3,691.6,681.08,683.08,286154
2016-07-28,683.8,691.22,683.78,690.09,257066
2016-07-29,690.0,697.14,689.05,695.76,274901
2016-08-01,693.97,700.0,692.32,693.87,287633
2016-08-02,694.87,694.87,685.31,690.49,173106
2016-08-03,692.15,693.91,686.04,687.73,192007
2016-08-04,688.39,696.88,684.0,693.59,225727
2016-08-05,694.54,695.96,690.67,693.33,163685
2016-08-08,692.33,694.01,689.8,692.84,131696
2016-08-09,694.82,700.65,694.61,696.68,189930
2016-08-10,696.7,697.46,690.94,693.24,136665
2016-08-11,694.21,697.99,691.82,695.54,173589
2016-08-12,693.05,693.05,688.5,690.92,182410
2016-08-15,692.64,697.2,691.0,692.99,130395
2016-08-16,691.01,691.01,685.41,686.04,139259
2016-08-17,687.64,687.64,679.1,682.9,175800
2016-08-18,680.39,687.4,680.39,685.62,137084
2016-08-19,685.69,689.21,682.46,687.67,144142
2016-08-22,688.01,692.87,686.95,692.25,154617
2016-08-23,695.0,698.99,693.01,695.96,206778
2016-08-24,694.86,697.46,683.99,685.59,154701
2016-08-25,685.0,689.69,682.62,686.45,121755
2016-08-26,688.43,691.64,682.63,685.29,233290
2016-08-29,685.48,690.37,683.3,687.55,357653
2016-08-30,687.89,689.21,681.39,687.53,145266
2016-08-31,689.45,689.53,683.16,686.42,149342
2016-09-01,686.86,691.25,683.35,689.69,208463
2016-09-02,693.44,693.45,687.83,688.37,142153
2016-09-06,689.99,693.24,681.54,693.12,172331
2016-09-07,690.01,694.9,689.06,690.07,166950
2016-09-08,687.8,692.63,686.14,691.15,172722
2016-09-09,685.12,686.04,676.03,676.22,214674
2016-09-12,675.35,684.18,673.77,683.39,215262
2016-09-13,677.71,681.84,670.78,672.23,298992
2016-09-14,672.76,677.5,670.96,673.12,219258
2016-09-15,670.85,687.97,670.5,684.19,304832
2016-09-16,687.07,687.82,682.16,686.37,382026
2016-09-19,691.74,695.5,690.61,693.55,203874
2016-09-20,696.18,700.94,694.71,698.87,281016
2016-09-21,698.24,704.0,694.11,703.06,320344
2016-09-22,708.21,719.06,705.85,718.2,339397
2016-09-23,718.0,718.0,709.1,710.22,247745
2016-09-26,708.19,710.0,704.05,707.24,276243
2016-09-27,709.0,720.94,707.01,720.19,284697
2016-09-28,719.82,723.34,714.43,717.77,223374
2016-09-29,724.0,724.0,712.47,719.99,274443
2016-09-30,717.97,727.13,717.35,724.83,325662
2016-10-03,721.56,723.84,714.85,717.94,175677
2016-10-04,717.98,721.15,712.98,716.62,187415
2016-10-05,716.75,720.73,714.68,718.1,149882
2016-10-06,716.63,719.01,714.15,716.19,194040
2016-10-07,719.99,719.99,713.23,718.04,133880
2016-10-10,718.76,727.25,718.76,724.61,138846
2016-10-11,724.13,724.13,706.38,710.3,236113
2016-10-12,712.0,713.23,708.72,710.93,171516
2016-10-13,708.95,715.8,707.14,713.44,260931
2016-10-14,718.58,718.58,710.7,714.91,211909
2016-10-17,715.28,718.88,708.12,709.44,263361
2016-10-18,716.94,723.31,710.01,721.73,518327
2016-10-19,705.65,705.86,680.5,681.58,1228185
2016-10-20,681.99,689.46,678.02,681.82,560180
2016-10-21,680.45,682.43,675.92,678.02,408523
2016-10-24,685.06,687.48,681.79,685.0,304162
2016-10-25,685.0,685.99,676.59,679.5,252320
2016-10-26,676.68,676.68,665.07,665.72,293810
2016-10-27,667.49,669.56,657.72,663.23,328602
2016-10-28,662.43,675.55,661.77,666.55,345356
2016-10-31,665.79,673.44,658.37,672.08,292779
2016-11-01,673.44,673.94,665.25,669.72,257628
2016-11-02,670.38,674.33,666.02,666.57,265563
2016-11-03,670.01,674.19,667.75,673.3,291914
2016-11-04,671.87,678.78,670.58,671.42,342505
2016-11-07,678.03,682.78,676.84,678.43,236317
2016-11-08,678.87,688.17,677.07,685.13,217141
2016-11-09,663.71,667.85,650.74,651.46,874526
2016-11-10,652.12,654.42,630.64,635.52,786973
2016-11-11,634.47,642.28,616.8,621.76,706391
2016-11-14,621.0,632.0,618.68,624.6,598341
2016-11-15,627.21,642.05,627.21,640.55,332416
2016-11-16,641.58,645.5,637.0,643.36,293520
2016-11-17,643.31,656.01,643.31,654.6,278992
2016-11-18,654.14,658.0,652.7,654.89,263369
2016-11-21,658.22,663.64,654.98,662.09,426259
2016-11-22,658.0,658.69,637.58,640.21,667426
2016-11-23,641.12,646.4,637.49,645.28,368882
2016-11-25,648.43,661.3,645.75,656.51,245395
2016-11-28,656.94,658.64,646.77,647.69,385862
2016-11-29,648.98,654.77,648.0,650.31,313401
2016-11-30,650.28,653.22,636.76,643.74,888418
2016-12-01,642.46,644.0,628.11,632.33,447606
2016-12-02,634.99,643.85,631.12,636.64,422719
2016-12-05,637.3,638.52,634.29,636.95,293792
2016-12-06,636.01,636.91,618.89,621.59,440508
2016-12-07,620.52,622.17,610.71,619.01,621275
2016-12-08,617.97,623.0,614.38,619.46,300942
2016-12-09,619.84,627.88,618.8,625.21,289802
2016-12-12,623.81,635.05,623.81,633.74,396422
2016-12-13,636.0,652.2,635.73,635.97,651494
2016-12-14,637.64,644.02,634.03,636.59,390955
2016-12-15,637.14,641.6,632.12,639.0,344409
2016-12-16,639.5,642.88,634.17,641.39,553623
2016-12-19,639.57,641.48,635.25,637.91,291381
2016-12-20,638.48,639.87,630.03,634.01,263842
2016-12-21,634.08,634.61,630.0,630.29,179267
2016-12-22,631.72,639.45,629.96,637.58,291734
2016-12-23,639.08,644.68,638.32,640.75,188785
2016-12-27,643.04,647.2,639.27,639.51,119389
2016-12-28,639.8,642.41,633.73,635.55,161162
2016-12-29,634.57,639.0,634.57,636.55,157622
2016-12-30,638.32,638.39,632.25,634.17,267259
2017-01-03,635.94,642.18,635.0,641.79,264491
2017-01-04,638.0,638.0,624.72,629.49,453909
2017-01-05,630.19,637.71,627.45,632.91,370195
2017-01-06,634.0,640.86,634.0,636.11,294523
2017-01-09,635.19,643.26,635.19,641.3,386485
2017-01-10,642.53,664.0,641.74,662.2,396557
2017-01-11,675.9,688.64,670.09,678.16,632038
2017-01-12,677.57,677.57,661.05,664.88,415734
2017-01-13,668.0,674.98,662.59,664.71,291282
2017-01-17,664.51,667.34,655.0,663.74,262387
2017-01-18,663.79,668.0,660.15,663.07,197277
2017-01-19,662.42,664.14,654.1,658.06,250330
2017-01-20,661.22,661.22,654.24,656.75,258082
2017-01-23,657.54,661.98,651.57,655.03,272376
2017-01-24,657.66,669.78,653.68,666.05,469731
2017-01-25,675.0,700.42,672.02,700.0,1134313
2017-01-26,696.31,699.0,684.43,687.56,553946
2017-01-27,684.38,695.26,682.14,691.29,421366
2017-01-30,687.4,690.45,683.66,690.13,312998
2017-01-31,688.23,697.54,684.56,692.69,385067
2017-02-01,690.05,698.0,687.98,697.02,358394
2017-02-02,693.14,700.99,691.04,700.16,349185
