Date,Open,High,Low,Close,Volume
2016-01-04,2745.0,2748.0,2714.0,2740.46,303351
2016-01-05,2761.0,2779.0,2728.0,2743.56,175721
2016-01-06,2736.0,2744.0,2693.0,2717.54,288635
2016-01-07,2656.0,2695.0,2629.0,2682.0,392810
2016-01-08,2682.0,2710.0,2658.0,2658.0,268869
2016-01-11,2658.0,2715.0,2653.0,2689.0,356858
2016-01-12,2690.0,2738.0,2675.0,2716.84,370873
2016-01-13,2753.0,2754.0,2735.0,2752.0,379784
2016-01-14,2722.0,2732.0,2680.0,2714.0,448243
2016-01-15,2713.0,2733.0,2632.0,2654.51,350124
2016-01-18,2652.0,2690.0,2643.0,2667.57,187305
2016-01-19,2696.0,2732.0,2692.0,2725.0,456947
2016-01-20,2686.0,2710.0,2675.0,2685.0,633517
2016-01-21,2689.0,2733.0,2689.0,2725.0,348534
2016-01-22,2765.0,2785.0,2754.0,2775.0,288394
2016-01-25,2795.0,2801.0,2771.0,2785.75,296376
2016-01-26,2741.0,2759.0,2719.12,2752.0,429840
2016-01-27,2755.0,2770.0,2733.0,2763.0,406213
2016-01-28,2730.0,2801.0,2715.0,2772.3,472662
2016-01-29,2807.0,2850.0,2782.0,2830.0,743691
2016-02-01,2840.0,2848.0,2775.0,2791.76,374594
2016-02-02,2795.0,2800.0,2756.0,2764.18,386745
2016-02-03,2762.0,2798.0,2739.0,2760.93,465035
2016-02-04,2799.0,2818.0,2757.0,2781.19,442254
2016-02-05,2805.0,2834.0,2776.0,2782.0,410915
2016-02-08,2796.0,2799.0,2708.0,2745.59,433364
2016-02-09,2720.0,2748.0,2659.0,2690.55,591020
2016-02-10,2689.0,2696.0,2650.0,2666.0,334204
2016-02-11,2653.0,2653.0,2569.0,2628.0,337660
2016-02-12,2646.0,2690.0,2643.0,2668.0,482554
2016-02-15,2702.0,2737.0,2702.0,2727.0,201036
2016-02-16,2738.0,2784.0,2731.0,2767.0,250380
2016-02-17,2767.0,2915.0,2767.0,2906.0,604399
2016-02-18,2924.0,2936.0,2888.0,2915.29,384487
2016-02-19,2904.0,2921.0,2866.0,2891.0,295643
2016-02-22,2911.0,2941.0,2904.0,2913.0,265795
2016-02-23,2895.0,2897.0,2796.0,2831.0,608322
2016-02-24,2836.0,2892.0,2832.0,2881.0,834201
2016-02-25,2918.0,2967.0,2887.0,2954.0,499452
2016-02-26,2982.0,2988.0,2916.0,2925.0,392626
2016-02-29,2919.0,2935.0,2888.0,2922.0,675941
2016-03-01,2907.0,3030.0,2907.0,3004.0,606252
2016-03-02,3000.0,3015.0,2858.0,3007.76,900581
2016-03-03,2891.0,3043.0,2890.0,3011.0,931567
2016-03-04,3012.0,3132.0,3003.0,3092.0,848292
2016-03-07,3084.0,3143.14,3078.0,3112.0,708071
2016-03-08,3094.0,3128.0,3051.0,3060.0,581393
2016-03-09,3070.0,3070.0,3024.0,3041.0,550386
2016-03-10,3041.0,3054.0,2992.0,2999.0,574259
2016-03-11,3041.0,3076.0,3025.0,3062.0,420032
2016-03-14,3084.0,3127.0,3062.0,3097.0,358386
2016-03-15,3091.0,3098.0,3065.0,3087.0,317918
2016-03-16,3089.0,3108.0,3074.0,3095.0,332294
2016-03-17,3122.0,3122.0,3070.0,3111.0,404454
2016-03-18,3121.0,3160.0,3120.0,3152.0,738462
2016-03-21,3138.0,3144.0,3106.0,3113.0,326368
2016-03-22,3108.0,3128.0,3079.0,3126.0,372828
2016-03-23,3120.0,3144.0,3111.0,3142.0,311976
2016-03-24,3125.0,3160.0,3116.0,3122.0,238232
2016-03-29,3130.0,3174.0,3124.0,3172.0,262554
2016-03-30,3199.0,3202.0,3166.0,3181.0,346800
2016-03-31,3167.0,3188.0,3163.0,3167.0,354398
2016-04-01,3151.0,3189.0,3131.0,3170.0,288453
2016-04-04,3166.0,3207.0,3153.0,3192.0,257542
2016-04-05,3171.0,3199.0,3142.0,3197.0,435990
2016-04-06,3201.0,3229.0,3182.0,3229.0,433452
2016-04-07,3234.0,3237.0,3184.0,3197.0,352049
2016-04-08,3194.0,3233.0,3182.0,3230.0,252637
2016-04-11,3219.0,3225.0,3133.0,3162.0,403329
2016-04-12,3162.0,3162.0,3084.0,3150.0,469097
2016-04-13,3171.0,3206.0,3168.89,3189.0,421202
2016-04-14,3194.0,3203.0,3158.0,3163.0,340739
2016-04-15,3166.0,3166.0,3134.0,3163.0,421405
2016-04-18,3140.0,3185.0,3136.0,3172.0,307492
2016-04-19,3171.0,3230.0,3156.0,3230.0,419919
2016-04-20,3230.0,3335.0,3223.0,3306.0,769979
2016-04-21,3302.0,3317.0,3269.0,3315.0,489436
2016-04-22,3300.0,3305.0,3281.0,3288.0,365997
2016-04-25,3294.0,3337.0,3289.0,3326.0,424620
2016-04-26,3338.0,3348.0,3309.0,3321.0,357566
2016-04-27,3307.0,3325.0,3289.0,3301.0,340086
2016-04-28,3291.0,3300.0,3249.0,3295.0,298401
2016-04-29,3266.0,3297.0,3244.0,3257.0,312588
2016-05-03,3256.0,3320.0,3247.0,3292.0,479136
2016-05-04,3285.0,3308.0,3274.0,3300.0,389568
2016-05-05,3303.0,3309.0,3283.0,3301.0,157811
