Date,Open,High,Low,Close,Volume
2016-01-04,275.4,275.4,268.9,269.8,5505314
2016-01-05,272.5,274.8,269.97,270.9,6927038
2016-01-06,270.0,270.6,265.8,268.8,6588178
2016-01-07,263.5,268.0,261.8,268.0,11658343
2016-01-08,268.8,273.4,266.5,266.5,10907689
2016-01-11,265.3,268.8,264.0,266.1,6378288
2016-01-12,266.1,273.3,265.4,269.2,8439255
2016-01-13,271.0,272.2,267.0,269.13,7340617
2016-01-14,264.9,265.2,255.9,259.8,10752537
2016-01-15,259.8,262.0,255.4,259.4,10703163
2016-01-18,259.7,262.1,257.07,257.5,6746206
2016-01-19,262.3,265.4,259.86,262.8,9540900
2016-01-20,258.8,259.9,252.3,254.2,7353372
2016-01-21,250.4,254.9,249.78,253.9,10753329
2016-01-22,260.0,263.0,257.7,262.2,8828972
2016-01-25,264.7,265.45,261.3,262.9,4734898
2016-01-26,260.0,260.7,257.1,260.0,7896842
2016-01-27,261.1,266.7,257.5,266.7,7601148
2016-01-28,265.9,266.4,258.2,259.3,8905566
2016-01-29,263.9,266.8,260.8,266.8,11167237
2016-02-01,267.0,270.5,265.2,270.5,7606849
2016-02-02,271.8,272.9,266.4,268.1,9064674
2016-02-03,268.1,268.8,261.9,263.7,8923136
2016-02-04,267.2,267.8,262.1,264.5,7758032
2016-02-05,264.7,267.1,255.5,255.5,12317571
2016-02-08,257.4,257.4,235.58,237.0,18142267
2016-02-09,235.6,243.4,235.04,241.5,14681884
2016-02-10,244.3,246.84,239.7,242.3,10224244
2016-02-11,241.0,242.5,234.9,238.0,13269591
2016-02-12,240.4,241.7,237.7,241.1,9947222
2016-02-15,245.0,246.2,243.1,243.5,4601812
2016-02-16,244.7,245.1,240.9,244.9,8989353
2016-02-17,245.7,252.6,245.7,252.0,8088550
2016-02-18,253.4,254.3,248.5,249.6,7495588
2016-02-19,249.2,253.9,249.1,252.2,8219950
2016-02-22,255.2,256.8,252.2,252.2,3534821
2016-02-23,250.7,252.3,248.6,249.1,8435763
2016-02-24,248.2,253.4,246.6,247.5,11967701
2016-02-25,250.1,253.1,249.2,252.5,10063267
2016-02-26,251.8,255.3,250.0,252.0,9775178
2016-02-29,248.0,251.2,246.2,248.6,12704603
2016-03-01,246.7,255.31,246.5,249.6,11859970
2016-03-02,249.9,251.7,235.4,240.9,29848059
2016-03-03,241.0,241.4,231.6,232.6,17901572
2016-03-04,233.7,234.31,227.3,230.7,17159492
2016-03-07,229.4,236.8,229.2,233.9,16296004
2016-03-08,232.0,232.2,229.16,230.0,10886984
2016-03-09,231.2,234.4,228.1,232.0,11509166
2016-03-10,231.9,237.91,229.3,229.4,17174073
2016-03-11,232.1,235.1,230.9,234.4,9897328
2016-03-14,237.0,239.6,236.6,239.2,10688147
2016-03-15,238.2,242.4,238.0,241.7,13431785
2016-03-16,241.6,244.2,240.1,244.1,8769105
2016-03-17,244.6,245.4,240.0,242.5,8240914
2016-03-18,244.1,244.4,241.8,244.0,11589775
2016-03-21,242.7,244.0,239.98,240.9,6679014
2016-03-22,240.6,243.18,237.8,242.5,9198539
2016-03-23,241.7,245.2,241.1,242.8,7757403
2016-03-24,241.2,241.7,237.7,237.7,9032965
2016-03-29,239.9,243.3,239.2,243.3,8992280
2016-03-30,245.5,246.2,242.4,243.3,10518380
2016-03-31,243.4,243.4,240.2,241.2,11787484
2016-04-01,240.0,243.1,237.5,242.6,11265985
2016-04-04,242.6,243.7,241.6,243.7,7271759
2016-04-05,243.8,244.8,238.5,239.5,12862857
2016-04-06,240.7,242.95,238.5,242.2,7649738
2016-04-07,243.8,244.3,238.28,238.7,11388294
2016-04-08,240.1,241.6,238.0,238.4,8436162
2016-04-11,237.8,243.3,235.5,240.7,12757287
2016-04-12,240.8,241.1,236.9,239.0,8005538
2016-04-13,241.6,241.6,238.6,240.2,8794803
2016-04-14,239.9,243.9,239.36,243.7,10876113
2016-04-15,244.0,244.0,239.5,239.5,11364702
2016-04-18,238.7,241.2,237.0,237.3,9281345
2016-04-19,237.2,239.9,236.2,238.4,8814623
2016-04-20,238.5,238.5,230.2,233.5,15936597
2016-04-21,233.7,234.4,227.1,227.5,12566284
2016-04-22,226.0,227.6,225.4,226.6,11697611
2016-04-25,227.1,233.2,226.64,232.0,12842785
2016-04-26,232.4,235.4,231.7,232.8,12602374
2016-04-27,234.0,237.4,233.2,233.8,14567542
2016-04-28,219.7,225.6,217.73,225.6,22514610
2016-04-29,224.6,225.7,223.6,225.2,16140597
2016-05-03,226.4,229.5,225.4,228.0,19408141
2016-05-04,227.7,230.3,224.8,225.1,14834374
2016-05-05,225.8,226.94,220.74,223.1,12257331
2016-05-06,222.8,222.8,215.55,216.7,16849165
2016-05-09,217.9,221.5,217.37,220.6,13916741
2016-05-10,220.4,220.8,217.3,218.3,12945163
2016-05-11,218.8,218.8,214.8,215.3,12052392
2016-05-12,220.2,220.9,206.5,210.0,25950247
2016-05-13,209.1,210.24,202.2,204.9,26573335
2016-05-16,202.8,205.1,201.64,204.6,10001686
2016-05-17,208.2,210.1,206.2,206.4,12550582
2016-05-18,205.6,206.5,203.7,205.5,13945358
2016-05-19,204.4,208.3,203.5,207.5,17674649
2016-05-20,209.4,225.59,208.6,212.8,18701390
2016-05-23,213.3,213.7,211.2,212.0,10758482
2016-05-24,210.4,217.3,208.4,216.7,13877460
2016-05-25,219.0,220.2,216.8,217.6,12998455
2016-05-26,216.8,219.0,214.7,218.8,7407420
2016-05-27,218.7,221.3,218.3,220.5,12928347
2016-05-31,220.2,220.6,214.8,214.8,27466194
2016-06-01,215.1,215.1,210.7,210.7,14271385
2016-06-02,210.6,212.6,210.3,212.5,10560196
2016-06-03,212.8,214.5,211.5,213.5,10840151
2016-06-09,208.3,210.5,207.3,208.6,8703729
2016-06-10,208.0,209.1,204.75,205.4,11314986
2016-06-13,203.9,205.7,201.9,201.9,14239859
2016-06-14,200.7,200.82,196.6,196.7,14269567
2016-06-15,198.0,200.2,196.9,198.0,11736745
2016-06-16,196.0,203.9,194.99,198.5,11453311
2016-06-17,200.0,204.4,200.0,204.0,20166069
2016-06-20,209.0,212.7,207.7,212.7,16695714
2016-06-21,211.1,213.36,210.2,210.9,13133065
2016-06-22,212.2,216.1,210.3,214.5,11214117
2016-06-23,216.6,219.8,214.5,219.2,15647967
2016-06-24,143.0,187.35,141.0,174.4,81678269
2016-06-27,170.0,173.9,152.8,154.0,63098493
2016-06-28,160.6,166.3,159.8,166.0,42009493
2016-06-29,171.0,178.64,168.1,177.7,40292985
2016-06-30,175.7,180.5,172.07,179.7,31248611
2016-07-01,181.3,183.3,177.8,180.9,15777798
2016-07-04,182.4,183.8,174.4,175.1,11603863
2016-07-05,174.1,176.52,168.7,168.9,19110180
2016-07-06,168.3,173.1,168.1,170.2,19142529
2016-07-07,172.5,177.66,171.3,175.0,15166505
2016-07-08,174.7,182.2,174.0,180.8,15892740
2016-07-11,183.0,188.3,177.8,185.7,27391632
2016-07-12,188.0,192.23,187.7,190.7,15958797
2016-07-13,190.3,190.8,184.8,184.9,15273166
2016-07-14,185.5,187.4,181.2,186.7,19357302
2016-07-15,187.2,189.9,185.3,188.5,13115384
2016-07-18,189.9,193.5,185.8,190.6,11057631
2016-07-19,190.1,190.8,184.57,185.9,14024840
2016-07-20,187.1,188.3,183.2,187.7,14379632
2016-07-21,186.7,192.0,186.1,189.9,12449019
2016-07-22,189.4,190.2,186.8,188.1,11730348
2016-07-25,189.0,190.9,187.7,189.1,9137236
2016-07-26,187.8,188.4,181.8,184.8,18364299
2016-07-27,192.2,203.5,191.3,197.3,21246289
2016-07-28,200.7,201.2,194.7,195.2,16605125
2016-07-29,196.2,197.8,194.0,196.0,15803138
2016-08-01,197.7,198.3,191.27,193.6,12572093
2016-08-02,192.7,195.3,191.2,194.9,14463927
2016-08-03,195.6,195.6,191.43,195.0,12056796
2016-08-04,194.4,199.63,189.1,197.4,12828431
2016-08-05,197.7,200.6,197.3,199.0,9426855
2016-08-08,200.2,202.84,199.3,199.5,7978331
2016-08-09,200.0,201.28,197.99,198.7,10345709
2016-08-10,198.1,201.5,195.0,200.5,12094621
2016-08-11,201.9,201.9,194.8,197.3,11947419
2016-08-12,197.4,200.96,195.2,200.0,9412647
2016-08-15,200.7,200.82,197.3,199.2,7210312
2016-08-16,198.1,199.39,195.9,195.9,6412061
2016-08-17,196.6,196.6,194.2,195.4,5919017
2016-08-18,197.3,198.6,195.7,196.9,5581497
2016-08-19,197.1,197.1,194.3,195.6,6490185
2016-08-22,195.0,197.71,194.0,195.0,6747500
2016-08-23,196.9,198.61,194.22,196.5,6948372
2016-08-24,195.6,201.8,194.85,201.8,8232125
2016-08-25,200.5,207.3,199.4,202.8,15682660
2016-08-26,202.6,203.8,201.1,201.8,8303653
2016-08-30,202.2,204.4,200.1,200.5,9115509
2016-08-31,200.6,203.1,198.6,200.7,9884327
2016-09-01,200.4,208.41,199.9,205.5,13802810
2016-09-02,206.7,210.0,204.8,209.1,14828702
2016-09-05,210.3,210.3,207.1,207.5,5785607
2016-09-06,208.0,209.6,206.58,206.6,8079225
2016-09-07,206.3,207.0,204.4,205.2,10524163
2016-09-08,205.1,206.8,204.3,205.5,10690518
2016-09-09,204.4,206.09,202.4,202.9,7545453
2016-09-12,199.7,200.67,195.88,196.4,11830251
2016-09-13,196.8,198.0,194.3,196.9,10315697
2016-09-14,197.9,199.84,194.9,197.2,14280614
2016-09-15,196.3,198.3,195.4,198.3,7926865
2016-09-16,197.5,199.1,192.1,193.1,19544013
2016-09-19,195.3,196.6,193.09,194.1,9224389
2016-09-20,194.0,198.09,192.5,197.0,10157036
2016-09-21,198.7,199.2,194.1,194.8,10111521
2016-09-22,195.6,195.9,192.07,194.2,8300483
2016-09-23,194.1,194.1,186.6,186.7,19411503
2016-09-26,185.3,186.1,181.0,183.4,15199624
2016-09-27,184.7,185.4,181.5,183.7,10899958
2016-09-28,185.3,188.0,185.2,186.6,7083616
2016-09-29,187.2,188.5,184.0,184.6,8501681
2016-09-30,182.8,187.75,182.0,187.2,13207233
2016-10-03,186.3,186.9,183.5,183.8,11459122
2016-10-04,184.3,188.3,184.1,185.7,23424217
2016-10-05,186.0,187.8,183.7,183.7,11342210
2016-10-06,185.5,186.9,184.0,184.0,12029537
2016-10-07,184.0,186.22,173.3,175.1,24681760
2016-10-10,176.3,176.3,172.7,173.5,18217841
2016-10-11,172.3,178.6,172.3,177.6,15009755
2016-10-12,178.1,178.5,175.18,175.9,10106582
2016-10-13,175.8,176.2,170.8,172.7,14355130
2016-10-14,171.8,175.9,171.6,172.5,13607844
2016-10-17,172.8,174.93,172.41,173.7,12251209
2016-10-18,175.0,180.72,173.0,178.9,13219059
2016-10-19,178.7,181.15,177.4,179.8,12759493
2016-10-20,179.8,180.5,171.85,173.2,17271008
2016-10-21,172.5,172.9,169.0,171.0,15529721
2016-10-24,173.1,175.7,171.9,171.9,15367235
2016-10-25,172.0,173.34,170.2,170.3,11514799
2016-10-26,170.0,170.5,165.95,167.4,16022993
2016-10-27,164.2,172.4,163.8,172.1,15930727
2016-10-28,169.8,173.2,168.22,172.0,14839126
2016-10-31,172.2,173.0,170.1,170.5,10627652
2016-11-01,171.4,172.72,170.01,170.7,10448614
2016-11-02,170.0,170.91,168.4,168.8,10220202
2016-11-03,168.2,173.4,167.4,171.1,18932604
2016-11-04,170.3,170.5,167.4,168.0,16692478
2016-11-07,170.2,171.6,166.8,166.9,20391843
2016-11-08,167.4,168.4,164.7,165.8,13946334
