Date,Open,High,Low,Close,Volume
2016-01-04,71.85,72.28,70.58,71.32,826349
2016-01-05,71.35,72.15,71.08,72.06,999279
2016-01-06,70.99,71.73,70.48,70.92,596111
2016-01-07,69.87,69.93,68.42,68.92,843256
2016-01-08,68.98,69.51,68.05,68.19,810752
2016-01-11,68.87,69.42,66.97,67.35,1358236
2016-01-12,69.09,70.41,67.36,67.71,1896273
2016-01-13,67.9,70.49,65.41,65.73,1428218
2016-01-14,66.25,66.75,64.6,65.56,2219982
2016-01-15,64.02,65.52,63.58,65.19,2030027
2016-01-19,66.03,66.26,64.54,65.27,1224081
2016-01-20,64.37,66.22,63.98,65.72,2022059
2016-01-21,67.99,68.63,66.01,66.99,2647586
2016-01-22,67.68,68.96,67.47,68.22,1682061
2016-01-25,68.69,69.87,68.02,68.83,1776905
2016-01-26,68.9,71.85,68.9,71.39,1655895
2016-01-27,71.48,72.29,69.58,69.97,1287679
2016-01-28,70.39,70.94,69.19,70.25,934610
2016-01-29,70.25,72.73,70.25,72.7,1342096
2016-02-01,72.05,73.44,71.98,73.3,1034565
2016-02-02,73.16,73.76,71.39,71.66,1098733
2016-02-03,72.03,72.62,71.07,72.3,844503
2016-02-04,72.27,75.18,72.27,75.02,1411798
2016-02-05,74.64,75.08,74.01,74.76,980168
2016-02-08,74.37,75.34,73.05,75.2,1149036
2016-02-09,74.53,76.07,74.5,75.12,954648
2016-02-10,75.39,76.41,73.13,73.29,1215642
2016-02-11,72.67,73.46,71.54,72.97,1047536
2016-02-12,73.84,74.68,73.77,74.43,1040594
2016-02-16,75.04,75.99,73.89,75.55,781278
2016-02-17,75.87,77.54,75.64,77.09,1059537
2016-02-18,77.09,77.61,76.6,77.36,1529900
2016-02-19,76.83,77.46,75.58,76.76,1268634
2016-02-22,77.79,78.81,77.01,77.33,749906
2016-02-23,77.27,77.51,76.0,76.14,680475
2016-02-24,75.7,76.09,74.46,75.8,748289
2016-02-25,75.98,77.18,75.64,77.15,648322
2016-02-26,77.5,78.57,77.39,78.05,678149
2016-02-29,78.06,78.08,76.29,76.29,913425
2016-03-01,76.63,78.07,76.54,77.69,837099
2016-03-02,77.72,78.1,77.0,77.32,627130
2016-03-03,77.42,78.72,77.42,78.52,658229
2016-03-04,78.65,80.12,77.7,79.39,673280
2016-03-07,78.74,80.0,78.55,79.95,1100996
2016-03-08,79.38,79.53,78.09,78.29,802754
2016-03-09,78.62,79.81,78.16,79.76,751669
2016-03-10,80.19,81.26,79.83,80.97,1286328
2016-03-11,81.34,82.45,80.07,82.36,1437841
2016-03-14,81.89,82.72,81.44,82.13,1211147
2016-03-15,81.78,81.85,81.12,81.73,715558
2016-03-16,81.32,82.81,81.32,82.42,590965
2016-03-17,82.48,84.61,82.15,84.46,944909
2016-03-18,84.66,86.88,83.59,86.71,1833546
2016-03-21,86.19,86.94,85.79,86.37,1031233
2016-03-22,86.01,86.89,85.6,85.72,518780
2016-03-23,85.56,86.41,84.89,86.03,659359
