Date,Open,High,Low,Close,Volume
2016-01-04,1031.0,1034.55,1017.0,1026.0,81423
2016-01-05,1037.0,1037.0,1012.0,1015.0,51480
2016-01-06,1014.0,1034.0,1014.0,1032.0,52338
2016-01-07,1014.0,1057.0,1014.0,1051.0,130552
2016-01-08,1058.0,1067.0,1025.72,1033.0,266620
2016-01-11,1028.0,1036.0,986.06,1012.0,253065
2016-01-12,1014.0,1022.0,1008.0,1017.1,135592
2016-01-13,1030.0,1067.0,1029.0,1052.5,357266
2016-01-14,1090.0,1140.5,1090.0,1114.0,258958
2016-01-15,1100.0,1149.0,1100.0,1133.0,458536
2016-01-18,1130.0,1134.0,1054.83,1078.0,178896
2016-01-19,1104.0,1104.0,1069.18,1089.0,229005
2016-01-20,1081.0,1090.0,1069.0,1082.0,146401
2016-01-21,1085.0,1089.0,1066.0,1089.0,167608
2016-01-22,1089.0,1100.0,1076.0,1097.0,185175
2016-01-25,1112.0,1141.36,1092.5,1136.0,157878
2016-01-26,1139.0,1139.0,1117.0,1135.0,105316
2016-01-27,1137.0,1149.0,1125.0,1143.0,135736
2016-01-28,1145.0,1145.0,1124.0,1125.0,58314
2016-01-29,1135.0,1144.0,1122.0,1144.0,73080
2016-02-01,1146.0,1153.0,1143.0,1150.0,108078
2016-02-02,1148.0,1165.0,1140.0,1163.93,215834
2016-02-03,1164.0,1164.0,1136.0,1142.0,151180
2016-02-04,1148.0,1148.0,1124.0,1127.0,86999
2016-02-05,1126.0,1142.0,1107.0,1128.5,92248
2016-02-08,1108.0,1112.05,1013.57,1038.67,141969
2016-02-09,1037.0,1042.0,1010.0,1030.0,166121
2016-02-10,1051.0,1074.0,1038.0,1045.0,109782
2016-02-11,1042.0,1047.0,1025.0,1035.0,71149
2016-02-12,1023.0,1059.0,1023.0,1057.0,90271
2016-02-15,1070.0,1089.0,1067.48,1079.0,61584
2016-02-16,1083.0,1083.0,1058.0,1070.0,78601
2016-02-17,1066.0,1101.0,1066.0,1087.0,80062
2016-02-18,1089.0,1124.0,1086.0,1102.0,68974
2016-02-19,1092.0,1126.0,1083.0,1116.0,103574
2016-02-22,1109.0,1136.0,1093.0,1096.0,91218
2016-02-23,1109.0,1122.0,1085.0,1117.95,64563
2016-02-24,1108.0,1124.0,1095.0,1108.0,88736
2016-02-25,1105.0,1135.0,1105.0,1128.0,57305
2016-02-26,1113.0,1139.0,1113.0,1134.5,59038
2016-02-29,1141.0,1151.0,1127.0,1143.49,85983
2016-03-01,1148.0,1160.0,1139.0,1145.0,70639
2016-03-02,1147.0,1150.0,1120.0,1121.0,76922
2016-03-03,1123.0,1152.0,1090.14,1136.75,138667
2016-03-04,1122.0,1160.0,1122.0,1150.0,92980
2016-03-07,1156.0,1171.37,1123.0,1125.0,93874
2016-03-08,1136.0,1144.0,1116.0,1143.56,75590
2016-03-09,1147.0,1167.44,1139.0,1151.0,79250
2016-03-10,1153.0,1166.0,1123.0,1129.0,111062
2016-03-11,1120.0,1140.0,1088.0,1138.0,121468
2016-03-14,1143.0,1152.0,1129.2,1144.0,91514
2016-03-15,1144.0,1147.0,1133.55,1143.0,113491
2016-03-16,1133.0,1150.0,1123.2,1150.0,111776
2016-03-17,1145.0,1155.0,1130.0,1150.0,109426
2016-03-18,1152.0,1156.0,1129.0,1129.0,505262
2016-03-21,1142.0,1142.0,1105.0,1137.0,112948
2016-03-22,1131.0,1146.0,1114.0,1138.0,88340
2016-03-23,1120.0,1143.0,1084.0,1106.0,153669
2016-03-24,1098.0,1133.0,1098.0,1112.0,121591
2016-03-29,1117.0,1123.0,1105.0,1114.0,200373
2016-03-30,1124.0,1133.0,1112.08,1130.0,105237
2016-03-31,1128.0,1130.56,1105.0,1126.0,87185
2016-04-01,1112.0,1133.0,1090.0,1114.0,124080
2016-04-04,1109.0,1135.28,1107.0,1121.0,140145
2016-04-05,1124.0,1139.0,1112.0,1124.0,134667
2016-04-06,1118.0,1155.0,1108.0,1151.0,214475
2016-04-07,1155.0,1155.0,1133.0,1144.69,99711
2016-04-08,1146.0,1161.0,1137.0,1141.0,151203
2016-04-11,1144.0,1148.04,1127.0,1143.0,147100
2016-04-12,1146.0,1153.0,1136.0,1143.0,106049
2016-04-13,1155.0,1165.0,1140.0,1161.0,241518
2016-04-14,1197.0,1219.16,1169.0,1184.5,630454
2016-04-15,1195.0,1205.83,1181.0,1202.0,265599
2016-04-18,1204.0,1218.0,1199.0,1212.0,292511
2016-04-19,1223.0,1224.0,1209.0,1216.0,277938
2016-04-20,1217.0,1226.5,1210.0,1222.0,411774
2016-04-21,1228.0,1232.0,1210.0,1232.0,211730
2016-04-22,1230.0,1235.0,1222.0,1226.0,153995
2016-04-25,1225.0,1235.0,1221.0,1231.0,135883
2016-04-26,1238.0,1245.0,1229.0,1239.0,239669
2016-04-27,1258.0,1258.0,1230.0,1241.5,349175
2016-04-28,1244.0,1258.0,1239.0,1258.0,186341
2016-04-29,1258.0,1258.0,1239.5,1249.0,103685
2016-05-03,1243.0,1259.0,1243.0,1251.0,179629
2016-05-04,1255.0,1259.0,1246.0,1255.0,113194
2016-05-05,1260.0,1265.0,1238.0,1263.5,89350
2016-05-06,1265.0,1270.0,1258.0,1265.0,108878
2016-05-09,1273.0,1279.0,1267.0,1275.0,72059
2016-05-10,1278.0,1278.1,1255.0,1267.0,125899
2016-05-11,1264.0,1273.0,1259.9,1263.0,56457
2016-05-12,1260.0,1265.0,1244.24,1253.0,143782
2016-05-13,1260.0,1278.0,1220.0,1260.0,238399
2016-05-16,1259.0,1263.0,1242.0,1254.0,68258
2016-05-17,1259.0,1270.0,1247.0,1254.0,101986
2016-05-18,1253.0,1292.0,1241.0,1281.0,133680
2016-05-19,1276.0,1277.4,1255.0,1256.0,118734
2016-05-20,1267.0,1277.0,1261.0,1272.0,127814
2016-05-23,1275.0,1290.0,1271.16,1282.0,72844
2016-05-24,1280.0,1300.0,1276.0,1300.0,115839
2016-05-25,1304.0,1307.09,1284.0,1285.0,145594
2016-05-26,1294.0,1305.0,1287.0,1300.2,125871
2016-05-27,1303.0,1306.0,1292.0,1296.0,93540
2016-05-31,1302.0,1320.0,1301.0,1314.25,1071208
2016-06-01,1321.0,1321.0,1293.0,1300.0,139057
2016-06-02,1298.0,1305.0,1287.0,1304.0,187537
2016-06-03,1303.0,1311.0,1295.0,1308.0,105592
2016-06-09,1312.0,1320.0,1304.39,1315.0,118032
2016-06-10,1319.0,1319.0,1288.0,1292.0,114481
2016-06-13,1286.0,1289.0,1263.03,1267.64,146947
2016-06-14,1280.0,1280.0,1200.0,1243.0,220742
2016-06-15,1247.0,1259.0,1239.74,1245.0,153249
2016-06-16,1237.0,1245.0,1220.0,1225.0,204778
2016-06-17,1234.0,1280.04,1213.15,1239.0,945870
2016-06-20,1260.0,1337.0,1253.9,1329.0,203784
2016-06-21,1327.0,1333.19,1305.81,1329.0,117966
2016-06-22,1328.0,1336.0,1314.6,1332.0,169257
2016-06-23,1332.0,1346.0,1317.0,1330.0,109428
2016-06-24,1177.0,1229.0,1050.0,1116.0,400482
2016-06-27,1116.0,1145.0,1025.05,1037.0,376608
2016-06-28,1064.0,1083.0,1042.0,1068.0,313133
2016-06-29,1081.0,1115.02,1071.0,1092.0,283612
2016-06-30,1098.0,1158.0,1083.0,1153.0,320583
2016-07-01,1164.0,1167.0,1133.0,1157.0,190048
2016-07-04,1152.0,1167.0,1133.88,1143.0,149497
2016-07-05,1141.0,1151.0,1069.16,1073.0,312805
2016-07-06,1066.0,1093.0,1042.1,1058.0,357175
2016-07-07,1057.0,1108.0,1057.0,1093.0,212959
2016-07-08,1085.0,1114.0,1081.4,1114.0,116341
2016-07-11,1132.0,1179.83,1124.4,1178.0,185755
2016-07-12,1185.0,1203.0,1166.0,1184.0,212190
2016-07-13,1185.0,1195.0,1161.0,1175.0,184343
2016-07-14,1175.0,1198.6,1171.0,1185.0,184442
2016-07-15,1164.0,1187.0,1164.0,1175.0,153660
2016-07-18,1174.0,1193.0,1173.0,1183.0,85553
2016-07-19,1177.0,1188.31,1171.72,1175.0,125661
2016-07-20,1175.0,1237.0,1170.0,1228.0,224556
2016-07-21,1237.0,1239.28,1198.0,1215.0,152772
