Date,Open,High,Low,Close,Volume
2016-01-04,325.7,327.5,320.4,321.9,3602943
2016-01-05,323.2,329.5,318.5,327.7,5549093
2016-01-06,333.0,338.0,327.5,338.0,8924188
2016-01-07,333.1,334.3,325.9,329.2,5803135
2016-01-08,331.3,334.7,329.2,330.9,5610465
2016-01-11,329.4,331.9,326.9,330.6,4004437
2016-01-12,332.7,341.56,331.3,336.5,4412492
2016-01-13,339.4,340.77,336.0,339.1,5473022
2016-01-14,335.4,335.4,329.3,334.2,5990850
2016-01-15,334.4,338.9,322.52,334.2,7426191
2016-01-18,334.1,335.3,327.1,327.5,5259631
2016-01-19,331.4,334.4,329.6,333.6,5151716
2016-01-20,328.0,329.34,323.6,325.7,5302909
2016-01-21,333.0,337.9,330.0,336.3,8366961
2016-01-22,342.6,346.9,340.0,345.0,6672885
2016-01-25,347.0,347.9,321.5,323.9,16470335
2016-01-26,321.3,321.5,312.1,317.4,11731068
2016-01-27,317.6,321.3,312.2,320.4,7972031
2016-01-28,318.6,325.9,315.9,319.8,7888282
2016-01-29,323.4,326.1,319.9,326.1,7819475
2016-02-01,326.7,330.3,320.5,324.5,5418799
2016-02-02,322.9,327.7,317.9,320.4,3951673
2016-02-03,320.1,324.6,315.8,316.3,7990569
2016-02-04,322.0,324.4,317.0,319.6,5320295
2016-02-05,321.5,329.6,321.1,323.5,7093952
2016-02-08,324.6,326.4,314.11,314.7,5293822
2016-02-09,317.2,324.9,315.7,320.6,6903986
2016-02-10,323.8,331.6,318.7,323.1,5185002
2016-02-11,321.0,321.8,314.7,318.1,4828408
2016-02-12,319.4,328.1,318.2,327.9,6251462
2016-02-15,333.6,334.5,328.5,331.2,4570610
2016-02-16,332.0,334.1,329.1,333.8,3707225
2016-02-17,334.2,340.8,334.2,340.3,4444223
2016-02-18,341.6,346.8,340.2,342.3,3600063
2016-02-19,342.5,342.7,338.8,342.1,2892114
2016-02-22,345.7,347.1,329.3,330.5,7613764
2016-02-23,327.6,333.3,326.27,330.3,4574960
2016-02-24,329.2,330.5,322.9,324.7,3484152
2016-02-25,329.2,332.2,328.0,332.2,3301813
2016-02-26,336.4,339.3,333.8,336.2,2731957
2016-02-29,335.1,336.5,332.0,334.3,4904667
2016-03-01,334.6,343.5,332.6,341.8,4071859
2016-03-02,344.2,346.3,339.36,342.6,4339998
2016-03-03,342.7,345.4,339.4,340.2,4914231
2016-03-04,340.7,343.8,339.4,342.4,4898723
2016-03-07,339.2,345.0,335.9,344.8,5467302
2016-03-08,342.4,346.8,340.9,344.2,3201431
2016-03-09,343.8,351.0,342.3,348.3,4175041
2016-03-10,350.0,350.0,338.8,339.3,5426167
2016-03-11,341.2,344.3,339.6,342.3,3807799
2016-03-14,343.7,351.7,343.01,350.5,2998384
2016-03-15,350.3,356.33,349.03,352.7,3966045
2016-03-16,353.2,356.5,353.2,355.0,3570903
2016-03-17,357.0,359.2,351.5,355.4,3664264
2016-03-18,355.5,358.2,351.4,352.6,7897380
2016-03-21,350.8,352.3,349.0,350.5,3384314
2016-03-22,348.9,352.7,345.9,350.6,4280813
2016-03-23,351.6,373.3,349.88,371.2,7870618
2016-03-24,368.8,375.5,365.1,372.7,7426230
2016-03-29,375.0,379.6,369.8,371.4,6325218
2016-03-30,374.0,377.9,370.2,377.4,5467985
2016-03-31,378.9,381.3,374.8,376.7,6888724
2016-04-01,372.6,378.9,369.8,378.6,5962664
2016-04-04,377.5,379.6,373.2,376.1,7712287
2016-04-05,373.8,377.2,372.9,373.5,4666732
2016-04-06,374.9,378.3,372.9,377.7,4810423
2016-04-07,379.1,382.7,376.4,379.7,5818425
2016-04-08,379.7,380.6,374.0,377.8,4824702
2016-04-11,376.7,378.7,374.9,377.2,3638385
2016-04-12,378.2,378.2,371.6,373.3,5080069
2016-04-13,377.2,378.3,370.5,372.7,5832775
2016-04-14,374.3,375.81,366.1,368.2,6157011
2016-04-15,367.1,367.5,357.3,357.3,13080723
2016-04-18,354.7,360.1,354.7,358.8,4272457
2016-04-19,358.9,365.0,355.9,363.4,6537167
2016-04-20,362.9,363.4,358.4,361.5,4631137
2016-04-21,361.0,363.7,359.3,361.4,4198823
2016-04-22,363.4,364.4,360.6,364.4,7035962
2016-04-25,363.9,366.1,362.7,365.4,4754078
2016-04-26,366.6,367.7,358.6,360.9,5702798
2016-04-27,360.5,370.4,360.5,370.3,5470817
2016-04-28,367.7,370.1,365.3,370.1,6906578
2016-04-29,368.1,368.8,362.7,363.9,6409396
2016-05-03,364.8,365.2,360.2,362.8,5901651
2016-05-04,363.5,364.5,357.6,361.6,5140508
