Date,Open,High,Low,Close,Volume
2016-01-04,71.38,72.85,71.35,72.7,5202423
2016-01-05,72.74,73.58,72.28,73.39,3858575
2016-01-06,72.2,73.68,72.03,73.53,3294730
2016-01-07,72.01,72.99,71.85,71.9,4050321
2016-01-08,72.19,72.47,71.1,71.18,3092105
2016-01-11,71.35,72.53,70.77,72.27,3329473
2016-01-12,72.85,73.35,72.13,73.23,2924618
2016-01-13,73.19,73.44,70.64,70.81,3357338
2016-01-14,70.96,71.53,70.3,70.74,4566353
2016-01-15,68.9,70.15,68.18,69.2,6522026
2016-01-19,70.01,70.52,69.55,70.17,5095783
2016-01-20,69.28,71.58,68.74,71.17,4605818
2016-01-21,72.0,73.33,71.33,73.05,6206613
2016-01-22,73.6,74.5,72.51,74.39,3111665
2016-01-25,73.7,74.67,73.34,74.03,4113091
2016-01-26,73.37,76.0,73.37,75.98,3850179
2016-01-27,75.87,77.15,75.15,75.97,5299788
2016-01-28,76.27,76.99,75.48,76.16,3542387
2016-01-29,76.9,78.22,76.4,78.06,4440879
2016-02-01,77.37,77.48,75.67,77.01,3545051
2016-02-02,75.97,76.8,75.72,75.97,5624525
2016-02-03,76.37,76.37,73.83,74.89,6239683
2016-02-04,75.04,75.2,72.92,74.15,7065145
2016-02-05,74.28,74.56,72.14,72.78,9278939
2016-02-08,72.09,72.2,70.18,71.22,4699257
2016-02-09,70.6,71.96,70.01,71.51,4610952
2016-02-10,72.07,73.3,71.71,72.11,2518521
2016-02-11,70.9,71.96,70.17,71.44,3018163
2016-02-12,72.2,72.45,71.02,71.92,2968378
2016-02-16,72.9,73.06,71.92,72.31,3800851
2016-02-17,73.0,74.39,72.5,74.24,3563414
2016-02-18,74.08,74.29,73.34,73.45,2666854
2016-02-19,72.9,73.69,72.83,73.52,4329956
2016-02-22,74.39,74.39,72.21,73.33,2915305
2016-02-23,73.1,73.49,72.56,72.82,2792646
2016-02-24,72.33,73.33,71.82,72.99,3526541
2016-02-25,73.41,74.98,73.33,74.96,4913084
2016-02-26,78.8,78.9,76.65,77.84,10318107
2016-02-29,77.28,78.0,76.93,77.02,4870164
2016-03-01,77.66,77.92,76.92,77.66,5442350
2016-03-02,77.61,77.8,76.12,77.49,5066180
2016-03-03,77.3,77.55,76.46,77.37,3239854
2016-03-04,77.91,77.92,76.26,77.2,3671675
2016-03-07,77.01,77.39,76.14,76.5,2574829
2016-03-08,76.01,77.15,75.94,76.29,2752439
2016-03-09,76.67,77.0,75.8,76.63,2627955
2016-03-10,76.98,77.15,75.55,76.22,2107224
2016-03-11,77.26,77.35,76.41,76.95,2342724
2016-03-14,76.88,77.77,76.1,77.57,2278257
2016-03-15,77.46,77.82,76.82,77.78,2924740
2016-03-16,77.98,78.11,76.95,78.03,3373264
2016-03-17,77.58,78.1,76.74,78.01,4505965
2016-03-18,78.38,78.39,76.77,77.31,8720637
2016-03-21,76.97,77.5,76.17,76.59,3191878
2016-03-22,76.99,77.02,76.03,76.44,2606449
2016-03-23,76.57,77.06,76.21,76.81,2266576
2016-03-24,76.77,77.27,75.86,76.46,3339009
2016-03-28,76.62,77.93,76.06,77.76,3562094
2016-03-29,77.58,78.81,77.03,78.8,3860734
2016-03-30,78.92,79.05,78.27,78.9,3339892
2016-03-31,78.95,78.95,78.28,78.56,3302188
2016-04-01,78.53,79.16,78.12,79.08,3411353
2016-04-04,78.97,79.09,78.38,78.85,3487957
2016-04-05,78.47,78.85,77.89,78.01,2679566
2016-04-06,78.42,78.42,77.5,78.36,2413861
2016-04-07,78.02,78.29,77.02,77.5,3148160
2016-04-08,77.97,78.6,77.54,78.47,2138989
2016-04-11,78.73,79.0,77.85,77.91,2880579
2016-04-12,78.0,78.63,77.54,78.33,2323960
2016-04-13,78.68,78.73,77.09,77.4,3205001
2016-04-14,77.4,77.82,76.89,77.17,3146948
2016-04-15,77.56,78.29,77.13,78.05,3027024
2016-04-18,77.92,78.36,77.27,78.34,2204800
2016-04-19,78.34,78.88,77.86,78.3,2564586
2016-04-20,78.34,78.68,77.5,77.92,1863549
2016-04-21,77.79,77.92,76.64,76.74,2065206
2016-04-22,76.7,78.15,76.7,78.1,2366451
2016-04-25,77.88,78.84,77.54,78.73,2213585
2016-04-26,78.71,79.55,78.51,78.7,2310774
2016-04-27,79.22,79.5,77.99,79.1,2211835
2016-04-28,78.55,79.23,78.09,78.36,1951120
2016-04-29,77.61,78.28,77.13,78.07,3203685
2016-05-02,78.07,80.25,78.0,79.52,3680724
2016-05-03,79.02,79.29,78.22,78.68,2474869
2016-05-04,78.48,80.3,78.29,79.98,4543844
2016-05-05,82.96,84.17,82.5,82.97,8511592
2016-05-06,82.83,84.04,81.94,84.0,3992202
2016-05-09,84.0,84.79,83.64,84.26,3272295
2016-05-10,84.44,86.2,84.23,86.14,3585543
2016-05-11,85.97,86.54,85.19,85.2,2817090
2016-05-12,85.48,86.66,85.15,86.34,2427478
2016-05-13,86.03,86.45,84.72,85.13,2756073
2016-05-16,85.33,86.24,85.04,85.87,2060691
2016-05-17,85.69,86.06,81.77,82.16,7388262
2016-05-18,81.95,82.28,80.46,81.18,8691435
2016-05-19,80.85,83.02,80.61,83.0,3922753
2016-05-20,82.4,82.86,81.82,82.42,2720113
2016-05-23,82.51,83.25,82.42,82.81,1980647
2016-05-24,83.13,84.38,82.7,84.22,2384426
2016-05-25,83.56,84.78,83.13,84.27,2563103
2016-05-26,84.02,84.82,83.76,83.81,2419201
2016-05-27,83.66,84.26,83.5,84.1,1272782
2016-05-31,84.16,84.44,82.67,83.19,3943680
2016-06-01,83.09,83.99,83.0,83.95,1955414
2016-06-02,83.88,84.79,83.55,84.78,2207230
2016-06-03,85.0,85.42,84.7,85.3,3031379
2016-06-06,85.5,85.6,84.69,84.99,2552651
2016-06-07,85.17,85.68,84.62,84.75,2454660
2016-06-08,85.06,85.42,84.33,85.18,1757256
2016-06-09,84.92,85.73,84.78,85.62,2098598
2016-06-10,85.6,85.6,84.71,85.34,2117958
2016-06-13,85.27,85.75,84.64,84.95,2790387
2016-06-14,84.94,85.29,84.33,84.88,2637713
2016-06-15,85.0,85.39,84.36,84.84,2967405
2016-06-16,84.68,85.32,83.98,85.28,2333360
2016-06-17,85.34,85.37,84.02,84.82,5526748
2016-06-20,85.49,86.5,85.24,85.5,2854143
2016-06-21,85.54,86.44,85.49,85.69,1953719
2016-06-22,85.94,85.99,85.08,85.21,1961395
2016-06-23,85.94,86.39,85.42,86.37,2452214
2016-06-24,83.7,85.1,83.42,83.73,11942081
2016-06-27,83.23,83.85,82.5,83.63,3583834
2016-06-28,83.88,84.79,83.0,84.77,3569449
2016-06-29,85.03,86.33,84.7,86.1,3348489
