Date,Open,High,Low,Close,Volume
2016-01-04,68.03,69.18,68.0,68.69,2166764
2016-01-05,68.38,69.05,68.37,68.74,2099815
2016-01-06,67.71,68.24,66.09,66.58,1525333
2016-01-07,65.42,66.66,65.41,65.94,1789560
2016-01-08,66.14,66.31,64.7,65.24,1676714
2016-01-11,65.76,65.76,64.83,65.51,1244451
2016-01-12,65.92,66.46,65.15,65.75,744796
2016-01-13,65.81,66.3,64.67,64.78,1217359
2016-01-14,65.03,67.14,64.81,66.66,2479583
2016-01-15,64.11,65.18,63.64,64.55,1733153
2016-01-19,65.5,65.5,64.07,64.32,918822
2016-01-20,64.21,65.57,63.98,65.06,2964636
2016-01-21,65.3,65.32,64.35,64.63,981114
2016-01-22,65.64,65.87,64.67,65.09,995274
2016-01-25,65.02,65.26,64.56,64.65,1245004
2016-01-26,64.64,65.31,64.46,65.14,1074476
2016-01-27,65.22,65.4,64.31,64.43,1568144
2016-01-28,64.38,66.34,64.38,65.45,1255144
2016-01-29,66.28,66.99,66.01,66.99,2392860
2016-02-01,66.4,67.61,66.35,67.12,2136101
2016-02-02,66.31,66.78,65.87,66.16,3568739
2016-02-03,66.59,66.99,65.6,66.8,1596869
2016-02-04,66.81,67.11,66.33,66.88,1657505
2016-02-05,66.49,66.95,65.11,65.51,1614515
2016-02-08,64.6,65.06,63.58,64.14,1374030
2016-02-09,63.63,64.42,63.38,63.96,2138894
2016-02-10,64.19,64.59,63.79,64.13,2671575
2016-02-11,62.54,63.36,62.33,62.88,1999210
2016-02-12,63.29,64.07,62.89,63.79,1042406
2016-02-16,64.24,65.32,64.16,64.74,2055819
2016-02-17,64.9,65.64,64.78,65.57,2381160
2016-02-18,65.56,65.69,64.82,64.85,3397516
2016-02-19,65.59,66.67,65.59,65.69,7414409
2016-02-22,65.99,66.76,65.69,66.14,4918815
2016-02-23,65.76,66.2,65.32,65.68,1316058
2016-02-24,65.12,66.37,65.12,66.34,913642
2016-02-25,66.3,67.46,66.19,67.45,978463
2016-02-26,67.62,68.2,67.46,67.97,1843598
2016-02-29,67.88,68.42,67.67,67.74,1686137
2016-03-01,68.22,69.08,67.75,68.98,2217955
2016-03-02,68.9,68.9,68.07,68.42,1356896
2016-03-03,68.36,68.71,68.08,68.7,1282664
2016-03-04,69.04,69.04,68.03,68.31,2459907
2016-03-07,68.09,68.92,68.04,68.84,610713
2016-03-08,68.42,68.83,67.71,67.73,1700620
2016-03-09,67.94,68.36,67.79,68.06,1287006
2016-03-10,68.13,69.17,68.13,68.7,1868612
2016-03-11,69.0,69.41,68.77,69.22,1443909
2016-03-14,68.97,69.62,68.97,69.56,1248665
2016-03-15,69.23,69.94,69.23,69.68,1218312
2016-03-16,69.42,70.26,69.12,70.15,893913
2016-03-17,70.47,70.96,70.15,70.86,760414
2016-03-18,71.08,71.33,70.67,71.18,1482374
2016-03-21,71.0,71.32,70.77,71.26,359433
