Date,Open,High,Low,Close,Volume
2016-01-04,1167.0,1170.0,1151.0,1166.0,1815152
2016-01-05,1177.0,1190.0,1169.36,1186.0,1602323
2016-01-06,1189.0,1189.0,1165.0,1165.0,2240313
2016-01-07,1142.0,1151.0,1136.0,1142.0,2268294
2016-01-08,1147.0,1147.0,1118.0,1118.0,1858697
2016-01-11,1118.0,1140.0,1110.0,1118.0,1939961
2016-01-12,1127.0,1139.0,1118.0,1125.0,1796498
2016-01-13,1131.0,1139.0,1121.0,1124.0,1388353
2016-01-14,1112.0,1115.0,1097.0,1097.0,2870632
2016-01-15,1098.0,1107.0,1074.17,1085.0,3084070
2016-01-18,1077.0,1088.0,1067.0,1068.0,1651910
2016-01-19,1085.0,1094.0,1079.0,1081.0,2493836
2016-01-20,1068.0,1073.0,1053.0,1060.0,2207462
2016-01-21,1061.0,1079.0,1048.0,1074.0,2987306
2016-01-22,1096.0,1096.0,1080.0,1093.0,2656577
2016-01-25,1098.0,1100.36,1088.0,1094.0,1812281
2016-01-26,1080.0,1089.0,1077.0,1088.0,2155641
2016-01-27,1094.0,1094.0,1080.36,1086.0,1984770
2016-01-28,1080.0,1090.0,1067.0,1067.0,2540157
2016-01-29,1080.0,1097.61,1076.0,1095.0,2896288
2016-02-01,1098.0,1106.0,1089.0,1105.0,1943804
2016-02-02,1101.0,1105.38,1084.0,1086.0,1997962
2016-02-03,1082.0,1089.0,1065.0,1071.0,1768398
2016-02-04,1090.0,1090.0,1057.0,1061.0,2096392
2016-02-05,1067.0,1080.0,1063.0,1066.0,2716785
2016-02-08,1075.0,1078.0,1015.0,1019.0,3554389
2016-02-09,1020.0,1021.0,1000.0,1004.0,2914683
2016-02-10,1009.0,1038.0,1005.0,1022.0,2503404
2016-02-11,1012.0,1070.19,983.0,983.0,2576224
2016-02-12,990.0,1005.0,981.0,996.0,3807953
2016-02-15,1011.0,1028.0,1011.0,1024.0,1423824
2016-02-16,1028.0,1031.0,1011.0,1015.8,1531993
2016-02-17,1016.0,1039.0,1016.0,1038.0,1610649
2016-02-18,1041.0,1042.0,1030.0,1033.0,1307020
2016-02-19,1028.0,1038.0,1026.1,1036.0,1351580
2016-02-22,1040.0,1044.0,1010.0,1013.0,1592369
2016-02-23,1007.0,1011.0,990.5,991.5,2579978
2016-02-24,990.0,993.5,963.0,967.0,1660265
2016-02-25,976.5,997.5,975.83,996.5,2021130
2016-02-26,1003.0,1012.0,1002.0,1006.0,2082883
2016-02-29,1000.0,1010.0,994.0,1009.0,2513073
2016-03-01,1012.0,1039.0,1003.36,1039.0,2492150
2016-03-02,1042.0,1048.0,1035.0,1046.0,2338983
2016-03-03,1048.0,1059.0,1048.0,1054.0,1697097
2016-03-04,1059.0,1064.0,1046.0,1060.0,1741225
2016-03-07,1055.0,1057.0,1041.0,1041.0,1806302
2016-03-08,1032.0,1045.48,1029.89,1045.0,1750798
