Date,Open,High,Low,Close,Volume
2016-01-04,41.38,41.91,41.24,41.75,3389084
2016-01-05,42.03,42.1,40.81,41.56,2962366
2016-01-06,41.03,41.29,40.52,40.78,2315322
2016-01-07,39.88,40.13,39.2,39.2,2223540
2016-01-08,39.35,39.55,38.12,38.2,2583326
2016-01-11,37.09,37.64,35.23,35.51,9474235
2016-01-12,35.79,36.42,34.56,35.14,4581252
2016-01-13,35.3,35.6,33.49,33.74,4098995
2016-01-14,33.79,35.22,33.38,34.79,4732369
2016-01-15,34.57,34.57,32.81,33.16,5113066
2016-01-19,33.76,33.76,32.42,32.88,5016213
2016-01-20,32.32,33.01,31.63,32.4,7073147
2016-01-21,32.48,33.57,32.05,32.83,4110655
2016-01-22,33.67,34.04,33.36,33.7,4518866
2016-01-25,33.69,34.0,33.21,33.84,4107149
2016-01-26,33.9,35.01,33.8,34.68,4982041
2016-01-27,34.58,34.89,34.17,34.31,3456645
2016-01-28,34.79,34.79,33.44,33.73,3189796
2016-01-29,33.89,34.44,33.86,34.41,3325053
2016-02-01,34.21,35.13,33.71,34.95,1814114
2016-02-02,35.44,35.51,34.44,34.52,3114971
2016-02-03,34.89,35.4,33.71,35.18,4190423
2016-02-04,35.33,36.12,35.18,36.05,3329471
2016-02-05,35.86,36.15,33.98,34.08,3258035
2016-02-08,33.79,33.79,30.64,32.07,6151934
2016-02-09,31.5,32.22,30.66,31.19,4740055
2016-02-10,31.43,32.55,31.2,31.56,5222279
2016-02-11,30.97,31.76,30.92,31.43,5311886
2016-02-12,32.15,32.86,31.35,32.83,3339597
2016-02-16,33.9,35.49,33.86,35.28,4572008
2016-02-17,35.84,37.32,35.18,37.31,4670044
2016-02-18,37.51,37.56,36.86,37.16,3947445
2016-02-19,36.78,37.48,36.46,37.1,2632900
2016-02-22,37.59,38.29,37.11,38.26,2477925
2016-02-23,38.03,38.22,37.14,37.97,4025856
2016-02-24,37.5,37.5,35.94,37.2,3870771
2016-02-25,37.35,37.57,36.12,37.02,3134123
2016-02-26,37.23,37.42,36.7,37.11,1985044
2016-02-29,37.21,37.54,36.64,36.84,2181280
2016-03-01,37.28,37.9,36.93,37.87,1697252
2016-03-02,37.69,37.88,37.2,37.8,1478871
2016-03-03,37.79,38.02,37.47,37.57,1642021
2016-03-04,37.74,38.09,37.09,37.35,2269694
2016-03-07,37.28,37.47,36.79,37.35,1839146
2016-03-08,37.06,37.38,35.72,35.79,2008427
2016-03-09,36.25,36.35,35.69,35.91,2058399
2016-03-10,36.08,36.49,34.77,35.17,2973467
2016-03-11,36.06,36.25,35.69,36.07,2658340
2016-03-14,35.98,36.95,35.53,36.79,2166024
2016-03-15,36.52,36.6,35.93,36.31,1636326
2016-03-16,36.15,37.59,36.02,37.59,2622041
2016-03-17,37.5,38.15,37.04,37.93,2068378
2016-03-18,38.09,38.77,37.7,38.05,2278231
2016-03-21,37.73,38.28,37.65,38.1,1314394
2016-03-22,37.78,37.95,37.4,37.92,1334576
2016-03-23,37.87,38.05,36.72,36.85,1634257
2016-03-24,36.84,37.43,36.41,36.82,1804609
2016-03-28,36.96,37.12,36.3,36.87,1082909
2016-03-29,36.85,38.66,36.56,38.52,2166636
2016-03-30,38.56,38.9,38.37,38.69,1602335
2016-03-31,38.51,38.87,38.26,38.5,1203168
2016-04-01,38.31,39.04,38.18,38.92,1877990
2016-04-04,38.92,39.24,38.82,39.01,1513829
2016-04-05,38.56,38.66,37.81,37.97,1832784
2016-04-06,38.05,38.49,37.21,38.45,1650489
2016-04-07,37.9,38.3,37.68,37.98,2230152
2016-04-08,38.22,39.08,38.0,39.02,2186514
2016-04-11,39.23,39.78,38.8,38.83,1820213
2016-04-12,38.89,39.21,38.43,38.76,2075213
2016-04-13,39.07,39.5,38.93,39.45,1700434
2016-04-14,39.53,39.56,39.18,39.51,1769976
2016-04-15,39.51,39.65,38.89,39.02,2472943
2016-04-18,38.94,39.01,38.57,38.74,2089748
2016-04-19,38.78,39.51,38.66,38.75,2058253
2016-04-20,38.73,38.75,38.03,38.18,2654594
2016-04-21,37.96,38.02,37.5,37.74,2183267
2016-04-22,37.56,38.08,37.54,38.0,1157758
2016-04-25,37.76,38.11,37.6,37.9,1512419
2016-04-26,37.98,39.18,37.88,39.05,2071592
2016-04-27,38.89,39.13,38.18,38.98,2411707
2016-04-28,38.78,39.0,38.0,38.14,2238128
2016-04-29,37.91,37.91,36.86,37.73,1936517
2016-05-02,37.74,38.63,37.5,38.5,1133452
2016-05-03,38.08,38.46,37.55,37.58,1391033
2016-05-04,37.29,37.38,36.98,37.29,1121584
2016-05-05,37.19,37.61,37.08,37.2,1059930
2016-05-06,36.91,37.36,36.82,37.26,2148669
2016-05-09,37.37,37.66,37.04,37.36,2233088
2016-05-10,36.71,38.18,35.92,37.52,4871399
2016-05-11,36.89,37.37,36.85,37.19,1790375
2016-05-12,37.37,37.74,36.54,37.08,4109968
2016-05-13,36.82,37.57,36.44,36.77,5768477
2016-05-16,36.93,38.41,36.75,38.16,3545804
