Date,Open,High,Low,Close,Volume
2016-01-04,40.01,40.34,39.62,40.23,6198944
2016-01-05,40.29,40.33,39.35,39.8,4577702
2016-01-06,39.39,39.73,38.9,39.05,4185545
2016-01-07,38.34,38.48,37.72,37.75,5270734
2016-01-08,37.87,38.1,36.84,36.91,3789218
2016-01-11,36.55,36.55,34.26,34.6,10023930
2016-01-12,34.98,35.33,33.64,34.14,6404640
2016-01-13,34.3,35.04,32.52,32.59,6624836
2016-01-14,32.61,33.86,32.25,33.44,6644300
2016-01-15,32.59,32.95,31.81,32.0,9501833
2016-01-19,32.51,32.55,31.36,31.72,7251879
2016-01-20,31.29,31.74,30.49,31.33,9721026
2016-01-21,31.44,32.37,30.97,31.73,5400893
2016-01-22,32.35,32.84,32.34,32.71,5107056
2016-01-25,32.62,32.94,32.3,32.7,5296804
2016-01-26,32.84,33.84,32.7,33.57,5456354
2016-01-27,33.53,33.75,33.01,33.05,5821559
2016-01-28,33.48,33.58,32.26,32.66,10794118
2016-01-29,32.85,33.32,32.73,33.31,8003359
2016-02-01,33.28,34.07,32.69,33.99,4842705
2016-02-02,34.5,34.5,33.54,33.6,5078430
2016-02-03,33.75,34.24,32.86,34.16,4835363
2016-02-04,34.27,34.71,34.06,34.58,3263959
2016-02-05,34.55,34.82,32.97,33.02,5422725
2016-02-08,32.63,32.64,30.0,31.24,10293663
2016-02-09,30.9,31.44,30.02,30.47,10270295
2016-02-10,30.8,31.48,30.51,30.6,8091770
2016-02-11,30.12,30.54,29.95,30.32,7953059
2016-02-12,30.66,31.58,30.25,31.55,5693697
2016-02-16,32.64,34.02,32.24,33.96,9215459
2016-02-17,34.1,36.03,33.7,36.02,8051706
2016-02-18,36.32,36.45,35.58,36.25,6965587
2016-02-19,35.92,36.44,35.42,36.19,5098796
2016-02-22,36.5,37.28,36.05,37.24,4990666
2016-02-23,36.97,37.23,36.21,36.99,4776841
2016-02-24,36.6,36.6,35.11,36.11,5708130
2016-02-25,36.32,36.5,35.21,36.04,6035688
2016-02-26,36.34,36.49,35.76,36.08,3745800
2016-02-29,35.94,36.52,35.7,35.96,3054219
2016-03-01,36.31,37.05,36.07,36.87,3409873
2016-03-02,36.69,36.89,36.2,36.69,2709454
2016-03-03,36.54,36.96,36.4,36.54,2569571
2016-03-04,36.73,37.18,36.11,36.52,3916488
2016-03-07,36.31,36.62,35.94,36.39,2499910
2016-03-08,36.09,36.27,34.87,34.94,3143328
2016-03-09,35.16,35.51,34.93,35.14,2992780
2016-03-10,35.34,35.52,34.06,34.46,3493030
2016-03-11,35.08,35.41,34.88,35.29,4184285
2016-03-14,35.14,35.97,34.94,35.82,2409115
2016-03-15,35.19,35.74,35.16,35.53,2529742
2016-03-16,35.54,36.77,35.22,36.76,4628098
2016-03-17,36.63,37.32,36.56,37.17,2781080
2016-03-18,37.38,37.96,36.74,37.08,5527589
2016-03-21,37.08,37.26,36.8,37.15,1474946
2016-03-22,36.83,37.15,36.59,37.11,1440734
2016-03-23,37.07,37.13,35.97,36.13,1973222
2016-03-24,36.0,36.13,35.58,35.91,2628226
2016-03-28,36.07,36.17,35.48,36.05,1092832
2016-03-29,36.03,37.68,35.77,37.55,2713109
2016-03-30,37.42,37.89,36.83,37.69,1915160
2016-03-31,37.76,37.87,37.36,37.56,2265878
2016-04-01,37.48,38.11,37.23,38.08,2979438
2016-04-04,37.99,38.28,37.6,38.02,1601717
2016-04-05,37.69,37.72,36.87,37.0,2553113
2016-04-06,36.94,37.52,36.24,37.49,2147621
2016-04-07,37.21,37.32,36.71,36.95,2340140
2016-04-08,37.14,37.99,36.95,37.88,1673446
2016-04-11,37.99,38.56,37.72,37.77,1770766
2016-04-12,37.77,38.26,37.42,37.93,1959791
2016-04-13,38.28,38.63,38.07,38.52,1464226
2016-04-14,38.62,38.62,38.27,38.49,998406
2016-04-15,38.61,38.64,37.86,38.02,1894683
2016-04-18,37.96,38.12,37.64,37.95,1553943
2016-04-19,37.99,38.74,37.87,37.95,1620846
2016-04-20,37.91,37.91,37.28,37.41,2070441
2016-04-21,37.14,37.24,36.76,36.93,2263934
2016-04-22,36.69,37.28,36.5,37.08,1731176
2016-04-25,37.07,37.18,36.69,37.06,1346824
2016-04-26,37.18,38.2,37.14,38.17,2665050
2016-04-27,38.04,38.07,37.2,37.9,2087716
2016-04-28,37.7,37.83,36.84,36.96,2553905
2016-04-29,36.71,36.78,35.69,36.6,3230563
2016-05-02,36.61,37.49,36.42,37.39,1489637
2016-05-03,37.06,37.66,36.38,36.39,3256820
2016-05-04,36.19,36.31,35.86,36.21,2187966
2016-05-05,36.22,36.58,36.04,36.24,2929790
2016-05-06,35.98,36.38,35.87,36.19,3136499
2016-05-09,36.21,36.52,35.78,36.28,2996428
2016-05-10,36.06,36.92,35.03,36.58,5455244
2016-05-11,36.42,36.42,35.85,36.28,3315115
2016-05-12,36.38,37.11,35.78,36.33,5208343
2016-05-13,36.14,36.78,35.7,36.24,12417756
2016-05-16,36.23,37.76,36.13,37.59,5418574
2016-05-17,37.51,37.66,36.3,36.58,6033809
2016-05-18,36.47,36.58,35.62,35.95,4721733
2016-05-19,35.8,35.88,34.94,35.52,6294651
2016-05-20,35.58,36.24,35.4,35.73,4106611
2016-05-23,35.73,35.86,35.13,35.21,4375231
2016-05-24,35.24,35.64,35.04,35.37,4653084
2016-05-25,35.44,35.81,35.35,35.61,5583515
2016-05-26,35.56,35.93,35.1,35.59,10532185
2016-05-27,36.73,36.74,35.85,36.13,9811368
2016-05-31,36.29,36.38,35.62,36.13,4625044
2016-06-01,36.2,36.25,35.72,36.23,5518116
2016-06-02,36.22,37.2,35.96,37.17,6497968
2016-06-03,37.11,37.67,36.54,37.51,8113380
2016-06-06,37.63,37.98,37.42,37.76,3856040
2016-06-07,37.76,38.01,37.63,37.88,3652419
2016-06-08,38.03,38.28,37.43,37.49,6879045
2016-06-09,37.31,37.39,36.48,36.61,4417624
2016-06-10,36.13,36.25,35.3,35.43,6930463
2016-06-13,35.31,35.37,34.24,34.31,5330926
2016-06-14,34.35,34.35,33.43,33.99,5116556
2016-06-15,33.98,34.68,33.71,34.5,3988815
2016-06-16,34.27,34.32,33.7,34.27,4108407
2016-06-17,34.24,34.51,33.77,33.93,4511964
2016-06-20,34.48,35.77,34.17,34.26,4307235
2016-06-21,29.96,31.34,29.95,31.25,7298459
2016-06-22,31.33,31.95,31.07,31.38,4962957
2016-06-23,31.97,32.6,31.85,32.31,3333142
2016-06-24,29.21,29.66,28.53,28.66,17800520
2016-06-27,28.0,28.0,26.24,26.71,21711628
2016-06-28,27.09,29.13,27.04,28.88,11500964
2016-06-29,29.24,30.05,29.12,29.19,7549531
2016-06-30,29.21,29.21,28.16,28.65,8033393
2016-07-01,28.64,29.28,28.6,29.0,5297142
2016-07-05,28.88,28.99,26.99,27.01,8721556
2016-07-06,26.97,27.44,25.86,27.39,7351404
2016-07-07,27.38,27.95,27.33,27.76,2605786
2016-07-08,27.84,28.93,27.72,28.7,4432002
2016-07-11,28.78,29.11,28.59,28.76,3646429
2016-07-12,28.85,29.99,28.85,29.87,3973164
2016-07-13,30.14,30.28,29.84,30.13,3521234
2016-07-14,30.28,31.04,30.11,30.91,3420592
2016-07-15,31.27,31.27,30.37,30.6,4648337
2016-07-18,30.48,31.46,30.03,31.27,4514358
2016-07-19,31.16,31.18,30.38,30.73,6098942
2016-07-20,30.94,30.94,30.09,30.1,6159961
2016-07-21,30.0,30.62,29.99,30.55,4241788
2016-07-22,30.8,30.99,30.6,30.67,2561639
2016-07-25,30.53,30.97,30.21,30.21,1787770
2016-07-26,30.21,30.77,30.09,30.63,2367813
2016-07-27,30.73,30.84,29.93,30.1,2959249
2016-07-28,30.0,30.36,29.95,30.22,2678517
2016-07-29,30.38,31.0,30.08,30.95,3698282
2016-08-01,30.93,31.26,30.72,31.0,3109063
2016-08-02,30.87,31.07,30.38,30.58,3002316
2016-08-03,30.43,31.47,29.92,31.44,2237068
2016-08-04,31.46,31.75,31.05,31.41,2381693
2016-08-05,31.24,31.38,30.07,30.11,8439061
2016-08-08,29.95,30.41,29.93,30.27,2862681
2016-08-09,30.44,30.71,30.26,30.37,3402342
2016-08-10,30.5,30.7,30.06,30.36,2446853
2016-08-11,30.57,30.88,30.47,30.49,1663446
2016-08-12,30.37,30.87,30.28,30.47,2090151
2016-08-15,30.7,31.68,30.66,31.59,2280167
2016-08-16,31.56,31.97,31.38,31.49,1685514
2016-08-17,31.53,31.71,31.25,31.52,2131828
2016-08-18,31.57,31.63,31.21,31.41,811537
2016-08-19,31.16,31.34,30.62,30.7,2394859
2016-08-22,30.7,30.94,30.36,30.85,1185390
2016-08-23,31.0,31.44,30.88,31.15,1638491
2016-08-24,31.05,31.38,30.5,30.58,1718539
2016-08-25,30.59,30.74,30.14,30.19,2170829
2016-08-26,30.37,30.64,29.76,30.01,1929297
2016-08-29,30.03,30.5,30.03,30.1,1891741
2016-08-30,30.23,30.48,30.1,30.27,1618741
2016-08-31,30.3,30.85,30.23,30.83,2502245
2016-09-01,30.99,31.36,30.58,31.0,2069335
2016-09-02,31.36,32.09,31.26,31.97,1894568
2016-09-06,31.94,32.18,31.54,31.95,1733287
2016-09-07,32.01,32.37,31.69,31.72,2840612
2016-09-08,31.73,31.92,31.52,31.78,1910119
2016-09-09,31.38,31.58,30.65,30.68,2536738
2016-09-12,30.64,32.29,30.28,32.05,3731356
2016-09-13,31.53,31.55,30.93,31.4,2248825
2016-09-14,31.43,31.85,31.05,31.21,1855353
2016-09-15,31.13,32.03,30.85,31.85,2768403
2016-09-16,31.84,31.84,31.28,31.6,2938346
2016-09-19,31.83,32.16,31.66,31.94,1422823
2016-09-20,32.1,32.28,31.75,32.13,2033232
2016-09-21,32.22,32.59,31.93,32.5,2248874
2016-09-22,32.84,33.32,32.75,32.91,2027197
2016-09-23,32.64,33.58,32.64,33.4,2191094
2016-09-26,33.22,33.47,32.26,32.32,1425524
2016-09-27,32.38,32.56,32.16,32.46,1195980
2016-09-28,32.64,32.96,32.45,32.84,1717787
2016-09-29,32.83,32.97,31.73,31.85,2366969
2016-09-30,31.99,33.22,31.76,33.04,2988031
2016-10-03,32.72,33.27,32.65,33.0,3154497
2016-10-04,33.14,33.5,32.72,32.87,3388689
2016-10-05,32.92,33.23,32.86,33.06,2244538
2016-10-06,32.89,33.07,32.4,32.43,2426797
2016-10-07,32.64,32.75,31.29,31.56,3831313
2016-10-10,31.74,32.02,31.72,31.73,1280718
2016-10-11,31.73,31.73,31.34,31.51,6151468
2016-10-12,31.48,31.81,31.34,31.76,3534725
2016-10-13,31.45,31.63,30.98,31.2,2825293
2016-10-14,31.4,31.68,30.9,30.95,1716081
2016-10-17,30.88,31.11,30.45,30.47,1632574
2016-10-18,31.14,31.14,30.5,30.52,2388347
2016-10-19,30.46,31.05,30.46,30.86,1255534
2016-10-20,30.86,31.1,30.48,30.96,1157545
2016-10-21,30.89,31.36,30.45,31.25,1652128
2016-10-24,31.41,31.65,31.0,31.59,1174375
2016-10-25,31.52,31.99,31.44,31.56,1415649
2016-10-26,31.53,31.53,31.14,31.37,1042570
2016-10-27,31.46,31.46,30.75,31.13,1748751
2016-10-28,31.01,31.85,31.01,31.55,2134685
2016-10-31,31.69,32.12,31.54,31.8,1941978
2016-11-01,31.93,32.11,31.29,31.61,3037058
2016-11-02,31.64,31.75,31.27,31.29,2272124
2016-11-03,31.37,31.77,30.69,30.7,2436130
2016-11-04,28.44,31.57,27.82,30.85,3899408
